,https://roic.ai/company/OUT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,121100000,119700000,108600000,109300000,105500000,91000000,96600000,111900000,86700000,55100000,42000000
37,Total Current Assets,- -,343500000,315000000,317200000,355300000,416600000,378200000,376000000,429500000,435800000,974700000,777300000
38,PP&E,- -,858200000,807900000,755400000,782900000,701700000,665000000,662100000,652900000,2123200000,2055500000,2133400000
39,Goodwill,- -,1872300000,1877200000,1865700000,2154200000,2074700000,2089400000,2128000000,2079700000,2083100000,2077800000,2077800000
40,Intangible Assets,- -,479600000,420000000,364400000,633200000,570500000,545300000,580900000,537200000,550900000,547500000,614900000
41,Intangible Assets,- -,2351900000,2297200000,2230100000,2787400000,2645200000,2634700000,2708900000,2616900000,2634000000,2625300000,2692700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,49400000,44800000,52800000,98000000,81700000,60600000,61200000,129400000,189300000,241400000,321300000
45,Total Non-Current Assets,- -,3259500000,3149900000,3038300000,3668300000,3428600000,3360300000,3432200000,3399200000,4946500000,4922200000,5147400000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3603000000,3464900000,3355500000,4023600000,3845200000,3738500000,3808200000,3828700000,5382300000,5896900000,5924700000
48,Accounts Payable,- -,72800000,77700000,80000000,75200000,83600000,85600000,56100000,68400000,67900000,64900000,64900000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,80000000,160000000,195000000,80000000,187500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,15000000,15900000,22900000,18600000,20700000,20200000,21300000,29800000,29000000,29500000,30900000
52,Other Current Liabilities,- -,108900000,112000000,544100000,161400000,161300000,145700000,142200000,144400000,358100000,360500000,224400000
53,Total Current Liabilities,- -,196700000,205600000,647000000,255200000,265600000,251500000,299600000,402600000,650000000,534900000,507700000
54,Long-Term Debt,- -,- -,- -,1520000000,2198300000,2251700000,2136800000,2145300000,2149600000,2222100000,2620800000,3929000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,322000000,313800000,288500000,17200000,10900000,8500000,19600000,17000000,18000000,14600000,17200000
57,Other Non-Current Liabilities,- -,93700000,101600000,100400000,107400000,104400000,108700000,117100000,114200000,1365800000,1342900000,80300000
58,Total Non-Current Liabilities,- -,415700000,415400000,1908900000,2322900000,2367000000,2254000000,2282000000,2280800000,3605900000,3978300000,4026500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,1453400000,1428500000,1495900000
61,Total Liabilities,- -,612400000,621000000,2555900000,2578100000,2632600000,2505500000,2581600000,2683400000,4255900000,4513200000,4534200000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,383400000,383400000
63,Common Stock,- -,3066200000,2909900000,874700000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1500000
64,Retained Earnings,- -,- -,- -,- -,-377000000,-602200000,-699500000,-775600000,-871600000,-964600000,-1100400000,-1122000000
65,Other Comprehensive Income/Loss,- -,-985100000,-1071300000,-1136600000,-90000000,-121000000,-19000000,-8000000,-22000000,-18000000,-18000,-4400000
66,Other Total Stockholders Equity,- -,909500000,1005300000,1061500000,1911100000,1934400000,1950000000,1963300000,1995000000,2075000000,2072818000,2119000000
67,Total Stockholders Equity,- -,2990600000,2843900000,799600000,1445500000,1212600000,1232900000,1181100000,1102800000,1093800000,1357200000,1377500000
68,Total Liabilities And Stockholders Equity,- -,3603000000,3464900000,3355500000,4023600000,3845200000,3738400000,3762700000,3786200000,5349700000,5870400000,5911700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,100000,45500000,42500000,32600000,26500000,13000000
70,Total Liabilities & Equity,- -,3603000000,3464900000,3355500000,4023600000,3845200000,3738500000,3808200000,3828700000,5382300000,5896900000,5924700000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579877/000157987715000032/0001579877-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987716000199/0001579877-16-000199-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987717000054/0001579877-17-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987718000041/0001579877-18-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987719000032/0001579877-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987720000038/0001579877-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987721000034/0001579877-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987722000027/0001579877-22-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,71300000,107100000,113400000,143500000,306900000,-29400000,90900000,125800000,107900000,140100000,-61000000,35600000
74,Depreciation and Amortization,214200000,211900000,196800000,195800000,202200000,229100000,224200000,189800000,185000000,194500000,145800000,145400000
75,Deferred Income Tax,39100000,32800000,-6600000,-15500000,-249500000,-1700000,-1800000,-4900000,-400000,200000,-2800000,-4700000
76,Stock Based Compensation,4300000,5000000,5700000,7500000,16000000,15200000,18000000,20500000,20200000,22300000,23800000,28600000
77,Change in Working Capital,-64400000,159700000,-37400000,-439200000,429900000,50900000,-24300000,-50300000,-49500000,-241100000,654000000,-116300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-12900000,146800000,109400000,-329800000,100100000,151000000,126700000,76400000,26900000,-214200000,439800000,-400000
82,Other Non-Cash Items,7400000,-174400000,39400000,386300000,-442700000,29000000,-19900000,-31600000,-48900000,160900000,-629200000,10200000
83,Cash Provided by Operating Activities,271900000,342100000,311300000,278400000,262800000,293100000,287100000,249300000,214300000,276900000,130600000,98800000
84,CAPEX,-47200000,-45600000,-53600000,-58200000,-64200000,-59200000,-59400000,-70800000,-95600000,-113900000,-77100000,-90300000
85,Acquisitions Net,- -,- -,- -,- -,-731000000,-3000000,23000000,-64000000,1000000,-64000000,- -,-133700000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-50300000,-52700000,-53500000,-41000000,-3200000,-200000,-300000,-500000,4200000,1600000,-53200000,-90300000
89,Cash Used for Investing Activites,-50300000,-52700000,-53500000,-41000000,-798400000,-62400000,-36700000,-135300000,-90400000,-176300000,-53200000,-224000000
90,Debt Repayment,- -,- -,- -,- -,- -,-155000000,-125000000,-170000000,-269000000,-1661500000,-625000000,-580000000
91,Common Stock Issued,- -,- -,- -,- -,615000000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-226000000,-269400000,-279700000,-232600000,-2281500000,-196300000,-188600000,-201800000,-203900000,-208100000,-75100000,-57500000
94,Other Financing Activites,100000,2100000,2700000,5600000,2203100000,202700000,27100000,240300000,355200000,1775300000,1273100000,475300000
95,Cash Used/Provided by Financing Activities,-225900000,-267300000,-277000000,-227000000,536600000,-148600000,-286500000,-131500000,-117700000,-94300000,573000000,-162200000
96,Effect of Forex Changes on Cash,900000,-3500000,1800000,-800000,-2300000,-3300000,-300000,600000,-400000,500000,700000,200000
97,Net Change In Cash,-3400000,18600000,-17400000,9600000,-1300000,73100000,-36400000,-16900000,5800000,6800000,651100000,-287200000
98,Cash at the End of Period,19000000,37600000,20200000,29800000,28500000,101600000,65200000,48300000,54100000,60900000,712000000,424800000
99,Cash at the Beginning of Period,22400000,19000000,37600000,20200000,29800000,28500000,101600000,65200000,48300000,54100000,60900000,712000000
100,Free Cash Flow,224700000,296500000,257700000,220200000,198600000,233900000,227700000,178500000,118700000,163000000,53500000,8500000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1579877/000157987715000032/0001579877-15-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987716000199/0001579877-16-000199-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987717000054/0001579877-17-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987718000041/0001579877-18-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987719000032/0001579877-19-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987720000038/0001579877-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987721000034/0001579877-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1579877/000157987722000027/0001579877-22-000027-index.htm
102,false,,,,,,,,,,,,
