,https://roic.ai/company/CVU,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
10,Operating Expenses,1500000,1500000,1300000,1300000,1900000,2400000,5800000,5700000,6208831,1479421,2691632,3177173,3424953,3342729,3551974,4355027,4717080,5197663,5415292,7931586,7322630,6704524,7308220,7636148,8614190,8449594,9528883,11562781,12046170
11,COGS and Expenses,8000000,5000000,4000000,5400000,6000000,11200000,29200000,19700000,25889855,12434685,18989537,21460425,23398184,22856120,19816325,24951112,31782323,37794871,43293252,63257315,72362599,71259799,76719929,91237002,85625130,71086826,75293890,89949778,87536673
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,422,2431,3612,16206,7294,5463,6656,4973,78952,2014,3770,4065,31520,78957,145072,-40433,-22659,- -,- -,- -,- -
13,Interest Expense (Gain),500000,500000,500000,400000,100000,- -,1300000,- -,1154418,155825,510329,148006,8109,18314,20326,22441,31847,252961,158406,343491,416373,653786,794428,958562,1379304,1698914,1989417,2104851,1421955
14,Depreciation and Amortization,200000,200000,200000,100000,100000,400000,1400000,1700000,1564084,35653,51420,131204,184355,193628,215973,235227,287412,338995,386394,591373,623795,704435,763736,854063,661921,616291,710197,1124063,1032986
15,EBITDA,2000000,1300000,1100000,-1200000,1100000,1900000,-7800000,2800000,4271708,-11446641,5130373,8867488,7062495,2869375,-1685707,3274564,4172872,6452963,1087696,11473792,17565298,12512115,-36124111,9819618,-3633351,10792839,9374286,-1217361,1081003
16,EBITDA ratio,0.2000,0.2131,0.2200,-0.2553,0.1618,0.1462,-0.3939,0.1296,0.1492,-0.7619,0.2138,0.3250,0.2333,0.1124,-0.0941,0.1170,0.1173,0.1470,0.0247,0.1548,0.1968,0.1508,-0.9102,0.0980,-0.0447,0.1328,0.1117,-0.0139,0.0123
17,Operating Income,2000000,1100000,1000000,-700000,800000,1800000,-9400000,1900000,2731826,2589342,5009720,5827610,6870846,2670284,-1908336,3034364,3806508,6111954,697532,10878354,16909983,11728723,-37032919,8965555,-4295272,10196322,8635380,-2431090,48017
18,Operating Income ratio,0.2000,0.1803,0.2000,-0.1489,0.1176,0.1385,-0.4747,0.0880,0.0954,0.1723,0.2087,0.2136,0.2270,0.1046,-0.1066,0.1084,0.1070,0.1392,0.0159,0.1467,0.1894,0.1413,-0.9331,0.0895,-0.0528,0.1254,0.1029,-0.0278,0.0005
19,Total Other Income Expenses (Gains),-700000,-500000,-600000,-1100000,- -,-300000,-1100000,-800000,-1178620,-157445,-441096,2760668,-815,-12851,-13670,-17468,47105,-250947,-154636,-339426,-384853,-574829,-649356,-958562,-1379304,-1718688,-1960708,-2015185,-1421955
20,Income Before Tax,1300000,600000,400000,-1800000,800000,1500000,-10500000,1100000,1553206,2431897,4568624,8588278,6870031,2657433,-1922006,3016896,3853613,5861007,542896,10538928,16525130,11153894,-37682275,8006993,-5674576,8477634,6674672,-4446275,-1373938
21,Income Before Tax Ratio,0.1300,0.0984,0.0800,-0.3830,0.1176,0.1154,-0.5303,0.0509,0.0543,0.1619,0.1904,0.3147,0.2270,0.1041,-0.1073,0.1078,0.1083,0.1335,0.0123,0.1422,0.1851,0.1344,-0.9495,0.0799,-0.0698,0.1043,0.0795,-0.0508,-0.0157
22,Income Tax expense (Gain),500000,200000,200000,-600000,300000,600000,-1900000,300000,-376000,- -,124000,195000,1794000,1138000,-657000,1110000,1263000,1915000,13000,3122000,5514000,3417000,-12473000,2991000,-2066000,2710000,4463109,3877,-53500
23,Net Income,800000,400000,200000,-1100000,600000,900000,-8600000,800000,1929206,-11638119,4444624,8393278,5076031,1519433,-1265006,1906896,2590613,3946007,529896,7416928,11011130,7736894,-25209275,5015993,-3608576,5767634,2211563,-4450152,-1320438
24,Net Income ratio,0.0800,0.0656,0.0400,-0.2340,0.0882,0.0692,-0.4343,0.0370,0.0674,-0.7746,0.1852,0.3076,0.1677,0.0595,-0.0706,0.0681,0.0728,0.0899,0.0120,0.1000,0.1233,0.0932,-0.6352,0.0501,-0.0444,0.0710,0.0264,-0.0508,-0.0151
25,EPS,4.14,1.35,0.54,-2.61,0.90,0.42,-3.24,0.31,0.73,-4.39,1.63,1.72,0.94,0.28,-0.23,0.34,0.44,0.66,0.08,1.08,1.43,0.92,-2.98,0.59,-0.42,0.65,0.23,-0.38,-0.11
26,EPS Diluted,4.14,1.17,0.54,-2.61,0.81,0.36,-3.24,0.30,0.70,-4.39,1.40,1.56,0.83,0.25,-0.23,0.32,0.42,0.64,0.08,1.04,1.40,0.91,-2.98,0.58,-0.42,0.65,0.23,-0.38,-0.11
27,Weighted Average Shares Outstanding,193217,296267,370333,421414,666600,2193940,2646992,2648509,2648509,2653538,2721522,4872255,5386595,5422101,5446711,5673903,5952703,5994326,6489942,6869624,7721304,8389048,8465937,8552817,8655848,8831064,9480948,11808052,11884307
28,Weighted Average Shares Outstanding Diluted,193217,341846,370333,421414,740667,2548279,2646992,2654273,2763888,2738467,3181834,5382266,6096302,6114808,5446711,6028480,6203789,6156628,6736501,7133604,7865090,8470578,8465937,8579986,8655848,8838445,9489630,11808052,11884307
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889348/000095013605001758/0000950136-05-001758-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000095013606002598/0000950136-06-002598-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000095013607002258/0000950136-07-002258-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000095013608001495/0000950136-08-001495-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000088934809000005/0000889348-09-000005-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889348/000143774916028440/0001437749-16-028440-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000138713117001254/0001387131-17-001254-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000138713118001191/0001387131-18-001191-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000138713119002402/0001387131-19-002402-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000138713120007877/0001387131-20-007877-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000138713121004535/0001387131-21-004535-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2100000,400000,1800000,1000000,900000,2000000,600000,300000,172184,180578,91537,2794310,1756350,877182,38564,338391,424082,2224825,823376,878200,2709803,2166103,1504907,1002023,1039586,1430877,4128142,4052109,6033537
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2100000,400000,1800000,1000000,900000,2000000,600000,300000,172184,180578,91537,2794310,1756350,877182,38564,338391,424082,2224825,823376,878200,2709803,2166103,1504907,1002023,1039586,1430877,4128142,4052109,6033537
34,Net Receivables,10400000,600000,1500000,1600000,12000000,1800000,5300000,6200000,6511334,9135754,2331775,19197711,27671509,30238998,30834313,35021026,2975012,5403932,6152544,83295932,115684190,116989390,93659275,110288224,108093139,116538372,122391820,22785313,4962906
35,Inventory,- -,- -,- -,- -,- -,2300000,2400000,3200000,4984682,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9711997,5891386,9567921
36,Other Current Assets,100000,11300000,10600000,10000000,- -,13100000,1100000,1000000,1328333,4060879,12779280,1407329,182003,342165,133618,216405,38424673,43469289,47771535,919326,960063,1026268,2536275,1065473,2155481,2413187,3972630,2102648,20304495
37,Total Current Assets,12600000,12300000,13900000,12600000,12900000,19200000,9400000,10700000,12996533,13377211,15202592,23399350,29609862,31458345,31006495,35575822,41823767,51098046,54747455,85093458,119354056,120181761,97700457,112355720,111288206,120382436,140204589,34831456,40868859
38,PP&E,2200000,2200000,2000000,200000,200000,5700000,5100000,5000000,6142330,101260,222928,360514,882758,962209,855736,719069,1002974,853820,881915,2629569,2907476,2849753,2755186,2358736,2298610,2046942,2545192,7169802,2521742
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1784254,1784254
40,Intangible Assets,- -,- -,- -,- -,- -,7600000,7100000,6600000,6066258,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375000,250000
41,Intangible Assets,- -,- -,- -,- -,- -,7600000,7100000,6600000,6066258,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2159254,2034254
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,172000,- -,- -,- -,24000,78000,129000,345500,526000,668000,- -,1001000,1133000,3591000,1890000,3952598,1566818,279318,- -,- -
44,Other Non-Current Assets,100000,- -,200000,200000,- -,600000,300000,400000,308579,180226,179226,179226,266504,243230,219956,196681,179265,59265,159817,1217080,1620984,108080,108080,108080,252481,188303,684575,179068,- -
45,Total Non-Current Assets,2300000,2200000,2200000,400000,200000,13900000,12500000,12000000,12517167,453486,402154,539740,1149262,1229439,1153692,1044750,1527739,1439085,1709732,3846649,5529460,4090833,6454266,4356816,6503689,3802063,3509085,9508124,4555996
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,14900000,14500000,16100000,13000000,13100000,33100000,21900000,22700000,25513700,13830697,15604746,23939090,30759124,32687784,32160187,36620572,43351506,52537131,56457187,88940107,124883516,124272594,104154723,116712536,117791895,124184499,143713674,44339580,45424855
48,Accounts Payable,1700000,1200000,1100000,1200000,1300000,2400000,2300000,2200000,2663300,4195530,4574678,3343875,4332255,4559181,4758763,4234370,3303426,5859182,8267330,11998244,13286558,7614755,8928456,18379469,14027457,15129872,9902481,8199557,12092684
49,Short-Term Debt,1300000,600000,700000,600000,- -,2400000,1900000,2900000,7743239,11307284,8024160,7303,83144,87617,392188,1103701,920668,2836592,1485008,16987380,24550564,22370349,26121713,24711491,23780609,24847685,26473666,4193772,8320903
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,907000,2368374,134006,2802000,106000,736536,6067,189000,6000,109327,115000,1216,862
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,656853,276170,193650,175438,115337,74657,3805106,3561707,- -
52,Other Current Liabilities,800000,800000,900000,700000,900000,1700000,500000,700000,605164,682054,628180,728798,798061,781631,733040,1520783,2464278,3283822,617947,3921398,1151356,1480404,1591996,1796405,2769318,2192421,1673160,5024701,8145900
53,Total Current Liabilities,3800000,2600000,2700000,2500000,2200000,6500000,4700000,5800000,11011703,16184868,13227018,4079976,5213460,5428429,5883991,6858854,6688372,11979596,10370285,32907022,39645331,31741678,36835815,45062803,40692721,42244635,41854413,20979737,28559487
54,Long-Term Debt,5000000,5200000,3600000,1700000,- -,12000000,11100000,9000000,4460003,- -,40192,- -,129276,42188,- -,7605,2401206,1801357,1190097,889239,3209873,2198187,1289843,483961,8860724,7019468,3876238,28503299,6501666
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,100000,100000,- -,- -,- -,- -,400000,431000,- -,- -,- -,- -,- -,- -,20000,- -,- -,- -,660000,867000,788000,622000,- -,- -,- -,4028553,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,100000,- -,- -,- -,300000,374400,- -,- -,26311,- -,54895,98541,130599,278778,238664,226362,10457639,567113,593210,593909,633663,632744,607063,531124,2596784,- -
58,Total Non-Current Liabilities,5000000,5300000,3700000,1800000,- -,12000000,11100000,9700000,5265403,- -,40192,26311,129276,97083,98541,158204,2679984,2040021,1416459,12006878,4643986,3579397,2505752,1117624,9493468,7626531,8435915,31100083,6501666
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35982595
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26311,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4305937,4356386
61,Total Liabilities,8800000,7900000,6400000,4300000,2200000,18500000,15800000,15500000,16277106,16184868,13267210,4106287,5342736,5525512,5982532,7017058,9368356,14019617,11786744,44913900,44289317,35321075,39341567,46180427,50186189,49871166,50290328,52079820,58040416
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,2649,2657,2786,5302,5443,5475,5479,5816,6046,6123,6912,7080,8371,8410,8501,8584,8738,8863,11715,11819,11951
64,Retained Earnings,1800000,2100000,2400000,1300000,1800000,2700000,-5800000,-5000000,-3085729,-14723848,-10279224,-1885946,3190085,4709518,3444512,5351408,7942021,11888028,12417924,19834852,30845982,38582876,13373601,18389594,14781018,20548652,22760215,-79046688,- -
65,Other Comprehensive Income/Loss,-800000,-900000,-1000000,-300000,-400000,-500000,-1200000,-2000000,-2892925,-451648,-503068,-634270,-818628,-1012259,-1228232,-1438391,-84517,-52874,-45404,-21772,-40827,-21115,-9716,-3453,-9000,-14800,- -,-8022126,- -
66,Other Total Stockholders Equity,5100000,5400000,8300000,7700000,9500000,12400000,13100000,14200000,15212599,12818668,13117042,22347717,23039488,23459538,23955896,25684681,26119600,- -,- -,- -,- -,- -,- -,52137384,52824950,53770618,70651416,79316755,-8361285
67,Total Stockholders Equity,6100000,6600000,9700000,8700000,10900000,14600000,6100000,7200000,9236594,-2354171,2337536,19832803,25416388,27162272,26177655,29603514,33983150,38517514,44670443,44026207,80594199,88951519,64813156,70532109,67605706,74313333,93423346,-7740240,-8349334
68,Total Liabilities And Stockholders Equity,14900000,14500000,16100000,13000000,13100000,33100000,21900000,22700000,25513700,13830697,15604746,23939090,30759124,32687784,32160187,36620572,43351506,52537131,56457187,88940107,124883516,124272594,104154723,116712536,117791895,124184499,143713674,44339580,49691082
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4266227
70,Total Liabilities & Equity,14900000,14500000,16100000,13000000,13100000,33100000,21900000,22700000,25513700,13830697,15604746,23939090,30759124,32687784,32160187,36620572,43351506,52537131,56457187,88940107,124883516,124272594,104154723,116712536,117791895,124184499,143713674,44339580,45424855
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889348/000095013605001758/0000950136-05-001758-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000095013606002598/0000950136-06-002598-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000095013607002258/0000950136-07-002258-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000095013608001495/0000950136-08-001495-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000088934809000005/0000889348-09-000005-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889348/000143774916028440/0001437749-16-028440-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000138713117001254/0001387131-17-001254-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000138713118001191/0001387131-18-001191-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000138713119002402/0001387131-19-002402-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000138713120007877/0001387131-20-007877-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000138713121004535/0001387131-21-004535-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,800000,400000,200000,-1100000,600000,900000,-8600000,800000,1929206,-11638119,4444624,8393278,5076031,1519433,-1265006,1906896,2590613,3946007,529896,7416928,11011130,7736894,-25209275,5015993,-3608576,5767634,2211563,-4450152,-1320438
74,Depreciation and Amortization,200000,200000,200000,100000,100000,400000,1400000,1700000,1564084,35653,51420,131204,184355,193628,215973,235227,287412,338995,386394,591373,623795,704435,763736,854063,661921,616291,710197,1124063,1032986
75,Deferred Income Tax,300000,200000,200000,-300000,300000,- -,-1500000,300000,-390000,92000,132000,-407000,1202000,334000,-48000,-49000,-206961,-367800,-265000,-541000,-302000,-134000,-3876000,2626000,-2077299,2384980,5337053,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,495046,483707,553629,1021757,420418,421639,525758,583697,687720,945793,717533,762888,711344
77,Change in Working Capital,-3900000,900000,1500000,-1100000,600000,2000000,-8000000,200000,-2915170,-4792487,4783231,17343800,5077028,1633514,-907412,3594464,6418427,-3755698,-4882441,-22532077,-33871484,-5515676,24409881,6428275,3302568,7542316,20212375,-84498457,-1542347
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,369363,-2428920,-878612,1791974,-3951680,2382092,-2074560,-1249023,-1309290,2984792,-1796225,1807802,2090091
79,Inventory,- -,- -,- -,- -,- -,-300000,-100000,-800000,-1774751,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,227336,-3676535
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1465562,-5817028,1715580,9446948,-4023547,1627689,-7696024,-678380,7214124
81,Other Working Capital,8800000,9700000,11200000,10100000,10700000,12700000,4700000,4900000,1984830,-2807657,1975574,19319374,24396402,26029916,25122504,28716968,35135395,60000,- -,- -,540387,-380683,-82520,67292917,70595485,78137801,98350176,13851719,12309372
82,Other Non-Cash Items,200000,-2800000,-2000000,2100000,-1000000,-4700000,16700000,-1500000,1435516,17334017,-9202167,-25383160,-12100182,-4357342,989294,-7121918,-12415785,29298,-281664,341909,40419,54621,18140,-13450196,-5567136,-15684516,-31723759,86683676,-484000
83,Cash Provided by Operating Activities,-2400000,-1100000,100000,-300000,600000,-1400000,- -,1500000,1623636,1031064,209108,78122,-560768,-676767,-1015151,-1434331,-2831248,674509,-3959186,-13701110,-22077722,3267913,-3367760,2057832,-6600802,1572498,-2535038,-377982,-1602455
84,CAPEX,- -,- -,- -,- -,- -,-10300000,-100000,- -,-252193,-19307,-122848,-268790,-667684,-273080,-109500,-98560,-493667,-142661,-300803,-1587898,-825110,-637370,-602924,-209718,-136320,-281922,-559037,-436010,-146788
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6050906,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,1200000,- -,- -,- -,- -,9100,1800,2937308,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42480,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,1200000,- -,-10300000,-100000,-200000,-243093,-17507,2814460,-268790,-667684,-273080,-109500,-98560,-493667,-142661,-300803,-1587898,-825110,-637370,-602924,-209718,-136320,-239442,-6609943,-436010,-146788
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2567081,-1431105,-2876530,-849615,-6042774,-14201243,-5724263,-10663998,-32110145,-5441765,-9814789,-3736786,-2337473
91,Common Stock Issued,4600000,- -,2800000,100000,1700000,2400000,- -,100000,- -,- -,180563,733856,50601,153293,19050,618600,- -,- -,3529541,- -,13323694,- -,- -,- -,- -,- -,16166117,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-200000,-600000,-1500000,-1800000,-2300000,10400000,-1400000,-1600000,-1504057,-895958,-3293172,2159585,139891,-82614,266983,1214118,5977687,2700000,2205529,16193447,17453515,11027000,9033751,8313000,38884830,4500000,7490918,3855429,4687460
95,Cash Used/Provided by Financing Activities,4400000,-600000,1300000,-1700000,-600000,12800000,-1400000,-1500000,-1504057,-895958,-3112609,2893441,190492,70679,286033,1832718,3410606,1268895,2858540,15343832,24734435,-3174243,3309488,-2350998,6774685,-941765,13842246,118643,2349987
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,-300000,-123514,117599,-89041,2702773,-1037960,-879168,-838618,299827,85691,1800743,-1401449,54824,1831603,-543700,-661196,-502884,37563,391291,4697265,-695349,600744
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,300000,172184,180578,91537,2794310,1756350,877182,38564,338391,424082,2224825,823376,878200,2709803,2166103,1504907,1002023,1039586,1430877,6128142,5432793,6033537
99,Cash at the Beginning of Period,100000,2100000,400000,1800000,1000000,900000,2000000,600000,295698,62979,180578,91537,2794310,1756350,877182,38564,338391,424082,2224825,823376,878200,2709803,2166103,1504907,1002023,1039586,1430877,6128142,5432793
100,Free Cash Flow,-2400000,-1100000,100000,-300000,600000,-11700000,-100000,1500000,1371443,1011757,86260,-190668,-1228452,-949847,-1124651,-1532891,-3324915,531848,-4259989,-15289008,-22902832,2630543,-3970684,1848114,-6737122,1290576,-3094075,-813992,-1749243
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889348/000095013605001758/0000950136-05-001758-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000095013606002598/0000950136-06-002598-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000095013607002258/0000950136-07-002258-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000095013608001495/0000950136-08-001495-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000088934809000005/0000889348-09-000005-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/889348/000143774916028440/0001437749-16-028440-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000138713117001254/0001387131-17-001254-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000138713118001191/0001387131-18-001191-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000138713119002402/0001387131-19-002402-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000138713120007877/0001387131-20-007877-index.htm,https://www.sec.gov/Archives/edgar/data/889348/000138713121004535/0001387131-21-004535-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
