,https://roic.ai/company/ICNB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
20,Income Before Tax,-30000,-80000,-4907434,-2738760,-105510,-106750,- -,-37038,-781261,-5965722,4242880,-4850620,-3331300,- -
21,Income Before Tax Ratio,-Infinity,-Infinity,-6.3440,-7.3759,-Infinity,-Infinity,- -,-Infinity,-9.4696,-16.4246,1.3177,-8.5679,-2.7526,- -
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-30000,-80000,-4907434,-2738760,-184680,-183720,- -,-37038,-781261,-5858363,3966380,-4157250,-3953910,- -
24,Net Income ratio,-Infinity,-Infinity,-6.3440,-7.3759,-Infinity,-Infinity,- -,-Infinity,-9.4696,-16.1290,1.2318,-7.3431,-3.2670,- -
25,EPS,-1.25,-1.25,-500.00,-125.00,-8.51,-8.45,- -,-0.25,-2.00,-2.50,1.17,-0.49,-0.37,-0.22
26,EPS Diluted,-1.25,-1.25,-500.00,-125.00,-8.51,-8.45,- -,-0.25,-2.00,-2.50,1.17,-0.49,-0.37,-0.22
27,Weighted Average Shares Outstanding,45492,46063,9788,20240,21710,21744,- -,195906,384126,2254841,5246956,6347521,10818233,16367218
28,Weighted Average Shares Outstanding Diluted,45492,46063,9788,20240,21710,21744,- -,195906,384126,2254841,5246956,6347521,10818233,16367218
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1350073/000121390009000421/0001213900-09-000421-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1350073/000147793213001317/0001477932-13-001317-index.htm,https://www.sec.gov/Archives/edgar/data/1350073/000147793213001317/0001477932-13-001317-index.html,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1350073/000147793219001870/0001477932-19-001870-index.htm,https://www.sec.gov/Archives/edgar/data/1350073/000147793220001986/0001477932-20-001986-index.htm,https://www.sec.gov/Archives/edgar/data/1350073/000147793221002220/0001477932-21-002220-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,50000,- -,23889,230,- -,- -,- -,- -,5796,716,1237430,191460,263640,457041
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -
33,Cash and Short-Term Investments,50000,- -,23889,230,- -,- -,- -,- -,5796,716,1237430,191460,1263640,457041
34,Net Receivables,- -,- -,254268,- -,- -,- -,- -,- -,- -,246377,311070,113510,573750,334458
35,Inventory,- -,- -,393811,- -,- -,- -,- -,- -,66519,16950,59850,258270,573800,507500
36,Other Current Assets,- -,- -,391140,780,- -,- -,- -,10000,- -,- -,5000,- -,-1000000,- -
37,Total Current Assets,50000,- -,1063108,1010,- -,- -,- -,10000,72315,264043,1613350,563240,1411190,1298999
38,PP&E,- -,- -,7273,- -,- -,- -,- -,- -,- -,- -,- -,- -,156840,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,185000,1001,- -,- -,- -,1000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,75000,- -,- -,- -,- -,- -,125000,- -,- -,- -,-10,- -
45,Total Non-Current Assets,- -,- -,82273,- -,- -,- -,- -,185000,126001,- -,- -,- -,1156830,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55893
47,Total Assets,50000,- -,1145381,1010,- -,- -,- -,195000,198316,264043,1613350,563240,2568020,1354892
48,Accounts Payable,10000,20000,1290680,1302610,74840,92010,- -,6250,16400,430816,261770,175410,737850,3089773
49,Short-Term Debt,17634,19539,803064,641320,268800,294040,- -,622472,643610,1065126,555772,28091,176113,93242
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2366,461,1500652,1788310,3521570,3768060,- -,97482,216238,336666,1331038,1136069,1114717,- -
53,Total Current Liabilities,30000,40000,3594396,3732240,3865210,4154110,- -,726204,876248,1832608,2148580,1339570,2028680,3183015
54,Long-Term Debt,- -,- -,1774944,1643470,1888590,1905080,- -,- -,496252,- -,- -,- -,49147,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-10,1617140,1477330,- -,- -,- -,7315935,774060,1645740,-1039857,- -
58,Total Non-Current Liabilities,- -,- -,1774944,1643460,3505730,3382410,- -,- -,496252,7315935,774060,1645740,-990710,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,140129,49147
61,Total Liabilities,30000,40000,5369340,5375700,7370940,7536520,- -,726204,1372500,9148543,2922640,2985310,1037970,3183015
62,Preferred Stock,- -,- -,1833207,1,1,1,- -,1,2,2,2,6605,3158541,3890866
63,Common Stock,- -,- -,448,530,540,540,- -,87765,125500,814791,6330,5970,14580,-516528
64,Retained Earnings,-50000,-140000,-13385569,-16124330,-16309010,-16492730,- -,-11705849,-12487110,-20391046,-17075830,-21233080,-22925750,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-368399,- -,- -,- -,- -,- -,- -,-125920,- -
66,Other Total Stockholders Equity,77975,99006,7327955,9043171,8937531,9324070,- -,11086879,11187424,10692894,15912503,18798439,21408598,-4049651
67,Total Stockholders Equity,27975,-40994,-4223959,-7080628,-7370938,-7536518,- -,-531204,-1174184,-8883359,-1156995,-2422066,1530049,-675313
68,Total Liabilities And Stockholders Equity,57975,-994,1145381,-1704928,2,2,- -,195000,198316,265184,1765645,563244,2568019,2507702
69,Minority Interest,-7975,994,- -,1705938,-2,-2,- -,- -,- -,-1141,-152295,-4,1,-1152810
70,Total Liabilities & Equity,50000,- -,1145381,1010,- -,- -,- -,195000,198316,264043,1613350,563240,2568020,1354892
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1350073/000121390009000421/0001213900-09-000421-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1350073/000147793213001317/0001477932-13-001317-index.htm,https://www.sec.gov/Archives/edgar/data/1350073/000147793213001317/0001477932-13-001317-index.html,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1350073/000147793219001870/0001477932-19-001870-index.htm,https://www.sec.gov/Archives/edgar/data/1350073/000147793220001986/0001477932-20-001986-index.htm,https://www.sec.gov/Archives/edgar/data/1350073/000147793221002220/0001477932-21-002220-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-30000,-80000,-4907434,-2738760,-184680,-183720,- -,-37038,-781261,-5858363,3966380,-4157250,-3953910,- -
74,Depreciation and Amortization,- -,- -,4171,3033,- -,- -,- -,- -,- -,- -,- -,- -,- -,29196
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,2714868,581233,18140,18142,- -,- -,- -,- -,20000,273250,775700,557768
77,Change in Working Capital,20000,-60000,1338237,-1201230,-133980,-288900,- -,3437906,-87729,-764632,1033335,-241100,158840,-1266526
78,Accounts Receivable,- -,- -,229896,226574,- -,- -,- -,- -,- -,-233450,-148758,197568,-460241,239289
79,Inventory,- -,- -,344696,-62758,- -,- -,- -,- -,-66519,25050,-42897,-198423,-315530,66300
80,Accounts Payable,4565,15088,-191236,14429,-8000,17168,- -,- -,- -,- -,423138,215481,541343,- -
81,Other Working Capital,20000,-40000,957923,-3731230,-3865210,-4154110,- -,-716204,-803933,-1568565,-535230,-776330,-617490,-1884016
82,Other Non-Cash Items,-13755,88986,311316,2928977,300295,454478,- -,-3472407,489910,6191965,-4389548,2370461,282638,-391291
83,Cash Provided by Operating Activities,-23755,-51014,-538842,-426747,-225,- -,- -,-71539,-379080,-431030,630167,-1754639,-2736732,-1070853
84,CAPEX,- -,-3000,-5150,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000,-19708
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-125000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-797213,- -
89,Cash Used for Investing Activites,- -,-3000,-5150,- -,- -,- -,- -,-125000,- -,- -,- -,- -,-817213,-19708
90,Debt Repayment,- -,-5000,-337089,-306435,- -,- -,- -,-31085,- -,- -,-80651,-122580,-10000,-69494
91,Common Stock Issued,48790,- -,445000,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,6905,449000,709518,- -,- -,- -,227624,384876,425965,385700,831250,3636120,1353458
95,Cash Used/Provided by Financing Activities,48790,1905,556911,403083,- -,- -,- -,196539,384876,425965,605049,708670,3626120,1283964
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,25035,-52109,12919,-23664,- -,- -,- -,196539,384876,-5065,1235216,-1045969,72175,193403
98,Cash at the End of Period,52186,77,23889,225,- -,- -,- -,- -,5796,716,1237432,191463,263638,457041
99,Cash at the Beginning of Period,27151,52186,10970,23889,225,- -,- -,- -,- -,5781,2216,1237432,191463,263638
100,Free Cash Flow,-23755,-54014,-543992,-426747,-225,- -,- -,-71539,-379080,-431030,630167,-1754639,-2756732,-1090561
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1350073/000121390009000421/0001213900-09-000421-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1350073/000147793213001317/0001477932-13-001317-index.htm,https://www.sec.gov/Archives/edgar/data/1350073/000147793213001317/0001477932-13-001317-index.html,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1350073/000147793219001870/0001477932-19-001870-index.htm,https://www.sec.gov/Archives/edgar/data/1350073/000147793220001986/0001477932-20-001986-index.htm,https://www.sec.gov/Archives/edgar/data/1350073/000147793221002220/0001477932-21-002220-index.htm
102,false,,,,,,,,,,,,,,
