,https://roic.ai/company/ASH,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,427800000,613100000,465800000,541300000,421400000,532600000,471400000,-123400000,504900000,580000000,498000000,705000000,970000000,498000000,710000000,498000000,942000000,408000000,323000000,721000000,1995000000,547000000,421000000,398000000,695000000,936000000,791000000,655000000,1655000000,601000000,794000000,631000000,541000000,571000000,954000000,-185000000,495000000
16,EBITDA ratio,0.0542,0.0877,0.0678,0.0692,0.0523,0.0627,0.0510,-0.0129,0.0528,0.0613,0.0445,0.0580,0.0734,0.0762,0.1044,0.0626,0.1102,0.0524,0.0411,0.0821,0.2023,0.0752,0.0537,0.0475,0.0857,0.1039,0.1217,0.0798,0.2118,0.0982,0.1474,0.1275,0.1660,0.1526,0.3827,-0.0795,0.2345
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1241000000,46000000,458000000,327000000,142000000,227000000,166000000,-388000000,181000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1588,0.0075,0.0850,0.0661,0.0436,0.0606,0.0666,-0.1668,0.0857
19,Total Other Income Expenses (Gains),-79100000,-9500000,61500000,-17700000,-38700000,-14200000,-44800000,-55600000,-39200000,-47000000,-115000000,2000000,-60000000,269000000,310000000,287000000,-170000000,-138000000,-128000000,-114000000,1055000000,37000000,40000000,68000000,-194000000,-174000000,-78000000,-258000000,-290000000,-162000000,-289000000,-191000000,-240000000,-113000000,-96000000,-115000000,-46000000
20,Income Before Tax,218700000,372400000,207700000,271100000,142200000,263200000,192800000,-158100000,200300000,272000000,11000000,303000000,311000000,317000000,482000000,483000000,681000000,200000000,138000000,548000000,1801000000,212000000,259000000,261000000,158000000,392000000,3000000,-14000000,951000000,-116000000,169000000,136000000,-98000000,114000000,70000000,-503000000,135000000
21,Income Before Tax Ratio,0.0277,0.0533,0.0302,0.0346,0.0176,0.0310,0.0209,-0.0166,0.0210,0.0288,0.0010,0.0249,0.0235,0.0485,0.0709,0.0607,0.0797,0.0257,0.0175,0.0624,0.1827,0.0291,0.0331,0.0311,0.0195,0.0435,0.0005,-0.0017,0.1217,-0.0190,0.0314,0.0275,-0.0301,0.0305,0.0281,-0.2163,0.0640
22,Income Tax expense (Gain),72000000,163800000,74300000,87300000,56000000,81100000,47800000,-89800000,58100000,75000000,-13000000,92000000,119000000,114000000,192000000,191000000,275000000,71000000,44000000,150000000,-202000000,29000000,58000000,86000000,80000000,91000000,-53000000,-52000000,274000000,-188000000,-22000000,133000000,7000000,9000000,46000000,-12000000,-38000000
23,Net Income,146700000,208600000,133400000,183800000,86200000,182100000,145000000,-335700000,142200000,197000000,24000000,211000000,279000000,203000000,290000000,70000000,417000000,117000000,75000000,378000000,2004000000,407000000,230000000,167000000,71000000,332000000,414000000,26000000,683000000,233000000,309000000,-29000000,1000000,114000000,505000000,-508000000,220000000
24,Net Income ratio,0.0186,0.0298,0.0194,0.0235,0.0107,0.0214,0.0157,-0.0351,0.0149,0.0208,0.0021,0.0174,0.0211,0.0311,0.0426,0.0088,0.0488,0.0150,0.0095,0.0430,0.2032,0.0559,0.0294,0.0199,0.0088,0.0368,0.0637,0.0032,0.0874,0.0381,0.0574,-0.0059,0.0003,0.0305,0.2026,-0.2184,0.1042
25,EPS,1.03,1.54,1.07,3.29,1.55,3.27,2.56,-5.75,2.26,2.94,0.08,2.97,3.80,2.68,3.94,0.99,5.99,1.69,1.10,5.41,27.49,5.73,3.66,2.65,0.95,4.20,5.31,0.33,8.87,3.33,4.61,-0.47,0.02,1.84,8.42,-8.33,3.86
26,EPS Diluted,1.03,1.54,1.07,3.29,1.55,3.20,2.54,-5.75,2.20,2.79,0.08,2.82,3.67,2.63,3.89,0.98,5.93,1.67,1.10,5.31,26.85,5.64,3.60,2.63,0.95,4.18,5.17,0.33,8.57,3.00,4.48,-0.47,0.01,1.79,8.03,-8.39,3.59
27,Weighted Average Shares Outstanding,56774000,65082000,62054000,55866261,55612903,55688073,56640625,58382609,62920354,61000000,62000000,65000000,71000000,75746269,73604061,70707071,69616027,69230769,68181818,69870610,72899236,71029668,62841530,63018868,72000000,79000000,78000000,79000000,77000000,70000000,67000000,62000000,62000000,62000000,60000000,61000000,57000000
28,Weighted Average Shares Outstanding Diluted,56774000,65082000,62054000,55866261,55612903,56906250,57086614,58382609,64636364,72000000,63000000,77000000,76000000,77186312,74550129,71428571,70320405,70059880,68181818,71186441,74636872,72163121,63888889,63498099,73000000,79000000,80000000,80000000,80000000,78000000,69000000,64000000,62000000,64000000,63000000,61000000,61000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1674862/000167486216000008/0001674862-16-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1674862/000167486217000090/0001674862-17-000090-index.html,https://www.sec.gov/Archives/edgar/data/1674862/000156459018029786/0001564590-18-029786-index.html,https://www.sec.gov/Archives/edgar/data/1674862/000156459019044315/0001564590-19-044315-index.html,https://www.sec.gov/Archives/edgar/data/1674862/000156459020054890/0001564590-20-054890-index.htm,https://www.sec.gov/Archives/edgar/data/1674862/000095017021004843/0000950170-21-004843-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,173400000,295500000,46900000,139800000,70200000,80600000,70700000,53300000,41000000,40000000,52000000,77000000,268000000,34000000,110000000,67000000,236000000,90000000,223000000,243000000,987000000,1820000000,897000000,886000000,352000000,417000000,737000000,523000000,346000000,1393000000,1257000000,1188000000,566000000,294000000,232000000,454000000,210000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,403000000,349000000,155000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,173400000,295500000,46900000,139800000,70200000,80600000,70700000,53300000,41000000,40000000,52000000,77000000,268000000,34000000,110000000,67000000,236000000,90000000,223000000,243000000,1390000000,2169000000,1052000000,886000000,352000000,417000000,737000000,523000000,346000000,1393000000,1257000000,1188000000,566000000,294000000,232000000,454000000,210000000
34,Net Receivables,994600000,688400000,888500000,1023900000,1098600000,1205100000,1205500000,1258900000,1178300000,1323000000,1575000000,1716000000,1730000000,1110000000,1219000000,1243000000,1185000000,1089000000,1135000000,1290000000,1599000000,1401000000,1467000000,1469000000,1404000000,1608000000,1482000000,1481000000,1471000000,1202000000,961000000,894000000,612000000,681000000,481000000,471000000,369000000
35,Inventory,306600000,333000000,382300000,419100000,528000000,716500000,660100000,624400000,552400000,601000000,726000000,736000000,729000000,440000000,464000000,488000000,495000000,485000000,441000000,458000000,527000000,532000000,610000000,494000000,554000000,644000000,925000000,1008000000,899000000,765000000,706000000,671000000,634000000,663000000,597000000,529000000,473000000
36,Other Current Assets,121100000,205900000,232900000,128700000,80800000,141300000,182300000,173800000,201300000,207000000,222000000,211000000,268000000,244000000,266000000,333000000,297000000,261000000,286000000,311000000,241000000,148000000,147000000,183000000,163000000,164000000,243000000,197000000,157000000,201000000,324000000,113000000,91000000,74000000,123000000,93000000,665000000
37,Total Current Assets,1595700000,1522800000,1550600000,1711500000,1777600000,2143500000,2118600000,2110400000,1973000000,2171000000,2575000000,2740000000,2995000000,1828000000,2059000000,2131000000,2213000000,1925000000,2085000000,2302000000,3757000000,4250000000,3276000000,3032000000,2473000000,2833000000,3387000000,3209000000,2873000000,3561000000,3248000000,2866000000,1903000000,1712000000,1433000000,1547000000,1717000000
38,PP&E,1816000000,1847400000,1961300000,1940200000,2053100000,2264800000,2564400000,2747200000,2769900000,2816000000,3570000000,3715000000,3891000000,1161000000,1292000000,1422000000,1440000000,1417000000,1211000000,1256000000,1422000000,950000000,983000000,1112000000,2096000000,2018000000,2914000000,2832000000,2842000000,2414000000,2182000000,2224000000,1970000000,1899000000,1577000000,1702000000,1551000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,528000000,- -,- -,- -,- -,310000000,377000000,408000000,2220000000,2228000000,3291000000,3342000000,3366000000,2643000000,2486000000,2401000000,2465000000,2449000000,2253000000,1758000000,1430000000
40,Intangible Assets,50100000,52700000,74100000,80200000,62500000,69400000,64400000,70300000,64700000,80000000,107000000,120000000,120000000,207000000,220000000,537000000,- -,521000000,523000000,513000000,650000000,- -,- -,- -,1204000000,1113000000,2169000000,1973000000,1831000000,1332000000,1164000000,1085000000,1335000000,1240000000,1094000000,1019000000,1106000000
41,Intangible Assets,50100000,52700000,74100000,80200000,62500000,69400000,64400000,70300000,64700000,80000000,107000000,120000000,120000000,207000000,220000000,537000000,528000000,521000000,523000000,513000000,650000000,310000000,377000000,408000000,3424000000,3341000000,5460000000,5315000000,5197000000,3975000000,3650000000,3486000000,3800000000,3689000000,3347000000,2777000000,2536000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170000000,22000000,203000000,217000000,218000000,81000000,65000000,57000000,32000000,29000000,6000000,5000000,4000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,175000000,186000000,157000000,154000000,161000000,336000000,11000000,- -,- -,- -,- -,177000000,28000000,28000000,23000000,26000000,30000000
44,Other Non-Current Assets,465800000,381800000,472000000,522600000,562500000,640200000,701700000,740500000,744200000,748000000,740000000,694000000,771000000,2886000000,2853000000,2681000000,2764000000,2862000000,3187000000,3431000000,811000000,894000000,893000000,1065000000,1123000000,981000000,991000000,951000000,958000000,920000000,919000000,887000000,885000000,895000000,865000000,820000000,774000000
45,Total Non-Current Assets,2331900000,2281900000,2507400000,2543000000,2678100000,2974400000,3330500000,3558000000,3578800000,3644000000,4417000000,4529000000,4782000000,4254000000,4365000000,4640000000,4732000000,4800000000,4921000000,5200000000,3058000000,2340000000,2410000000,2739000000,6974000000,6698000000,9579000000,9315000000,9215000000,7390000000,6816000000,6831000000,6715000000,6540000000,5818000000,5330000000,4895000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3927600000,3804700000,4058000000,4254500000,4455700000,5117900000,5449100000,5668400000,5551800000,5815000000,6992000000,7269000000,7777000000,6082000000,6424000000,6771000000,6945000000,6725000000,7006000000,7502000000,6815000000,6590000000,5686000000,5771000000,9447000000,9531000000,12966000000,12524000000,12088000000,10951000000,10064000000,9697000000,8618000000,8252000000,7251000000,6877000000,6612000000
48,Accounts Payable,- -,- -,- -,- -,1320400000,1538400000,1579500000,1688100000,1418500000,1520000000,1778000000,2044000000,2045000000,1199000000,1135000000,1330000000,1392000000,1285000000,1371000000,1362000000,1520000000,1302000000,1141000000,1209000000,949000000,1043000000,911000000,877000000,885000000,674000000,573000000,541000000,409000000,483000000,313000000,233000000,236000000
49,Short-Term Debt,30500000,90700000,23800000,44900000,161200000,169800000,195500000,306200000,158900000,133000000,272000000,203000000,93000000,125000000,219000000,327000000,85000000,201000000,102000000,439000000,12000000,12000000,5000000,21000000,76000000,116000000,184000000,459000000,320000000,338000000,381000000,189000000,235000000,254000000,166000000,303000000,397000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,- -
52,Other Current Liabilities,1396600000,1119300000,1250200000,1444100000,33900000,97300000,47900000,51700000,41500000,35000000,44000000,32000000,123000000,37000000,42000000,42000000,20000000,25000000,11000000,14000000,13000000,727000000,6000000,- -,541000000,528000000,644000000,577000000,522000000,675000000,494000000,486000000,324000000,338000000,278000000,251000000,301000000
53,Total Current Liabilities,1427100000,1210000000,1274000000,1489000000,1515500000,1805500000,1822900000,2046000000,1618900000,1688000000,2094000000,2279000000,2261000000,1361000000,1396000000,1699000000,1497000000,1511000000,1484000000,1815000000,1545000000,2041000000,1152000000,1230000000,1566000000,1687000000,1739000000,1913000000,1727000000,1687000000,1448000000,1216000000,968000000,1075000000,757000000,813000000,934000000
54,Long-Term Debt,616000000,799100000,789900000,842100000,1073800000,1235200000,1336600000,1444700000,1399500000,1391000000,1828000000,1784000000,1639000000,1507000000,1627000000,1899000000,1786000000,1606000000,1512000000,1109000000,82000000,70000000,64000000,45000000,1537000000,1108000000,3648000000,3131000000,2947000000,2942000000,3348000000,3055000000,2584000000,2275000000,1501000000,1573000000,1706000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,380200000,461500000,430000000,326600000,279300000,323800000,312100000,59000000,43900000,30000000,49000000,64000000,- -,- -,226000000,288000000,440000000,256000000,291000000,367000000,- -,- -,- -,- -,- -,145000000,404000000,208000000,401000000,110000000,89000000,69000000,375000000,279000000,264000000,229000000,237000000
57,Other Non-Current Liabilities,574900000,363100000,498700000,475800000,446600000,473400000,534000000,1032700000,1034700000,1111000000,1366000000,1154000000,1580000000,1077000000,975000000,920000000,996000000,1179000000,1466000000,1505000000,1449000000,1383000000,1316000000,1294000000,2760000000,2788000000,3040000000,3163000000,2460000000,2629000000,2142000000,2192000000,1285000000,1217000000,1158000000,1226000000,983000000
58,Total Non-Current Liabilities,1571100000,1623700000,1718600000,1644500000,1799700000,2032400000,2182700000,2536400000,2478100000,2532000000,3243000000,3002000000,3219000000,2584000000,2828000000,3107000000,3222000000,3041000000,3269000000,2981000000,1531000000,1453000000,1380000000,1339000000,4297000000,4041000000,7092000000,6582000000,5808000000,5681000000,5579000000,5316000000,4244000000,3771000000,2923000000,3028000000,2926000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000000,133000000
61,Total Liabilities,2998200000,2833700000,2992600000,3133500000,3315200000,3837900000,4005600000,4582400000,4097000000,4220000000,5337000000,5281000000,5480000000,3945000000,4224000000,4806000000,4719000000,4552000000,4753000000,4796000000,3076000000,3494000000,2532000000,2569000000,5863000000,5728000000,8831000000,8495000000,7535000000,7368000000,7027000000,6532000000,5212000000,4846000000,3680000000,3841000000,3860000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,70000000,69000000,68000000,68000000,72000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,690600000,231300000,906700000,1078700000,1109700000,1236300000,1325100000,931000000,1009300000,1126000000,1063000000,1185000000,1379000000,1501000000,1710000000,1579000000,1920000000,1961000000,1961000000,2262000000,3251000000,2899000000,3040000000,3138000000,3185000000,3482000000,3200000000,3163000000,3758000000,3475000000,3281000000,2704000000,2696000000,2750000000,3224000000,2649000000,2796000000
65,Other Comprehensive Income/Loss,-1503600000,-1714100000,-1982300000,-2106200000,-2293300000,-2431800000,-2601700000,-2817800000,-2935000000,-3082000000,-3508000000,-3659000000,-3580000000,-1252000000,-1357000000,-1457000000,-1590000000,-1701000000,-126000000,-106000000,-118000000,-44000000,97000000,30000000,-123000000,-345000000,307000000,218000000,288000000,107000000,-291000000,-281000000,-222000000,-291000000,-410000000,-383000000,-372000000
66,Other Total Stockholders Equity,1742400000,2453800000,2141000000,2148500000,2324100000,2475500000,2720100000,2972800000,3380500000,3551000000,4100000000,4462000000,4498000000,1888000000,1775000000,1773000000,1827000000,1845000000,350000000,478000000,605000000,240000000,16000000,33000000,521000000,665000000,627000000,647000000,506000000,- -,46000000,923000000,931000000,946000000,756000000,769000000,- -
67,Total Stockholders Equity,929400000,971000000,1065400000,1121000000,1140500000,1280000000,1443500000,1086000000,1454800000,1595000000,1655000000,1988000000,2297000000,2137000000,2200000000,1965000000,2226000000,2173000000,2253000000,2706000000,3739000000,3096000000,3154000000,3202000000,3584000000,3803000000,4135000000,4029000000,4553000000,3583000000,3037000000,3347000000,3406000000,3406000000,3571000000,3036000000,2752000000
68,Total Liabilities And Stockholders Equity,3927600000,3804700000,4058000000,4254500000,4455700000,5117900000,5449100000,5668400000,5551800000,5815000000,6992000000,7269000000,7777000000,6082000000,6424000000,6771000000,6945000000,6725000000,7006000000,7502000000,6815000000,6590000000,5686000000,5771000000,9447000000,9531000000,12966000000,12524000000,12088000000,10951000000,10064000000,9879000000,8618000000,8252000000,7251000000,6877000000,6612000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-182000000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,3927600000,3804700000,4058000000,4254500000,4455700000,5117900000,5449100000,5668400000,5551800000,5815000000,6992000000,7269000000,7777000000,6082000000,6424000000,6771000000,6945000000,6725000000,7006000000,7502000000,6815000000,6590000000,5686000000,5771000000,9447000000,9531000000,12966000000,12524000000,12088000000,10951000000,10064000000,9697000000,8618000000,8252000000,7251000000,6877000000,6612000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1674862/000167486216000008/0001674862-16-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1674862/000167486217000090/0001674862-17-000090-index.html,https://www.sec.gov/Archives/edgar/data/1674862/000156459018029786/0001564590-18-029786-index.html,https://www.sec.gov/Archives/edgar/data/1674862/000156459019044315/0001564590-19-044315-index.html,https://www.sec.gov/Archives/edgar/data/1674862/000156459020054890/0001564590-20-054890-index.htm,https://www.sec.gov/Archives/edgar/data/1674862/000095017021004843/0000950170-21-004843-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,86200000,182100000,145000000,-335700000,142200000,197000000,24000000,211000000,279000000,203000000,290000000,70000000,417000000,117000000,75000000,378000000,2004000000,407000000,230000000,167000000,71000000,332000000,414000000,26000000,683000000,233000000,309000000,-29000000,1000000,114000000,505000000,-508000000,220000000
74,Depreciation and Amortization,- -,- -,- -,- -,279200000,269400000,278600000,302100000,304600000,308000000,487000000,402000000,572000000,181000000,228000000,237000000,250000000,220000000,204000000,193000000,193000000,111000000,133000000,145000000,329000000,304000000,299000000,430000000,425000000,393000000,341000000,337000000,301000000,312000000,289000000,247000000,244000000
75,Deferred Income Tax,- -,- -,- -,- -,14200000,-22200000,2000000,-146400000,28900000,2000000,-73000000,-6000000,3000000,60000000,102000000,111000000,157000000,-119000000,71000000,125000000,-535000000,-1000000,22000000,44000000,12000000,9000000,-57000000,-154000000,194000000,-294000000,-57000000,-23000000,-30000000,-97000000,20000000,-43000000,-26000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,14000000,16000000,28000000,30000000,34000000,30000000,30000000,20000000,28000000,21000000,14000000,15000000
77,Change in Working Capital,- -,- -,- -,- -,-312400000,75900000,-42300000,-231300000,289700000,128900000,-2000000,-20000000,273000000,-267000000,196000000,-231000000,284000000,-302000000,187000000,-114000000,1725000000,-3000000,-85000000,-322000000,-895000000,239000000,502000000,-352000000,-150000000,728000000,-74000000,-150000000,-715000000,-298000000,39000000,58000000,80000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405000000,-202000000,-40000000,20000000,12000000,-16000000,261000000,55000000,-64000000,-70000000,38000000,7000000,72000000
79,Inventory,- -,- -,- -,- -,-106600000,-192700000,94400000,64900000,67400000,-45000000,-63000000,-3000000,17000000,-21000000,-26000000,- -,5000000,11000000,15000000,-14000000,-82000000,-56000000,-74000000,126000000,147000000,-119000000,-133000000,-105000000,106000000,-4000000,39000000,44000000,-23000000,-29000000,-4000000,65000000,41000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65000000,-111000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,262100000,338000000,295700000,64400000,354100000,483000000,481000000,461000000,734000000,467000000,663000000,432000000,716000000,414000000,601000000,487000000,2212000000,2209000000,2124000000,1802000000,907000000,1146000000,1648000000,1296000000,1146000000,1874000000,1800000000,1650000000,935000000,637000000,676000000,734000000,-36000000
