,https://roic.ai/company/KT,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3887896586918,4406002260115,5357774955000,1771353486600,2368801897178,6737500000000,10837000000000,12634251028617,11135552170563,12818299652643,14089569000000,13747236000000,14265310000000,8169085000000,17431785000000,13899056000000,14985178000000,12564362000000,12776029000000,13086831000000,12750307000000,13535754000000,13630201000000,13213878000000
11,COGS and Expenses,9332549928460,10984484699019,12486725632500,14007884397000,14054922889646,14940000000000,14092000000000,14569101633857,14667169298133,16924313706292,18216781000000,18682661000000,19156231000000,15365290000000,22709842000000,23734497000000,24389781000000,21622788000000,21781098000000,22477837000000,22335190000000,23879015000000,23418314000000,23252649000000
12,Interest Income ,172150411045,- -,126422250000,132720105450,123131672556,121250000000,113000000000,86939142630,107069989917,155950374862,151563000000,197404000000,143165000000,151288000000,202820000000,108794000000,80840000000,70035000000,115686000000,93078000000,244796000000,282704000000,270571000000,273460000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,481629000000,505889000000,529364000000,158801000000,472491000000,450302000000,501052000000,385925000000,337219000000,302464000000,296874000000,268225000000,263579000000,263389000000
14,Depreciation and Amortization,3092596940534,2828652318491,3472819207500,4011826553850,3796915775696,3940000000000,3668000000000,3600379735421,3450989078493,3658060869178,3702900000000,3361466000000,3285459000000,2991733000000,3307546000000,3620748000000,3854764000000,3640006000000,3421500000000,3437681000000,3364939000000,3680515000000,3667635000000,3647354000000
15,EBITDA,3383196235083,4322423551261,5010113767500,5546649159450,6485053378578,5350000000000,5465000000000,5057459779890,5150625372453,5071886714872,4865678000000,4584813000000,5354671000000,4913820000000,5116602000000,3930698000000,3059241000000,4799423000000,4795395000000,4472360000000,4621949000000,4917909000000,4917452000000,5786637000000
16,EBITDA ratio,0.3412,0.3679,0.3701,0.3477,0.3956,0.3175,0.3315,0.2980,0.3041,0.2717,0.2477,0.2333,0.2510,0.2235,0.2082,0.1634,0.1289,0.2114,0.2074,0.1899,0.1972,0.1975,0.2012,0.2324
17,Operating Income,582843712480,765232162231,1050568897500,1943495405550,2338078291020,1911250000000,2396000000000,2404816629185,2269404765573,1746328655388,1427762000000,966459000000,2175082000000,1973721000000,1684933000000,323384000000,-662403000000,1077068000000,1339780000000,1069092000000,1100860000000,1020174000000,1022333000000,1671824000000
18,Operating Income ratio,0.0588,0.0651,0.0776,0.1218,0.1426,0.1134,0.1453,0.1417,0.1340,0.0935,0.0727,0.0492,0.1020,0.0898,0.0686,0.0134,-0.0279,0.0474,0.0579,0.0454,0.0470,0.0410,0.0418,0.0671
19,Total Other Income Expenses (Gains),-292244417931,-337146092491,486725662500,-408672799950,350059311862,-501250000000,-455000000000,-676026781485,-361926726480,-297747191642,-746613000000,-251396000000,-613309000000,-375835000000,-262431000000,-361550000000,-545345000000,-366327000000,-216349000000,-252095000000,-66883000000,-840000000,9272000000,306587000000
20,Income Before Tax,290599294549,428086069740,1537294560000,1534822605600,2688137602882,1410000000000,1941000000000,1728789847700,1907478039093,1448581463745,681149000000,715063000000,1561773000000,1597886000000,1422502000000,-38166000000,-1207748000000,710741000000,1123431000000,816997000000,1033977000000,1019334000000,1031605000000,1978411000000
21,Income Before Tax Ratio,0.0293,0.0364,0.1136,0.0962,0.1640,0.0837,0.1177,0.1018,0.1126,0.0776,0.0347,0.0364,0.0732,0.0727,0.0579,-0.0016,-0.0509,0.0313,0.0486,0.0347,0.0441,0.0409,0.0422,0.0795
22,Income Tax expense (Gain),100235017489,45979614898,551201010000,421813404450,741281138538,548750000000,558000000000,416308584134,467399980839,357000937086,167859000000,107763000000,371843000000,316735000000,279518000000,49579000000,-266335000000,227131000000,328314000000,270656000000,314565000000,320060000000,285349000000,519016000000
23,Net Income,190364277060,1447791617872,986093550000,1113009201150,1946856464344,861250000000,1239000000000,1040771460335,1232236313121,1056824908608,513290000000,609695000000,1168005000000,1446551000000,1057047000000,-189931000000,-1030240000000,546361000000,708362000000,461559000000,645571000000,649109000000,700889000000,1356878000000
24,Net Income ratio,0.0192,0.1232,0.0728,0.0698,0.1188,0.0511,0.0751,0.0613,0.0728,0.0566,0.0261,0.0310,0.0548,0.0658,0.0430,-0.0079,-0.0434,0.0241,0.0306,0.0196,0.0275,0.0261,0.0287,0.0545
25,EPS,329.02,4801.81,1579.52,1783.26,3752.60,1994.33,2938.56,2457.60,2935.46,2556.76,1112.15,1061.90,2409.18,2973.00,2128.40,-333.00,-1850.17,1129.00,1452.00,973.00,1404.50,1263.00,1342.00,2879.50
26,EPS Diluted,329.02,4801.81,1579.52,1783.26,3301.03,1737.83,2751.64,2454.63,2932.12,2556.76,1112.15,1061.90,2409.18,2973.00,2128.40,-334.50,-1850.17,1129.00,1451.00,972.50,1404.50,1262.00,1341.50,2873.50
27,Weighted Average Shares Outstanding,575834000,604708000,624399318,498134942,518900000,431848345,421634656,423491821,419776740,413344791,411629662,427673454,486431688,486536104,522223616,487474862,522223616,489708728,489784626,490034350,490098932,490342566,490414614,470403564
28,Weighted Average Shares Outstanding Diluted,575834000,604708000,624399318,624399318,600194000,495589327,450276517,424003526,420254697,413344791,411629662,435538356,486431688,486602024,522223616,487474862,522223616,489710936,489953116,490194110,490101258,490483100,490553810,471371084
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/892450/000119312504109088/0001193125-04-109088-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000114554905001159/0001145549-05-001159-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312506135677/0001193125-06-135677-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312507143616/0001193125-07-143616-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312508143576/0001193125-08-143576-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000095012309018365/0000950123-09-018365-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312510149116/0001193125-10-149116-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312511176690/0001193125-11-176690-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312512188247/0001193125-12-188247-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312513180088/0001193125-13-180088-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312514162033/0001193125-14-162033-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312515155604/0001193125-15-155604-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312516566595/0001193125-16-566595-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312517145082/0001193125-17-145082-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312518141554/0001193125-18-141554-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312519127310/0001193125-19-127310-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312520124602/0001193125-20-124602-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,644535839305,670668175926,701643487500,1169513800500,1086595491920,797500000000,1696000000000,1530228840337,1744167474522,1385768729530,1890918000000,1538122000000,1193348000000,1445169000000,2054696000000,2070869000000,1888663000000,2559464000000,2900311000000,1928182000000,2703422000000,2305894000000,2634624000000,3019592000000
32,Short-Term Investments,300470034841,264212910239,506953222500,1137976349700,1253499406454,425000000000,1207000000000,896172679432,522930895245,460430712587,618847000000,444222000000,166200000000,253625000000,244979000000,480062000000,332708000000,292943000000,720555000000,972631000000,994780000000,868388000000,1202840000000,1185659000000
33,Cash and Short-Term Investments,945005874146,934881086165,1208596710000,2307490150200,2340094898374,1222500000000,2903000000000,2426401519769,2267098369767,1846199442116,2509765000000,1982344000000,1359548000000,1698794000000,2299675000000,2550931000000,2221371000000,2852407000000,3620866000000,2900813000000,3698202000000,3174282000000,3837464000000,4205251000000
34,Net Receivables,1311633370706,1711438276696,2407079640000,3140604475500,3494780544482,3115000000000,3051000000000,2712101529860,2857376909623,3093147946632,3712810000000,4614291000000,5271298000000,7105647000000,6886358000000,6407774000000,5783966000000,4857513000000,5329431000000,5823313000000,5684395000000,5926816000000,4904530000000,5093444000000
35,Inventory,172502937484,221177802699,164348925000,122207621850,244246737758,382500000000,362000000000,356250624685,226204204050,299273408874,424841000000,699402000000,655831000000,674727000000,934870000000,673618000000,418883000000,616911000000,454588000000,642027000000,1074634000000,791677000000,534636000000,514145000000
36,Other Current Assets,517038777200,961155151821,207332490000,160315374900,281376037864,242500000000,261000000000,571000299986,353480882453,407371723710,426410000000,675812000000,785954000000,311491000000,361942000000,339596000000,349615000000,316904000000,311135000000,312090000000,1700583000000,2083910000000,1877550000000,2045510000000
37,Total Current Assets,2946180959536,3828652317381,3987357765000,5730617622450,6360498218478,4962500000000,6577000000000,6065753974300,5704160365893,5645992521333,7073826000000,7971849000000,8072631000000,9790659000000,10482845000000,9971919000000,8773835000000,8643735000000,9716020000000,9678243000000,12157814000000,11976685000000,11154180000000,11858350000000
38,PP&E,13520446514967,14174745171129,17436156720000,17147174812050,16851720041720,17172500000000,15187000000000,14927250929473,14468641843755,15296653590481,15188631000000,14774560000000,15227858000000,14022695000000,15734420000000,16386964000000,16468196000000,14478914000000,14312111000000,13562319000000,13068257000000,14573796000000,15423298000000,15713194000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,613244728900,1697755694303,1656032775046,228394000000,85315000000,39612000000,449395000000,598027000000,592339000000,579748000000,342341000000,253486000000,168880000000,236058000000,235570000000,230085000000,696872000000
40,Intangible Assets,242420681219,303850509289,1984829325000,- -,- -,- -,1032000000000,1504567803054,465545993441,427686330495,1598499000000,1548177000000,1514433000000,2194090000000,2614566000000,3235054000000,2964285000000,2257410000000,2769317000000,2463824000000,3171065000000,2598467000000,1931173000000,2750461000000
41,Intangible Assets,242420681219,303850509289,1984829325000,- -,- -,- -,1032000000000,2117812531955,2163301687744,2083719105541,1826893000000,1633492000000,1554045000000,2643485000000,3212593000000,3827393000000,3544033000000,2599751000000,3022803000000,2632704000000,3407123000000,2834037000000,2161258000000,3447333000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,460031000000,498612000000,508574000000,1150883000000,1082965000000,1036548000000,1043540000000,928352000000,948801000000,1034423000000,895583000000,1089318000000,1102228000000,2110808000000
43,Tax Assets,- -,- -,800252842500,- -,- -,- -,361000000000,133726391572,39765811997,91480337273,235514000000,113266000000,185724000000,529856000000,610762000000,706977000000,1078792000000,845397000000,701409000000,712222000000,465369000000,424856000000,433698000000,423728000000
44,Other Non-Current Assets,2440305519571,8047791610546,4184576475000,7145860727100,5836417554362,4667500000000,2416000000000,1132991906055,728184154623,1022693822393,1353709000000,1628538000000,2164627000000,3947831000000,3355914000000,2920316000000,2890879000000,1908576000000,1963154000000,2125528000000,2479974000000,3254716000000,3387883000000,3605928000000
45,Total Non-Current Assets,16203172715757,22526387290964,24405815362500,24293035539150,22688137596082,21840000000000,18996000000000,18311781759054,17399893498119,18494546855688,19064778000000,18648468000000,19640828000000,22294750000000,23996654000000,24878198000000,25025440000000,20760990000000,20948278000000,20067196000000,20316306000000,22176723000000,22508365000000,25300991000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19149353675293,26355039608345,28393173127500,30023653161600,29048635814560,26802500000000,25573000000000,24377535733354,23104053864012,24140539377021,26138604000000,26620317000000,27713459000000,32085409000000,34479499000000,34850117000000,33799275000000,29404725000000,30664298000000,29745439000000,32474120000000,34153408000000,33662545000000,37159341000000
48,Accounts Payable,654994123662,1007248017002,1304677620000,1061760843600,1485409252164,1293750000000,1085000000000,2283501549699,1629202514346,2463566484624,2309691000000,3923617000000,3151451000000,1635361000000,1822895000000,1716686000000,1200032000000,1290373000000,1235955000000,1399287000000,1236489000000,1304795000000,1239717000000,1537148000000
49,Short-Term Debt,1593066977841,919592297960,3041719335000,2842312753350,4129537365144,4013750000000,5842000000000,1305785950283,2203583777571,1447335209061,1714266000000,2057051000000,2903695000000,2158593000000,3200676000000,3040193000000,2975799000000,1787273000000,1820001000000,1573474000000,1368481000000,1185725000000,1418114000000,1731422000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151794000000,12942000000,287843000000,- -,142969000000,99848000000,45799000000,81114000000,88739000000,68880000000,249837000000,66266000000,232225000000,266430000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,5044797288,7811797769,9170000000,9251000000,14665000000,167907000000,170682000000,143601000000,143530000000,98427000000,35617000000,17906000000,52878000000,53473000000,60252000000,64742000000
52,Other Current Liabilities,1100470033745,2826047561982,2892541080000,2157687258900,1312811387454,896250000000,1124000000000,1180973319082,1333995383157,1162781837671,1207901000000,951304000000,1359819000000,4783264000000,6053061000000,6323636000000,5667786000000,5523315000000,6431564000000,6467437000000,6736275000000,7567462000000,6474389000000,6739120000000
53,Total Current Liabilities,3348531135248,4752887876944,7238938035000,6061760855850,6927758004762,6203750000000,8051000000000,4770260819064,5171826472362,5081495329125,5241028000000,6941223000000,7429630000000,8745125000000,11247314000000,11224116000000,9987147000000,8699388000000,9523137000000,9458104000000,9394123000000,10111455000000,9192472000000,10072432000000
54,Long-Term Debt,3172737951000,2955152884602,5319848280000,6515111711100,9876986948006,9491250000000,6748000000000,7282402320875,5815488317298,5976851136266,8381259000000,7823050000000,7415804000000,8976156000000,8264347000000,8511910000000,9894593000000,7003821000000,6300790000000,5110188000000,5279812000000,6113142000000,5898184000000,6706281000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,160981000000,157395000000,147837000000,147439000000,95916000000,85372000000,91698000000,110702000000,99180000000,149050000000,194309000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1897003749,2734000000,1065000000,2657000000,124437000000,134978000000,169498000000,143964000000,129650000000,137680000000,128462000000,204785000000,425468000000,429331000000,643958000000
57,Other Non-Current Liabilities,6733137476087,4308833517301,3461441205000,3681997380900,2624673783212,2301250000000,2055000000000,2084440892091,1913155321077,1936226595865,1425685000000,1187540000000,1369696000000,1540901000000,1510953000000,1959340000000,1838575000000,1319819000000,1834601000000,1907857000000,2826208000000,2260073000000,2442075000000,2975200000000
58,Total Non-Current Liabilities,9905875427087,7263986401903,8781289485000,10197109092000,12501660731218,11792500000000,8803000000000,9366843212966,7728643638375,7914974735881,9809678000000,9011655000000,8788157000000,10802475000000,10067673000000,10788585000000,12024571000000,8549206000000,8358443000000,7238205000000,8421507000000,8897863000000,8918640000000,10519748000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6777000000,6155000000,- -,136197000000,41646000000,68210000000,55007000000,156197000000,- -,- -,- -,- -,- -,- -
61,Total Liabilities,13254406562335,12016874278847,16020227520000,16258869947850,19429418735980,17996250000000,16854000000000,14137104032030,12900470110737,12996470065006,15050706000000,15952878000000,16217787000000,19547600000000,21314987000000,22012701000000,22011718000000,17248594000000,17881580000000,16696309000000,17815630000000,19009318000000,18111112000000,20592180000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1402702700781,1556172138703,1561314787500,1561103814600,1560972715958,1637500000000,1508000000000,1544418907295,1488955907835,1561881089454,1560998000000,1564499000000,1564499000000,1564499000000,1564499000000,1564499000000,1564499000000,1564499000000,1564499000000,1564499000000,1564499000000,1564499000000,1564499000000,1564499000000
64,Retained Earnings,3400352521781,4833295577874,5605562565000,6498028925250,8061209961672,8057500000000,8050000000000,8660137906438,8966202403356,9849345526499,9814115000000,9573769000000,9364731000000,10219633000000,10646383000000,10019389000000,8568399000000,9049971000000,9644483000000,9826926000000,11256069000000,11594322000000,12155420000000,13287390000000
65,Other Comprehensive Income/Loss,-17312573419290,-18795243467246,-20821744575000,-22153745126550,725148279706,-27500000000,9000000000,-30478664945,5588574453,142322098,10879000000,-44542000000,-82647000000,-22865000000,1325000000,24538000000,25790000000,13870000000,-1432000000,30985000000,50158000000,194934000000,86051000000,117469000000
66,Other Total Stockholders Equity,18404465309686,26743941080167,26027812830000,27859395600450,-2664056938596,-2801250000000,-2596000000000,-2425202359181,-2419675323087,-2544590829365,-2554103000000,-717159000000,187243000000,-57031000000,96972000000,119315000000,179549000000,207395000000,222324000000,234956000000,259175000000,270175000000,205474000000,7178000000
67,Total Stockholders Equity,5894947112958,14338165329498,12372945607500,13764783213750,7683274018740,6866250000000,6971000000000,7748875789607,8041071562557,8866778108685,8831889000000,10376567000000,11033826000000,11704236000000,12309179000000,11727741000000,10338237000000,10835735000000,11429874000000,11657366000000,13129901000000,13623930000000,14011444000000,14976536000000
68,Total Liabilities And Stockholders Equity,19149353675293,26355039608345,28393173127500,30023653161600,27112692754720,24862500000000,23825000000000,21885979821637,20941541673294,21863248173691,23882595000000,26329445000000,27251613000000,31251836000000,33624166000000,33740442000000,32349955000000,28084329000000,29311454000000,28353675000000,30945531000000,32633248000000,32122556000000,35568716000000
69,Minority Interest,- -,- -,- -,- -,1935943059840,1940000000000,1748000000000,2491555911717,2162512190718,2277291203330,2256009000000,290872000000,461846000000,833573000000,855333000000,1109675000000,1449320000000,1320396000000,1352844000000,1391764000000,1528589000000,1520160000000,1539989000000,1590625000000
70,Total Liabilities & Equity,19149353675293,26355039608345,28393173127500,30023653161600,29048635814560,26802500000000,25573000000000,24377535733354,23104053864012,24140539377021,26138604000000,26620317000000,27713459000000,32085409000000,34479499000000,34850117000000,33799275000000,29404725000000,30664298000000,29745439000000,32474120000000,34153408000000,33662545000000,37159341000000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/892450/000119312504109088/0001193125-04-109088-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000114554905001159/0001145549-05-001159-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312506135677/0001193125-06-135677-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312507143616/0001193125-07-143616-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312508143576/0001193125-08-143576-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000095012309018365/0000950123-09-018365-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312510149116/0001193125-10-149116-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312511176690/0001193125-11-176690-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312512188247/0001193125-12-188247-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312513180088/0001193125-13-180088-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312514162033/0001193125-14-162033-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312515155604/0001193125-15-155604-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312516566595/0001193125-16-566595-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312517145082/0001193125-17-145082-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312518141554/0001193125-18-141554-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312519127310/0001193125-19-127310-index.htm,https://www.sec.gov/Archives/edgar/data/892450/000119312520124602/0001193125-20-124602-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,190364277060,1447791617872,986093550000,1113009201150,1946856464344,861250000000,1239000000000,1040771460335,1232236313121,1056824908608,513290000000,609695000000,1168005000000,1446551000000,1057047000000,-189931000000,-1030240000000,546361000000,708362000000,461559000000,645571000000,649109000000,700889000000,1356878000000
74,Depreciation and Amortization,3092596940534,2828652318491,3472819207500,4011826553850,3796915775696,3940000000000,3668000000000,3600379735421,3450989078493,3658060869178,3702900000000,3361466000000,3285459000000,2991733000000,3307546000000,3620748000000,3854764000000,3640006000000,3421500000000,3437681000000,3364939000000,3680515000000,3667635000000,3647354000000
75,Deferred Income Tax,- -,- -,517067002500,202365309300,148991696272,48750000000,103000000000,16388528036,32289541284,- -,- -,- -,- -,316735000000,279518000000,49579000000,-266335000000,346146000000,328314000000,270656000000,314565000000,320060000000,285349000000,519016000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1922000000,1049000000,6969000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-602820210690,-43941109804,-1651074585000,-1613666232600,-999051007964,-2677500000000,-855000000000,444888578148,251663265447,-1068764047210,-2141830000000,-1884191000000,-1929216000000,-1967590000000,2127180000000,370166000000,-614351000000,-508330000000,-517000000,-275864000000,-408495000000,-1050336000000,-470441000000,273004000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-608206000000,- -,-80505000000,-1412493000000,1839725000000,938495000000,13008000000,112674000000,252196000000,-303340000000,-81217000000,-433292000000,66462000000,327031000000
79,Inventory,131727379373,-44733861785,-104930467500,-178712221200,-275800711650,-207500000000,-15000000000,32077545729,154705934064,-65143258565,-131305000000,-274851000000,36850000000,32113000000,-287579000000,169567000000,301210000000,-270343000000,167873000000,-205403000000,-480543000000,240488000000,288507000000,32798000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-417489000000,645925000000,-262585000000,98761000000,177577000000,-145363000000,-417944000000,81295000000,-114838000000,162110000000,-167841000000,44354000000,-135760000000,289044000000
81,Other Working Capital,- -,48810871973,51833122500,- -,98339264498,215000000000,219000000000,-199660237902,-199148407095,-675217229896,-477308000000,-1497709000000,-895669000000,-151745000000,66137000000,-216976000000,27388000000,-91484000000,-81762000000,-25660000000,134147000000,-11523000000,316000000,-972000000
82,Other Non-Cash Items,-37955346599,-1314949035913,-673830592500,-82785808350,-67141162492,1173750000000,404000000000,872589187868,527454979326,620855806560,842460000000,1309514000000,713315000000,-637120000000,-1049893000000,260511000000,-27425000000,205782000000,313091000000,-16283000000,93884000000,145825000000,556395000000,-234418000000
83,Cash Provided by Operating Activities,2642185660305,2917553790646,2651074582500,3630749023350,4826571765856,3346250000000,4559000000000,5975017489808,5494633177671,4266977537136,2918742000000,3397533000000,3244532000000,2150309000000,5721398000000,4111073000000,1916413000000,4229965000000,4770750000000,3877749000000,4010464000000,3745173000000,4739827000000,5561834000000
84,CAPEX,-3619858984465,-3071687425809,-4582806562500,-4412614991100,-3232147092614,-3366250000000,-2870000000000,-2840411712776,-3555131719887,-329474719800,-3552241000000,-2989541000000,-3591429000000,-3685225000000,-4805075000000,-3638152000000,-3431246000000,-3515105000000,-3220109000000,-3055779000000,-3007092000000,-3800349000000,-3724484000000,-4251463000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-189102060326,-55655000000,- -,- -,246260000000,-65195000000,-7194000000,-6277000000,713845000000,-54055000000,15064000000,-52876000000,-13050000000,-314405000000,-1108967000000
86,Purchases of Investments,- -,- -,-111251580000,-352168200600,-361565836176,-342500000000,-1377000000000,-608673928459,-183890711763,-1208264047505,-1251982000000,-855565000000,-455632000000,-446371000000,-1110658000000,-715945000000,-505680000000,-440484000000,-641647000000,-1320944000000,-423815000000,-1310092000000,-1294414000000,-1509505000000
87,Sales/Maturities of Investments,- -,- -,525916560000,792378451350,304626334416,1016250000000,584000000000,1043369641609,589284128433,1402957868143,1180910000000,886963000000,694712000000,306539000000,476762000000,420731000000,729832000000,649331000000,329074000000,792115000000,654988000000,1142785000000,1408466000000,1545300000000
88,Other Investing Activites,-436075205043,-273046432313,-1318584067500,55190538900,-775563463556,1140000000000,168000000000,-90536624394,229220260104,-3127426036593,-42166000000,-127402000000,-435674000000,453912000000,1132942000000,-391990000000,-535964000000,-208832000000,-353984000000,-527257000000,-621548000000,-437541000000,-347727000000,-565020000000
89,Cash Used for Investing Activites,-4055934189508,-3344733858122,-5486725650000,-3917214201450,-4064650057930,-1552500000000,-3495000000000,-2496252624020,-2920518043113,-3451308996081,-3531362000000,-2870430000000,-3435990000000,-2647997000000,-3844381000000,-3782583000000,-3170958000000,-2401868000000,-3484958000000,-3483245000000,-2704130000000,-3887472000000,-3761470000000,-5137474000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2589830000000,-2936378000000,- -,-6072755000000,-4767923000000,-5963181000000,-8809383000000,-6794352000000,-1844531000000,-1851909000000,-1686616000000,-1862838000000,-2075138000000,-2393740000000
91,Common Stock Issued,3055229138,1558097393514,- -,- -,- -,41250000000,- -,557809533518,- -,- -,- -,- -,- -,- -,11369000000,- -,34053000000,- -,- -,- -,- -,- -,- -,- -
