,https://roic.ai/company/MRNS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-1408545,-5269855,-10833000,-24850000,-28643000,-18898000,-36726000,-54121000,-67475000,- -
24,Net Income ratio,-14.0854,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-39.2753,- -
25,EPS,-1.78,-2.84,-8.68,-6.68,-5.88,-3.20,-3.60,-3.96,-2.80,-2.69
26,EPS Diluted,-1.78,-2.84,-8.68,-6.68,-5.88,-3.20,-3.60,-3.96,-2.80,-2.69
27,Weighted Average Shares Outstanding,2015864,1852205,1538167,3729945,4874535,5885184,10223851,13628194,27270055,36697171
28,Weighted Average Shares Outstanding Diluted,2015864,1852205,1538167,3729945,4874535,5885184,10223851,13628194,27270055,36697171
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1267813/000110465915019211/a15-2993_110k.htm,https://www.sec.gov/Archives/edgar/data/1267813/000155837016003873/0001558370-16-003873-index.html,https://www.sec.gov/Archives/edgar/data/1267813/000155837017001650/0001558370-17-001650-index.html,https://www.sec.gov/Archives/edgar/data/1267813/000155837018001587/0001558370-18-001587-index.html,https://www.sec.gov/Archives/edgar/data/1267813/000155837019001860/0001558370-19-001860-index.html,https://www.sec.gov/Archives/edgar/data/1267813/000155837020002792/0001558370-20-002792-index.html,https://www.sec.gov/Archives/edgar/data/1267813/000155837021002646/0001558370-21-002646-index.htm,https://www.sec.gov/Archives/edgar/data/1267813/000155837022004279/0001558370-22-004279-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,8633775,10037123,49720000,51722000,26178000,33531000,67727000,90943000,138509000,122927000
32,Short-Term Investments,- -,- -,- -,4474000,3922000,19861000,4998000,739000,1474000,- -
33,Cash and Short-Term Investments,8633775,10037123,49720000,56196000,30100000,53392000,72725000,91682000,139983000,122927000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,1646000,2629000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,31261,1761379,428000,1571000,199000,978000,1215000,2452000,4638000,6122000
37,Total Current Assets,8665036,11798502,50148000,57767000,30299000,54370000,73940000,94134000,146267000,131678000
38,PP&E,8734,16063,44000,31000,1148000,1338000,1294000,2265000,1945000,2499000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,1488000,- -,4964000,- -,- -,1474000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,8330,9380,21000,376000,- -,- -,- -,2443000,776000,2663000
45,Total Non-Current Assets,17064,25443,65000,1895000,1148000,6302000,1294000,4708000,4195000,5162000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8682100,11823945,50213000,59662000,31447000,60672000,75234000,98842000,150462000,136840000
48,Accounts Payable,115065,77782,536000,3146000,2809000,927000,2472000,2763000,2211000,3126000
49,Short-Term Debt,- -,- -,- -,2128000,3500000,- -,- -,- -,3500000,40809000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,4384877,2287988,1503000,2161000,1775000,1617000,4437000,5268000,5018000,-3369000
53,Total Current Liabilities,4499942,2365770,2039000,7435000,8084000,2544000,6909000,8031000,10729000,40566000
54,Long-Term Debt,- -,- -,7000000,5250000,1743000,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,20000,56000,141000,120000,- -,3042000,2534000,42788000
58,Total Non-Current Liabilities,- -,- -,7020000,5306000,1884000,120000,- -,3042000,2534000,42788000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,446000,510000,- -
61,Total Liabilities,4499942,2365770,9059000,12741000,9968000,2664000,6909000,11073000,13263000,83354000
62,Preferred Stock,59548852,69840206,- -,- -,- -,- -,- -,28200000,4469000,- -
63,Common Stock,479,494,14000,19000,20000,41000,53000,87000,37000,37000
64,Retained Earnings,-56233160,-61503015,-72336000,-97186000,-125829000,-144727000,-181453000,-235574000,-311929000,-410705000
65,Other Comprehensive Income/Loss,-418989,-428779,-356000,-349000,-358000,-484000,-610000,-812000,- -,- -
66,Other Total Stockholders Equity,1284976,1549269,113832000,144437000,147646000,203178000,250335000,295868000,444622000,464154000
67,Total Stockholders Equity,4182158,9458175,41154000,46921000,21479000,58008000,68325000,87769000,137199000,53486000
68,Total Liabilities And Stockholders Equity,8682100,11823945,50213000,59662000,31447000,60672000,75234000,98842000,150462000,136840000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8682100,11823945,50213000,59662000,31447000,60672000,75234000,98842000,150462000,136840000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1267813/000110465915019211/a15-2993_110k.htm,https://www.sec.gov/Archives/edgar/data/1267813/000155837016003873/0001558370-16-003873-index.html,https://www.sec.gov/Archives/edgar/data/1267813/000155837017001650/0001558370-17-001650-index.html,https://www.sec.gov/Archives/edgar/data/1267813/000155837018001587/0001558370-18-001587-index.html,https://www.sec.gov/Archives/edgar/data/1267813/000155837019001860/0001558370-19-001860-index.html,https://www.sec.gov/Archives/edgar/data/1267813/000155837020002792/0001558370-20-002792-index.html,https://www.sec.gov/Archives/edgar/data/1267813/000155837021002646/0001558370-21-002646-index.htm,https://www.sec.gov/Archives/edgar/data/1267813/000155837022004279/0001558370-22-004279-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-1408545,-5269855,-10833000,-24850000,-28643000,-18898000,-36726000,-54121000,-67475000,- -
74,Depreciation and Amortization,17902,9790,5000,11000,23000,126000,127000,278000,334000,355000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,120599,236365,698000,2108000,3077000,2880000,4788000,5672000,7642000,13867000
77,Change in Working Capital,72460,5267638,38676268,2223000,-28117000,29611000,15205000,19072000,49435000,-44426000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-3919000,-853000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,148000,7841000
81,Other Working Capital,4165094,9432732,48109000,50332000,22215000,51826000,67031000,86103000,135538000,91112000
82,Other Non-Cash Items,-30844,-6871959,-37135268,379000,28891000,-32535000,-11236000,-19534000,-50848000,-25273000
83,Cash Provided by Operating Activities,-1228428,-6628021,-8589000,-20129000,-24769000,-18816000,-27842000,-48633000,-60912000,-55477000
84,CAPEX,-5472,-17119,-33000,-352000,-644000,-450000,-83000,-388000,- -,-1793000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-7705000,-2434000,-24892000,- -,-2725000,-8931000,- -
87,Sales/Maturities of Investments,- -,- -,- -,1743000,4474000,3922000,20000000,6994000,8193000,1474000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1096000
89,Cash Used for Investing Activites,-5472,-17119,-33000,-6314000,1396000,-21420000,19917000,3881000,-738000,-1415000
90,Debt Repayment,- -,- -,- -,-206000,-2128000,-5247000,-193000,- -,- -,- -
91,Common Stock Issued,- -,- -,41202000,- -,- -,- -,- -,- -,108196000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,8881778,8048488,7103000,28651000,-43000,52836000,42314000,67968000,1020000,41310000
95,Cash Used/Provided by Financing Activities,8881778,8048488,48305000,28445000,-2171000,47589000,42121000,67968000,109216000,41310000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,7647878,1403348,39683000,2002000,-25544000,7353000,34196000,23216000,47566000,-15582000
98,Cash at the End of Period,8633775,10037123,49720000,51722000,26178000,33531000,67727000,90943000,138509000,122927000
99,Cash at the Beginning of Period,985897,8633775,10037000,49720000,51722000,26178000,33531000,67727000,90943000,138509000
100,Free Cash Flow,-1233900,-6645140,-8622000,-20481000,-25413000,-19266000,-27925000,-49021000,-60912000,-57270000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1267813/000110465915019211/a15-2993_110k.htm,https://www.sec.gov/Archives/edgar/data/1267813/000155837016003873/0001558370-16-003873-index.html,https://www.sec.gov/Archives/edgar/data/1267813/000155837017001650/0001558370-17-001650-index.html,https://www.sec.gov/Archives/edgar/data/1267813/000155837018001587/0001558370-18-001587-index.html,https://www.sec.gov/Archives/edgar/data/1267813/000155837019001860/0001558370-19-001860-index.html,https://www.sec.gov/Archives/edgar/data/1267813/000155837020002792/0001558370-20-002792-index.html,https://www.sec.gov/Archives/edgar/data/1267813/000155837021002646/0001558370-21-002646-index.htm,https://www.sec.gov/Archives/edgar/data/1267813/000155837022004279/0001558370-22-004279-index.htm
102,false,,,,,,,,,,
