,https://roic.ai/company/UMH,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/752642/000075264296000002/0000752642-96-000002-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/752642/000075264201000003/0000752642-01-000003-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/752642/000075264208000005/umh10k123107.htm,https://www.sec.gov/Archives/edgar/data/752642/000075264209000008/0000752642-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/752642/000075264210000009/0000752642-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/752642/000075264211000006/umh10k123110.htm,- -,https://www.sec.gov/Archives/edgar/data/752642/000114544313000796/0001145443-13-000796-index.html,https://www.sec.gov/Archives/edgar/data/752642/000114544314000325/umh10k1231201331014.htm,https://www.sec.gov/Archives/edgar/data/752642/000121390015001678/d32199_10k.htm,https://www.sec.gov/Archives/edgar/data/752642/000120677416004851/0001206774-16-004851-index.html,https://www.sec.gov/Archives/edgar/data/752642/000149315217002243/0001493152-17-002243-index.html,https://www.sec.gov/Archives/edgar/data/752642/000149315218003093/0001493152-18-003093-index.html,https://www.sec.gov/Archives/edgar/data/752642/000149315219002992/0001493152-19-002992-index.html,https://www.sec.gov/Archives/edgar/data/752642/000149315220003441/0001493152-20-003441-index.html,https://www.sec.gov/Archives/edgar/data/752642/000149315221005762/0001493152-21-005762-index.htm,https://www.sec.gov/Archives/edgar/data/752642/000149315222005400/0001493152-22-005400-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,200000,1200000,- -,- -,- -,- -,2000000,1200000,200000,800000,700000,1399259,1567831,2338979,3244871,8774812,4555356,2005027,2221976,2783250,4519785,5661020,8798023,11035824,7615143,8082792,6535897,4216592,23242090,7433470,12902000,15336000,116175000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15494918,25917748,32784968,31096211,23821078,26610338,17908595,23523231,21575072,31824277,28757477,43298214,57325440,59254942,63555961,75011260,108755172,132964276,- -,- -,103172000,113748000
33,Cash and Short-Term Investments,- -,200000,1200000,- -,- -,- -,- -,2000000,1200000,200000,800000,700000,16894177,27485579,35123947,34341082,32595890,31165694,19913622,25745207,24358322,36344062,34418497,52096237,68361264,66870085,71638753,81547157,112971764,156206366,7433470,12902000,118508000,229923000
34,Net Receivables,- -,300000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1914446,3291355,4800969,7338580,9106302,13136356,16836228,20756996,22597670,21565242,21599080,21325854,22713864,26019725,24719480,20028574,20323191,25451053,31493555,37995000,46414000,55359000
35,Inventory,- -,400000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2782665,2775459,3635954,5190465,8153616,8970367,10853824,9459924,8016210,10574240,10188747,11855080,13786041,12306715,14311410,17424574,17569365,23703322,31967000,25450000,23659000
36,Other Current Assets,- -,600000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,115633,113680,2540554,559594,6234410,3255486,4293775,4895316,5116161,6037372,6449698,6810575,910875,1182850,629120,4062813,4497937,3457083,4279403,10762000,17785000,17135000
37,Total Current Assets,- -,1500000,2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,18924256,33673279,45240929,45875210,53127067,55711152,50013992,62251343,61532077,71962886,73041515,90421413,103841083,107858701,109294068,119949954,155217466,202683867,66909750,93626000,208157000,326076000
38,PP&E,- -,23200000,22700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,41700412,44291942,43785577,45505535,50037921,59071383,65726452,74252120,76407248,76008654,115739000,133523123,1883724,2911445,3139818,3575940,3746216,4448096,4732000,5346000,4940000,4970000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57325440,59254942,63555961,75011260,108755172,132964276,99595736,116186000,- -,8937000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,25200000,- -,- -,26700000,26000000,25300000,25400000,29800000,35900000,43600000,50000000,58600000,2320929,2369623,- -,2929467,- -,- -,- -,- -,- -,- -,- -,- -,137230968,237954886,302279129,405491827,412725964,483785087,707748438,810295000,874117000,930837000
45,Total Non-Current Assets,25200000,23200000,22700000,26700000,26000000,25300000,25400000,29800000,35900000,43600000,50000000,58600000,44021341,46661565,43785577,48435002,50037921,59071383,65726452,74252120,76407248,76008654,115739000,133523123,196440132,300121273,368974908,484079027,525227352,621197459,812076174,931827000,879057000,944744000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25200000,24700000,25500000,26700000,26000000,25300000,25400000,29800000,35900000,43600000,50000000,58600000,62945597,80334844,89026506,94310212,103164988,114782535,115740444,136503463,137939325,147971540,188780515,223944536,300281215,407979974,478268976,604028981,680444818,823881326,878985924,1025453000,1087214000,1270820000
48,Accounts Payable,- -,200000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,339174,836588,956663,655648,584676,1231144,927734,613339,614252,310165,748477,688672,1070021,1628713,1824293,2816290,2962037,2960739,3873445,4572000,4390000,4274000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5639470,- -,12358965,7840962,775803,7618478,8103106,17022753,23611574,18665040,22236163,23949831,10441605,49118996,77439230,57986503,58285385,84704487,107985353,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,600000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2071688,1711232,2652577,2491151,2498523,2387348,2251552,3122538,3038904,2705523,3052345,3146818,-6831990,-45266197,-72681626,-51289926,-53465243,-79726601,-102491491,10575000,17295000,17162000
53,Total Current Liabilities,- -,800000,1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,8050332,2547820,15968205,10987761,3859002,11236970,11282392,20758630,27264730,21680728,26036985,27785321,4679636,5481512,6581897,9512867,7782179,7938625,9367307,15147000,21685000,21436000
54,Long-Term Debt,21900000,21200000,21400000,20200000,20100000,17900000,16100000,17700000,17400000,20700000,24800000,35100000,32055839,49344708,43321884,44222675,50501243,48706241,46817633,61749700,65952895,70318950,90815777,90282010,119312957,209758940,260110084,344623599,351310977,389599604,439078416,457344000,556288000,499324000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,700000,100000,- -,2900000,1300000,1100000,1500000,1800000,2100000,2100000,2000000,2100000,- -,477782,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1303374,2153785,2749890,3654090,4319695,5127633,5842161,6623000,7433000,7920000
58,Total Non-Current Liabilities,22600000,21300000,21400000,23100000,21400000,19000000,17600000,19500000,19500000,22800000,26800000,37200000,32055839,49822490,43321884,44222675,50501243,48706241,46817633,61749700,65952895,70318950,90815777,90282010,120616331,211912725,262859974,348277689,355630672,394727237,444920577,463967000,563721000,507244000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,22600000,22100000,22600000,23100000,21400000,19000000,17600000,19500000,19500000,22800000,26800000,37200000,40106171,52370310,59290089,55210436,54360245,59943211,58100025,82508330,93217625,91999678,116852762,118067331,125295967,217394237,269441871,357790556,363412851,402665862,454287884,479114000,585406000,528680000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33470000,91595000,91595000,91595000,136625000,186625000,238780000,288780000,405048000,407954000,462319000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,771114,788863,806375,855713,926108,980694,1031894,1073721,1102173,1208145,1370163,1525284,1711188,2076989,2437208,2708684,2938881,3548807,3832041,4113000,4192000,5165000
64,Retained Earnings,-200000,-600000,-900000,-700000,-700000,-700000,-700000,-700000,-600000,-700000,-700000,-700000,-667793,-667793,-667793,341164,784073,-667793,-667793,-667793,-667793,-667793,-667793,-667793,-667793,-667793,-667793,-667793,-667793,-667793,-25363782,-25364000,-25364000,-25364000
65,Other Comprehensive Income/Loss,- -,-10300000,-11300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29862276,-32349006,3896429,5308195,3142945,916569,384890,-1042104,-5671361,2214307,6450381,2461305,6236161,1076898,5040236,-2056726,16713188,11519582,- -,-15799000,-17632000,- -
66,Other Total Stockholders Equity,2800000,13500000,15100000,4300000,5300000,6900000,8400000,11000000,17000000,21500000,23900000,21400000,52598381,60192470,25701406,32594704,43951617,- -,- -,54631309,49958681,53217203,64775002,69088409,76110692,96504643,110422454,109629260,111422691,168034868,157449781,178341000,132658000,300020000
67,Total Stockholders Equity,2600000,2600000,2900000,3600000,4600000,6200000,7700000,10300000,16400000,20800000,23200000,21400000,22839426,27964534,29736417,39099776,48804743,54839324,57640419,53995133,44721700,55971862,71927753,105877205,174985248,190585737,208827105,246238425,317031967,421215464,424698040,546339000,501808000,742140000
68,Total Liabilities And Stockholders Equity,25200000,24700000,25500000,26700000,26000000,25200000,25300000,29800000,35900000,43600000,50000000,58600000,62945597,80334844,89026506,94310212,103164988,114782535,115740444,136503463,137939325,147971540,188780515,223944536,300281215,407979974,478268976,604028981,680444818,823881326,878985924,1025453000,1087214000,1270820000
69,Minority Interest,- -,- -,- -,- -,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,25200000,24700000,25500000,26700000,26000000,25300000,25400000,29800000,35900000,43600000,50000000,58600000,62945597,80334844,89026506,94310212,103164988,114782535,115740444,136503463,137939325,147971540,188780515,223944536,300281215,407979974,478268976,604028981,680444818,823881326,878985924,1025453000,1087214000,1270820000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/752642/000075264296000002/0000752642-96-000002-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/752642/000075264201000003/0000752642-01-000003-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/752642/000075264208000005/umh10k123107.htm,https://www.sec.gov/Archives/edgar/data/752642/000075264209000008/0000752642-09-000008-index.html,https://www.sec.gov/Archives/edgar/data/752642/000075264210000009/0000752642-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/752642/000075264211000006/umh10k123110.htm,- -,https://www.sec.gov/Archives/edgar/data/752642/000114544313000796/0001145443-13-000796-index.html,https://www.sec.gov/Archives/edgar/data/752642/000114544314000325/umh10k1231201331014.htm,https://www.sec.gov/Archives/edgar/data/752642/000121390015001678/d32199_10k.htm,https://www.sec.gov/Archives/edgar/data/752642/000120677416004851/0001206774-16-004851-index.html,https://www.sec.gov/Archives/edgar/data/752642/000149315217002243/0001493152-17-002243-index.html,https://www.sec.gov/Archives/edgar/data/752642/000149315218003093/0001493152-18-003093-index.html,https://www.sec.gov/Archives/edgar/data/752642/000149315219002992/0001493152-19-002992-index.html,https://www.sec.gov/Archives/edgar/data/752642/000149315220003441/0001493152-20-003441-index.html,https://www.sec.gov/Archives/edgar/data/752642/000149315221005762/0001493152-21-005762-index.htm,https://www.sec.gov/Archives/edgar/data/752642/000149315222005400/0001493152-22-005400-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-300000,-400000,-100000,600000,1000000,1300000,2100000,2500000,3700000,4200000,4200000,4600000,5189371,5550488,6512212,8127058,8201749,6990342,5840277,2632741,1527150,3689388,6668915,3696263,6474057,5836823,4237803,2144205,11534559,12668034,-36215571,27750000,5055000,51088000
74,Depreciation and Amortization,- -,1800000,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2707576,2772304,2922640,3017869,3305529,3616336,3653781,3835872,4256034,4082124,4516026,5962338,7357158,11681724,15163420,18877511,23214100,27557746,31691209,36811000,41707000,45124000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36283,101004,295042,573244,850349,922944,855768,1064678,1314491,1613110,1939000,1327000,3447000
77,Change in Working Capital,- -,700000,900000,-1600000,- -,- -,- -,- -,- -,- -,- -,- -,10873924,20251535,-1852735,5614725,14380616,-4793883,-5742582,2761113,-7225366,16014811,-3277628,15631562,36525355,3215742,334982,7724916,36998200,47309955,-137202799,20936557,107993000,-9486000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,-100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2782665,7206,-860495,-1554511,-2963151,-816751,-1883457,1393900,1443714,-2558030,385493,-1666333,-1930961,1479326,-2004695,-3113164,-144791,-6133957,-8264000,6517000,1791000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-304087,438312,-59805,381349,558692,195580,991997,145747,-1298,912706,699000,-182000,-116000
81,Other Working Capital,- -,700000,1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,10873924,31125459,29272724,34887449,49268065,44474182,38731600,41492713,34267347,50282158,47004530,62636092,99161447,102377189,102712171,110437087,147435287,194745242,57542443,78479000,186472000,- -
82,Other Non-Cash Items,300000,-700000,-1100000,3100000,1300000,2300000,2200000,2100000,2100000,2100000,2400000,2200000,-11599785,-24296476,-834174,-12339502,-20772140,-2778097,410462,-6463120,9710068,-12467510,-1526566,-17174313,-41842065,-10346550,3667312,-3894188,-43458125,-47509064,180289237,-48920557,-87045000,-25010000
83,Cash Provided by Operating Activities,- -,1400000,1400000,2100000,2300000,3600000,4300000,4600000,5800000,6300000,6600000,6800000,7171086,4277851,6747943,4420150,5115754,3034698,4161938,2766606,8267886,11355096,6481751,8410892,9087749,11238088,24326461,25708212,29353412,41341162,40175186,38516000,69037000,65163000
84,CAPEX,- -,-1100000,-1300000,-900000,-1400000,-900000,-1600000,-1800000,-5600000,-9100000,-2200000,-3800000,-3047841,-5519158,-3149843,-3155336,-7647504,-10076697,-11965076,-13590997,-7102076,-3997902,-8179140,-6846921,-17447861,-27334623,-42127610,-52139479,-61913681,-65891019,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-918000,- -,- -,- -,- -,- -,- -,-37279400,-17500000,-47600000,-80574921,-15879551,-78926525,-4081798,-61669247,-55880468,-38799000,-7790000,-27342000
86,Purchases of Investments,- -,- -,- -,-2000000,- -,- -,- -,- -,-2200000,-2700000,-4700000,-6800000,-4282988,-9858324,-9360375,-8528110,-6039340,-11309592,-1901930,-12738845,-6844520,-8306684,-6019906,-21100859,-21941884,-22352376,-9707038,-23019035,-27518151,-45075311,-18555424,-1800000,-1105000,-18000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,100000,- -,- -,- -,900000,- -,400000,3011109,3997614,3735533,14235357,13614710,7526790,10338841,4298838,1606706,4139001,17254660,5263695,16159894,18981468,10911791,4633019,14831737,17416146,268675,125000,- -,16835000
88,Other Investing Activites,- -,- -,100000,200000,1700000,-200000,-200000,-2600000,-800000,300000,-1700000,-1800000,250923,352494,1698262,-1307301,-2325869,444011,936633,941256,398133,-123122,94461,419057,596671,395899,499658,777394,-2614366,-1581365,-63435943,-81876000,-94875000,-83839000
89,Cash Used for Investing Activites,- -,-1100000,-1200000,-2700000,300000,-1000000,-1800000,-4400000,-8600000,-10600000,-8600000,-12000000,-4068797,-11027374,-7076423,326610,-2398003,-13415488,-2591532,-21089748,-11941757,-8288707,-33894219,-39765028,-69760335,-110365339,-56033767,-148674626,-77567390,-152919761,-137603160,-122350000,-103770000,-94364000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19217979,-1981423,-25553767,-23073544,-9686487,-4639539,-57208961,-25072315,-34970645,-6865631,-21624000,-9313000,-25618000
91,Common Stock Issued,- -,500000,200000,800000,1100000,1900000,1600000,1800000,4500000,2800000,2000000,400000,- -,145125,271113,5170887,10338984,8524012,5536866,3719656,1144735,6703498,12791029,12310484,16667139,33330652,30933748,22593531,20012393,80024254,30038166,23796000,7746000,185336000
