,https://roic.ai/company/ADMT,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,1200000,1300000,1600000,1900000,1400000,1400000,1500000,1594717,1611785,2258016,2804439,3143551,2544341,1828586,1728210,1248735,3525770,6706075,5155497,2539661,2193770,1677496,1807173,2510548,2119121,2033415,2600599,4250087,4132670,3820400,3393674,3529381,3761109
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6206,4917,4808,301,4414,3146,17632,26948,25576,14588
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10386
14,Depreciation and Amortization,- -,100000,100000,-100000,-100000,-100000,-100000,- -,27254,64737,160142,258534,252744,217525,185576,147475,306318,778058,1709881,19253,38218,62346,43089,43401,21166,46297,5018,5015,17538,39273,39055,39559,149535
15,EBITDA,-400000,-400000,-500000,-400000,200000,100000,- -,44934,34006,-658040,-545300,-186420,-346744,-85450,-468329,9737,-2018095,-6393072,-6456005,-2875063,-11286102,-1156879,-561963,-149483,-515964,-178917,363808,266353,1154298,-15990,-317524,13322,-506355
16,EBITDA ratio,-0.5714,-0.5000,-0.5556,-0.2500,0.1000,0.0714,- -,0.0234,0.0208,-0.4286,-0.2598,-0.0691,-0.1783,-0.0623,-0.4640,0.0084,-1.4602,-3.7077,-4.1980,-1.5158,-7.5935,-0.9917,-0.4688,-0.0645,-0.3264,-0.0989,0.1276,0.0590,0.2190,-0.0043,-0.1052,0.0038,-0.1638
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,323934,26752,-722777,-705442,-444954,-599488,-456823,-718985,-85479,-2143657,-4981806,-3617637,-642915,-707487,-510905,-608569,-194588,-538280,-223792,249949,262983,1138561,-66188,-374720,-43389,-680478
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,0.1688,0.0163,-0.4708,-0.3361,-0.1649,-0.3082,-0.3330,-0.7124,-0.0735,-1.5510,-2.8892,-2.3524,-0.3390,-0.4760,-0.4379,-0.5077,-0.0840,-0.3405,-0.1237,0.0877,0.0583,0.2160,-0.0176,-0.1241,-0.0124,-0.2202
19,Total Other Income Expenses (Gains),100000,100000,100000,- -,-400000,- -,- -,-279000,-20000,- -,- -,- -,- -,153848,65080,-52259,96039,-290349,-1447596,-2339716,-10616833,-708320,3517,1704,1150,-1422,108841,-1645,-1801,10925,18141,17152,14202
20,Income Before Tax,- -,- -,- -,- -,200000,- -,100000,44934,6752,-722777,-705442,- -,-599488,-302975,-653905,- -,- -,- -,- -,- -,-11324320,-1219225,-605052,-192884,-537130,-225214,358790,261338,1136760,-55263,-356579,-26237,-666276
21,Income Before Tax Ratio,- -,- -,- -,- -,0.1000,- -,0.0625,0.0234,0.0041,-0.4708,-0.3361,- -,-0.3082,-0.2209,-0.6479,- -,- -,- -,- -,- -,-7.6192,-1.0451,-0.5048,-0.0833,-0.3398,-0.1245,0.1259,0.0579,0.2157,-0.0147,-0.1181,-0.0075,-0.2156
22,Income Tax expense (Gain),- -,- -,- -,- -,100000,- -,-100000,-153000,- -,- -,265000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2425188,- -,- -,-169522,- -,- -,- -,-857000,-69000,-165000,-14000,69522,-68000
23,Net Income,-400000,-500000,-600000,-300000,200000,- -,200000,197934,6752,-722777,-970442,-444954,-599488,-302975,-653905,-137738,-2324413,-7171130,-8165886,-2894316,-8899132,-1219225,-605052,-23362,-537130,-225214,358790,1118338,1205760,109737,-342579,-95759,-598276
24,Net Income ratio,-0.5714,-0.6250,-0.6667,-0.1875,0.1000,- -,0.1250,0.1032,0.0041,-0.4708,-0.4623,-0.1649,-0.3082,-0.2209,-0.6479,-0.1184,-1.6818,-4.1589,-5.3099,-1.5259,-5.9875,-1.0451,-0.5048,-0.0101,-0.3398,-0.1245,0.1259,0.2478,0.2287,0.0292,-0.1135,-0.0275,-0.1936
25,EPS,-0.01,-0.01,-0.02,-0.01,0.01,- -,0.01,0.01,0.00,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.00,-0.04,-0.13,-0.15,-0.05,-0.16,-0.02,-0.01,-0.00,-0.01,-0.00,0.01,0.02,0.02,0.00,-0.01,-0.00,-0.01
26,EPS Diluted,-0.01,-0.01,-0.02,-0.01,0.01,- -,0.01,0.01,0.00,-0.02,-0.02,-0.01,-0.01,-0.01,-0.01,-0.00,-0.04,-0.13,-0.15,-0.05,-0.16,-0.02,-0.01,-0.00,-0.01,-0.00,0.01,0.02,0.02,0.00,-0.01,-0.00,-0.01
27,Weighted Average Shares Outstanding,40000000,50000000,30000000,30000000,30000000,42475000,42475000,43865782,43301274,42477832,46779615,47382037,47382037,47382037,48132037,51007037,52548704,53882037,53882037,53939537,53939537,53939537,54538167,56939537,57490222,59953236,64939537,66284930,67145150,67588504,67588492,67588492,67588492
28,Weighted Average Shares Outstanding Diluted,40000000,50000000,30000000,30000000,30000000,42475000,42475000,43865782,43301274,42477832,46779615,47382037,47382037,47382037,48132037,51007037,52548704,53882037,53882037,53939537,53939537,53939537,54538167,56939537,57490222,59953236,65539537,66821772,67145150,67588504,67588492,67588492,67588492
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849401/0000849401-97-000009-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849401/000143774913008832/0001437749-13-008832-index.htm,https://www.sec.gov/Archives/edgar/data/849401/000143774914012762/0001437749-14-012762-index.htm,https://www.sec.gov/Archives/edgar/data/849401/000143774915013559/0001437749-15-013559-index.htm,https://www.sec.gov/Archives/edgar/data/849401/000143774916035183/0001437749-16-035183-index.htm,https://www.sec.gov/Archives/edgar/data/849401/000143774917012017/0001437749-17-012017-index.html,https://www.sec.gov/Archives/edgar/data/849401/000143774918013348/0001437749-18-013348-index.htm,https://www.sec.gov/Archives/edgar/data/849401/000143774919013995/0001437749-19-013995-index.htm,https://www.sec.gov/Archives/edgar/data/849401/000143774920015110/0001437749-20-015110-index.htm,https://www.sec.gov/Archives/edgar/data/849401/000143774921016926/0001437749-21-016926-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1300000,700000,200000,100000,- -,300000,300000,1219016,1174965,1127847,496405,322208,113458,51565,49765,90081,3011631,982670,2498276,2072325,1155786,690975,155149,299156,105087,83156,216395,1398848,1982276,1693532,1555687,1438714,1546950
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2154517,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1300000,700000,200000,100000,- -,300000,300000,1219016,1174965,1127847,496405,322208,113458,51565,49765,90081,3011631,982670,2498276,4226842,1155786,690975,155149,299156,105087,83156,216395,1398848,1982276,1693532,1555687,1438714,1546950
34,Net Receivables,- -,100000,200000,400000,200000,200000,400000,200758,315164,317888,353976,259938,211134,215502,75622,118433,102691,295163,126255,- -,112111,111484,115844,285159,159126,271038,616070,588875,862619,1207493,916844,860539,1153684
35,Inventory,100000,200000,200000,300000,200000,200000,200000,189903,204177,320535,448292,342545,230028,338830,248337,222935,328467,273594,205517,469403,302810,178629,232499,260632,121993,94692,137704,216108,369796,201023,326308,372635,227234
36,Other Current Assets,100000,100000,- -,100000,100000,400000,500000,272579,142526,24101,102600,36329,830736,711658,462119,421708,651128,13452,35130,-1969516,249992,254740,251000,257612,252102,242887,249120,661469,35752,12156,28582,23525,47039
37,Total Current Assets,1500000,1100000,600000,900000,500000,1100000,1400000,1882256,1836832,1790371,1401273,961020,1385356,1317555,835843,853157,4093917,1564879,2865178,2726729,1820699,1235828,754492,1102559,638308,691773,1219289,2865300,3250443,3114204,2827421,2695413,2974907
38,PP&E,400000,600000,500000,200000,100000,100000,400000,48629,54831,75833,185916,147709,101143,60671,331015,188782,92341,49599,37989,- -,59968,56065,41627,23742,14292,6374,3246,26859,170998,133120,95461,57958,617511
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161697,140396,66466,54750,16371,14481,13086,11690,10295,8899,21703,18923
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161697,140396,66466,54750,16371,14481,13086,11690,10295,8899,21703,18923
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,762999,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,410000,926000,1092000,1107000,1019000,1081000
44,Other Non-Current Assets,100000,100000,200000,200000,1100000,1200000,600000,974088,977645,967444,1756352,1848646,1015094,629790,145512,105621,1064619,1625185,2902840,- -,256765,150538,133986,119941,200385,115710,104401,107301,161518,202515,506311,1259015,521758
45,Total Non-Current Assets,500000,700000,700000,400000,1200000,1300000,1000000,1022717,1032476,1043277,1942268,1996355,1116237,690461,476527,294403,1156960,1674784,2940829,- -,1079732,368300,316009,210149,269427,138455,122128,557246,1270206,1437930,1717671,2357676,2239192
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2391006,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2000000,1800000,1300000,1300000,1700000,2400000,2400000,2904973,2869308,2833648,3343541,2957375,2501593,2008016,1312370,1147560,5250877,3239663,5806007,5117735,2900431,1604128,1070501,1312708,907735,830228,1341417,3422546,4520649,4552134,4545092,5053089,5214099
48,Accounts Payable,- -,- -,- -,200000,200000,100000,100000,58426,142394,397338,273483,136181,186118,252478,200631,159798,172978,419557,180935,237331,116137,122841,184122,148832,186373,208248,329291,276171,269007,286964,275591,365475,364305
49,Short-Term Debt,- -,100000,- -,100000,100000,- -,- -,- -,- -,110842,145091,341250,73229,110000,- -,- -,- -,- -,- -,- -,197000,201400,185900,160000,147990,136990,121966,96966,30895,31196,201081,51458,586261
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321441,354745,293638
52,Other Current Liabilities,100000,200000,100000,100000,- -,- -,100000,152374,91849,46139,59385,38016,102706,79473,59579,51340,299790,838912,35290,329267,139995,40813,56457,406958,385845,497677,544057,686269,469435,402100,289871,236205,219775
53,Total Current Liabilities,100000,300000,100000,400000,300000,100000,200000,210800,234243,554319,477959,515447,362053,441951,260210,211138,472768,1258469,216225,566598,453132,365054,426479,715790,720208,842915,995314,1059406,769337,720260,1087984,1007883,1463979
54,Long-Term Debt,100000,- -,- -,- -,- -,- -,- -,- -,- -,48676,- -,- -,85000,25000,135000,135000,6113500,5653219,- -,- -,- -,11000,- -,- -,- -,- -,- -,- -,83812,54637,22450,706307,991894
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447000,83812,54637,22450,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,65860,- -,- -,- -,- -,210500,- -,- -,- -,- -,2527782,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,100000,- -,- -,- -,- -,- -,- -,65860,- -,48676,- -,- -,295500,25000,135000,135000,6113500,8181001,- -,- -,- -,11000,- -,- -,- -,- -,- -,447000,167624,109274,44900,706307,991894
59,Other Liabilities,100000,- -,100000,- -,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4551137,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114707,85833,53646,727765,638200
61,Total Liabilities,200000,200000,200000,400000,400000,200000,200000,276660,234243,602995,477959,515447,657553,466951,395210,346138,6586268,9439470,216225,5117735,453132,376054,426479,715790,720208,842915,995314,1059406,853149,774897,1110434,1714190,2455873
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23691,- -,- -,- -,25191,25941,26941,26941,26941,- -,26970,26970,28470,28470,29970,32470,32470,33504,33794,33794,33794,33794,33794
64,Retained Earnings,-1600000,-2100000,-2600000,-2900000,-2700000,-2700000,-2400000,- -,- -,- -,-3898827,- -,- -,- -,-5900149,-6037887,-8366300,-16569228,-24735114,- -,-29733268,-30952493,-31557545,-31580907,-32118037,-32343251,-31984461,-30866123,-29660363,-29550626,-29893205,-29988964,-30587240
65,Other Comprehensive Income/Loss,-100000,-200000,-300000,-400000,-400000,-400000,-500000,- -,- -,- -,-585671,-320571,-369447,-406668,-1074549,-1026683,-1103247,-254162,-5466,- -,-28082,-41983,-56421,- -,- -,- -,- -,- -,- -,- -,- -,- -,-407070
66,Other Total Stockholders Equity,3500000,3900000,4000000,4200000,4400000,5300000,5100000,2628313,2635065,2230653,7326389,2762499,2213487,1947733,7866667,7840051,8107215,10596642,30303421,4551137,32181679,32195580,32229518,32173097,32275594,32298094,32298094,33195759,33294069,33294069,33294069,33294069,33718742
67,Total Stockholders Equity,1800000,1600000,1100000,900000,1300000,2200000,2200000,2628313,2635065,2230653,2865582,2441928,1844040,1541065,917160,801422,-1335391,-6199807,5589782,4551137,2447299,1228074,644022,620660,187527,-12687,346103,2363140,3667500,3777237,3434658,3338899,2758226
68,Total Liabilities And Stockholders Equity,2000000,1800000,1300000,1300000,1700000,2400000,2400000,2904973,2869308,2833648,3343541,2957375,2501593,2008016,1312370,1147560,5250877,3239663,5806007,9668872,2900431,1604128,1070501,1336450,907735,830228,1341417,3422546,4520649,4552134,4545092,5053089,5214099
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4551137,- -,- -,- -,-23742,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2000000,1800000,1300000,1300000,1700000,2400000,2400000,2904973,2869308,2833648,3343541,2957375,2501593,2008016,1312370,1147560,5250877,3239663,5806007,5117735,2900431,1604128,1070501,1312708,907735,830228,1341417,3422546,4520649,4552134,4545092,5053089,5214099
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849401/0000849401-97-000009-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849401/000143774913008832/0001437749-13-008832-index.htm,https://www.sec.gov/Archives/edgar/data/849401/000143774914012762/0001437749-14-012762-index.htm,https://www.sec.gov/Archives/edgar/data/849401/000143774915013559/0001437749-15-013559-index.htm,https://www.sec.gov/Archives/edgar/data/849401/000143774916035183/0001437749-16-035183-index.htm,https://www.sec.gov/Archives/edgar/data/849401/000143774917012017/0001437749-17-012017-index.html,https://www.sec.gov/Archives/edgar/data/849401/000143774918013348/0001437749-18-013348-index.htm,https://www.sec.gov/Archives/edgar/data/849401/000143774919013995/0001437749-19-013995-index.htm,https://www.sec.gov/Archives/edgar/data/849401/000143774920015110/0001437749-20-015110-index.htm,https://www.sec.gov/Archives/edgar/data/849401/000143774921016926/0001437749-21-016926-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-300000,200000,- -,200000,197934,6752,-722777,-970442,-444954,-599488,-302975,-653905,-137738,-2324413,-7171130,-8165886,-2894316,-8899132,-1219225,-605052,-23362,-537130,-225214,358790,1118338,1205760,109737,-342579,-95759,-598276
74,Depreciation and Amortization,- -,- -,- -,-100000,-100000,-100000,-100000,- -,27254,64737,160142,258534,252744,217525,185576,147475,306318,778058,1709881,19253,38218,62346,43089,43401,21166,46297,5018,5015,17538,39273,39055,39559,149535
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2425188,- -,- -,- -,- -,- -,- -,-857000,-69000,-166000,-15000,88000,-62000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000,- -,103997,- -,- -,598699,98600,- -,- -,- -,17603
77,Change in Working Capital,- -,- -,- -,100000,-300000,800000,200000,471456,-68867,-366537,-312738,-477741,577730,-147699,-299971,66386,2979130,-3314739,2342543,-488822,-792564,-496793,-542761,58756,-468669,-69242,375117,1581919,675212,-87162,-654507,-51907,-176602
78,Accounts Receivable,- -,- -,- -,-200000,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6278,-10601,-4133,-169315,126033,-114412,-367032,27195,-273744,-444874,-74441,-8695,-257641
79,Inventory,- -,- -,- -,200000,- -,- -,- -,1078,-14274,92299,-127757,105747,112517,-108802,90493,25402,-105532,59363,-9462,-260729,201210,51921,-52019,-73193,67447,33701,-101429,-109594,-165985,-198497,-230780,-229415,-56151
80,Accounts Payable,- -,- -,- -,100000,- -,-100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35290,37541,21875,121043,-53120,-7164,17957,-11373,89884,-1170
81,Other Working Capital,- -,- -,- -,500000,200000,1000000,1200000,1671456,1602589,1236052,923314,445573,1023303,875604,575633,642019,3621149,306410,2648953,2160131,1367567,870774,328013,386769,-81900,-151142,223975,1805894,2481106,2393944,1739437,1687530,1510928
82,Other Non-Cash Items,- -,- -,- -,200000,-100000,-800000,-200000,-255650,29369,630046,557320,360270,-258605,184977,762600,-37260,-3021156,5988440,3477398,2947639,11392786,1292929,563769,83278,680340,200794,-589401,-1511760,-1435192,-155718,697488,90067,-99897
83,Cash Provided by Operating Activities,- -,- -,- -,-100000,-300000,-100000,100000,413740,-5492,-394531,-300718,-303891,-27619,-48172,-5700,38863,-2060121,-3719371,-636064,-416246,-685880,-360743,-519955,162073,-200296,-47365,149524,935211,492918,-259870,-275543,69960,-769637
84,CAPEX,- -,- -,- -,-100000,- -,- -,- -,-2765,-33456,-15349,-44064,-5068,-2310,-8921,- -,- -,-46594,-22320,-25890,-29705,-227379,- -,-7350,-5879,- -,- -,- -,-27233,-31474,- -,- -,-14860,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,8851,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38520,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,300000,250500,120297,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-400000,- -,167924,-20010,90129,-272233,-61397,4200,5200,-26100,703,-49612,- -,2503126,20000,-412771,-52548,10629,10129,10237,36434,-1261,-525,233050,- -,- -,-14860,- -
89,Cash Used for Investing Activites,- -,- -,- -,-100000,- -,-400000,- -,415659,66831,84911,-316297,-66465,1890,-3721,-26100,703,-96206,-22320,2477236,-9705,-427659,-91068,10629,7834,18237,36434,-1261,-27758,201576,- -,- -,-14860,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-2319,- -,-40567,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000,-13000,-26500,-25900,-12010,-11000,-15024,-25000,-111066,-28874,-248302,-342073,-66458
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,750,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,200000,200000,800000,- -,- -,- -,303069,-14427,196159,-183021,-10000,- -,- -,5076877,1712730,-325566,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,386000,170000,944331
95,Cash Used/Provided by Financing Activities,- -,- -,- -,200000,200000,800000,- -,-2319,- -,262502,-14427,196159,-183021,-10000,30000,750,5077877,1712730,-325566,- -,197000,-13000,-26500,-25900,-12010,-11000,-15024,275000,-111066,-28874,137698,-172073,877873
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,200000,200000,800000,- -,827080,61339,-47118,-631442,-174197,-208750,-61893,-1800,40316,2921550,-2028961,1515606,-425951,-916539,-464811,-535826,144007,-194069,-21931,133239,1182453,583428,-288744,-137845,-116973,108236
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,1113626,1174965,1127847,496405,322208,113458,51565,49765,90081,3011631,982670,2498276,2072325,1155786,690975,155149,299156,105087,83156,216395,1398848,1982276,1693532,1555687,1438714,1546950
99,Cash at the Beginning of Period,- -,- -,- -,100000,100000,- -,300000,286546,1113626,1174965,1127847,496405,322208,113458,51565,49765,90081,3011631,982670,2498276,2072325,1155786,690975,155149,299156,105087,83156,216395,1398848,1982276,1693532,1555687,1438714
100,Free Cash Flow,- -,- -,- -,-200000,-300000,-100000,100000,410975,-38948,-409880,-344782,-308959,-29929,-57093,-5700,38863,-2106715,-3741691,-661954,-445951,-913259,-360743,-527305,156194,-200296,-47365,149524,907978,461444,-259870,-275543,55100,-769637
