,https://roic.ai/company/INMD,2017,2018,2019,2020,2021
48,Accounts Payable,3064000,4509000,3702000,6410000,8779000
49,Short-Term Debt,- -,- -,- -,- -,1209000
50,Tax Payable,1024000,324000,202000,758000,1239000
51,Deferred Revenue,1134000,- -,- -,11900000,13805000
52,Other Current Liabilities,9257000,24920000,28792000,16720000,28057000
53,Total Current Liabilities,13455000,29429000,32494000,35030000,51850000
54,Long-Term Debt,- -,- -,- -,- -,3307000
55,Deferred Revenue,3362000,- -,- -,1988000,2751000
56,Deferred Tax Liabilities,106000,- -,- -,- -,- -
57,Other Non-Current Liabilities,3066000,8364000,9825000,3268000,4831000
58,Total Non-Current Liabilities,6534000,8364000,9825000,5256000,10889000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,744000,358000,4516000
61,Total Liabilities,19989000,37793000,42319000,40286000,62739000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,74000,74000,93000,108000,239000
64,Retained Earnings,10819000,32971000,93986000,169016000,333987000
65,Other Comprehensive Income/Loss,541000,66000,124000,356000,-1319000
66,Other Total Stockholders Equity,8019000,10152000,81863000,84483000,82895000
67,Total Stockholders Equity,19453000,43263000,176066000,253963000,415802000
68,Total Liabilities And Stockholders Equity,39442000,81056000,218385000,294249000,478541000
69,Minority Interest,- -,- -,- -,1512000,- -
70,Total Liabilities & Equity,39442000,81056000,218385000,295761000,478541000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1742692/000117891320000541/0001178913-20-000541-index.htm,https://www.sec.gov/Archives/edgar/data/1742692/000117891321000406/0001178913-21-000406-index.htm,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,8819000,22371000,61145000,75030000,164971000
74,Depreciation and Amortization,204000,184000,302000,416000,517000
75,Deferred Income Tax,-580000,-592000,-594000,1729000,-770000
76,Stock Based Compensation,2436000,1947000,1557000,12845000,11962000
77,Change in Working Capital,3516000,4790000,537000,-10612000,-3812000
78,Accounts Receivable,-2699000,-571000,449000,-4416000,-10544000
79,Inventory,-2342000,-1891000,-2445000,-5575000,-6043000
80,Accounts Payable,1506000,541000,92000,2708000,2369000
81,Other Working Capital,4090000,5251000,9663000,-5512000,2668000
82,Other Non-Cash Items,214000,8186000,-741000,-183000,2017000
83,Cash Provided by Operating Activities,14609000,36886000,62206000,79225000,174885000
84,CAPEX,-189000,-381000,-693000,-463000,-939000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,-5697000,-48346000,-213833000,-225388000,-346924000
87,Sales/Maturities of Investments,202000,18988000,102074000,182546000,187757000
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-5684000,-29739000,-112452000,-43305000,-160106000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,69784000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-17218000,-35365000
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,1785000,186000,389000,4776000,20343000
95,Cash Used/Provided by Financing Activities,1785000,186000,70173000,-12442000,-15022000
96,Effect of Forex Changes on Cash,187000,-205000,79000,733000,-559000
97,Net Change In Cash,10897000,7128000,20006000,24211000,-802000
98,Cash at the End of Period,17593000,24721000,44727000,68938000,68136000
99,Cash at the Beginning of Period,6696000,17593000,24721000,44727000,68938000
100,Free Cash Flow,14420000,36505000,61513000,78762000,173946000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1742692/000117891320000541/0001178913-20-000541-index.htm,https://www.sec.gov/Archives/edgar/data/1742692/000117891321000406/0001178913-21-000406-index.htm,- -
102,false,,,,,
