,https://roic.ai/company/BXRX,2017,2018,2019,2020,2021
37,Total Current Assets,2468000,2514000,20135000,36717000,23494000
38,PP&E,1766000,3982000,5551000,5635000,5015000
39,Goodwill,2127000,2127000,2127000,2127000,2127000
40,Intangible Assets,26400000,26400000,26400000,24254000,21678000
41,Intangible Assets,28527000,28527000,28527000,26381000,23805000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,963000
45,Total Non-Current Assets,30293000,32509000,34078000,32016000,29783000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,32761000,35023000,54213000,68733000,53277000
48,Accounts Payable,7155000,2653000,271000,3653000,1468000
49,Short-Term Debt,- -,- -,318000,1016000,2222000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,37595000,20127000,7124000,13460000,11956000
53,Total Current Liabilities,44750000,22780000,7713000,18129000,15646000
54,Long-Term Debt,- -,- -,- -,8762000,6309000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,50468000,80590000,63221000,56641000,18096000
58,Total Non-Current Liabilities,50468000,80590000,63221000,65403000,24405000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,773000,626000,- -
61,Total Liabilities,95218000,103370000,70934000,83532000,40051000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,94000,487000,983000
64,Retained Earnings,- -,- -,-36220000,-112320000,-132089000
65,Other Comprehensive Income/Loss,-76000,-472000,-840000,-1248000,- -
66,Other Total Stockholders Equity,- -,- -,20245000,98282000,144332000
67,Total Stockholders Equity,-62457000,-68347000,-16721000,-14799000,13226000
68,Total Liabilities And Stockholders Equity,32761000,35023000,54213000,68733000,53277000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,32761000,35023000,54213000,68733000,53277000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1780097/000156459020004638/0001564590-20-004638-index.htm,https://www.sec.gov/Archives/edgar/data/1780097/000156459021005901/0001564590-21-005901-index.htm,https://www.sec.gov/Archives/edgar/data/1780097/000095017022003844/0000950170-22-003844-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-61084000,-73667000,-32557000,-76100000,-19769000
74,Depreciation and Amortization,72000,396000,480000,2554000,240000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,3412000,4574000,5463000,9341000,4789000
77,Change in Working Capital,723000,22016000,32688000,6166000,-10740000
78,Accounts Receivable,- -,- -,- -,-51000,-491000
79,Inventory,- -,- -,- -,-2978000,-2024000
80,Accounts Payable,2617000,493000,-8993000,4613000,- -
81,Other Working Capital,-42282000,-20266000,12422000,18588000,7848000
82,Other Non-Cash Items,13605000,-13070000,-56118000,13981000,-23790000
83,Cash Provided by Operating Activities,-43272000,-59751000,-50044000,-44058000,-49270000
84,CAPEX,-1287000,-3452000,-1484000,-639000,-203000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-19641000
87,Sales/Maturities of Investments,- -,- -,- -,- -,19650000
88,Other Investing Activites,-519000,-82000,-165000,- -,- -
89,Cash Used for Investing Activites,-1287000,-3452000,-1484000,-639000,-194000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,45010000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,44559000,63203000,69268000,12289000,35013000
95,Cash Used/Provided by Financing Activities,44559000,63203000,69268000,57299000,35013000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,12602000,-14451000
98,Cash at the End of Period,- -,- -,17740000,30342000,15891000
99,Cash at the Beginning of Period,- -,- -,- -,17740000,30342000
100,Free Cash Flow,-44559000,-63203000,-51528000,-44697000,-49473000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1780097/000156459020004638/0001564590-20-004638-index.htm,https://www.sec.gov/Archives/edgar/data/1780097/000156459021005901/0001564590-21-005901-index.htm,https://www.sec.gov/Archives/edgar/data/1780097/000095017022003844/0000950170-22-003844-index.htm
102,false,,,,,
