,https://roic.ai/company/ABCL,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,- -,21492175,23488072,1005536000,1318569000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,21492175,23488072,1005536000,1318569000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1703057/000156459021016713/0001564590-21-016713-index.htm,https://www.sec.gov/Archives/edgar/data/1703057/000156459022007077/0001564590-22-007077-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,- -,308854,-2210696,118918000,153464000
74,Depreciation and Amortization,- -,918459,1846888,5271000,17250000
75,Deferred Income Tax,- -,- -,- -,2098000,-2018000
76,Stock Based Compensation,- -,615373,890233,8397000,30646000
77,Change in Working Capital,- -,1911000,705089524,- -,41672000
78,Accounts Receivable,- -,-477230,-1803068,-5467000,-37386000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,180000,- -,6601000,1400000
81,Other Working Capital,- -,4745476,709835000,709835000,36739000
82,Other Non-Cash Items,- -,-188051,-702922234,-111994000,3570000
83,Cash Provided by Operating Activities,- -,3565635,2693715,22690000,244584000
84,CAPEX,- -,-5307066,-3996888,-14673000,-58452000
85,Acquisitions Net,- -,- -,- -,-106890000,-41780000
86,Purchases of Investments,- -,- -,- -,- -,-292244000
87,Sales/Maturities of Investments,- -,- -,- -,- -,27608000
88,Other Investing Activites,- -,- -,-1783019,-3217000,32621000
89,Cash Used for Investing Activites,- -,-5307066,-5779907,-119780000,-332247000
90,Debt Repayment,- -,-898761,-399066,-19942000,-1823000
91,Common Stock Issued,- -,2611989,- -,522840000,- -
92,Common Stock Repurchased,- -,- -,-11154,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,10472486,605046,180755000,-2063000
95,Cash Used/Provided by Financing Activities,- -,12185714,194826,683653000,-3886000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-1425000
97,Net Change In Cash,- -,- -,-2891366,586563000,-92974000
98,Cash at the End of Period,- -,10444283,7552917,594116000,501142000
99,Cash at the Beginning of Period,- -,- -,10444283,7553000,594116000
100,Free Cash Flow,- -,-1741431,-1303173,8017000,186132000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1703057/000156459021016713/0001564590-21-016713-index.htm,https://www.sec.gov/Archives/edgar/data/1703057/000156459022007077/0001564590-22-007077-index.htm
102,false,,,,,
