,https://roic.ai/company/AMPG,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-3117,-5605,-192995,-144494,-770070,50050,456288,-97049,328993,5945,-1025559,-4758805
21,Income Before Tax Ratio,-Infinity,-Infinity,-0.1936,-0.1182,-0.6035,0.0337,0.2241,-0.0703,0.1372,0.0019,-0.2966,-0.9021
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,41092,- -,- -,- -,- -,- -
23,Net Income,-3117,-5605,-192995,-144494,-770070,50050,415196,-97049,328993,5945,-1025559,-4758805
24,Net Income ratio,-Infinity,-Infinity,-0.1936,-0.1182,-0.6035,0.0337,0.2039,-0.0703,0.1372,0.0019,-0.2966,-0.9021
25,EPS,-0.60,-1.20,-0.20,-0.20,-0.40,0.02,0.20,-0.04,0.14,0.00,-0.37,-1.71
26,EPS Diluted,-0.60,-1.20,-0.20,-0.20,-0.40,0.01,0.20,-0.04,0.08,0.00,-0.37,-1.71
27,Weighted Average Shares Outstanding,5000,5000,887163,994006,1601414,2306816,2306816,2306816,2388583,2429665,2782303,2782303
28,Weighted Average Shares Outstanding Diluted,5000,5000,887163,994006,1601414,4287197,4287197,2306816,4383715,4499930,2782303,2782303
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1518461/000147793213002717/0001477932-13-002717-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793214001383/0001477932-14-001383-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793215001978/0001477932-15-001978-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793216009415/0001477932-16-009415-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793217001008/0001477932-17-001008-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793218001614/0001477932-18-001614-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793219001094/0001477932-19-001094-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793220001496/0001477932-20-001496-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793221001890/0001477932-21-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793222001862/0001477932-22-001862-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,50000,30000,10000,19160,49040,283660,117990,442100,574710,199536,18018874
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,50000,30000,10000,19160,49040,283660,117990,442100,574710,199536,18018874
34,Net Receivables,180000,170000,50000,180000,133390,175870,146240,137470,262000,619200,357055,1659878
35,Inventory,200000,200000,110000,130000,163870,145820,266940,335670,391190,557710,517338,4192812
36,Other Current Assets,10000,- -,- -,50000,6830,13060,3700,13840,120100,124210,322124,411243
37,Total Current Assets,390000,420000,190000,370000,323250,383790,700540,604970,1215390,1875830,1396053,24282807
38,PP&E,130000,100000,210000,150000,115840,87810,73290,51800,180750,663200,636407,2470876
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,120140,120136,4817019
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,673430,632209,3284082
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,793570,752345,8101101
42,Investments,- -,- -,6070,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,20000,20000,3930,10000,5370,8440,8750,8750,11700,27810,26707,372404
45,Total Non-Current Assets,150000,120000,220000,160000,121210,96250,82040,60550,192450,1484580,1415459,10944381
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,540000,540000,410000,530000,444460,480040,782580,665520,1407840,3360410,2811512,35227188
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,154507,- -,- -
49,Short-Term Debt,- -,- -,433261,457855,50844,167610,69907,76435,102077,330881,525606,129876
50,Tax Payable,- -,- -,19072,7140,665,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15300,253909
52,Other Current Liabilities,660000,710000,356739,242145,302546,171310,115263,88725,276523,35682,113541,3431593
53,Total Current Liabilities,660000,710000,790000,700000,353390,338920,185170,165160,378600,521070,654447,3815378
54,Long-Term Debt,150000,110000,150000,60000,- -,- -,- -,- -,113930,1407330,1398574,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,113933,- -,- -,- -
57,Other Non-Current Liabilities,90000,70000,10000,-10000,- -,- -,- -,- -,-113923,338340,318209,2378317
58,Total Non-Current Liabilities,240000,180000,160000,50000,- -,- -,- -,- -,113940,1745670,1716783,2378317
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,134774,83271,23886,- -,- -,- -,143113,582904,438223,- -
61,Total Liabilities,900000,890000,950000,750000,353390,338920,185170,165160,492540,2266740,2371230,6193695
62,Preferred Stock,- -,- -,- -,- -,1,1,1,1,1,1,- -,- -
63,Common Stock,20000,20000,20000,20000,46140,46140,46140,46140,48340,73570,4839,9582
64,Retained Earnings,-500000,-490000,-670000,-820000,-1587040,-1536990,-1080700,-1177750,-848760,-842810,-1868372,-6627177
65,Other Comprehensive Income/Loss,-260000,-300000,-350000,-410000,- -,- -,- -,- -,- -,- -,-656855,- -
66,Other Total Stockholders Equity,737883,762278,461261,989757,1631972,1631972,1590878,1631971,1715724,1862912,2960670,35651088
67,Total Stockholders Equity,-2117,-7722,-538739,-220243,91073,141123,556319,500362,915305,1093673,440282,29033493
68,Total Liabilities And Stockholders Equity,897883,882278,411261,529757,444463,480043,741489,665522,1407845,3360413,2811512,35227188
69,Minority Interest,-357883,-342278,-1261,243,-3,-3,41091,-2,-5,-3,- -,- -
70,Total Liabilities & Equity,540000,540000,410000,530000,444460,480040,782580,665520,1407840,3360410,2811512,35227188
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1518461/000147793213002717/0001477932-13-002717-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793214001383/0001477932-14-001383-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793215001978/0001477932-15-001978-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793216009415/0001477932-16-009415-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793217001008/0001477932-17-001008-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793218001614/0001477932-18-001614-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793219001094/0001477932-19-001094-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793220001496/0001477932-20-001496-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793221001890/0001477932-21-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793222001862/0001477932-22-001862-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-3117,-5605,-192995,-144494,-770070,50050,415196,-97049,328993,5945,-1025559,-4758805
74,Depreciation and Amortization,- -,- -,53792,63313,38202,29604,28859,26863,38821,129437,226912,146620
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,501200,- -,- -,- -,- -,118023,128928,785976
77,Change in Working Capital,2000,-20000,-310000,270000,299860,75010,470500,-75560,396980,517970,-613154,19725823
78,Accounts Receivable,- -,- -,75900,-141414,45425,-42481,29634,8770,-124537,- -,262140,-60545
79,Inventory,- -,- -,15309,-15261,-35792,18055,-121123,-68730,-55520,135232,40372,500715
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0,- -
81,Other Working Capital,-270000,-290000,-600000,-330000,-30140,44870,515370,439810,836790,1354760,741606,20467429
82,Other Non-Cash Items,1000,20680,512020,-377338,-123003,-124855,-567892,-21081,-412492,-791390,761388,-18098627
83,Cash Provided by Operating Activities,-117,-4925,62817,-188519,-53811,29809,346663,-166827,352302,-20015,-521485,-2199013
84,CAPEX,- -,- -,-5000,- -,- -,-1575,-14335,-5371,-10584,-12653,-71619,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-668633,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-97802
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10511004
89,Cash Used for Investing Activites,- -,- -,-5000,- -,- -,-1575,-14335,-5371,-10584,-681286,-71619,-10608806
90,Debt Repayment,- -,- -,-73925,-6250,-109385,- -,-11958,-15000,-17610,-491620,-322512,-64168
91,Common Stock Issued,- -,- -,2100,- -,200000,- -,- -,- -,- -,- -,0,54000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,117,5000,-12314,177676,-28265,1639,-85745,21528,- -,1325535,540440,30637325
95,Cash Used/Provided by Financing Activities,117,5000,-84139,171426,62350,1639,-97703,6528,-17610,833915,217928,30627157
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,-26322,-17093,8539,29873,234625,-165670,324108,132614,-375176,17819338
98,Cash at the End of Period,- -,75,27716,10623,19162,49035,283660,117990,442098,574712,199536,18018874
99,Cash at the Beginning of Period,- -,- -,54038,27716,10623,19162,49035,283660,117990,442098,574712,199536
100,Free Cash Flow,-117,-4925,57817,-188519,-53811,28234,332328,-172198,341718,-32668,-593104,-2199013
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1518461/000147793213002717/0001477932-13-002717-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793214001383/0001477932-14-001383-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793215001978/0001477932-15-001978-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793216009415/0001477932-16-009415-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793217001008/0001477932-17-001008-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793218001614/0001477932-18-001614-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793219001094/0001477932-19-001094-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793220001496/0001477932-20-001496-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793221001890/0001477932-21-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1518461/000147793222001862/0001477932-22-001862-index.htm
102,false,,,,,,,,,,,,
