,https://roic.ai/company/QNST,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
58,Total Non-Current Liabilities,- -,89470000,90882000,80885000,100428000,98489000,83961000,65448000,20740000,4631000,3672000,3938000,18083000,16626000,38756000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8692000,8545000
61,Total Liabilities,- -,129435000,139692000,144608000,169535000,168803000,150652000,131692000,69568000,68350000,56226000,71970000,101782000,102463000,154367000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,15000,15000,47000,50000,43000,43000,44000,45000,45000,45000,48000,50000,52000,54000
64,Retained Earnings,- -,42306000,59580000,80164000,107378000,120379000,53007000,-93397000,-113405000,-132825000,-145033000,-129103000,-66623000,-48521000,-24966000
65,Other Comprehensive Income/Loss,- -,-23234000,-26651000,-29796000,-29895000,-1000000,-1000000,-1000000,-47156000,-52904000,-54896000,-58219000,-60458000,-61752000,-255000
66,Other Total Stockholders Equity,- -,31224000,40242000,239607000,277856000,218935000,226845000,239504000,296101000,310436000,317966000,335600000,349860000,366165000,320315000
67,Total Stockholders Equity,- -,50311000,73186000,290022000,355389000,338357000,278895000,145151000,135585000,124752000,118082000,148326000,222829000,255944000,295148000
68,Total Liabilities And Stockholders Equity,- -,179746000,212878000,434630000,524924000,507160000,429547000,276843000,205153000,193102000,174308000,220296000,324611000,358407000,449515000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,179746000,212878000,434630000,524924000,507160000,429547000,276843000,205153000,193102000,174308000,220296000,324611000,358407000,449515000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1117297/000095012310085682/0000950123-10-085682-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000095012311081083/0000950123-11-081083-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000119312512366660/0001193125-12-366660-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000119312513340993/0001193125-13-340993-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000119312514340265/0001193125-14-340265-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000119312515295982/0001193125-15-295982-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000156459016024561/qnst-10k_20160630.htm,https://www.sec.gov/Archives/edgar/data/1117297/000156459017018479/0001564590-17-018479-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000156459018022989/0001564590-18-022989-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000156459019033605/qnst-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/1117297/000156459020041697/0001564590-20-041697-index.htm,https://www.sec.gov/Archives/edgar/data/1117297/000156459021045870/0001564590-21-045870-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,15610000,12867000,17274000,20584000,27214000,13001000,-67372000,-146404000,-20008000,-19420000,-12208000,15930000,62480000,18102000,23555000
74,Depreciation and Amortization,9637000,11727000,15978000,18791000,27272000,31150000,32325000,26097000,18867000,15087000,11377000,7767000,8975000,11476000,16201000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52019000,3546000,5408000
76,Stock Based Compensation,2071000,3222000,6173000,13371000,13950000,12996000,12016000,10429000,9855000,10968000,8898000,10182000,14128000,16717000,19633000
77,Change in Working Capital,-2917000,21330000,-596000,138738000,7197000,-59139000,7818000,-628000,-40863000,-25285000,3037000,22291000,-9913000,40056000,-9170000
78,Accounts Receivable,-472000,-921000,-9042000,-14403000,3885000,-1983000,15309000,-3484000,-4403000,-1767000,2868000,-24958000,-8321000,11354000,-20063000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,3440000,-4977000,3359000,3363000,6375000,-376000,-4582000,539000,2030000,-505000,5394000,7350000,4534000,103000,6558000
81,Other Working Capital,-4308000,17022000,16426000,155164000,162361000,103222000,111040000,110412000,69549000,44264000,47301000,69592000,59679000,99735000,90565000
82,Other Non-Cash Items,796000,-24395000,-6259000,-152975000,2538000,49719000,67129000,128883000,38282000,19665000,7432000,-29191000,14314000,-42289000,-5012000
83,Cash Provided by Operating Activities,25197000,24751000,32570000,38509000,78171000,47727000,51916000,18377000,6133000,1015000,18536000,26979000,37965000,47608000,50615000
84,CAPEX,-3523000,-3555000,-2407000,-4124000,-7204000,-4647000,-6367000,-10765000,-5688000,-5341000,-3345000,-2756000,-4308000,-4253000,-5100000
85,Acquisitions Net,-11856000,-63244000,-27932000,-68176000,-91838000,-60075000,- -,-875000,-500000,- -,- -,-14154000,-32737000,13096000,-27357000
86,Purchases of Investments,-40860000,-11642000,- -,- -,-54433000,-48216000,-52281000,-50770000,-19100000,- -,- -,- -,- -,- -,-4000000
87,Sales/Maturities of Investments,29905000,29172000,2302000,- -,19227000,45002000,49911000,51205000,55276000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-2061000,-3534000,-1696000,-4057000,-7719000,-4617000,-3839000,-7797000,-64000,-1720000,-1952000,451000,-1916000,-1937000,-5100000
89,Cash Used for Investing Activites,-26365000,-49248000,-27326000,-72233000,-134763000,-67906000,-8720000,-10731000,33270000,-5202000,-4137000,-15849000,-36989000,8868000,-36457000
90,Debt Repayment,-3932000,-4920000,-13060000,-18550000,-15415000,-9861000,-15628000,-15453000,-77984000,-41000,-15000000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,136790000,-106000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-5606000,-1337000,-715000,- -,-43948000,-6157000,- -,- -,- -,-2487000,-647000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1129000,33282000,9385000,46799000,48593000,10362000,169000,1914000,14865000,-2456000,-1018000,4541000,-4054000,-11632000,-11312000
95,Cash Used/Provided by Financing Activities,-2803000,22756000,-5012000,164324000,33072000,-43447000,-21616000,-13539000,-63119000,-2497000,-18505000,3894000,-4054000,-11632000,-11312000
96,Effect of Forex Changes on Cash,143000,-71000,-3000,-12000,40000,-133000,6000,-47000,7000,-74000,-33000,105000,26000,143000,-36000
97,Net Change In Cash,-3828000,-1812000,229000,130588000,-23480000,-63759000,21586000,-5940000,-23709000,-6758000,-4139000,15129000,-3052000,44987000,2810000
98,Cash at the End of Period,26765000,24953000,25182000,155770000,132290000,68531000,90117000,84177000,60468000,53710000,49571000,64700000,62536000,107523000,110333000
99,Cash at the Beginning of Period,30593000,26765000,24953000,25182000,155770000,132290000,68531000,90117000,84177000,60468000,53710000,49571000,65588000,62536000,107523000
100,Free Cash Flow,21674000,21196000,30163000,34385000,70967000,43080000,45549000,7612000,445000,-4326000,15191000,24223000,33657000,43355000,45515000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1117297/000095012310085682/0000950123-10-085682-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000095012311081083/0000950123-11-081083-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000119312512366660/0001193125-12-366660-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000119312513340993/0001193125-13-340993-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000119312514340265/0001193125-14-340265-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000119312515295982/0001193125-15-295982-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000156459016024561/qnst-10k_20160630.htm,https://www.sec.gov/Archives/edgar/data/1117297/000156459017018479/0001564590-17-018479-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000156459018022989/0001564590-18-022989-index.html,https://www.sec.gov/Archives/edgar/data/1117297/000156459019033605/qnst-10k_20190630.htm,https://www.sec.gov/Archives/edgar/data/1117297/000156459020041697/0001564590-20-041697-index.htm,https://www.sec.gov/Archives/edgar/data/1117297/000156459021045870/0001564590-21-045870-index.htm
102,false,,,,,,,,,,,,,,,
