,https://roic.ai/company/WMS,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,- -,44952000,45328000,60390000,66921000,74593000,66867000,63659000,95409000,111859000
53,Total Current Liabilities,- -,167145000,164592000,197594000,241628000,255754000,221243000,206285000,238213000,318270000
54,Long-Term Debt,- -,338048000,442895000,390315000,315345000,310849000,270900000,208602000,1089368000,782220000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,74114000,69169000,65088000,63683000,44007000,32304000,45963000,175616000,162185000
57,Other Non-Current Liabilities,- -,5808000,15324000,74105000,94783000,93467000,93457000,80674000,82109000,87731000
58,Total Non-Current Liabilities,- -,417970000,527388000,529508000,473811000,448323000,396661000,335239000,1347093000,1032136000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,61234000,76040000,80160000,81970000,84672000,72640000,61277000
61,Total Liabilities,- -,585115000,691980000,727102000,715439000,704077000,617904000,541524000,1585306000,1350406000
62,Preferred Stock,- -,282547000,291720000,320490000,310240000,302814000,291247000,282638000,269529000,240944000
63,Common Stock,- -,11957000,11957000,12393000,12393000,12393000,11426000,11436000,11555000,11578000
64,Retained Earnings,- -,87331000,- -,-62621000,-63396000,-83678000,-39214000,17582000,-267619000,-75202000
65,Other Comprehensive Income/Loss,- -,-856000,-5977000,-15521000,-21261000,-24815000,-21247000,-25867000,-35325000,-24220000
66,Other Total Stockholders Equity,- -,-81620000,-74661000,43443000,69200000,120587000,166463000,200860000,794680000,896595000
67,Total Stockholders Equity,- -,299359000,223039000,298184000,307176000,327301000,408675000,486649000,772820000,1049695000
68,Total Liabilities And Stockholders Equity,- -,884474000,915019000,1025286000,1022615000,1031378000,1026579000,1028173000,2358126000,2400101000
69,Minority Interest,- -,23265000,22576000,16413000,15033000,14907000,16663000,13986000,11762000,13731000
70,Total Liabilities & Equity,- -,907739000,937595000,1041699000,1037648000,1046285000,1043242000,1042159000,2369888000,2413832000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1604028/000119312516521419/0001193125-16-521419-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000119312516711072/0001193125-16-711072-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459017011836/0001564590-17-011836-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459018014670/0001564590-18-014670-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459019020937/0001564590-19-020937-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459020027846/0001564590-20-027846-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459021030419/0001564590-21-030419-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,43260000,20660000,11124000,8620000,17954000,32950000,62007000,77772000,-193174000,224230000
74,Depreciation and Amortization,55171000,63102000,55898000,65472000,71009000,72355000,75003000,71900000,124940000,145586000
75,Deferred Income Tax,-5556000,-7152000,-5096000,-15367000,8013000,-8971000,-11239000,12813000,-2924000,-13477000
76,Stock Based Compensation,6382000,9363000,35802000,18024000,13829000,17875000,18845000,21828000,279147000,65434000
77,Change in Working Capital,-6820000,222932000,43631000,-14770000,-54002000,-10323000,52398000,23018000,167770000,-3290000
78,Accounts Receivable,-29657000,24755000,-6716000,-10351000,-37788000,15055000,-4327000,- -,- -,- -
79,Inventory,13721000,-32163000,-33104000,-7563000,28330000,-27917000,-4841000,-2034000,19086000,-14561000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-16942000,31588000,71241000
81,Other Working Capital,-2656000,220276000,263907000,249137000,195135000,184812000,237210000,260228000,427998000,424708000
82,Other Non-Cash Items,-35440000,-233552000,-79237000,12400000,78539000,353000,-59894000,-55653000,-69570000,33733000
83,Cash Provided by Operating Activities,56997000,75353000,62122000,74379000,135342000,104239000,137120000,151678000,306189000,452216000
84,CAPEX,-29863000,-39835000,-43598000,-32080000,-44942000,-51296000,-41709000,-43412000,-67677000,-78757000
85,Acquisitions Net,-47725000,-5039000,-6375000,-43951000,-3188000,-8573000,-1990000,- -,-1089322000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,11892000,-39757000,-35392000,-62000,-888000,-1390000,13254000,868000,6529000,-77874000
89,Cash Used for Investing Activites,-35833000,-44796000,-41767000,-76093000,-49018000,-61259000,-30445000,-42544000,-1150470000,-77874000
90,Debt Repayment,-393074000,-361224000,-511602000,-452631000,-483938000,-440230000,-635769000,-493024000,-2045069000,-328491000
91,Common Stock Issued,- -,- -,- -,79131000,- -,- -,- -,- -,293648000,- -
92,Common Stock Repurchased,-4242000,-3280000,-5491000,-3000,- -,- -,-7947000,- -,- -,- -
93,Dividends Paid,-4931000,-6155000,-112747000,-7869000,-16240000,-16820000,-18478000,-26148000,-92127000,-32155000
94,Other Financing Activites,381014000,339321000,612128000,383163000,417214000,414225000,567241000,401517000,2855120000,6063000
95,Cash Used/Provided by Financing Activities,-21233000,-31338000,-17712000,1791000,-82964000,-42825000,-94953000,-117655000,1011572000,-354583000
96,Effect of Forex Changes on Cash,- -,60000,-73000,-385000,-428000,-260000,-585000,-175000,-1949000,1017000
97,Net Change In Cash,-69000,-721000,2570000,-308000,2932000,-105000,11137000,-8696000,165342000,20776000
98,Cash at the End of Period,2082000,1361000,3931000,3623000,6555000,6450000,17587000,8891000,174233000,195009000
99,Cash at the Beginning of Period,2151000,2082000,1361000,3931000,3623000,6555000,6450000,17587000,8891000,174233000
100,Free Cash Flow,27134000,35518000,18524000,42299000,90400000,52943000,95411000,108266000,238512000,373459000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1604028/000119312516521419/0001193125-16-521419-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000119312516711072/0001193125-16-711072-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459017011836/0001564590-17-011836-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459018014670/0001564590-18-014670-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459019020937/0001564590-19-020937-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459020027846/0001564590-20-027846-index.htm,https://www.sec.gov/Archives/edgar/data/1604028/000156459021030419/0001564590-21-030419-index.htm
102,false,,,,,,,,,,
