,https://roic.ai/company/VALN,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,2619000,2284000,2531000,3509000,4991000,10800000,8610000,7410000,15232000,15059000,14350000,10123000,15017000,16240000,28124000,141290000,218685000
53,Total Current Liabilities,3498000,3306000,3943000,5294000,6999000,12924000,13339000,9808000,28099000,27369000,46362000,38889000,37674000,42945000,41299000,175872000,368979000
54,Long-Term Debt,2709000,2888000,3124000,3864000,5361000,5541000,5268000,5073000,64902000,66036000,76568000,61544000,54096000,40070000,80909000,95767000,104413000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,2750000,- -,- -,- -,- -,- -,3707000,6837000,58000,4741000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112000,65000,65000,- -,- -,412000,1290000
57,Other Non-Current Liabilities,3616000,4069000,3507000,4810000,11065000,16746000,14031000,9842000,17279000,9668000,7810000,6334000,4839000,-1000,525000,99633000,167348000
58,Total Non-Current Liabilities,6325000,6957000,6631000,8674000,16426000,22287000,19299000,17665000,82181000,75704000,84490000,67943000,59000000,43776000,88271000,195870000,277792000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,31037000,30055000,29217000,28371000,27520000,26663000,58900000,52088000,56822000
61,Total Liabilities,9823000,10263000,10574000,13968000,23425000,35211000,32638000,27473000,110280000,103073000,130852000,106832000,96674000,86721000,129570000,371742000,646771000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1312000,1322000,2175000,2192000,2220000,3149000,3168000,3219000,8206000,8453000,11205000,11638000,11638000,13638000,13642000,13646000,15786000
64,Retained Earnings,-3319000,-3461000,-2999000,-7945000,-13141000,-20515000,-24839000,-39439000,-62418000,-90716000,-112836000,-164523000,-171903000,-168171000,-176220000,-233549000,-306974000
65,Other Comprehensive Income/Loss,- -,- -,-1602000,- -,- -,- -,-6212000,-7821000,-27429000,-31051000,-34443000,-35742000,-34273000,-37015000,-31163000,-33156000,52512000
66,Other Total Stockholders Equity,6785000,6798000,31436000,33169000,33450000,61654000,68328000,70235000,225752000,237758000,280409000,288678000,287207000,334734000,328894000,330481000,409257000
67,Total Stockholders Equity,4778000,4659000,29010000,27416000,22529000,44288000,40445000,26194000,144111000,124444000,144335000,100051000,92669000,143186000,135153000,77422000,170581000
68,Total Liabilities And Stockholders Equity,14601000,14922000,39584000,41384000,45954000,79499000,73083000,53667000,254391000,227517000,275187000,206883000,189343000,229907000,264723000,449164000,817352000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-1000,- -,-2000,-1000,1000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,14601000,14922000,39584000,41384000,45954000,79499000,73083000,53666000,254391000,227515000,275186000,206884000,189343000,229907000,264723000,449164000,817352000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-1220000,-243000,-3362000,-2389000,-6144000,-7962000,-4419000,-14841000,-24110000,-26272000,-20617000,-49184000,-11482000,3264000,-1744000,-64393000,-73425000
74,Depreciation and Amortization,1517000,328000,1217000,1308000,1593000,2621000,3319000,4784000,9056000,12359000,11442000,11269000,11141000,6828000,8607000,9799000,14281000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3446000
76,Stock Based Compensation,- -,- -,- -,- -,- -,588000,539000,234000,179000,530000,1018000,1428000,811000,1887000,2552000,6328000,14509000
77,Change in Working Capital,2410000,1100000,-790000,-310000,4497000,2003000,-7600000,-3483000,-6173000,-6527000,-15814000,1670000,3058000,2994000,-3001000,254683000,95480000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,-356000,30000,5646000,-1870000,7537000,2950000,1065000,-2790000,-2415000,-4196000,-92373000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93806000
82,Other Non-Cash Items,-2026000,-3920000,-630000,-451000,993000,-404000,-495000,86000,145000,4966000,-363000,41322000,9301000,1333000,-885000,-68679000,22610000
83,Cash Provided by Operating Activities,681000,-2735000,-3565000,-1842000,939000,-3154000,-8656000,-13220000,-20903000,-14944000,-24334000,6505000,12829000,16306000,5529000,137738000,76901000
84,CAPEX,-3746000,-1146000,- -,-1312000,-4138000,-5641000,-8118000,-822000,-3274000,-3738000,-2646000,-3682000,-4038000,-3171000,-10884000,-19471000,-93171000
85,Acquisitions Net,- -,- -,- -,- -,- -,-2900000,-2518000,-2761000,11615000,- -,-24180000,15279000,- -,- -,- -,- -,- -
86,Purchases of Investments,-3373000,1691000,- -,- -,- -,- -,-45000,-60000,- -,-13616000,- -,- -,-94000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,10037000,17130000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,388000,-453000,-1298000,-4000,323000,-175000,-966000,-1683000,1578000,-575000,-531000,1367000,-1076000,-43000,-183000,-404000,-887000
89,Cash Used for Investing Activites,-6731000,92000,-1298000,-1316000,-3815000,-8716000,-5458000,-5313000,21855000,1993000,-26565000,14888000,-4060000,-2917000,-10685000,-19340000,-93116000
90,Debt Repayment,-234000,-381000,- -,-572000,-729000,-1091000,-1315000,-1461000,-29893000,-5083000,-4350000,-24813000,-16415000,-15571000,-11684000,-21995000,-4761000
91,Common Stock Issued,1250000,22000,- -,99000,27000,29343000,25000,133000,37621000,8701000,42073000,7473000,- -,49286000,21000,290000,166823000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-684000,- -,- -,- -,-147000,-23000,-2484000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4228000,1477000,28023000,8951000,8424000,-5197000,-9508000,10923000,27645000,1656000,26472000,-9452000,6124000,-2747000,6451000,43445000,-7558000
95,Cash Used/Provided by Financing Activities,5244000,1118000,28023000,8478000,7722000,23055000,-10798000,9595000,34689000,5274000,64195000,-26792000,-10438000,30945000,-7696000,21740000,154504000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-44000,- -,36000,25000,-246000,-1241000,-53000,-795000,207000,-183000,3960000
97,Net Change In Cash,-806000,-1525000,23160000,5320000,4846000,11185000,-24956000,-8961000,35677000,-7652000,13050000,-6640000,-1722000,43539000,-12645000,139996000,142292000
98,Cash at the End of Period,1639000,114000,24956000,18717000,23563000,34748000,9792000,831000,36509000,28857000,41907000,35267000,33545000,77084000,64439000,204435000,346686000
99,Cash at the Beginning of Period,2445000,1639000,1796000,13397000,18717000,23563000,34748000,9792000,832000,36509000,28857000,41907000,35267000,33545000,77084000,64439000,204394000
100,Free Cash Flow,-3065000,-3881000,-3565000,-3154000,-3199000,-8795000,-16774000,-14042000,-24177000,-18682000,-26980000,2823000,8791000,13135000,-5355000,118267000,-16270000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,Forex Rate,1.1843,1.3199,1.459,1.398,1.4318,1.3379,1.2945,1.3194,1.3745,1.2097,1.086,1.0513,1.1996,1.1469,1.121,1.2213,1.1368
