,https://roic.ai/company/MCCX,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
22,Income Tax expense (Gain),- -,-306948,-715656,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-413273,-306948,-715656,3123,-994351,-1158854,-411073,-411216,-760955,-45
24,Net Income ratio,-0.6760,-0.3410,-0.7611,0.0015,-0.7450,-0.7076,-0.1635,-0.1031,-0.2349,-0.9284
25,EPS,-0.08,-0.02,-0.05,0.00,-0.06,-0.06,-0.02,-0.02,-0.04,-0.00
26,EPS Diluted,-0.08,-0.02,-0.05,0.00,-0.06,-0.06,-0.02,-0.02,-0.04,-0.00
27,Weighted Average Shares Outstanding,5343585,13132302,14606730,16081158,16492158,20106158,20426158,20426158,20426158,20426158
28,Weighted Average Shares Outstanding Diluted,5343585,13132302,14606730,16081158,16492158,20106158,20426158,20426158,20426158,20426158
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1535079/000100201413000137/0001002014-13-000137-index.html,https://www.sec.gov/Archives/edgar/data/1535079/000100201414000124/0001002014-14-000124-index.htm,https://www.sec.gov/Archives/edgar/data/1535079/000100201415000128/0001002014-15-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1535079/000100201416000632/0001002014-16-000632-index.html,https://www.sec.gov/Archives/edgar/data/1535079/000143774917005781/0001437749-17-005781-index.html,https://www.sec.gov/Archives/edgar/data/1535079/000143774918005752/0001437749-18-005752-index.html,https://www.sec.gov/Archives/edgar/data/1535079/000143774919006163/0001437749-19-006163-index.html,https://www.sec.gov/Archives/edgar/data/1535079/000143774920006337/0001437749-20-006337-index.htm,https://www.sec.gov/Archives/edgar/data/1535079/000143774921009014/0001437749-21-009014-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,52109,106999,653990,649063,492733,1925744,1616076,1350014,588848,297965
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,52109,106999,653990,649063,492733,1925744,1616076,1350014,588848,297965
34,Net Receivables,61218,110720,74978,162340,114805,31889,274785,343036,486317,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1527,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,113327,219246,728968,811403,607538,1957633,1890861,1693050,1075165,297965
38,PP&E,160454,152724,91108,91048,89725,95704,86551,90074,87551,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,59151,59151,43489,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,59151,59151,43489,26250,61224,32906,6250,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,15470,199993,170433,187989,106613,420112,328711,181844,55444,827022
45,Total Non-Current Assets,235075,411868,305030,305287,257562,548722,421512,271918,142995,827022
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,348402,631114,1033998,1116690,865100,2506355,2312373,1964968,1218160,1124987
48,Accounts Payable,70253,50866,110116,79492,133046,67051,218107,220576,253824,52214
49,Short-Term Debt,- -,- -,50000,- -,- -,74386,8169,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,91319,118034,- -,80057,122238,32358,131252
52,Other Current Liabilities,6752,158952,117022,50000,6718,51567,- -,1536,9221,- -
53,Total Current Liabilities,77005,209818,277138,220811,257798,193004,306333,344350,295403,183466
54,Long-Term Debt,150000,- -,100000,86171,50000,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1500,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,151500,- -,100000,86171,50000,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,174227,170829,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,7539,- -
61,Total Liabilities,228505,209818,277138,308867,378627,193004,306333,344350,295403,183466
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,946151,1542651,- -,- -,- -,- -,- -,- -,20426158,- -
64,Retained Earnings,-837310,- -,-1861414,-1858679,-2853030,-4011884,-4422957,-4834173,-5595128,- -
65,Other Comprehensive Income/Loss,-139919,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,150975,-1121355,2618274,2666502,3339503,6325235,6428997,6454791,-13908273,941521
67,Total Stockholders Equity,119897,421296,756860,807823,486473,2313351,2006040,1620618,922757,941521
68,Total Liabilities And Stockholders Equity,348402,631114,1033998,1116690,865100,2506355,2312373,1964968,1218160,1124987
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,348402,631114,1033998,1116690,865100,2506355,2312373,1964968,1218160,1124987
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1535079/000100201413000137/0001002014-13-000137-index.html,https://www.sec.gov/Archives/edgar/data/1535079/000100201414000124/0001002014-14-000124-index.htm,https://www.sec.gov/Archives/edgar/data/1535079/000100201415000128/0001002014-15-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1535079/000100201416000632/0001002014-16-000632-index.html,https://www.sec.gov/Archives/edgar/data/1535079/000143774917005781/0001437749-17-005781-index.html,https://www.sec.gov/Archives/edgar/data/1535079/000143774918005752/0001437749-18-005752-index.html,https://www.sec.gov/Archives/edgar/data/1535079/000143774919006163/0001437749-19-006163-index.html,https://www.sec.gov/Archives/edgar/data/1535079/000143774920006337/0001437749-20-006337-index.htm,https://www.sec.gov/Archives/edgar/data/1535079/000143774921009014/0001437749-21-009014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-413273,-306948,-715656,3123,-994351,-1158854,-411073,-411216,-760955,-45
74,Depreciation and Amortization,11179,7730,59072,75806,103462,191652,226599,200917,139694,25122
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,11056,13347,19120,47840,159251,240732,103762,25794,63094,63266
77,Change in Working Capital,88207,-26894,442402,138762,-240852,1414889,-180101,-235828,-568938,-665263
78,Accounts Receivable,41014,-49502,35742,-86985,47535,82916,-242896,-68251,-143281,-434726
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,57141,-19387,59250,-30624,53281,-65995,151056,2469,- -,- -
81,Other Working Capital,36322,9428,451830,590592,349740,1764629,1584528,1348700,779762,114499
82,Other Non-Cash Items,- -,-38974,-251626,-242397,390045,-1465661,111518,168024,365939,151536
83,Cash Provided by Operating Activities,-302831,-351739,-446688,23134,-582445,-777242,-149295,-252309,-761166,-425384
84,CAPEX,-2932,-188371,-38421,-28061,-87635,-484747,-96156,-5584,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-305736
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-188371,-33437,-26250,-85038,-473521,-91803,- -,- -,29168
89,Cash Used for Investing Activites,-2932,-188371,-38421,-28061,-87635,-484747,-94156,-5584,- -,-276568
90,Debt Repayment,- -,- -,- -,- -,- -,-50000,-66217,-8169,- -,- -
91,Common Stock Issued,40000,596500,1032100,- -,513750,2745000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,150000,-1500,- -,- -,- -,- -,- -,- -,- -,411069
95,Cash Used/Provided by Financing Activities,190000,595000,1032100,- -,513750,2695000,-66217,-8169,- -,411069
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-115763,54890,546991,-4927,-156330,1433011,-309668,-266062,-761166,-290883
98,Cash at the End of Period,52109,106999,653990,649063,492733,1925744,1616076,1350014,588848,297965
99,Cash at the Beginning of Period,167872,52109,106999,653990,649063,492733,1925744,1616076,1350014,588848
100,Free Cash Flow,-305763,-540110,-485109,-4927,-670080,-1261989,-245451,-257893,-761166,-425384
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1535079/000100201413000137/0001002014-13-000137-index.html,https://www.sec.gov/Archives/edgar/data/1535079/000100201414000124/0001002014-14-000124-index.htm,https://www.sec.gov/Archives/edgar/data/1535079/000100201415000128/0001002014-15-000128-index.htm,https://www.sec.gov/Archives/edgar/data/1535079/000100201416000632/0001002014-16-000632-index.html,https://www.sec.gov/Archives/edgar/data/1535079/000143774917005781/0001437749-17-005781-index.html,https://www.sec.gov/Archives/edgar/data/1535079/000143774918005752/0001437749-18-005752-index.html,https://www.sec.gov/Archives/edgar/data/1535079/000143774919006163/0001437749-19-006163-index.html,https://www.sec.gov/Archives/edgar/data/1535079/000143774920006337/0001437749-20-006337-index.htm,https://www.sec.gov/Archives/edgar/data/1535079/000143774921009014/0001437749-21-009014-index.htm
102,false,,,,,,,,,,
