,https://roic.ai/company/PFHO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
25,EPS,-0.04,-0.00,0.01,0.01,-0.00,-0.01,0.01,0.01,0.00,-0.01,0.02,0.06,0.10,0.15,0.13,0.04,0.08,0.10,0.09,0.04
26,EPS Diluted,-0.04,-0.00,0.01,0.01,-0.00,-0.01,0.01,0.01,0.00,-0.01,0.02,0.06,0.10,0.15,0.13,0.04,0.07,0.10,0.09,0.04
27,Weighted Average Shares Outstanding,7606739,9232394,12330936,12342192,12342208,12342208,12342208,12838784,12838784,12838784,12838784,12838784,12838784,12806336,12800000,12800000,12800000,12800000,12800000,12800000
28,Weighted Average Shares Outstanding Diluted,7606739,9232394,12330936,12342192,12342208,12342208,12342208,12838784,12838784,12838784,12838784,12838784,12838784,12806336,12800000,12800000,14176000,12816000,12816000,12816000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1138476/000114037708000056/0001140377-08-000056-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1138476/000118518512000614/0001185185-12-000614-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518513000744/0001185185-13-000744-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518514000739/0001185185-14-000739-index.htm,https://www.sec.gov/Archives/edgar/data/1138476/000118518515000667/0001185185-15-000667-index.htm,https://www.sec.gov/Archives/edgar/data/1138476/000118518516004075/0001185185-16-004075-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518517000731/0001185185-17-000731-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518518000590/0001185185-18-000590-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518519000458/0001185185-19-000458-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518520000348/0001185185-20-000348-index.htm,https://www.sec.gov/Archives/edgar/data/1138476/000118518521000438/0001185185-21-000438-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,201875,398352,506675,345091,273058,419416,624401,604022,349552,368459,479674,1265535,2946025,3834924,5005617,5815071,7072507,8104164,9498457
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,201875,398352,506675,345091,273058,419416,624401,604022,349552,368459,479674,1265535,2946025,3834924,5005617,5815071,7072507,8104164,9498457
34,Net Receivables,- -,42581,120734,179391,351311,241093,224046,177376,166589,274305,527862,1339843,1525381,1868181,1040357,849648,1041242,964141,1129625,1063090
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,9896,24166,40715,42871,65763,65093,65884,78869,104694,83800,52988,110126,157040,346915,148523,210452,300679,309803,86499
37,Total Current Assets,- -,254352,543252,726781,739273,579914,708555,867661,849480,728551,980121,1872505,2901042,4971246,5222196,6003788,7066765,8337327,9543592,10648046
38,PP&E,- -,34161,48472,31252,19911,10371,- -,4025,3443,23295,- -,- -,- -,- -,- -,- -,- -,- -,- -,743752
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,831,- -,- -,8158,79378,176443,135908,187343,295044,252828,193765,168415,710360,- -
45,Total Non-Current Assets,- -,34161,48472,31252,19911,10371,831,4025,3443,31453,79378,176443,135908,187343,295044,252828,193765,168415,710360,743752
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,288513,591724,758033,759184,590285,709386,871686,852923,760004,1059499,2048948,3036950,5158589,5517240,6256616,7260530,8505742,10253952,11391798
48,Accounts Payable,- -,3600,16993,21813,41083,9910,14019,1630,6672,30038,86482,120787,108496,240214,63565,101294,71138,63724,52220,80134
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3146,- -,243049
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61828
51,Deferred Revenue,- -,- -,- -,119608,35352,83521,91382,30494,19534,12035,29706,2443,- -,- -,43329,38748,38357,45448,46066,31544
52,Other Current Liabilities,- -,75514,304921,178887,236176,142065,120299,213659,169154,106640,140377,397140,180472,293341,278020,359001,429057,311669,583386,687823
53,Total Current Liabilities,- -,79114,321914,320308,312611,235496,225700,245783,195360,148713,256565,520370,288968,533555,384914,499043,538552,423987,681672,1042550
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243049
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19413
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,13661,7069,21324,8151,- -,- -,- -,- -,- -,292465,-27234
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,13661,7069,21324,8151,- -,- -,- -,- -,- -,292465,235228
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,19809,13661,40618,21324,8151,- -,- -,- -,- -,558945,309282
61,Total Liabilities,- -,79114,321914,320308,312611,235496,225700,245783,195360,162374,263634,541694,297119,533555,384914,499043,538552,423987,974137,1277778
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1,1,4,16,16
63,Common Stock,- -,15409,15428,15428,15428,15428,15428,802,802,802,802,802,802,800,800,800,800,3200,12800,12800
64,Retained Earnings,- -,- -,- -,-163872,-172003,-270646,-141749,1472,33132,-26801,171434,882823,2115400,4077318,4761952,5328700,6293105,7652882,8850942,9400512
65,Other Comprehensive Income/Loss,- -,-14848,-32124,-54436,-65777,-75317,-84857,-85736,-86318,-92009,-104294,-133573,-177158,-226329,-261594,-346295,-422024,-489108,-565277,- -
66,Other Total Stockholders Equity,- -,208838,286506,640605,668925,685324,694864,709365,709947,715638,727923,757202,800787,773245,631168,774367,850096,914777,981334,416057
67,Total Stockholders Equity,- -,209399,269810,437725,446573,354789,483686,625903,657563,597630,795865,1507254,2739831,4625034,5132326,5757573,6721978,8081755,9279815,9829385
68,Total Liabilities And Stockholders Equity,- -,288513,591724,758033,759184,590285,709386,871686,852923,760004,1059499,2048948,3036950,5158589,5517240,6256616,7260530,8505742,10253952,11107163
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284635
70,Total Liabilities & Equity,- -,288513,591724,758033,759184,590285,709386,871686,852923,760004,1059499,2048948,3036950,5158589,5517240,6256616,7260530,8505742,10253952,11391798
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1138476/000114037708000056/0001140377-08-000056-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1138476/000118518512000614/0001185185-12-000614-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518513000744/0001185185-13-000744-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518514000739/0001185185-14-000739-index.htm,https://www.sec.gov/Archives/edgar/data/1138476/000118518515000667/0001185185-15-000667-index.htm,https://www.sec.gov/Archives/edgar/data/1138476/000118518516004075/0001185185-16-004075-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518517000731/0001185185-17-000731-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518518000590/0001185185-18-000590-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518519000458/0001185185-19-000458-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518520000348/0001185185-20-000348-index.htm,https://www.sec.gov/Archives/edgar/data/1138476/000118518521000438/0001185185-21-000438-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-296397,-35262,57973,154404,-8131,-77451,128897,143222,31660,-59933,198235,711389,1232577,1961918,1677224,566748,964405,1359777,1198060,549570
74,Depreciation and Amortization,2209,12639,17276,22312,11341,9540,9540,879,582,5691,13595,29279,43585,49171,69254,84700,75729,67084,76168,55428
75,Deferred Income Tax,- -,- -,- -,- -,- -,5005,105,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42232
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-6174,175238,46100,185135,20189,-82244,138437,139023,32242,-74282,143718,628579,1259939,1825617,399591,667463,1023468,1385127,948580,743576
78,Accounts Receivable,- -,-42581,-78153,- -,- -,- -,- -,46670,22310,-84139,-284659,-808635,-186314,-374018,813334,181559,-187594,132523,-198145,31534
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-12389,5042,23366,56444,34305,-12291,131718,-176649,37729,-30156,-7414,-11504,27859
81,Other Working Capital,- -,175238,221338,406473,426662,344418,482855,621878,654120,579838,723556,1352135,2612074,4437691,4837282,5504745,6528213,7913340,8861920,9605496
82,Other Non-Cash Items,77701,-87627,105777,-248436,-184983,73117,-130621,-73061,-84863,-120212,-267409,-1158645,-1727896,-1965722,20253,-112671,-1237482,-1492895,-1131983,-403365
83,Cash Provided by Operating Activities,-222661,64988,227126,113415,-161584,-72033,146358,210063,-20379,-248736,88139,210602,808205,1870984,2166322,1206240,826120,1319093,1090825,987441
84,CAPEX,-21760,-27249,-31587,-5092,- -,- -,- -,-4073,- -,-25543,-63084,-126344,-3050,-100606,-158325,-42485,-16666,-41734,-59168,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53848
89,Cash Used for Investing Activites,-21760,-27249,-31587,-5092,- -,- -,- -,-4073,- -,-25543,-63084,-126344,-3050,-100606,-158325,-42485,-16666,-41734,-59168,-53848
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6148,-11423,-19294,-13173,-8151,- -,- -,- -,- -,- -
91,Common Stock Issued,44100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1005,- -,- -,- -,- -,- -,-76715,-177342,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-933605,-2062,- -,-19923,- -,- -
94,Other Financing Activites,18900,- -,938,- -,- -,- -,- -,- -,- -,19809,- -,38380,- -,- -,- -,9000,- -,- -,- -,460700
95,Cash Used/Provided by Financing Activities,63000,- -,938,- -,- -,- -,- -,-1005,- -,19809,-6148,26957,-19294,-89888,-1119098,6938,- -,-19923,- -,460700
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-181421,37739,196477,108323,-161584,-72033,146358,204985,-20379,-254470,18907,111215,785861,1680490,888899,1170693,809454,1257436,1031657,1394293
98,Cash at the End of Period,164136,201875,398352,506675,345091,273058,419416,624401,604022,349552,368459,479674,1265535,2946025,3834924,5005617,5815071,7072507,8104164,9498457
99,Cash at the Beginning of Period,345557,164136,201875,398352,506675,345091,273058,419416,624401,604022,349552,368459,479674,1265535,2946025,3834924,5005617,5815071,7072507,8104164
100,Free Cash Flow,-244421,37739,195539,108323,-161584,-72033,146358,205990,-20379,-274279,25055,84258,805155,1770378,2007997,1163755,809454,1277359,1031657,987441
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1138476/000114037708000056/0001140377-08-000056-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1138476/000118518512000614/0001185185-12-000614-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518513000744/0001185185-13-000744-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518514000739/0001185185-14-000739-index.htm,https://www.sec.gov/Archives/edgar/data/1138476/000118518515000667/0001185185-15-000667-index.htm,https://www.sec.gov/Archives/edgar/data/1138476/000118518516004075/0001185185-16-004075-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518517000731/0001185185-17-000731-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518518000590/0001185185-18-000590-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518519000458/0001185185-19-000458-index.html,https://www.sec.gov/Archives/edgar/data/1138476/000118518520000348/0001185185-20-000348-index.htm,https://www.sec.gov/Archives/edgar/data/1138476/000118518521000438/0001185185-21-000438-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
