,https://roic.ai/company/ICHR,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,215563000,198023000,282491000,557684000,485489000,566555000,774172000,1020876000
48,Accounts Payable,36913000,42027000,88531000,121405000,64300000,131578000,116664000,159727000
49,Short-Term Debt,3250000,4550000,- -,6490000,8750000,14242000,13878000,15133000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,23000,26000,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,26063000,16869000,12539000,19326000,14704000,18047000,31492000,33443000
53,Total Current Liabilities,66249000,63472000,101070000,147221000,87754000,163867000,162034000,208303000
54,Long-Term Debt,51885000,58038000,37944000,180247000,192117000,169304000,196794000,307607000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,5070000,495000,606000,10558000,3966000,210000,109000,38000
57,Other Non-Current Liabilities,2298000,1340000,1212000,2896000,3326000,11758000,3546000,4213000
58,Total Non-Current Liabilities,59253000,59873000,39762000,193701000,199409000,181272000,200449000,311858000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,14573000,10400000,29987000
61,Total Liabilities,125502000,123345000,140832000,340922000,287163000,345139000,362483000,520161000
62,Preferred Stock,142728000,142728000,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,2000,3000,2000,2000,3000,3000
64,Retained Earnings,-54553000,-71054000,-54392000,2062000,59945000,70674000,103953000,174852000
65,Other Comprehensive Income/Loss,- -,- -,-9648000,-12654000,-18960000,-27600000,- -,- -
66,Other Total Stockholders Equity,144614000,145732000,205697000,227351000,157339000,178340000,307733000,325860000
67,Total Stockholders Equity,90061000,74678000,141659000,216762000,198326000,221416000,411689000,500715000
68,Total Liabilities And Stockholders Equity,215563000,198023000,282491000,557684000,485489000,566555000,774172000,1020876000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,215563000,198023000,282491000,557684000,485489000,566555000,774172000,1020876000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1652535/000156459018005482/0001564590-18-005482-index.html,https://www.sec.gov/Archives/edgar/data/1652535/000156459019006988/0001564590-19-006988-index.html,https://www.sec.gov/Archives/edgar/data/1652535/000156459020009069/0001564590-20-009069-index.html,https://www.sec.gov/Archives/edgar/data/1652535/000156459021011114/0001564590-21-011114-index.htm,https://www.sec.gov/Archives/edgar/data/1652535/000156459022007613/0001564590-22-007613-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,6168000,12807000,16662000,56454000,57883000,10729000,33279000,70899000
74,Depreciation and Amortization,9628000,9936000,9497000,12509000,23064000,21869000,24246000,25992000
75,Deferred Income Tax,-6195000,-4927000,-2429000,-15347000,-6687000,-7131000,-1687000,-1863000
76,Stock Based Compensation,1011000,1118000,3216000,2230000,7577000,8537000,9875000,11473000
77,Change in Working Capital,-2830000,-3257000,31160000,75213000,-7412000,-10741000,220600000,-92571000
78,Accounts Receivable,959000,6333000,-9007000,-1059000,10425000,-44562000,-16128000,-33454000
79,Inventory,-12125000,9110000,-23719000,-43425000,35126000,-5931000,-8527000,-89249000
80,Accounts Payable,8749000,-1676000,36761000,22612000,-62173000,67966000,-14509000,38909000
81,Other Working Capital,28117000,24860000,56020000,131233000,123821000,113080000,333680000,- -
82,Other Non-Cash Items,309000,11013000,-30376000,-92256000,-13950000,33887000,-248054000,1600000
83,Cash Provided by Operating Activities,8091000,26690000,27730000,38803000,60475000,57150000,38259000,15530000
84,CAPEX,-3468000,-1367000,-4268000,-8226000,-13920000,-20490000,-10301000,-20839000
85,Acquisitions Net,- -,- -,-17407000,-180955000,-1443000,- -,-5035000,-269026000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-115197000
87,Sales/Maturities of Investments,- -,- -,- -,2430000,- -,- -,- -,114713000
88,Other Investing Activites,-3468000,-1367000,-3795000,-8226000,-13920000,-20490000,-9562000,-20335000
89,Cash Used for Investing Activites,-3468000,-1367000,-21202000,-186751000,-15363000,-20490000,-14597000,-289845000
90,Debt Repayment,-12250000,-69750000,-52171000,-295000,-28910000,-36750000,-8750000,-139053000
91,Common Stock Issued,- -,- -,47103000,7278000,- -,- -,139372000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-89980000,-1599000,- -,- -
93,Dividends Paid,- -,-22127000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9019000,76369000,27000000,157621000,48308000,18467000,38003000,235964000
95,Cash Used/Provided by Financing Activities,-3231000,-15508000,21932000,164604000,-70582000,-19882000,168625000,96911000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1392000,9815000,28460000,16656000,-25470000,16778000,192287000,-177404000
98,Cash at the End of Period,14373000,24188000,52648000,69304000,43834000,60612000,252899000,75495000
99,Cash at the Beginning of Period,12981000,14373000,24188000,52648000,69304000,43834000,60612000,252899000
100,Free Cash Flow,4623000,25323000,23462000,30577000,46555000,36660000,27958000,-5309000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1652535/000156459018005482/0001564590-18-005482-index.html,https://www.sec.gov/Archives/edgar/data/1652535/000156459019006988/0001564590-19-006988-index.html,https://www.sec.gov/Archives/edgar/data/1652535/000156459020009069/0001564590-20-009069-index.html,https://www.sec.gov/Archives/edgar/data/1652535/000156459021011114/0001564590-21-011114-index.htm,https://www.sec.gov/Archives/edgar/data/1652535/000156459022007613/0001564590-22-007613-index.htm
102,false,,,,,,,,
