,https://roic.ai/company/LHX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52800000,72100000,90400000,113200000,109100000,93600000,130000000,183000000,172000000,170000000,217000000,- -,265000000
14,Depreciation and Amortization,- -,134800000,139800000,128000000,115600000,183600000,184100000,171200000,157300000,153400000,165300000,170700000,183500000,210200000,63500000,68600000,79700000,55100000,56400000,55100000,71400000,98400000,135200000,172200000,177700000,165700000,212000000,260300000,220600000,204300000,244000000,361000000,311000000,259000000,571000000,- -,967000000
15,EBITDA,- -,195500000,262200000,214500000,188000000,373500000,193900000,283900000,327100000,336800000,402900000,445100000,495500000,410200000,144700000,100100000,152100000,180200000,146500000,242200000,369800000,479200000,806500000,817900000,441300000,1078100000,1184000000,690100000,645400000,1088900000,851000000,1134000000,1303000000,1352000000,2267000000,- -,3518000000
16,EBITDA ratio,- -,0.0882,0.1261,0.1040,0.0849,0.1224,0.0638,0.0945,0.1055,0.1010,0.1170,0.1229,0.1305,0.1054,0.0830,0.0554,0.0778,0.0961,0.0700,0.0962,0.1232,0.1379,0.1901,0.1540,0.0882,0.2071,0.1998,0.1266,0.1263,0.2173,0.1674,0.1519,0.2208,0.2187,0.1763,- -,0.1975
17,Operating Income,- -,73200000,105400000,85300000,164600000,216600000,32200000,149300000,182600000,230500000,279800000,304700000,314200000,328100000,80900000,29100000,167400000,97500000,85200000,209300000,321200000,406700000,541200000,675500000,793500000,912800000,970200000,941100000,812200000,881900000,713000000,1149000000,1073000000,1122000000,1182000000,- -,3342000000
18,Operating Income ratio,- -,0.0330,0.0507,0.0414,0.0744,0.0710,0.0106,0.0497,0.0589,0.0691,0.0812,0.0841,0.0827,0.0843,0.0464,0.0161,0.0856,0.0520,0.0407,0.0831,0.1070,0.1170,0.1276,0.1272,0.1585,0.1753,0.1638,0.1726,0.1589,0.1760,0.1403,0.1539,0.1819,0.1815,0.0919,- -,0.1876
19,Total Other Income Expenses (Gains),- -,-12500000,17000000,1200000,2600000,-26700000,-22400000,-24300000,-12800000,-37000000,-42200000,-30300000,-2200000,-128100000,-2900000,9400000,-95000000,27600000,4900000,-29300000,-22800000,-25900000,119600000,-37000000,-308200000,-72500000,-89500000,-99200000,-147600000,-86500000,-236000000,-538000000,-168000000,-196000000,311000000,- -,-1059000000
20,Income Before Tax,- -,60700000,122400000,86500000,167200000,189900000,9800000,125000000,169800000,193500000,237600000,274400000,312000000,200000000,78000000,38500000,72400000,125100000,90100000,180000000,298400000,380800000,660800000,638500000,485300000,840300000,880700000,841900000,664600000,795400000,477000000,611000000,905000000,926000000,1493000000,- -,2283000000
21,Income Before Tax Ratio,- -,0.0274,0.0589,0.0419,0.0755,0.0622,0.0032,0.0416,0.0548,0.0580,0.0690,0.0758,0.0822,0.0514,0.0447,0.0213,0.0370,0.0667,0.0431,0.0715,0.0994,0.1096,0.1557,0.1202,0.0970,0.1614,0.1487,0.1544,0.1300,0.1587,0.0938,0.0818,0.1534,0.1498,0.1161,- -,0.1282
22,Income Tax expense (Gain),- -,1100000,37900000,21100000,51000000,59200000,-9700000,37500000,58700000,71600000,83100000,96000000,104500000,67000000,28100000,13500000,51000000,42500000,30600000,54300000,96200000,142900000,190900000,201500000,172900000,278700000,293600000,286000000,202700000,256200000,143000000,266000000,267000000,205000000,146000000,- -,440000000
23,Net Income,- -,59600000,84500000,65400000,21400000,130700000,19500000,75200000,111100000,111800000,154500000,178400000,207500000,133000000,53100000,18000000,21400000,82600000,59500000,132800000,202200000,237900000,480400000,444200000,37900000,561600000,588000000,30600000,113000000,534800000,334000000,324000000,553000000,718000000,1333000000,- -,1846000000
24,Net Income ratio,- -,0.0269,0.0406,0.0317,0.0097,0.0428,0.0064,0.0250,0.0358,0.0335,0.0449,0.0493,0.0546,0.0342,0.0305,0.0100,0.0109,0.0440,0.0284,0.0527,0.0674,0.0685,0.1132,0.0836,0.0076,0.1079,0.0992,0.0056,0.0221,0.1067,0.0657,0.0434,0.0937,0.1161,0.1037,- -,0.1036
25,EPS,- -,0.37,0.52,0.41,0.14,0.82,0.13,0.48,0.70,0.70,0.99,1.15,0.66,0.84,0.34,0.13,0.16,0.63,0.45,1.00,1.52,1.79,3.63,3.32,0.29,4.31,4.63,0.26,1.01,5.00,3.15,2.61,4.50,5.88,8.04,- -,8.63
26,EPS Diluted,- -,0.37,0.52,0.41,0.14,0.82,0.13,0.48,0.70,0.70,0.99,1.15,0.66,0.83,0.34,0.13,0.16,0.63,0.45,0.99,1.46,1.71,3.43,3.26,0.28,4.28,4.60,0.26,1.01,4.95,3.11,2.59,4.44,5.76,7.89,- -,8.63
27,Weighted Average Shares Outstanding,- -,161081081,164077670,159512195,158518519,158424242,156000000,156666667,157588652,158581560,156455696,155807860,155642458,158333333,158507463,144000000,133750000,132160000,132222222,132139303,133026316,132905028,132341598,133900000,132300000,129000000,125300000,114200000,110500000,106100000,105700000,123800000,122600000,118600000,166000000,- -,195100000
28,Weighted Average Shares Outstanding Diluted,- -,161081081,164077670,159512195,158518519,158424242,156000000,156666667,157588652,160000000,156455696,155807860,157401130,160240964,158507463,144000000,133750000,132160000,132222222,133467337,138493151,139122807,140058309,136500000,133200000,130000000,126300000,114800000,111200000,107300000,106800000,125000000,124300000,121100000,169000000,- -,196800000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/202058/000020205822000015/0000202058-22-000015-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,139100000,119300000,74600000,71000000,184000000,86000000,378200000,103000000,226000000,443000000,628000000,378000000,181300000,368000000,370000000,281000000,455000000,367000000,356000000,321000000,561000000,481000000,487000000,484000000,288000000,824000000,- -,941000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91000000,45000000,16000000,432500000,147000000,52000000,23000000,16000000,- -,112600000,61000000,22000000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,139100000,119300000,74600000,162000000,229000000,102000000,810700000,250000000,278000000,466000000,644000000,378000000,293900000,429000000,392000000,284000000,455000000,367000000,356000000,321000000,561000000,481000000,487000000,484000000,288000000,824000000,- -,941000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1016900000,1032000000,1125600000,821000000,805000000,412000000,466500000,452000000,381000000,425000000,464000000,494000000,560600000,749000000,859000000,792000000,742000000,894000000,762000000,733000000,594000000,1255000000,749000000,647000000,1422000000,- -,- -,4066000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,463100000,494900000,544100000,936000000,851000000,390000000,197200000,450000000,412000000,379000000,332000000,350000000,468900000,557000000,610000000,607000000,615000000,721000000,618000000,669000000,619000000,1015000000,867000000,841000000,411000000,1219000000,- -,982000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,79200000,164500000,196600000,145000000,215000000,127000000,154600000,70000000,83000000,88000000,114000000,96000000,105000000,94000000,186000000,176000000,184000000,235000000,864000000,225000000,217000000,432000000,521000000,101000000,103000000,3675000000,- -,48000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1698300000,1810700000,1940900000,2064000000,2100000000,1031000000,1629000000,1222000000,1154000000,1358000000,1554000000,1318000000,1428400000,1829000000,2047000000,1859000000,1996000000,2217000000,2600000000,1948000000,1991000000,3183000000,2624000000,2073000000,2224000000,5718000000,- -,6037000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,551300000,581000000,721700000,878000000,947000000,292000000,295400000,282000000,271000000,289000000,283000000,308000000,365300000,459000000,482000000,543000000,610000000,873000000,659000000,653000000,728000000,1165000000,924000000,904000000,900000000,- -,- -,2870000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215000000,215000000,228000000,223000000,570000000,951100000,1525000000,1547000000,1507000000,1576000000,2381000000,1695000000,1692000000,1711000000,6348000000,5352000000,5366000000,5372000000,- -,- -,18189000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000000,166600000,212800000,228000000,214000000,73000000,166200000,- -,- -,- -,- -,99000000,193400000,418000000,367000000,336000000,298000000,502000000,422000000,308000000,258000000,1775000000,1231000000,1104000000,989000000,- -,- -,6640000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000000,166600000,212800000,228000000,214000000,73000000,166200000,215000000,215000000,228000000,223000000,669000000,1144500000,1943000000,1914000000,1843000000,1874000000,2883000000,2117000000,2000000000,1969000000,8123000000,6583000000,6470000000,6361000000,28276000000,- -,24829000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000000,144000000,47000000,- -,- -,- -,- -,3000000,27000000,- -,62000000,30000000,- -,- -,- -,- -,- -,- -,12000000,4000000,409000000,79000000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,261500000,277700000,331300000,384000000,379000000,1516000000,236300000,241000000,219000000,205000000,163000000,135000000,204100000,113000000,86000000,220000000,255000000,200000000,217000000,257000000,243000000,644000000,1874000000,234000000,287000000,3045000000,- -,973000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,978800000,1025300000,1265800000,1574000000,1684000000,1928000000,697900000,738000000,705000000,722000000,672000000,1139000000,1713900000,2577000000,2512000000,2606000000,2739000000,3956000000,2993000000,2910000000,2940000000,9944000000,9385000000,8017000000,7627000000,31321000000,- -,28672000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2677100000,2836000000,3206700000,3638000000,3784000000,2959000000,2326900000,1960000000,1859000000,2080000000,2226000000,2457000000,3142300000,4406000000,4559000000,4465000000,4735000000,6173000000,5593000000,4858000000,4931000000,13127000000,12009000000,10090000000,9851000000,37039000000,- -,34709000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,184500000,168700000,209000000,197000000,190000000,154000000,109500000,126000000,99000000,114000000,129000000,164000000,235600000,350000000,391000000,368000000,329000000,451000000,381000000,340000000,324000000,581000000,494000000,540000000,622000000,1261000000,- -,1767000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,20800000,170300000,183500000,289000000,231000000,324000000,108400000,33000000,25000000,32000000,9900000,4200000,1600000,719800000,14200000,106400000,30700000,184900000,164200000,158000000,59700000,163000000,397000000,634000000,382000000,- -,- -,13000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,- -,- -,57000000,11000000,31000000,15000000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82000000,88000000,114000000,96000000,129900000,94000000,117000000,117000000,145000000,171000000,221500000,308000000,265900000,433000000,319000000,252000000,314000000,1214000000,- -,1297000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,599400000,716300000,790600000,803000000,841000000,329000000,338000000,301000000,220000000,262000000,290100000,325800000,385000000,474200000,472800000,518600000,538300000,624100000,647300000,491000000,465400000,1097000000,771000000,500000000,532000000,720000000,- -,444000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,804700000,1055300000,1183100000,1289000000,1262000000,807000000,555900000,460000000,426000000,496000000,543000000,590000000,752100000,1638000000,995000000,1110000000,1043000000,1431000000,1414000000,1297000000,1115000000,2274000000,1981000000,1926000000,1850000000,3195000000,- -,3521000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,661700000,475900000,588500000,687000000,769000000,515000000,382600000,384000000,283000000,402000000,401000000,401000000,699500000,409000000,832000000,1177000000,1177000000,1887000000,1883000000,1577000000,1576000000,5053000000,4120000000,3396000000,3408000000,781000000,- -,7816000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,22700000,56000000,62200000,- -,- -,- -,14100000,- -,26000000,20000000,2000000,26000000,28600000,61000000,29000000,85000000,107000000,5000000,800000,1800000,2100000,7000000,9000000,34000000,90000000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000000,144000000,47000000,- -,1000000,-26000000,-21000000,1000000,1000000,- -,394000000,429000000,224000000,218000000,348000000,356200000,421200000,411900000,2396000000,2843000000,1806000000,1225000000,10323000000,- -,4053000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,684400000,531900000,650700000,771000000,913000000,562000000,396700000,385000000,283000000,401000000,404000000,428000000,728100000,864000000,1290000000,1486000000,1502000000,2240000000,2240000000,2000000000,1990000000,7456000000,6972000000,5236000000,4723000000,11104000000,- -,11869000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,781000000,- -,768000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1489100000,1587200000,1833800000,2060000000,2175000000,1369000000,952600000,845000000,709000000,897000000,947000000,1018000000,1480200000,2502000000,2285000000,2596000000,2545000000,3671000000,3654000000,3297000000,3105000000,9730000000,8953000000,7162000000,6573000000,14299000000,- -,15390000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,80000000,80000000,69000000,66000000,66000000,66000000,66000000,133000000,132800000,130000000,134000000,131000000,128000000,123000000,112000000,107000000,106000000,124000000,125000000,120000000,118000000,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,943100000,969400000,1072700000,1220000000,1283000000,1247000000,864100000,802000000,872000000,905000000,968000000,1094000000,1252800000,1473000000,1661000000,1323000000,1621000000,1889000000,1417000000,1080000000,1226000000,1258000000,1330000000,1343000000,1648000000,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1185300000,-1236200000,-1278100000,58000000,-50000000,-16000000,-536900000,66000000,-24000000,-18200000,-12100000,-6600000,11700000,18600000,26000000,-51000000,-20400000,18700000,-22600000,-58600000,-14900000,-16000000,-495000000,-276000000,-202000000,- -,- -,-146000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1430200000,1515600000,1578300000,260000000,296000000,279000000,978100000,181000000,236000000,230400000,256900000,218700000,264800000,282200000,453000000,466100000,461000000,471300000,432500000,432900000,508900000,2031000000,2096000000,1741000000,1758000000,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1188000000,1248800000,1372900000,1578000000,1609000000,1590000000,1374300000,1115000000,1150000000,1183200000,1278800000,1439100000,1662100000,1903800000,2274000000,1869100000,2189600000,2502000000,1938900000,1561300000,1826000000,3397000000,3056000000,2928000000,3322000000,22740000000,- -,19319000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2677100000,2836000000,3206700000,3638000000,3784000000,2959000000,2326900000,1960000000,1859000000,2080200000,2225800000,2457100000,3142300000,4405800000,4559000000,4465100000,4734600000,6173000000,5592900000,4858300000,4931000000,13127000000,12009000000,10090000000,9895000000,37039000000,- -,34709000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,200000,-100000,- -,200000,- -,-100000,400000,- -,100000,-300000,- -,- -,- -,- -,-44000000,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2677100000,2836000000,3206700000,3638000000,3784000000,2959000000,2326900000,1960000000,1859000000,2080000000,2226000000,2457000000,3142300000,4406000000,4559000000,4465000000,4735000000,6173000000,5593000000,4858000000,4931000000,13127000000,12009000000,10090000000,9851000000,37039000000,- -,34709000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/202058/000020205822000015/0000202058-22-000015-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,21400000,130700000,19500000,75200000,111100000,111800000,154500000,178400000,207500000,133000000,53100000,18000000,21400000,82600000,59500000,132800000,202200000,237900000,480400000,444200000,37900000,561600000,588000000,30600000,113000000,534800000,334000000,324000000,553000000,718000000,1333000000,- -,1846000000
74,Depreciation and Amortization,- -,- -,- -,- -,115600000,183600000,184100000,171200000,157300000,153400000,165300000,170700000,183500000,210200000,63500000,68600000,79700000,55100000,56400000,55100000,71400000,98400000,135200000,172200000,177700000,165700000,212000000,260300000,220600000,204300000,244000000,361000000,311000000,259000000,571000000,- -,967000000
75,Deferred Income Tax,- -,- -,- -,- -,12900000,-11500000,-5700000,-2500000,-27800000,12100000,33300000,7400000,22200000,59900000,-100000,-33200000,-8600000,-6400000,5600000,23200000,16500000,-1800000,-16300000,-4700000,-47200000,-6500000,37100000,-55800000,-49600000,31700000,39000000,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41900000,35300000,46100000,34700000,32900000,35400000,37000000,39000000,42000000,82000000,72000000,- -,348000000
77,Change in Working Capital,- -,- -,- -,- -,-152800000,- -,- -,- -,- -,893600000,-138200000,2400000,17200000,63000000,-614000000,849100000,-311100000,-34000000,134000000,149000000,-283000000,-51700000,-485300000,861000000,-303000000,204000000,-167000000,400000000,-535000000,225000000,33000000,-266000000,-496000000,227000000,2213000000,- -,-40000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,-42900000,-15200000,78300000,115800000,-17000000,192000000,111000000,-112000000,93000000,- -,217000000
79,Inventory,- -,- -,- -,- -,3300000,-23600000,7300000,-17700000,-58100000,- -,- -,- -,- -,- -,- -,52600000,- -,- -,33100000,46700000,-17000000,-81000000,-46000000,-51300000,-68300000,-13900000,-64700000,-25200000,-54100000,50100000,20000000,-28000000,28000000,-84000000,171000000,- -,-68000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,82000000,-131000000,- -,430000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,893600000,755400000,757800000,775000000,838000000,224000000,1073100000,762000000,728000000,862000000,1011000000,728000000,676300000,191000000,1052000000,749000000,953000000,786000000,1186000000,651000000,876000000,909000000,643000000,147000000,374000000,2523000000,- -,178000000
82,Other Non-Cash Items,- -,- -,- -,- -,21900000,-120800000,-10500000,31300000,-31300000,-997800000,74100000,-97100000,-226000000,-74500000,750100000,-836700000,191300000,109300000,-102700000,-89800000,294300000,51400000,324600000,-922400000,759500000,-157400000,116900000,183100000,1051100000,-182000000,167000000,466000000,159000000,-535000000,-2534000000,- -,-434000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,19000000,182000000,187400000,275200000,209300000,173100000,289000000,261800000,204400000,391600000,252600000,65800000,-27300000,206600000,152800000,270300000,301400000,334200000,438600000,550300000,666800000,802700000,833100000,852900000,833000000,849200000,854000000,924000000,569000000,751000000,1655000000,- -,2687000000
84,CAPEX,- -,- -,- -,- -,-437600000,-193200000,-133500000,-122000000,-137100000,-134900000,-194500000,-292900000,-349900000,-297800000,-96100000,-81300000,-55200000,-45900000,-73000000,-66400000,-75000000,-146400000,-129100000,-146200000,-121800000,-198000000,-324900000,-233800000,-178200000,-212600000,-148000000,-152000000,-119000000,-136000000,-267000000,- -,-335000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-123900000,-147600000,-9400000,- -,- -,-427300000,-509600000,-404600000,-19400000,-745300000,-52100000,-1082600000,-14100000,147400000,42000000,-3136000000,170000000,989000000,-2000000,1473000000,- -,1729000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-335800000,-356000000,-9300000,-1200000,- -,-10000000,-1000000,-800000,- -,- -,-19000000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,127400000,69100000,30100000,7900000,13400000,223200000,473700000,40300000,3700000,- -,- -,- -,11900000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,77500000,19400000,- -,- -,-25900000,- -,- -,-69900000,-24300000,- -,69100000,1038200000,15800000,15500000,13600000,41900000,- -,- -,33100000,- -,-23100000,-8100000,-13600000,-23900000,-13400000,4700000,- -,- -,- -,-3000000,22000000,- -,- -
