,https://roic.ai/company/VRAY,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1597313/000159731315000002/0001597313-15-000002-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1597313/000156459017004690/0001564590-17-004690-index.html,https://www.sec.gov/Archives/edgar/data/1597313/000156459018005299/0001564590-18-005299-index.html,https://www.sec.gov/Archives/edgar/data/1597313/000156459019007939/0001564590-19-007939-index.html,https://www.sec.gov/Archives/edgar/data/1597313/000156459020010463/0001564590-20-010463-index.html,https://www.sec.gov/Archives/edgar/data/1597313/000156459021011089/0001564590-21-011089-index.htm,https://www.sec.gov/Archives/edgar/data/1597313/000162828022003905/0001628280-22-003905-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-27222000,-24429,-44995000,-50636000,-72176000,-76396000,-120199000,-107908000,-110048000
74,Depreciation and Amortization,1149000,- -,1256000,1708000,2197000,3499000,4655000,6419000,5984000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,219000,- -,1066000,2907000,5319000,14169000,19445000,22805000,23871000
77,Change in Working Capital,-4283000,139,15463832,-16762000,67794000,157296000,29001000,-85282000,39792000
78,Accounts Receivable,-254000,- -,74000,-3370000,-16126000,-16541000,20050000,5048000,-9890000
79,Inventory,-5175000,- -,-2413000,-2065000,-12329000,-32214000,-5951000,8240000,883000
80,Accounts Payable,-666000,80,-2053000,381000,6309000,-870000,2759000,-3352000,-746000
81,Other Working Capital,3029,3168,15467000,-1295000,66499000,223795000,252796000,167514000,207306000
82,Other Non-Cash Items,4766000,-59,-12639832,34627000,-73187000,-220762000,-12469000,100492000,-21690000
83,Cash Provided by Operating Activities,-25371000,-24349,-39849000,-28156000,-70053000,-122194000,-79567000,-63474000,-62091000
84,CAPEX,-1698000,- -,-4255000,-7043000,-2163000,-3685000,-7817000,-6183000,-1559000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-395000,- -,6000,-212000,- -,- -,-57000,- -,- -
89,Cash Used for Investing Activites,-1593000,- -,-4145000,-7243000,-2163000,-3685000,-7817000,-6183000,-1559000
90,Debt Repayment,- -,- -,-15000000,- -,- -,-45000000,- -,- -,- -
91,Common Stock Issued,- -,24568,29447000,13750000,116167000,231878000,149559000,- -,137884000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,49395000,4500,39085000,15180000,-760000,49834000,-3353000,-350000,-12606000
95,Cash Used/Provided by Financing Activities,49395000,29068,53532000,28930000,115407000,236712000,146206000,-350000,125278000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,22431000,4719,9538000,-6469000,43191000,110833000,58822000,-70007000,61628000
98,Cash at the End of Period,26529000,7927,20667000,14198000,57389000,169365000,228187000,158180000,219808000
99,Cash at the Beginning of Period,4098000,3208,11129000,20667000,14198000,58532000,169365000,228187000,158180000
100,Free Cash Flow,-27069000,-24349,-44104000,-35199000,-72216000,-125879000,-87384000,-69657000,-63650000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1597313/000159731315000002/0001597313-15-000002-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1597313/000156459017004690/0001564590-17-004690-index.html,https://www.sec.gov/Archives/edgar/data/1597313/000156459018005299/0001564590-18-005299-index.html,https://www.sec.gov/Archives/edgar/data/1597313/000156459019007939/0001564590-19-007939-index.html,https://www.sec.gov/Archives/edgar/data/1597313/000156459020010463/0001564590-20-010463-index.html,https://www.sec.gov/Archives/edgar/data/1597313/000156459021011089/0001564590-21-011089-index.htm,https://www.sec.gov/Archives/edgar/data/1597313/000162828022003905/0001628280-22-003905-index.htm
102,false,,,,,,,,,
