,https://roic.ai/company/LIND,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,27634,40393,1591000,-12122000,-8271000,-13170000,-12260000,-21547000,-10356000
20,Income Before Tax,-2477,-4768,-721020,-1012308,17093000,1859000,2473000,12168000,20938000,-109945000,-121187000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,0.0814,0.0077,0.0093,0.0393,0.0610,-1.3350,-0.8238
22,Income Tax expense (Gain),- -,- -,- -,- -,-2649000,-3200000,10002000,616000,2190000,-9805000,-2019000
23,Net Income,-2477,-4768,-721020,-1012308,19742000,4864000,-8661000,11352000,16353000,-98737000,-119206000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,0.0940,0.0201,-0.0325,0.0367,0.0477,-1.1989,-0.8103
25,EPS,-0.00,-0.00,-0.12,-0.16,0.44,0.11,-0.19,0.25,0.29,-2.01,-2.38
26,EPS Diluted,-0.00,-0.00,-0.12,-0.16,0.43,0.10,-0.19,0.24,0.28,-2.01,-2.38
27,Weighted Average Shares Outstanding,18000000,18000000,5824828,6201785,44917829,45649971,44576912,45378188,47440788,49737129,50110188
28,Weighted Average Shares Outstanding Diluted,18000000,18000000,5824828,6201785,45575387,46456921,44576912,46340054,49426563,49737129,50110188
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1512499/000121390014001290/0001213900-14-001290-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000121390015001766/0001213900-15-001766-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000121390016011585/0001213900-16-011585-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000121390017002063/0001213900-17-002063-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000121390018002504/0001213900-18-002504-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000143774919003639/0001437749-19-003639-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000143774920003599/0001437749-20-003599-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000143774921005933/0001437749-21-005933-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000143774922004682/0001437749-22-004682-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,33589,2577,312298,28634,206903000,135416000,96443000,113396000,101579000,187531000,150753000
32,Short-Term Investments,- -,- -,9973,9998,1197000,1414000,1341000,1402000,1575000,- -,- -
33,Cash and Short-Term Investments,33589,2577,322271,38632,208100000,136830000,97784000,114798000,103154000,187531000,150753000
34,Net Receivables,- -,- -,4333,6530,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,6715000,5807000,6839000,6769000,8326000,7641000,10553000
36,Other Current Assets,1256,- -,87478,84553,19529000,28383000,27067000,28616000,35159000,33998000,49034000
37,Total Current Assets,34845,2577,414082,129715,234344000,171020000,131690000,150183000,146639000,229170000,210340000
38,PP&E,- -,- -,- -,- -,125471000,186236000,250952000,285979000,363895000,487755000,546820000
39,Goodwill,- -,- -,- -,- -,- -,22105000,22105000,22105000,22105000,22105000,42017000
40,Intangible Assets,- -,- -,- -,- -,6227000,11132000,9554000,7975000,6396000,4817000,13235000
41,Intangible Assets,- -,- -,- -,- -,6227000,33237000,31659000,30080000,28501000,26922000,55252000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,3216000,4118000,- -,- -,218000,5539000,7609000
44,Other Non-Current Assets,137698,165198,200013400,200000000,12355000,13090000,10047000,7167000,9405000,8063000,7470000
45,Total Non-Current Assets,137698,165198,200013400,200000000,147269000,236681000,292658000,323226000,402019000,528279000,617151000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,172543,167775,200427482,200129715,381613000,407701000,424348000,473409000,548658000,757449000,827491000
48,Accounts Payable,150000,150000,13023,81559,8843000,7573000,7791000,9326000,14633000,5285000,- -
49,Short-Term Debt,150000,150000,- -,- -,1750000,1750000,1750000,2000000,5860000,12730000,27614000
50,Tax Payable,- -,- -,180000,360000,2045000,884000,1490000,576000,603000,2000,- -
51,Deferred Revenue,- -,- -,- -,- -,76604000,91501000,112238000,123489000,138825000,120737000,212598000
52,Other Current Liabilities,-149980,-149980,184020,830000,17125000,23089000,22631000,24618000,23598000,17056000,49252000
53,Total Current Liabilities,150020,150020,197043,911559,104322000,123913000,144410000,159433000,182916000,155808000,289464000
54,Long-Term Debt,- -,- -,- -,- -,162693000,164128000,164186000,188089000,213543000,475274000,521836000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,2444000,2787000,4491000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,677000,5851000,6986000,7056000,24458000,7584000,247000
58,Total Non-Current Liabilities,- -,- -,- -,- -,163370000,169979000,173616000,197932000,242492000,482858000,522083000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,6364000,5390000,4731000
61,Total Liabilities,150020,150020,197043,911559,267692000,293892000,318026000,357365000,425408000,638666000,811547000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,83825000,83901000
63,Common Stock,517,517,187982768,187982768,5000,5000,5000,5000,5000,5000,5000
64,Retained Earnings,-2477,-7245,-728265,-1740573,65843000,70707000,63819000,75171000,81655000,-11572000,-136439000
65,Other Comprehensive Income/Loss,- -,- -,4,29,-98307000,-93330000,-109099000,-671000,-4681000,-1602000,-634000
66,Other Total Stockholders Equity,24483,24483,12975932,12975932,146380000,136427000,151597000,41539000,46271000,48127000,58485000
67,Total Stockholders Equity,22523,17755,200230439,199218156,113921000,113809000,106322000,116044000,123250000,118783000,5318000
68,Total Liabilities And Stockholders Equity,172543,167775,200427482,200129715,381613000,407701000,424348000,473409000,548658000,757449000,816865000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10626000
70,Total Liabilities & Equity,172543,167775,200427482,200129715,381613000,407701000,424348000,473409000,548658000,757449000,827491000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1512499/000121390014001290/0001213900-14-001290-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000121390015001766/0001213900-15-001766-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000121390016011585/0001213900-16-011585-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000121390017002063/0001213900-17-002063-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000121390018002504/0001213900-18-002504-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000143774919003639/0001437749-19-003639-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000143774920003599/0001437749-20-003599-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000143774921005933/0001437749-21-005933-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000143774922004682/0001437749-22-004682-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-2477,-4768,-721020,-1012308,19742000,4864000,-8661000,11352000,16353000,-98737000,-119206000
74,Depreciation and Amortization,- -,- -,- -,- -,11645000,18420000,17351000,20768000,25864000,32133000,39546000
75,Deferred Income Tax,- -,- -,- -,- -,-3413000,-3326000,8336000,343000,1486000,-9812000,-833000
76,Stock Based Compensation,- -,- -,- -,- -,4913000,5411000,10627000,4405000,3573000,2388000,5563000
77,Change in Working Capital,-1236,-32268,364482,-998883,130803844,-82915000,-59827000,3470000,-27027000,109639000,102919000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-163000,1073000,-1036000,70000,-1557000,685000,-2912000
80,Accounts Payable,- -,- -,- -,68536,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-115175,-147443,217039,-781844,130022000,47107000,-12720000,-9250000,-36277000,73362000,83946000
82,Other Non-Cash Items,- -,33524,-239109,1246387,-123388844,88973000,85092000,16019000,42334000,-127868000,4506000
83,Cash Provided by Operating Activities,-3713,-3512,-595647,-764804,40302000,31427000,52918000,56357000,62583000,-92257000,32495000
84,CAPEX,- -,- -,- -,- -,-14800000,-75933000,-80485000,-54345000,-96002000,-155479000,-96688000
85,Acquisitions Net,- -,- -,- -,- -,-68087000,-9946000,- -,- -,- -,- -,-18036000
86,Purchases of Investments,- -,- -,-9969,- -,-68087000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-200033561,11140,69463000,-555000,1958000,- -,-4083000,- -,- -
89,Cash Used for Investing Activites,- -,- -,-200043530,11140,-81511000,-86434000,-78527000,-54345000,-100085000,-155479000,-114724000
90,Debt Repayment,- -,- -,-150000,- -,-41879000,-1750000,-1750000,-171625000,-2000000,-2842000,-5957000
91,Common Stock Issued,25000,- -,200000000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-5478000,- -,-6192000,-4510000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12302,-27500,1098898,470000,255881000,-14602000,-5452000,192656000,26609000,345835000,56364000
95,Cash Used/Provided by Financing Activities,37302,-27500,200948898,470000,208524000,-16352000,-13394000,16521000,24609000,342993000,50407000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-91000,-128000,30000,118000,- -,- -,- -
97,Net Change In Cash,37302,-31012,309721,-283664,167224000,-71487000,-38973000,18651000,-12893000,95257000,-31822000
98,Cash at the End of Period,33589,2577,312298,28634,206903000,135416000,96443000,122151000,109258000,204515000,172693000
99,Cash at the Beginning of Period,- -,33589,2577,312298,39679000,206903000,135416000,103500000,122151000,109258000,204515000
100,Free Cash Flow,-3713,-3512,-595647,-764804,25502000,-44506000,-27567000,2012000,-33419000,-247736000,-64193000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1512499/000121390014001290/0001213900-14-001290-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000121390015001766/0001213900-15-001766-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000121390016011585/0001213900-16-011585-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000121390017002063/0001213900-17-002063-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000121390018002504/0001213900-18-002504-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000143774919003639/0001437749-19-003639-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000143774920003599/0001437749-20-003599-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000143774921005933/0001437749-21-005933-index.htm,https://www.sec.gov/Archives/edgar/data/1512499/000143774922004682/0001437749-22-004682-index.htm
102,false,,,,,,,,,,,
