,https://roic.ai/company/FNV,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,141576000,377480000,133814000,16700000,148200000,18000000,- -,18800000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,12894000,214825000,500129000,547701000,810800000,779900000,788000000,592500000,168000000,253000000,511100000,69700000,132100000,534200000,539300000
34,Net Receivables,3281000,22866000,26789000,47386000,79100000,83400000,78000000,72100000,65100000,71100000,65900000,75500000,97800000,93400000,159500000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,7100000,- -,4400000,500000,500000
36,Other Current Assets,1786000,10674000,13263000,3968000,4500000,15900000,46300000,34300000,41600000,34400000,32300000,33300000,44400000,35600000,52100000
37,Total Current Assets,17961000,248365000,540181000,599055000,894400000,879200000,912300000,698900000,274700000,361200000,616400000,178500000,278700000,663700000,751400000
38,PP&E,- -,1167873000,1348700000,1427099000,1912100000,2223600000,2050200000,2664800000,3274600000,3683000000,3952500000,4566300000,4810000000,4639500000,5156400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,87848000,68683000,106575000,182131000,74400000,108400000,38200000,67100000,94800000,147400000,203100000,169700000,145600000,195600000,235100000
43,Tax Assets,- -,14826000,19305000,16901000,10600000,8700000,15800000,13900000,16100000,21300000,14500000,17300000,6800000,45100000,49400000
44,Other Non-Current Assets,1230847000,4039000,6130000,8442000,9500000,24000000,28400000,22200000,14100000,8700000,1900000,- -,39500000,49000000,17600000
45,Total Non-Current Assets,1318695000,1255421000,1480710000,1634573000,2006600000,2364700000,2132600000,2768000000,3399600000,3860400000,4172000000,4753300000,5001900000,4929200000,5458500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1336656000,1503786000,2020891000,2233628000,2901000000,3243900000,3044900000,3466900000,3674300000,4221600000,4788400000,4931800000,5280600000,5592900000,6209900000
48,Accounts Payable,- -,- -,- -,- -,7300000,6200000,5600000,6200000,6200000,9600000,6200000,7300000,6800000,3500000,8500000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,7400000,12800000,5000000,3400000,2800000,16600000,1100000,1400000,11600000,12400000,9600000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3917000,9310000,9481000,26374000,36000000,50600000,45500000,14900000,14600000,28000000,16400000,17700000,46600000,49700000,34700000
53,Total Current Liabilities,3917000,9310000,9481000,26374000,43300000,56800000,51100000,21100000,20800000,37600000,22600000,25000000,53400000,53200000,43200000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,457300000,- -,- -,207600000,80000000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,45685000,60877000,81142000,105154000,23500000,38000000,30000000,40300000,33200000,37500000,60300000,67300000,82400000,91500000,135400000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,4400000,6100000
58,Total Non-Current Liabilities,45685000,60877000,81142000,105154000,23500000,38000000,30000000,40300000,490500000,37500000,60300000,274900000,165000000,95900000,141500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,- -,- -
61,Total Liabilities,49602000,70187000,90623000,131528000,66800000,94800000,81100000,61400000,511300000,75100000,82900000,299900000,218400000,149100000,184700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1310171000,- -,- -,- -,- -,3116700000,3133000000,3656600000,3709000000,4666200000,5107800000,5158300000,5390700000,5580100000,5628500000
64,Retained Earnings,-33079000,-14512000,38135000,70451000,-135500000,-120600000,-212500000,-197800000,-302200000,-336800000,-310000000,-321700000,-164400000,-34400000,484900000
65,Other Comprehensive Income/Loss,9857000,-127679000,-8765000,63861000,66600000,105800000,-2500000,-98800000,-288100000,-224500000,-106500000,-220300000,-178300000,-115900000,-104300000
66,Other Total Stockholders Equity,105000,1534446000,2072646000,2124560000,3367100000,47200000,45800000,45500000,44300000,41600000,14200000,15600000,14200000,14000000,16100000
67,Total Stockholders Equity,1287054000,1433599000,1930268000,2102100000,2834200000,3149100000,2963800000,3405500000,3163000000,4146500000,4705500000,4631900000,5062200000,5443800000,6025200000
68,Total Liabilities And Stockholders Equity,1336656000,1503786000,2020891000,2233628000,2901000000,3243900000,3044900000,3466900000,3674300000,4221600000,4788400000,4931800000,5280600000,5592900000,6209900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1336656000,1503786000,2020891000,2233628000,2901000000,3243900000,3044900000,3466900000,3674300000,4221600000,4788400000,4931800000,5280600000,5592900000,6209900000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1456346/000110465912022490/0001104659-12-022490-index.html,https://www.sec.gov/Archives/edgar/data/1456346/000110465913022281/0001104659-13-022281-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1456346/000110465916104247/0001104659-16-104247-index.html,https://www.sec.gov/Archives/edgar/data/1456346/000155837017002025/0001558370-17-002025-index.html,https://www.sec.gov/Archives/edgar/data/1456346/000155837018002485/0001558370-18-002485-index.html,https://www.sec.gov/Archives/edgar/data/1456346/000155837019002489/0001558370-19-002489-index.html,https://www.sec.gov/Archives/edgar/data/1456346/000155837020002894/0001558370-20-002894-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-33079000,40347000,80900000,74200000,-6800000,102600000,11700000,106700000,24600000,122200000,194700000,139000000,344100000,326200000,733700000
74,Depreciation and Amortization,- -,- -,88945000,92612000,130600000,126700000,129300000,163100000,216300000,273800000,273000000,247700000,263200000,- -,- -
75,Deferred Income Tax,- -,-9421000,10918000,5326000,-5100000,14000000,-12600000,18600000,-2200000,3500000,21800000,10000000,22700000,-35200000,37100000
76,Stock Based Compensation,23180000,4073000,4150000,5548000,4500000,2900000,4600000,3900000,4500000,5000000,4600000,5200000,4900000,5600000,8000000
77,Change in Working Capital,-428000,-23080000,-6341000,18292000,16700000,-14700000,-43400000,-65000000,-63700000,6300000,-7000000,4400000,-13800000,1000000,-41000000
78,Accounts Receivable,- -,- -,- -,- -,- -,-4300000,5400000,5900000,7000000,-6000000,5200000,-9600000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,9481000,97048000,-56304000,-32531000,147900000,74800000,159800000,39700000,74000000,60200000,1500000,68500000,-3400000,506300000,217600000
83,Cash Provided by Operating Activities,-846000,108967000,122268000,163447000,287800000,306300000,249400000,267000000,253500000,471000000,488600000,474800000,617700000,803900000,955400000
84,CAPEX,-287000,-107034000,-134073000,-49365000,-38100000,-509100000,-142200000,-857900000,-1020400000,-747100000,-501200000,-989600000,-445200000,-312600000,-760500000
85,Acquisitions Net,-1210720000,- -,-100000,1881000,-378700000,- -,- -,- -,-1016800000,-744800000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-158738000,-455862000,-337706000,-90100000,-468600000,-124600000,-54600000,-111300000,-1600000,-12300000,- -,-3900000,- -,-17200000
87,Sales/Maturities of Investments,- -,- -,224184000,653273000,281600000,318400000,253400000,45200000,25600000,28600000,12600000,900000,13000000,3600000,12700000
88,Other Investing Activites,- -,- -,918000,-110627000,- -,- -,12000000,51400000,1077600000,775100000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-1211007000,-265772000,-364933000,157456000,-225300000,-659300000,-1400000,-815900000,-1045300000,-689800000,-500900000,-988700000,-436100000,-309000000,-765000000
90,Debt Repayment,-142180000,- -,- -,- -,-172700000,- -,-1500000,-700000,-20000000,-460000000,- -,-27000000,-565000000,-80000000,-150000000
91,Common Stock Issued,1226775000,260062000,313285000,- -,367400000,- -,- -,479800000,- -,883500000,- -,- -,136000000,135700000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-21780000,-28232000,-33301000,-49200000,-77900000,-101800000,-90700000,-94100000,-118100000,-125800000,-136100000,-138200000,-154900000,-179600000
94,Other Financing Activites,140000000,- -,4490000,3145000,178200000,257900000,9300000,6300000,488200000,16300000,365500000,240700000,447400000,7400000,149400000
95,Cash Used/Provided by Financing Activities,1224595000,238282000,289543000,-30156000,323700000,180000000,-94000000,394700000,374100000,321700000,239700000,77600000,-119800000,-91800000,-180200000
96,Effect of Forex Changes on Cash,152000,-21122000,2522000,491000,-6000000,10600000,-15700000,-23300000,-25600000,900000,30700000,-5100000,600000,-1000000,-5100000
97,Net Change In Cash,- -,60355000,49400000,291238000,380200000,-162400000,138300000,-177500000,-443300000,103800000,258100000,-441400000,62400000,402100000,5100000
98,Cash at the End of Period,12894000,73249000,122649000,413887000,794100000,631700000,770000000,592500000,149200000,253000000,511100000,69700000,132100000,534200000,539300000
99,Cash at the Beginning of Period,- -,12894000,73249000,122649000,413900000,794100000,631700000,770000000,592500000,149200000,253000000,511100000,69700000,132100000,534200000
100,Free Cash Flow,-1133000,1933000,-11805000,114082000,249700000,-202800000,107200000,-590900000,-766900000,-276100000,-12600000,-514800000,172500000,491300000,194900000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1456346/000110465912022490/0001104659-12-022490-index.html,https://www.sec.gov/Archives/edgar/data/1456346/000110465913022281/0001104659-13-022281-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1456346/000110465916104247/0001104659-16-104247-index.html,https://www.sec.gov/Archives/edgar/data/1456346/000155837017002025/0001558370-17-002025-index.html,https://www.sec.gov/Archives/edgar/data/1456346/000155837018002485/0001558370-18-002485-index.html,https://www.sec.gov/Archives/edgar/data/1456346/000155837019002489/0001558370-19-002489-index.html,https://www.sec.gov/Archives/edgar/data/1456346/000155837020002894/0001558370-20-002894-index.html,- -,- -
102,false,,,,,,,,,,,,,,,
