,https://roic.ai/company/PINC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.09,0.14,0.26,-105.85,-24.25,1.33,1.51,1.36,-0.15,2.04,2.22
27,Weighted Average Shares Outstanding,28151958,28151958,28151958,25633000,35681000,42368000,49654000,53518000,59188000,67035000,116527000
28,Weighted Average Shares Outstanding Diluted,28151958,28151958,28151958,25633000,35681000,145308000,50374000,137340000,60269000,123614000,116527000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1577916/000157791614000018/0001577916-14-000018-index.html,https://www.sec.gov/Archives/edgar/data/1577916/000157791615000009/0001577916-15-000009-index.html,https://www.sec.gov/Archives/edgar/data/1577916/000157791616000029/pinc-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/1577916/000157791617000018/0001577916-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1577916/000157791618000020/0001577916-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/1577916/000157791619000019/0001577916-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/1577916/000157791620000012/0001577916-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1577916/000157791621000009/0001577916-21-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,140822000,198296000,131786000,146522000,248817000,156735000,152386000,141055000,99304000,129141000
32,Short-Term Investments,- -,100847000,57323000,159820000,240667000,17759000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,241669000,255619000,291606000,387189000,266576000,156735000,152386000,141055000,99304000,129141000
34,Net Receivables,- -,57289000,63874000,68805000,102564000,147547000,166487000,186768000,394807000,350723000,408730000
35,Inventory,- -,5967000,12741000,20823000,33058000,29121000,50426000,66139000,51032000,70997000,176376000
36,Other Current Assets,- -,30440000,33807000,40822000,30358000,19646000,35164000,23325000,27150000,97338000,68049000
37,Total Current Assets,- -,335365000,366041000,422056000,553169000,462890000,408812000,428618000,614044000,618362000,782296000
38,PP&E,- -,101630000,115587000,134551000,147625000,174080000,187365000,206693000,205108000,264551000,272470000
39,Goodwill,- -,61410000,61410000,94451000,215645000,537962000,906545000,906545000,880709000,941965000,999913000
40,Intangible Assets,- -,5831000,4292000,10855000,38669000,158217000,377962000,322115000,270722000,417422000,396642000
41,Intangible Assets,- -,67241000,65702000,105306000,254314000,696179000,1284507000,1228660000,1151431000,1359387000,1396555000
42,Investments,- -,6208000,6676000,7895000,14283000,16800000,92879000,94053000,99636000,133335000,153224000
43,Tax Assets,- -,15619000,15077000,286936000,345718000,422849000,482484000,305624000,422014000,430025000,781824000
44,Other Non-Current Assets,- -,28876000,29833000,289912000,215082000,82585000,51789000,48568000,77334000,142855000,136529000
45,Total Non-Current Assets,- -,219574000,232875000,824600000,977022000,1392493000,2099024000,1883598000,1955523000,2330153000,2740602000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,554939000,598916000,1246656000,1530191000,1855383000,2507836000,2312216000,2569567000,2948515000,3522898000
48,Accounts Payable,- -,11236000,21788000,28007000,37634000,46003000,42815000,60130000,54540000,54841000,85413000
49,Short-Term Debt,- -,- -,- -,17696000,2256000,5484000,227993000,100250000,27608000,79560000,174243000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,19820000,18880000,15694000,39824000,54498000,44443000,39785000,35623000,35446000,34058000
52,Other Current Liabilities,- -,103510000,104480000,162485000,189917000,220078000,256336000,248717000,340251000,326227000,423070000
53,Total Current Liabilities,- -,134566000,145148000,223882000,269631000,326063000,571587000,448882000,458022000,496074000,716784000
54,Long-Term Debt,- -,18809000,22468000,16051000,15679000,13858000,6279000,6962000,6003000,57630000,347430000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,1438000,3436000,3815000,52046000,25830000,12185000,33671000,18524000
57,Other Non-Current Liabilities,- -,323128000,353532000,3475596000,4359547000,3463108000,3540177000,3257606000,2955607000,2221877000,210267000
58,Total Non-Current Liabilities,- -,341937000,376000000,3493085000,4378662000,3480781000,3598502000,3290398000,2973795000,2313178000,576221000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,52990000,43102000
61,Total Liabilities,- -,476503000,521148000,3716967000,4648293000,3806844000,4170089000,3739280000,3431817000,2809252000,1293005000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,61000,57000,324000,377000,460000,519000,575000,644000,716000,1225000
64,Retained Earnings,- -,43223000,50599000,-2469873000,-3118474000,-1951878000,-1662772000,-1277581000,-775674000,- -,169474000
65,Other Comprehensive Income/Loss,- -,-133635000,-153446000,-186582000,-220685000,-265751000,-236460000,-297591000,-359235000,-452609000,- -
66,Other Total Stockholders Equity,- -,169062000,182312000,186625000,220680000,265708000,236460000,147533000,272015000,591156000,2059194000
67,Total Stockholders Equity,- -,78711000,79522000,-2469506000,-3118102000,-1951461000,-1662253000,-1427064000,-862250000,139263000,2229893000
68,Total Liabilities And Stockholders Equity,- -,555214000,600670000,1247461000,1530191000,1855383000,2507836000,2312216000,2569567000,2948515000,3522898000
69,Minority Interest,- -,-275000,-1754000,-805000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,554939000,598916000,1246656000,1530191000,1855383000,2507836000,2312216000,2569567000,2948515000,3522898000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1577916/000157791614000018/0001577916-14-000018-index.html,https://www.sec.gov/Archives/edgar/data/1577916/000157791615000009/0001577916-15-000009-index.html,https://www.sec.gov/Archives/edgar/data/1577916/000157791616000029/pinc-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/1577916/000157791617000018/0001577916-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1577916/000157791618000020/0001577916-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/1577916/000157791619000019/0001577916-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/1577916/000157791620000012/0001577916-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1577916/000157791621000009/0001577916-21-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,2420000,3937000,7376000,28332000,38743000,41614000,113425000,33301000,109120000,130364000,287522000
74,Depreciation and Amortization,22987000,25398000,29220000,39823000,54322000,84156000,107211000,126759000,140164000,152827000,121062000
75,Deferred Income Tax,3295000,-2853000,3258000,9820000,18294000,25714000,60562000,232990000,11878000,67980000,-83692000
76,Stock Based Compensation,- -,- -,- -,19476000,28498000,48670000,26470000,29408000,29001000,20706000,35425000
77,Change in Working Capital,26590000,199311000,20094000,-22719000,85364000,-146711000,-299602000,142511000,176286000,-33734000,-56776000
78,Accounts Receivable,-8805000,-11983000,-23868000,-18924000,-18964000,-37250000,3365000,-14291000,-6699000,-121735000,-68008000
79,Inventory,- -,-4448000,- -,-8082000,-12235000,3937000,-16349000,-15713000,1603000,- -,- -
80,Accounts Payable,33907000,-16047000,3521000,45997000,60834000,50313000,-24482000,32767000,17920000,-30353000,134079000
81,Other Working Capital,1488000,200799000,220893000,198174000,283538000,136827000,-162775000,-20264000,156022000,122288000,65512000
82,Other Non-Cash Items,299684000,88859000,315232000,293390000,138837000,318027000,384181000,-57263000,38890000,11381000,103861000
83,Cash Provided by Operating Activities,354976000,314652000,375180000,368122000,364058000,371470000,392247000,507706000,505339000,349524000,407402000
84,CAPEX,-38351000,-37959000,-42427000,-55740000,-70734000,-76990000,-71372000,-92680000,-93385000,-94397000,-88876000
85,Acquisitions Net,-35949000,- -,- -,-4197000,-175525000,-471873000,-448269000,- -,-50854000,-131805000,-84463000
86,Purchases of Investments,-4980000,-121093000,-69302000,-500835000,-395302000,-19211000,- -,- -,-11500000,- -,- -
87,Sales/Maturities of Investments,39250000,21716000,115056000,148019000,385788000,386372000,48013000,- -,- -,- -,- -
88,Other Investing Activites,12456000,11139000,11503000,15650000,23900000,22066000,6575000,- -,26269000,3880000,-1229000
89,Cash Used for Investing Activites,-27574000,-126197000,14830000,-397103000,-231873000,-159636000,-465053000,-92680000,-129470000,-222322000,-174568000
90,Debt Repayment,-12826000,-4115000,-27761000,-71808000,-16118000,-152143000,-210486000,-158002000,-125676000,-352419000,-275713000
91,Common Stock Issued,700000,150000,525000,821971000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-543868000,-135000,-7863000,-17717000,-206094000,-258267000,-150093000,- -
93,Dividends Paid,-280606000,-290983000,-329047000,-319687000,-92212000,-92707000,-90434000,-79255000,-57825000,-48904000,-102847000
94,Other Financing Activites,- -,706000,23747000,75863000,-8984000,143174000,299361000,23976000,54568000,382463000,175563000
95,Cash Used/Provided by Financing Activities,-292732000,-294242000,-332536000,-37529000,-117449000,-109539000,-19276000,-419375000,-387200000,-168953000,-202997000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,34670000,-105787000,57474000,-66510000,14736000,102295000,-92082000,-4349000,-11331000,-41751000,29837000
98,Cash at the End of Period,246609000,140822000,198296000,131786000,146522000,248817000,156735000,152386000,141055000,99304000,129141000
99,Cash at the Beginning of Period,211939000,246609000,140822000,198296000,131786000,146522000,248817000,156735000,152386000,141055000,99304000
100,Free Cash Flow,316625000,276693000,332753000,312382000,293324000,294480000,320875000,415026000,411954000,255127000,318526000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1577916/000157791614000018/0001577916-14-000018-index.html,https://www.sec.gov/Archives/edgar/data/1577916/000157791615000009/0001577916-15-000009-index.html,https://www.sec.gov/Archives/edgar/data/1577916/000157791616000029/pinc-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/1577916/000157791617000018/0001577916-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1577916/000157791618000020/0001577916-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/1577916/000157791619000019/0001577916-19-000019-index.html,https://www.sec.gov/Archives/edgar/data/1577916/000157791620000012/0001577916-20-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1577916/000157791621000009/0001577916-21-000009-index.htm
102,false,,,,,,,,,,,
