,https://roic.ai/company/PRTH,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,14674000,19740000,39092000,40775000,49697000
75,Deferred Income Tax,- -,- -,- -,-2206000,765000,5905000,-2559000
76,Stock Based Compensation,- -,- -,1021000,1649000,3652000,2430000,3213000
77,Change in Working Capital,- -,20387,-474925,21291276,-19875000,-14174000,32529000
78,Accounts Receivable,- -,- -,-13687000,1991000,-1736000,-5160000,-16694000
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,111011,238281,2473000,-1061000,1343000,7018000
81,Other Working Capital,- -,268649,-206276,21085000,1210000,-12964000,19565000
82,Other Non-Cash Items,- -,-62664,-15334655,5914724,49319000,-58923000,-74892000
83,Cash Provided by Operating Activities,- -,-150272,-239434,31348000,39364000,47072000,9377000
84,CAPEX,- -,- -,-9037000,-101420000,-94063000,-7461000,-9719000
85,Acquisitions Net,- -,- -,- -,-8000000,- -,- -,-407129000
86,Purchases of Investments,- -,-54694127,-22607,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,-7643000
88,Other Investing Activites,- -,- -,6625702,-90366000,-86629000,173857000,-26542000
89,Cash Used for Investing Activites,- -,-54694127,49095,-108928000,-97747000,166396000,-451033000
90,Debt Repayment,- -,-186921,- -,-10834000,-6328000,- -,-361425000
91,Common Stock Issued,- -,55413694,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2388000,- -,-1703000
93,Dividends Paid,- -,- -,-3399000,-7075000,- -,- -,-7460000
94,Other Financing Activites,- -,-24839,-207570000,85161000,83733000,- -,1242217000
95,Cash Used/Provided by Financing Activities,- -,55201934,- -,67252000,75017000,- -,871629000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,357535,-190339,-10328000,16634000,- -,429973000
98,Cash at the End of Period,- -,362535,172196,33831000,50465000,- -,518093000
99,Cash at the Beginning of Period,- -,5000,362535,44159000,33831000,- -,- -
100,Free Cash Flow,- -,-150272,-239434,-70072000,-54699000,39611000,-342000
101,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1653558/000161577417001024/0001615774-17-001024-index.htm,https://www.sec.gov/Archives/edgar/data/1653558/000161577418002122/0001615774-18-002122-index.htm,https://www.sec.gov/Archives/edgar/data/1653558/000162828019003666/0001628280-19-003666-index.htm,https://www.sec.gov/Archives/edgar/data/1653558/000165355820000015/0001653558-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1653558/000165355821000040/0001653558-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1653558/000165355822000028/0001653558-22-000028-index.htm
102,false,,,,,,,
