,https://roic.ai/company/PBIO,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-100000,300000,-4300000,-400000,-3057933,-380493,-206162,-271892,-301035,3622058,899651,2315320,57954,4990,246782,293828,11423,-757235,-1274190,-3850116,1028669,-6068513,-5222235,-6072551,-11419756,-14613181
20,Income Before Tax,800000,1700000,-5000000,-1300000,-6462045,-871083,-1710068,-1285792,-2683266,1202943,-3158465,-2831848,-4908445,-3191578,-3151972,-2996312,-3452219,-4084427,-4612540,-7415298,-2706984,-10715561,-9699318,-11878085,-16005543,-22685459
21,Income Before Tax Ratio,0.0516,0.0762,-0.1916,-0.0444,-0.3319,-0.0399,-0.0751,-0.0552,-6.5031,11.3995,-15.0196,-4.3845,-5.7593,-2.5637,-2.3522,-3.0335,-2.7881,-2.7170,-3.3552,-4.1249,-1.3696,-4.7827,-3.9462,-6.5625,-Infinity,-Infinity
22,Income Tax expense (Gain),300000,700000,-600000,-500000,1151940,15678,2936,3430,-941350,329969,-745354,-520214,- -,-623262,-23710,- -,-2014,- -,- -,- -,- -,- -,- -,-217168,- -,- -
23,Net Income,500000,1000000,-4400000,-800000,-8000959,3447737,-1488004,-1289222,12712585,872974,-2413111,-1155661,-4908445,-2568316,-3128262,-2996312,-3450205,-4084427,-4612540,-7415298,-2706984,-10715561,-9699318,-11660917,-16005543,-22685459
24,Net Income ratio,0.0323,0.0448,-0.1686,-0.0273,-0.4109,0.1580,-0.0654,-0.0553,30.8097,8.2726,-11.4752,-1.7893,-5.7593,-2.0631,-2.3345,-3.0335,-2.7864,-2.7170,-3.3552,-4.1249,-1.3696,-4.7827,-3.9462,-6.4425,-Infinity,-Infinity
25,EPS,4.20,6.90,-28.20,-5.10,-43.80,16.80,-6.60,-5.70,55.80,18.60,-30.30,-16.80,-67.20,-42.60,-40.50,-23.10,-12.90,-13.20,-13.20,-10.80,-3.00,-9.62,-15.33,-5.87,-5.32,-6.87
26,EPS Diluted,4.20,6.30,-28.20,-5.10,-43.80,16.80,-6.60,-5.70,55.80,17.70,-30.30,-16.80,-67.20,-42.60,-40.50,-23.10,-12.90,-13.20,-13.20,-10.80,-3.00,-9.62,-15.33,-5.87,-5.32,-6.87
27,Weighted Average Shares Outstanding,111340,147925,155152,155655,182176,206810,222019,227019,228343,99087,79868,69287,73135,77143,89570,220613,338469,394058,475487,690866,911302,1114225,1530989,1987606,3304187,3304187
28,Weighted Average Shares Outstanding Diluted,111340,159334,155152,155655,182176,208131,222019,227019,228343,103598,79868,69287,73135,77143,89570,220613,338469,394058,475487,690866,911302,1114225,1530989,1987606,3304187,3304187
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/830656/000110465904008715/a04-3321_110k.htm,https://www.sec.gov/Archives/edgar/data/830656/000104746905011077/a2155869z10ksb.htm,https://www.sec.gov/Archives/edgar/data/830656/000114420406022149/v043991_10ksba.htm,https://www.sec.gov/Archives/edgar/data/830656/000114420407014595/v069431_10ksb.htm,https://www.sec.gov/Archives/edgar/data/830656/000114420408017929/v107787_10k.htm,https://www.sec.gov/Archives/edgar/data/830656/000114420409017313/0001144204-09-017313-index.html,https://www.sec.gov/Archives/edgar/data/830656/000114420410017497/0001144204-10-017497-index.html,https://www.sec.gov/Archives/edgar/data/830656/000083065611000004/form10-k.htm,https://www.sec.gov/Archives/edgar/data/830656/000083065612000016/0000830656-12-000016-index.html,- -,https://www.sec.gov/Archives/edgar/data/830656/000135448814001538/pbio_10k.htm,https://www.sec.gov/Archives/edgar/data/830656/000135448815001522/pbio_10k.htm,https://www.sec.gov/Archives/edgar/data/830656/000149315216008655/form10-k.htm,https://www.sec.gov/Archives/edgar/data/830656/000149315217002726/0001493152-17-002726-index.html,https://www.sec.gov/Archives/edgar/data/830656/000149315218004503/0001493152-18-004503-index.html,https://www.sec.gov/Archives/edgar/data/830656/000149315219005470/form10-k.htm,https://www.sec.gov/Archives/edgar/data/830656/000149315220006406/form10-k.htm,https://www.sec.gov/Archives/edgar/data/830656/000149315221008950/0001493152-21-008950-index.htm,https://www.sec.gov/Archives/edgar/data/830656/000149315222009156/0001493152-22-009156-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8100000,2800000,100000,300000,1782100,2857916,975649,967185,21201790,6416772,5335282,5424486,868208,1609778,552849,222775,1461,31417,473948,116783,138363,81033,103118,29625,18540,132311
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,4071,3553,1533,2060875,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,517001,- -
33,Cash and Short-Term Investments,8100000,2800000,100000,300000,1782100,2857916,975649,971256,21205343,6418305,7396157,5424486,868208,1609778,552849,222775,1461,31417,473948,116783,138363,81033,103118,29625,535541,132311
34,Net Receivables,3400000,5600000,6100000,6400000,3881943,4073513,3701105,3495839,213532,547346,747508,368012,209117,203211,233846,269237,216265,147635,272022,113256,281320,206848,474830,229402,131228,154746
35,Inventory,4200000,5900000,6700000,6900000,6465548,6763144,7094053,6525018,157817,85207,19658,172548,571831,638350,1104056,1069013,923362,736676,850552,1038371,905284,857662,765478,617716,592767,1147554
36,Other Current Assets,500000,600000,1400000,1400000,449493,176275,1303396,200695,190844,1448203,285463,705129,673947,291761,324684,148330,90816,92954,111585,221307,265508,222158,170734,213549,-202065,422617
37,Total Current Assets,16200000,14900000,14300000,15000000,12579084,13870848,13074203,11192808,21767536,8499061,8448786,6670175,2323103,2743100,2215435,1709355,1231904,1008682,1708107,1489717,1590475,1367701,1514160,1090292,1057471,1857228
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30282,- -,- -,- -,- -,- -,- -,- -,16490,511411
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,100000,2200000,2800000,2600000,933793,854864,798542,749907,474188,425554,376922,328290,279658,231026,182394,133762,85130,36498,- -,- -,- -,750000,663462,576923,490385,403846
41,Intangible Assets,100000,2200000,2800000,2600000,933793,854864,798542,749907,474188,425554,376922,328290,279658,231026,182394,133762,85130,36498,- -,- -,- -,750000,663462,576923,490385,403846
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,294522,25865,19825,16643,16643,517001,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3500000,6500000,7000000,8600000,9035919,6688542,5970624,4899731,2445724,1666586,1628692,257797,252249,249465,192777,95643,6472,58102,36025,20149,9413,22662,205657,132176,-517001,59976
45,Total Non-Current Assets,3600000,8700000,9800000,11200000,9969712,7543406,6769166,5649638,2919912,6092140,2005614,586087,531907,480491,375171,229405,121884,94600,36025,314671,35278,792487,885762,725742,506875,975233
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19800000,23600000,24100000,26200000,22548796,21414254,19843369,16842446,24687448,14591201,10454400,7256262,2855010,3223591,2590606,1938760,1353788,1103282,1744132,1804388,1625753,2160188,2399922,1816034,1564346,2832461
48,Accounts Payable,1000000,2200000,2400000,2600000,1232697,1666771,1970517,1633263,41272,56395,174289,152729,263486,148087,234568,890676,1199846,1102772,1035781,941389,407249,589263,658856,815764,771945,527924
49,Short-Term Debt,- -,- -,- -,- -,5840172,82053,79875,58180,- -,- -,- -,- -,- -,- -,- -,544912,938004,471967,1084993,251628,4856829,13167639,4868120,7878505,8847139,1239836
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,52398,118609,97508,- -,- -,4099,15075,16705,8058,27153,36669,46466,28189,56094,140878,159654,263106,20623,23248,47328,37124
52,Other Current Liabilities,2400000,3000000,2800000,2300000,1910484,2662652,1707708,1745170,720882,460825,1108957,568549,440356,377750,509948,864728,706761,1465344,1598018,8233864,3842647,2705827,2803252,5135859,8851299,22820382
53,Total Current Liabilities,3400000,5200000,5200000,4900000,8983353,4463874,3876709,3534121,762154,517220,1287345,736353,720547,533895,771669,2336985,2891077,3068272,3774886,9567759,9266379,16725835,8350851,13853376,18517711,24625266
54,Long-Term Debt,- -,- -,4000000,7100000,5238824,2402837,2337874,2271299,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177342,655265,- -,- -,- -,527039,412569
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10821,1609,9427,10111,2487,2785,- -,36935,87527,57149,37757,18065,- -,3587
56,Deferred Tax Liabilities,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,200000,700000,600000,577044,1107231,1001740,621817,533148,2526863,1051619,6767,- -,- -,1,- -,- -,- -,28977,- -,- -,- -,136385,- -,- -,- -
58,Total Non-Current Liabilities,100000,300000,4800000,7700000,5815868,3510068,3339614,2893116,533148,2526863,1051619,6767,10821,1609,9428,10111,2487,2785,28977,214277,742792,57149,174142,18065,527039,416156
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1229699,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136385,76586,221432,- -
61,Total Liabilities,3500000,5500000,10000000,12600000,14799221,7973942,7216323,6427237,1295302,3044083,2338964,743120,731368,535504,781097,2347096,2893564,3071057,3803863,9782036,10009171,16782984,8524993,13871441,19220371,25041422
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2143,3508,888,1456,1647,1119,1119,1072,1012,1077,1092,1093,- -
63,Common Stock,- -,- -,- -,- -,56525,61327,67863,68276,68729,24242,20654,21922,21953,23284,27118,67240,121493,120243,186734,230050,309998,13429,16842,25496,41683,31806360
64,Retained Earnings,1000000,2000000,-2400000,-3200000,-11211812,-7764075,-9252079,-10541301,2171284,4016480,1362265,206604,-4701841,-7986620,-11565263,-16503440,-20619539,-25866988,-32118714,-39557206,-42264190,-55349299,-65727538,-78942277,- -,-118277468
65,Other Comprehensive Income/Loss,-2000000,-2700000,-3700000,-3700000,-5471038,-6790828,-7988946,-9158169,-338684,-396602,-128494,-259308,-410676,-528597,-635607,-690457,- -,-780277,-809490,-834779,-852720,-861295,-882783,-446526,- -,- -
66,Other Total Stockholders Equity,17300000,18800000,20200000,20500000,24375900,27933888,29800208,30046403,21490817,7902998,6861011,6543924,7214206,11177877,13979753,16717433,18956814,24557600,30680620,32183168,34422422,41573357,60467331,67306808,-16960368,64262147
67,Total Stockholders Equity,16300000,18100000,14100000,13600000,7749575,13440312,12627046,10415209,23392146,11547118,8115436,6513142,2123642,2688087,1809509,-408336,-1539776,-1967775,-2059731,-7977648,-8383418,-14622796,-6125071,-12055407,-16917592,-22208961
68,Total Liabilities And Stockholders Equity,19800000,23600000,24100000,26200000,22548796,21414254,19843369,16842446,24687448,14591201,10454400,7256262,2855010,3223591,2590606,1938760,1353788,1103282,1744132,1804388,1625753,2160188,2399922,1816034,2302779,2832461
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-738433,- -
70,Total Liabilities & Equity,19800000,23600000,24100000,26200000,22548796,21414254,19843369,16842446,24687448,14591201,10454400,7256262,2855010,3223591,2590606,1938760,1353788,1103282,1744132,1804388,1625753,2160188,2399922,1816034,1564346,2832461
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/830656/000110465904008715/a04-3321_110k.htm,https://www.sec.gov/Archives/edgar/data/830656/000104746905011077/a2155869z10ksb.htm,https://www.sec.gov/Archives/edgar/data/830656/000114420406022149/v043991_10ksba.htm,https://www.sec.gov/Archives/edgar/data/830656/000114420407014595/v069431_10ksb.htm,https://www.sec.gov/Archives/edgar/data/830656/000114420408017929/v107787_10k.htm,https://www.sec.gov/Archives/edgar/data/830656/000114420409017313/0001144204-09-017313-index.html,https://www.sec.gov/Archives/edgar/data/830656/000114420410017497/0001144204-10-017497-index.html,https://www.sec.gov/Archives/edgar/data/830656/000083065611000004/form10-k.htm,https://www.sec.gov/Archives/edgar/data/830656/000083065612000016/0000830656-12-000016-index.html,- -,https://www.sec.gov/Archives/edgar/data/830656/000135448814001538/pbio_10k.htm,https://www.sec.gov/Archives/edgar/data/830656/000135448815001522/pbio_10k.htm,https://www.sec.gov/Archives/edgar/data/830656/000149315216008655/form10-k.htm,https://www.sec.gov/Archives/edgar/data/830656/000149315217002726/0001493152-17-002726-index.html,https://www.sec.gov/Archives/edgar/data/830656/000149315218004503/0001493152-18-004503-index.html,https://www.sec.gov/Archives/edgar/data/830656/000149315219005470/form10-k.htm,https://www.sec.gov/Archives/edgar/data/830656/000149315220006406/form10-k.htm,https://www.sec.gov/Archives/edgar/data/830656/000149315221008950/0001493152-21-008950-index.htm,https://www.sec.gov/Archives/edgar/data/830656/000149315222009156/0001493152-22-009156-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,500000,1000000,-4400000,-800000,-8000959,3447737,-1488004,-1289222,12712585,872974,-2413111,-1155661,-4908445,-2568316,-3128262,-2996312,-3450205,-4084427,-4612540,-7415298,-2706984,-10715561,-9699318,-11660917,-16005543,-20153486
74,Depreciation and Amortization,600000,900000,1300000,1600000,1609454,1415253,1302106,1246672,146266,106552,146256,179446,199999,204341,197431,141315,107519,79563,65714,25288,17939,8576,94271,123596,127301,110128
75,Deferred Income Tax,-200000,- -,-500000,-400000,1155325,- -,- -,- -,-100366,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,509195,429005,273181,121974,133193,136796,101125,208989,379964,406427,592477,1117277,488792,254615
77,Change in Working Capital,300000,-3100000,-600000,1000000,-6504269,5811243,-209480,-1538807,13346695,-13023541,-820400,-1227619,-4331266,606649,-765439,-2071396,-1031543,-400417,-7189,-6011263,402138,-7682230,8521443,-5926393,-4697156,-5307798
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90646,-47774,-30635,-44991,84988,68630,-124387,158766,-196233,74472,-267982,245428,-6250,-23518
79,Inventory,-500000,-600000,-800000,-200000,-3855,-297596,-330908,569035,140534,72610,65549,-152890,-399283,-66519,-465706,48608,95651,186686,-113876,-187820,133087,-111978,-56107,78814,24949,-554787
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110757,-115399,86481,763849,309170,-97074,-66991,-94392,-534140,182014,69593,156908,-43819,-226771
81,Other Working Capital,12800000,9700000,9100000,10100000,3595731,9406974,9197494,7658687,21005382,7981841,7161441,5933822,1602556,2209205,1443766,-627630,-1659173,-2059590,-2066779,-8078042,-7675904,-15358134,-6836691,-12763084,-17460240,-22768038
82,Other Non-Cash Items,300000,1900000,3000000,-2100000,8944762,-10729770,-555557,1733061,-27941997,9215755,973313,-1910648,4110308,-480940,550909,2662556,2076235,1925882,1242312,9372538,-1898908,14078239,-5204777,10018859,15203412,20227968
83,Cash Provided by Operating Activities,1500000,700000,-1200000,-700000,-2795687,-55537,-950935,151704,-1836817,-2828260,-2113942,-4114482,-4420209,-1809261,-2872180,-2141863,-2164801,-2342603,-3210578,-3819746,-3805851,-3904549,-5695904,-6327578,-4883194,-4868573
84,CAPEX,-700000,-2600000,-4600000,-2700000,-1025460,-416202,-624581,-110195,- -,-320905,-65609,-180915,-145819,-152925,-92111,-2642,- -,-58749,-7139,-9412,-7203,-171825,- -,-23375,-1663,-122945
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-700000,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3833712,518463,2033397,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-2000000,-900000,- -,- -,35509,85651,14000,- -,- -,117305,-219929,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000,- -,- -,-795000,- -
89,Cash Used for Investing Activites,-1400000,-5400000,-5500000,-2700000,-1025460,-380693,-538930,-96195,- -,3512807,1570159,3632553,-145819,-152925,-92111,-2642,- -,-58749,-7139,-9412,-7203,-171825,- -,-23375,-796663,-122945
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-101556,-530304,-719791,-3254239,-1074702,-2819772,-5825065,-6824189,-199200,-354600
91,Common Stock Issued,13600000,500000,100000,400000,1264002,1922620,149738,24297,116877,2149684,5400,571133,9750,- -,- -,- -,377453,- -,149165,- -,530965,- -,- -,- -,255259,7265954
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18453547,-323158,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-196818,-60000,- -,- -,- -,- -,- -,- -,299709,-184274
94,Other Financing Activites,-5600000,-1100000,4000000,3200000,3519118,-8033104,-542140,-88270,21954544,- -,-219949,- -,- -,2703756,1907362,1814431,1864408,3021612,4230874,6726232,4378371,6838816,11543054,13101649,5313004,-1621791
95,Cash Used/Provided by Financing Activities,8000000,-600000,4100000,3600000,4783120,-6110484,-392402,-63973,22071421,-16303863,-537707,571133,9750,2703756,1907362,1814431,1943487,2431308,3660248,3471993,3834634,4019044,5717989,6277460,5668772,5105289
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,834298,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,200000,961973,-6546714,-1882267,-8464,20234604,-14785018,-1081490,89204,-4556278,741570,-1056929,-330074,-221314,29956,442531,-357165,21580,-57330,22085,-73493,-11085,113771
98,Cash at the End of Period,- -,- -,- -,300000,1782100,2857916,975649,967185,21201790,6416772,5335282,5424486,868208,1609778,552849,222775,1461,31417,473948,116783,138363,81033,103118,29625,18540,132311
99,Cash at the Beginning of Period,- -,8100000,2800000,100000,820127,9404630,2857916,975649,967186,21201790,6416772,5335282,5424486,868208,1609778,552849,222775,1461,31417,473948,116783,138363,81033,103118,29625,18540
100,Free Cash Flow,800000,-1900000,-5800000,-3400000,-3821147,-471739,-1575516,41509,-1836817,-3149165,-2179551,-4295397,-4566028,-1962186,-2964291,-2144505,-2164801,-2401352,-3217717,-3829158,-3813054,-4076374,-5695904,-6350953,-4884857,-4991518
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/830656/000110465904008715/a04-3321_110k.htm,https://www.sec.gov/Archives/edgar/data/830656/000104746905011077/a2155869z10ksb.htm,https://www.sec.gov/Archives/edgar/data/830656/000114420406022149/v043991_10ksba.htm,https://www.sec.gov/Archives/edgar/data/830656/000114420407014595/v069431_10ksb.htm,https://www.sec.gov/Archives/edgar/data/830656/000114420408017929/v107787_10k.htm,https://www.sec.gov/Archives/edgar/data/830656/000114420409017313/0001144204-09-017313-index.html,https://www.sec.gov/Archives/edgar/data/830656/000114420410017497/0001144204-10-017497-index.html,https://www.sec.gov/Archives/edgar/data/830656/000083065611000004/form10-k.htm,https://www.sec.gov/Archives/edgar/data/830656/000083065612000016/0000830656-12-000016-index.html,- -,https://www.sec.gov/Archives/edgar/data/830656/000135448814001538/pbio_10k.htm,https://www.sec.gov/Archives/edgar/data/830656/000135448815001522/pbio_10k.htm,https://www.sec.gov/Archives/edgar/data/830656/000149315216008655/form10-k.htm,https://www.sec.gov/Archives/edgar/data/830656/000149315217002726/0001493152-17-002726-index.html,https://www.sec.gov/Archives/edgar/data/830656/000149315218004503/0001493152-18-004503-index.html,https://www.sec.gov/Archives/edgar/data/830656/000149315219005470/form10-k.htm,https://www.sec.gov/Archives/edgar/data/830656/000149315220006406/form10-k.htm,https://www.sec.gov/Archives/edgar/data/830656/000149315221008950/0001493152-21-008950-index.htm,https://www.sec.gov/Archives/edgar/data/830656/000149315222009156/0001493152-22-009156-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
