,https://roic.ai/company/ICCH,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0398,0.0515,0.0626,0.0147,0.0175,0.0717,0.0643,0.0698
25,EPS,0.65,0.83,0.80,0.23,0.29,1.43,1.17,1.41
26,EPS Diluted,0.65,0.83,0.80,0.23,0.29,1.42,1.16,1.41
27,Weighted Average Shares Outstanding,2452546,2456350,3500000,3158163,3119968,3008564,3027903,3027903
28,Weighted Average Shares Outstanding Diluted,2452546,2456350,3500000,3158163,3121140,3013867,3041898,3041898
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1681903/000168190318000006/0001681903-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1681903/000168190319000009/0001681903-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1681903/000168190320000009/0001681903-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1681903/000168190321000012/0001681903-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1681903/000168190322000008/0001681903-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,1141656,2179511,4376847,6876519,4644784,6626585,6598842,4606378
32,Short-Term Investments,- -,- -,- -,- -,100824382,106536345,122149272,105841543
33,Cash and Short-Term Investments,1141656,2179511,4376847,6876519,105469166,113162930,128748114,110447921
34,Net Receivables,14806662,16411115,17628739,19586409,28987579,33597255,36899022,42046963
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,-19585928,-25246745,-28365185,-29726136,-7062634
37,Total Current Assets,- -,- -,- -,6877000,109210000,118395000,135921000,145432250
38,PP&E,3605898,4241099,3719535,3503904,3332810,3033348,2860331,3144218
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,71775746,74080259,73914983,102006611,100824382,106536345,122149272,132230190
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,954862
44,Other Non-Current Assets,- -,- -,- -,-50344199,-63083999,-64961175,-122149603,-132230190
45,Total Non-Current Assets,- -,- -,- -,55166316,41073193,44608518,2860000,4099080
46,Other Assets,123428353,123373382,122159961,- -,- -,- -,- -,58816167
47,Total Assets,123428353,123373382,122159961,62043316,150283193,163003518,138781000,200149337
48,Accounts Payable,- -,- -,109790,327483,993004,374998,371195,1368294
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,18455342
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,195694
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,83567127,87212276,92811592,14324805,-1368294
53,Total Current Liabilities,- -,- -,- -,83894610,88205280,93186590,14696000,18455342
54,Long-Term Debt,2785710,3273560,3786950,3534195,3484606,3475088,13465574,18455342
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,39213,1231271,954862
57,Other Non-Current Liabilities,- -,- -,- -,805015,4,-39211,- -,- -
58,Total Non-Current Liabilities,2785710,3273560,3786950,4339210,3484610,3475090,14696845,19410204
59,Other Liabilities,97179209,96481207,92346701,- -,6969224,6950184,111196428,126252916
60,Capital Lease Obligations,- -,- -,- -,805013,- -,- -,- -,- -
61,Total Liabilities,94393499,93207647,88559751,88233816,91689894,96661684,111195583,125298054
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,35000,35000,35000,35000,35000
64,Retained Earnings,27480910,29635638,32446035,32787406,33680702,36608750,40140115,44430264
65,Other Comprehensive Income/Loss,1553944,530097,1154175,2227069,-1580976,2953936,5520091,2920027
66,Other Total Stockholders Equity,1553944,530097,1154175,29052070,26458573,26744148,27048483,27465992
67,Total Stockholders Equity,29034854,30165735,33600210,64101545,58593299,66341834,72743689,74851283
68,Total Liabilities And Stockholders Equity,123428353,123373382,122159961,152335361,150283193,163003518,183939272,200149337
69,Minority Interest,- -,- -,- -,-90292045,- -,- -,-45158272,- -
70,Total Liabilities & Equity,123428353,123373382,122159961,62043316,150283193,163003518,138781000,200149337
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1681903/000168190318000006/0001681903-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1681903/000168190319000009/0001681903-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1681903/000168190320000009/0001681903-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1681903/000168190321000012/0001681903-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1681903/000168190322000008/0001681903-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,1585374,2154728,2810397,707851,893296,4294345,3531364,4142779
74,Depreciation and Amortization,511294,505555,817774,822621,733493,794506,684744,708378
75,Deferred Income Tax,100370,400175,190903,175085,340124,218322,509915,414747
76,Stock Based Compensation,- -,- -,- -,- -,406498,432156,454977,556670
77,Change in Working Capital,5316647,- -,- -,-77017610,98022330,4203690,96016590,5751908
78,Accounts Receivable,-111665,-1116020,-1841578,-1533775,902788,-5264388,-3121340,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-529861,- -,109790,- -,665521,-618006,-3803,- -
81,Other Working Capital,- -,- -,- -,-77017610,21004720,25208410,121225000,126976908
82,Other Non-Cash Items,-141959,2684069,772676,76046722,-94622258,-7411469,-99584243,-6262556
83,Cash Provided by Operating Activities,7371726,5744527,4591750,734669,5773483,2531550,1613347,5311926
84,CAPEX,-717104,-644805,-856504,-532374,-497011,-444430,-385966,-992314
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-13264238,-13319250,-15343666,-40515997,-35866635,-34403119,-34350274,- -
87,Sales/Maturities of Investments,5848942,9265480,16245238,13172449,32738119,35271953,22797380,-21860180
88,Other Investing Activites,19747,-495947,-1647130,1596,-525094,-818054,-1171874,10697495
89,Cash Used for Investing Activites,-8112653,-5194522,-1602062,-27874326,-4150621,-393650,-13110734,-12154999
90,Debt Repayment,-364157,-423677,-839254,-2946890,-854602,-9518,-9514,-4010231
91,Common Stock Issued,- -,- -,- -,29087070,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2999995,-146581,-150642,-139160
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,911527,46902,3499149,- -,- -,11629800,9000000
95,Cash Used/Provided by Financing Activities,-364157,487850,-792352,29639329,-3854597,-156099,11469644,4850609
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-1105085,1037855,2197336,2499672,-2231735,1981801,-27743,-1992464
98,Cash at the End of Period,1141655,2179511,4376847,6876519,4644784,6626585,6598842,4606378
99,Cash at the Beginning of Period,2246740,1141656,2179511,4376847,6876519,4644784,6626585,6598842
100,Free Cash Flow,6654622,5099722,3735246,202295,5276472,2087120,1227381,4319612
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1681903/000168190318000006/0001681903-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1681903/000168190319000009/0001681903-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1681903/000168190320000009/0001681903-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1681903/000168190321000012/0001681903-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1681903/000168190322000008/0001681903-22-000008-index.htm
102,false,,,,,,,,
