,https://roic.ai/company/MIGI,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
47,Total Assets,4150,- -,- -,- -,- -,2286000,1618000,1013000,700000,550000,595000,3403000,1176000,6001000,145294
48,Accounts Payable,- -,11738,12241,12238,- -,4000,4000,246000,291000,251000,43000,34000,4000,1306000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000,4232
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,61116,77118,72970,94950,- -,195000,1746000,2457000,3690000,4459000,3650000,3157000,637000,515000,- -
53,Total Current Liabilities,61116,88856,85211,107188,- -,199000,1750000,2703000,3981000,4710000,3693000,3191000,641000,1843000,4232
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7625
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,470000,7000,- -,- -,- -,- -,- -,- -,5494000,18856
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,470000,7000,- -,- -,- -,- -,- -,- -,5494000,26482
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000,22000,- -
61,Total Liabilities,61116,88856,85211,107188,- -,669000,1757000,2703000,3981000,4710000,3693000,3191000,641000,7337000,30714
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,- -
63,Common Stock,11370,11370,11370,11370,- -,47000,10000,10000,10000,10000,4000,9000,16000,- -,186390
64,Retained Earnings,-195871,-227761,-224116,-246093,- -,-3264000,-6101000,-7296000,-8773000,-9689000,-26452000,-29997000,-33899000,- -,-71123
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73000,-521
66,Other Total Stockholders Equity,127535,127535,127535,127535,- -,- -,5952000,5596000,5482000,5519000,23350000,30199000,34418000,- -,- -
67,Total Stockholders Equity,-56966,-88856,-85211,-107188,- -,1617000,-139000,-1690000,-3281000,-4160000,-3098000,212000,535000,-4148000,114745
68,Total Liabilities And Stockholders Equity,4150,- -,- -,- -,- -,2286000,1618000,1013000,700000,550000,595000,3403000,1176000,3189000,145459
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2812000,-165
70,Total Liabilities & Equity,4150,- -,- -,- -,- -,2286000,1618000,1013000,700000,550000,595000,3403000,1176000,6001000,145294
71,SEC Link,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1218683/000121390019005537/0001213900-19-005537-index.htm,https://www.sec.gov/Archives/edgar/data/1218683/000121390020008074/0001213900-20-008074-index.htm,https://www.sec.gov/Archives/edgar/data/1218683/000121390021012577/0001213900-21-012577-index.htm,https://www.sec.gov/Archives/edgar/data/1218683/000121390022013830/0001213900-22-013830-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-18546,-27636,3645,-21977,- -,-1863000,-2837000,-1195000,-1477000,-916000,-2966000,-3279000,-3450000,-4929000000,-45462
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,1000,- -,1000,- -,1000,2000,1000,2000,14113730
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,220000,598000,25000,22000,3000,19000,1289000,818000,246000,- -
77,Change in Working Capital,-18546,-31890,3645,-21977,- -,1793188,-1819000,-1558000,-1590000,-879000,1057000,3307000,302000,811000,-1309785
78,Accounts Receivable,- -,- -,- -,- -,- -,-255000,238000,- -,- -,- -,- -,- -,- -,- -,-4991635
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,10744,503,-3,- -,- -,- -,- -,- -,- -,30000,-9000,- -,587000,- -
81,Other Working Capital,-56966,-88856,-85211,-107188,- -,1686000,-133000,-1691000,-3281000,-4160000,-3103000,204000,506000,1317000,7215
82,Other Non-Cash Items,19592,75373,-22878,31515,- -,-2864188,3243000,2315000,3077000,1763000,532000,-3527000,265000,4926422000,10195309
83,Cash Provided by Operating Activities,-17500,15847,-15588,-12439,- -,-2714000,-814000,-413000,33000,-29000,-1357000,-2208000,-2064000,-1519000,22953792
84,CAPEX,- -,- -,- -,- -,- -,- -,-2000,- -,-3000,- -,-4000,-5000,- -,-1000,-76804866
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-767850
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258000,- -,824000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,511000,- -,- -,- -,- -,- -,- -,- -,-50675035
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,509000,- -,- -,- -,-4000,253000,- -,823000,-128247751
90,Debt Repayment,- -,-25000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-760000,- -,-230962
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,966000,3915000,550000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,17500,9153,15588,12439,- -,- -,- -,- -,- -,- -,572000,995000,-150000,197000,110085422
95,Cash Used/Provided by Financing Activities,17500,-15847,15588,12439,- -,- -,- -,- -,- -,- -,1538000,4910000,-360000,197000,109854460
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,1000,- -,- -,-206039
97,Net Change In Cash,- -,- -,- -,- -,- -,-2714000,-305000,-413000,33000,-29000,187000,2956000,-2424000,-499000,5207273
98,Cash at the End of Period,- -,- -,- -,- -,- -,727000,422000,9000,42000,13000,215000,3183000,759000,260000,5467273
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,3441000,727000,422000,9000,42000,28000,227000,3183000,759000,260000
100,Free Cash Flow,-17500,15847,-15588,-12439,- -,-2714000,-816000,-413000,30000,-29000,-1361000,-2213000,-2064000,-1520000,-53851074
101,SEC Link,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1218683/000121390019005537/0001213900-19-005537-index.htm,https://www.sec.gov/Archives/edgar/data/1218683/000121390020008074/0001213900-20-008074-index.htm,https://www.sec.gov/Archives/edgar/data/1218683/000121390021012577/0001213900-21-012577-index.htm,https://www.sec.gov/Archives/edgar/data/1218683/000121390022013830/0001213900-22-013830-index.htm
102,false,,,,,,,,,,,,,,,
