,https://roic.ai/company/EVRG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,690400000,697100000,1005400000,177300000,980300000,1098800000,1107013000,1130741000,1489112000,600606000,754810000,754321000,815014000,845022000,860003000,968425000,999953000,1027769000,496476000,619008000,677183000,717770000,791632000,788944000,887900000,1227200000,1244300000,1276900000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1252800000,1208000000,1653800000,1144400000,1803600000,1761800000,2142845000,2130291000,1995934000,990918000,1174598000,1282550000,1298973000,1389443000,1554351000,1503289000,1583314000,1658562000,1699337000,1791469000,1968745000,1838167000,1880204000,1912284000,3342300000,3962000000,3769500000,4231800000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289568000,- -,- -,224356000,- -,109080000,98650000,- -,- -,157360000,174941000,172460000,176337000,182167000,183118000,176802000,161726000,171001000,279600000,374000000,383900000,372600000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,408304000,413642000,- -,- -,- -,- -,- -,- -,- -,251534000,297026000,306473000,294833000,295283000,312493000,337565000,365233000,403914000,662400000,469400000,938400000,947800000
15,EBITDA,88000000,91400000,88700000,79800000,72800000,79600000,72300000,127900000,177400000,283000000,270200000,258100000,872700000,62400000,-21000000,880414000,311891000,-950606000,391134000,212313000,304461000,320271000,232193000,182076000,642819000,760895000,812516000,872452000,893691000,960140000,958296000,1058076000,1049990000,1536800000,1610300000,2042800000,2317500000
16,EBITDA ratio,0.0650,0.0762,0.0760,0.0684,0.0646,0.0692,0.0622,0.0822,0.0929,0.1749,0.1719,0.1261,0.4056,0.0307,-0.0103,0.3717,0.1427,-0.5367,0.2677,0.1450,0.1923,0.1995,0.1345,0.0990,0.3459,0.3701,0.3743,0.3858,0.3770,0.3690,0.3897,0.4130,0.4084,0.3594,0.3128,0.4158,0.4148
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,365200000,364100000,393000000,1007400000,230500000,274400000,225631000,55971000,-224816000,470225000,289891000,300728000,306770000,337391000,284645000,354942000,472857000,512429000,562133000,579185000,632958000,620997000,681883000,658719000,933600000,1185800000,1143900000,1354900000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2257,0.2316,0.1920,0.4682,0.1133,0.1348,0.0953,0.0256,-0.1269,0.3218,0.1979,0.1899,0.1910,0.1954,0.1548,0.1910,0.2300,0.2360,0.2486,0.2443,0.2433,0.2525,0.2661,0.2562,0.2183,0.2304,0.2328,0.2425
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-82200000,-93900000,-134900000,-134700000,-169700000,-307100000,-88520000,-199572000,-98831000,-225542000,-156368000,-105347000,-85149000,-105198000,-102569000,-154762000,-179201000,-172905000,-153535000,-154601000,-159363000,-167201000,-136143000,-171012000,-334000000,-413000000,-420000000,-353800000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000000,270200000,258100000,872700000,60800000,-32700000,137111000,-143601000,-323647000,244683000,133523000,195381000,221621000,232193000,182076000,200180000,293656000,339524000,408598000,424584000,473595000,453796000,545740000,487707000,599600000,772800000,723900000,1001100000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1749,0.1719,0.1261,0.4056,0.0299,-0.0161,0.0579,-0.0657,-0.1827,0.1675,0.0912,0.1234,0.1380,0.1345,0.0990,0.1077,0.1428,0.1564,0.1807,0.1791,0.1820,0.1845,0.2130,0.1897,0.1402,0.1501,0.1473,0.1792
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,95600000,88500000,89100000,378600000,14600000,-33400000,46061000,-80875000,-157605000,81768000,33443000,60513000,56312000,63839000,3936000,58850000,85032000,103344000,126136000,123721000,151270000,152000000,184540000,151155000,59000000,97000000,102200000,117400000
23,Net Income,88000000,91400000,88700000,79800000,72800000,79600000,72300000,127900000,177400000,187400000,181700000,169000000,494100000,47800000,12400000,136481000,-20876000,-793001000,85010000,178870000,134868000,165309000,168354000,178140000,175075000,203896000,230239000,275146000,292520000,313259000,291929000,346577000,323920000,535800000,669900000,618300000,879700000
24,Net Income ratio,0.0650,0.0762,0.0760,0.0684,0.0646,0.0692,0.0622,0.0822,0.0929,0.1158,0.1156,0.0826,0.2296,0.0235,0.0061,0.0576,-0.0095,-0.4477,0.0582,0.1221,0.0852,0.1029,0.0975,0.0969,0.0942,0.0992,0.1061,0.1217,0.1234,0.1204,0.1187,0.1353,0.1260,0.1253,0.1301,0.1258,0.1575
25,EPS,2.31,2.43,2.46,2.25,2.05,2.25,1.91,2.20,2.76,2.82,2.71,2.41,7.51,0.67,0.17,1.96,-0.31,-11.06,1.16,2.14,1.55,1.88,1.85,1.70,1.58,1.81,1.95,2.15,2.29,2.40,2.11,2.43,2.27,2.50,2.80,2.72,3.88
26,EPS Diluted,2.31,2.43,2.46,2.25,2.05,2.25,1.91,2.20,2.76,2.82,2.71,2.41,7.51,0.67,0.17,1.96,-0.31,-11.06,1.15,2.13,1.54,1.87,1.83,1.70,1.58,1.81,1.93,2.15,2.27,2.35,2.09,2.43,2.27,2.50,2.79,2.72,3.87
27,Weighted Average Shares Outstanding,34199134,34485597,34552846,34577778,34585366,34622222,34502618,52318182,59384058,61617873,62157125,63833783,65127803,65633743,67080281,68962245,70649969,71731580,72428728,82941374,86855485,87509800,90675511,103958414,109647689,111629000,116890552,126711869,127462994,130015000,137958000,142068000,142464000,213900000,239500000,227200000,229700000
28,Weighted Average Shares Outstanding Diluted,34199134,34485597,34552846,34577778,34585366,34622222,34502618,52318182,59384058,65811966,66930693,70673575,65652174,67365854,67328244,68962245,70649969,71731580,73080000,83521127,86946753,87881818,91466667,103958414,109647689,111629000,118792228,126898786,128298694,132825000,139278000,142475000,142560000,214100000,239900000,227500000,230200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1711269/000171126919000013/0001711269-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1711269/000171126920000012/0001711269-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1711269/000171126921000023/0001711269-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1711269/000171126922000008/0001711269-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123006000,79559000,24611000,40969000,18196000,5753000,22914000,3860000,928000,3539000,5829000,4487000,4556000,3231000,3066000,3432000,160300000,23200000,144900000,26200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33159000,13005000,8180000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123006000,79559000,24611000,40969000,18196000,5753000,22914000,37019000,13933000,11719000,5829000,4487000,4556000,3231000,3066000,3432000,160300000,23200000,144900000,26200000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94747000,80972000,92532000,124711000,179859000,195785000,199116000,261386000,244379000,231762000,224439000,250036000,267327000,258286000,301579000,290652000,261700000,314000000,336800000,249600000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,152392000,136636000,124563000,101818000,147930000,192533000,204297000,193831000,206867000,229118000,249016000,239511000,247406000,301294000,300125000,293562000,511000000,481600000,504500000,566700000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,248250000,786068000,174234000,208122000,190735000,273608000,316804000,137246000,136430000,160986000,163791000,212764000,181633000,154330000,163612000,139404000,748000000,648900000,638100000,867800000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,618395000,1083235000,415940000,475620000,536720000,667679000,743131000,629482000,601609000,633585000,643075000,706798000,700922000,717141000,768382000,727050000,1681000000,1467700000,1624300000,1710300000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3995371000,3909500000,3910987000,3947732000,4071607000,4803672000,5533521000,5771740000,5964439000,6745416000,7335740000,7848542000,8441481000,8793141000,9506263000,9730034000,18951700000,19346400000,20105900000,21150400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2338900000,2336600000,2336600000,2336600000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41847000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2338900000,2336600000,2336600000,2336600000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122921000,136462000,130270000,150754000,175625000,185016000,184057000,200122000,237102000,472100000,573200000,652100000,768700000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1787486000,741770000,758784000,786717000,846848000,924079000,1166607000,1001340000,1377128000,1173580000,1135662000,866146000,1019582000,1011327000,1012307000,930182000,2154400000,2252000000,2395900000,2554500000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5824704000,4651270000,4669771000,4734449000,4918455000,5727751000,6700128000,6896001000,7478029000,8049266000,8622156000,8890313000,9646079000,9988525000,10718692000,10897318000,23917100000,24508200000,25490500000,26810200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6443099000,5734505000,5085711000,5210069000,5455175000,6395430000,7443259000,7525483000,8079638000,8682851000,9265231000,9597111000,10347001000,10705666000,11487074000,11624368000,25598100000,25975900000,27114800000,28520500000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95936000,94700000,105593000,109807000,150424000,278299000,195683000,112211000,187954000,187428000,180825000,233351000,219351000,220969000,220522000,204186000,451500000,528800000,654000000,639700000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319499000,191747000,65000000,100000000,160000000,180558000,321266000,244105000,256916000,314414000,365142000,412079000,285533000,278609000,518542000,304234000,1839300000,1184300000,1130200000,1867600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46931000,45534000,52451000,58624000,69742000,74356000,83773000,85729000,87727000,133600000,145100000,143800000,150400000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,389278000,734268000,247981000,340260000,352752000,285906000,355460000,326162000,337976000,325445000,300174000,309969000,344747000,337357000,308129000,315297000,576400000,622800000,571600000,595600000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,804713000,1020715000,418574000,550067000,663176000,744763000,872409000,682478000,782846000,827287000,846141000,955399000,849631000,836935000,1047193000,823717000,2867200000,2335900000,2355800000,3102900000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3272828000,2069132000,1639901000,1562990000,1563265000,1889781000,2192538000,2490734000,2769033000,2740392000,3042014000,3163760000,3382104000,3302047000,3499879000,3768988000,6687400000,8765500000,9190900000,9297900000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108532000,97541000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,811879000,1039620000,996044000,976693000,967979000,956912000,1064306000,1092238000,1203970000,1274638000,1197837000,1361418000,1475487000,1591430000,1752776000,815743000,1599200000,1744400000,1664800000,1861900000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,884716000,815875000,1039793000,1268984000,1048003000,1338472000,1303291000,1354036000,2355483000,4453600000,4584800000,5184800000,5016100000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4084707000,3108752000,2635945000,2539683000,2531244000,2846693000,3256844000,4576220000,4886419000,5054823000,5508835000,5573181000,6196063000,6196768000,6606691000,6940214000,12740200000,15094700000,16040500000,16175900000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8689077000,6785782000,5893760000,5762246000,5762348000,6648880000,7620114000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123854000,117909000,109300000,7514000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5409083000,4697745000,3676389000,3772630000,3894280000,4546950000,5235679000,5258698000,5669265000,5882110000,6354976000,6528580000,7045694000,7033703000,7653884000,7763931000,15607400000,17430600000,18396300000,19278800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21436000,21436000,21436000,21436000,21436000,21436000,21436000,21436000,21436000,21436000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364201000,364201000,430149000,434177000,436974000,477316000,541556000,545360000,560640000,628492000,632519000,641271000,658437000,706767000,708956000,710471000,8685200000,7070400000,7080000000,7205500000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-185961000,-102782000,55053000,109987000,185779000,264477000,318197000,360199000,423647000,501216000,606649000,724776000,855299000,945830000,1078602000,1173255000,1346000000,1551500000,1702800000,2082900000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28594000,-20458000,-10248000,-51244000,101000,152000,-3249007000,-3370805000,-3563566000,-3913426000,-4013118000,-4188902000,-4331909000,-4408645000,-4645072000,-4867569000,-3000000,-50000000,-49400000,-44000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,807040000,774363000,912932000,923083000,916605000,1085099000,4575398000,4710595000,4962146000,5552929000,5670090000,5885629000,6113029000,6412769000,6663389000,6891965000,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,978122000,1036760000,1409322000,1437439000,1560895000,1848480000,2207580000,2266785000,2404303000,2790647000,2896140000,3062774000,3294856000,3656721000,3805875000,3908122000,10028200000,8571900000,8733400000,9244400000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6387205000,5734505000,5085711000,5210069000,5455175000,6395430000,7443259000,7525483000,8073568000,8672757000,9251116000,9591354000,10340550000,10690424000,11459759000,11672053000,25635600000,26002500000,27129700000,28523200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55894000,- -,- -,- -,- -,- -,- -,- -,6070000,10094000,14115000,5757000,6451000,15242000,27315000,-47685000,-37500000,-26600000,-14900000,-2700000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6443099000,5734505000,5085711000,5210069000,5455175000,6395430000,7443259000,7525483000,8079638000,8682851000,9265231000,9597111000,10347001000,10705666000,11487074000,11624368000,25598100000,25975900000,27114800000,28520500000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1711269/000171126919000013/0001711269-19-000013-index.html,https://www.sec.gov/Archives/edgar/data/1711269/000171126920000012/0001711269-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/1711269/000171126921000023/0001711269-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1711269/000171126922000008/0001711269-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,187400000,181700000,169000000,494100000,47800000,12400000,136481000,-20876000,-793001000,85010000,178870000,134868000,165309000,168354000,178140000,175075000,203896000,230239000,275146000,292520000,313259000,291929000,346577000,323920000,535800000,669900000,618300000,879700000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,408304000,413642000,- -,- -,- -,- -,- -,- -,- -,251534000,297026000,306473000,294833000,295283000,312493000,337565000,365233000,403914000,662400000,469400000,938400000,947800000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16600000,15000000,- -,- -,- -,-17000000,-29744000,-35024000,-114387000,-94838000,-5215000,25552000,-4203000,14084000,35261000,46447000,120169000,111723000,126248000,123307000,151451000,151332000,185229000,149568000,124200000,11600000,126900000,102200000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5133000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35900000,-39800000,45700000,-16800000,-4300000,-32600000,5317000,-12387000,-152248000,248838000,-65154000,-71813000,-52009000,49372000,-52194000,76282000,-128241000,-12465000,-9364000,-45535000,99892000,28915000,-159017000,182144000,-1089533000,318000000,136700000,-566800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17159000,-11434000,-1638000,2408000,-24649000,-17291000,9042000,-30294000,-2073000,265100000,-65900000,-4900000,69900000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13200000,1100000,13800000,3200000,-8000000,-15000000,12282000,-45572000,-7392000,6901000,10368000,22745000,-46112000,-44603000,-11764000,10466000,-12266000,-21485000,-19227000,10124000,-8773000,-53263000,1790000,7182000,54700000,10900000,-22300000,-61600000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15115000,30330000,3008000,-19161000,7856000,6189000,6636000,-8149000,10023000,56700000,6900000,134300000,-55100000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,20800000,-19000000,26700000,9900000,5600000,-27000000,-21683000,-34070000,-186318000,62520000,-2634000,-74447000,-126456000,-77084000,-129278000,-52996000,-181237000,-193702000,-203066000,-248601000,-148709000,-119794000,-278811000,-96667000,-1186200000,-868200000,-731500000,41000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,133900000,150000000,60600000,-563100000,356700000,410400000,-234214000,-120523000,1432383000,-73143000,244540000,265284000,146889000,15006000,113683000,-75566000,114852000,-173274000,-87757000,37228000,-52740000,-95198000,84398000,-147108000,1264933000,-646100000,-66500000,-11200000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,268800000,306900000,275300000,-85800000,400200000,373200000,286144000,224832000,372747000,165867000,353041000,353891000,255986000,246816000,274890000,478905000,607702000,462696000,599106000,702803000,824355000,714543000,822420000,912438000,1497800000,822800000,1753800000,1351700000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-237700000,-236800000,-199500000,-210700000,-182900000,-275700000,-308073000,-236452000,-135370000,-150378000,-188447000,-212814000,-344860000,-748156000,-937242000,-555637000,-540076000,-697451000,-810209000,-780098000,-852052000,-700228000,-1086970000,-764645000,-1069700000,-596100000,-1560300000,-1972500000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-368500000,-483900000,-826900000,-268400000,-47261000,- -,-43391000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8669000,-4947000,-8000000,-575000,-655000,- -,1154200000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9000000,-15400000,-6600000,-45300000,-261000000,-12000000,- -,- -,- -,- -,- -,- -,-345541000,-240067000,-229319000,-82558000,-211792000,-74550000,-38877000,-84392000,-25325000,-52402000,-61229000,-54908000,-134600000,-39400000,-84700000,-172400000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1533500000,27900000,73500000,218609000,2829000,33078000,801841000,26640000,24987000,341410000,238414000,248933000,62844000,193807000,58075000,57168000,229652000,54359000,104724000,139703000,42665000,265100000,180500000,122400000,192700000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,375600000,-42300000,-632700000,- -,-45900000,-4200000,50688000,72211000,1205000,25180000,76983000,-24202000,59895000,-12250000,11191000,-19830000,2016000,12410000,3250000,-2116000,-7730000,-1223000,-3609000,-3546000,-17600000,-3200000,-11100000,38400000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,128900000,-294500000,-1207300000,793600000,-1288800000,-486800000,-86037000,-161412000,-144478000,676643000,-84824000,-212029000,-289096000,-762059000,-906437000,-595181000,-556045000,-701516000,-797337000,-641901000,-838748000,-649704000,-1012760000,-780434000,197400000,-458200000,-1533700000,-1913800000
