,https://roic.ai/company/TPCS,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,-0.05,-0.04,0.12,0.23,0.10,0.12,-0.13,-0.13,-0.34,-0.15,0.05,0.18,-0.01,0.04,-0.01,0.01
27,Weighted Average Shares Outstanding,8270156,10008463,10896976,13640397,14066874,14489932,16738213,19004897,20776914,24120402,26392514,27908155,28824593,28878780,29258692,29447085
28,Weighted Average Shares Outstanding Diluted,8270156,10008463,28380980,25744157,20857251,22896251,16738213,19004897,20776914,24120402,26572737,28611074,28824593,30293670,29258692,31035355
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1328792/000114420408036527/0001144204-08-036527-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1328792/000095015912000437/0000950159-12-000437-index.htm,https://www.sec.gov/Archives/edgar/data/1328792/000095015913000526/0000950159-13-000526-index.htm,https://www.sec.gov/Archives/edgar/data/1328792/000095015914000381/0000950159-14-000381-index.htm,https://www.sec.gov/Archives/edgar/data/1328792/000095015915000177/0000950159-15-000177-index.html,https://www.sec.gov/Archives/edgar/data/1328792/000095015916000639/0000950159-16-000639-index.html,https://www.sec.gov/Archives/edgar/data/1328792/000114420417034937/0001144204-17-034937-index.html,https://www.sec.gov/Archives/edgar/data/1328792/000114420418036365/0001144204-18-036365-index.html,https://www.sec.gov/Archives/edgar/data/1328792/000114420419032723/0001144204-19-032723-index.html,https://www.sec.gov/Archives/edgar/data/1328792/000110465920072425/0001104659-20-072425-index.htm,https://www.sec.gov/Archives/edgar/data/1328792/000110465921079441/0001104659-21-079441-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,492801,1443998,2852676,10462737,8774223,7541000,2823485,3075376,1086701,1336325,1332166,3066156,2689110,2036646,930856,2130711
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,6681403,4928088,6257160,2834941,2395642,2097221,1885748,4390832,4504621,- -
33,Cash and Short-Term Investments,492801,1443998,2852676,10462737,8774223,7541000,9504888,8003464,7343861,4171266,3727808,5163377,4574858,6427478,5435477,2130711
34,Net Receivables,3813873,3968152,4509336,1418830,2693392,5578072,4901791,4330637,2280469,826363,2022480,1870672,1794878,1010443,990300,6140467
35,Inventory,214148,183498,195506,351356,299403,723400,373544,354516,293326,134812,128595,141792,202737,1240315,1217613,1271156
36,Other Current Assets,1543877,270321,5337800,5304015,3457672,3546230,1486954,1578484,461245,538253,530808,422096,450540,498059,606151,379437
37,Total Current Assets,6064699,5865969,12895318,17536938,15224690,17388702,16267177,14267101,10378901,5670694,6409691,7597937,7023013,9176295,8249541,9921771
38,PP&E,2556994,2561054,2810981,3650713,4112203,5312112,7395445,7300248,6489212,5610041,4814184,4912202,5202448,4860609,4182861,4063209
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,188005,255765,991096,826697,684270,3393110,2046298,2004346,2115480,1934415
44,Other Non-Current Assets,46127,138718,- -,104666,87640,181141,200630,-255765,-885701,-781207,223686,100000,6860,6233,32600,84624
45,Total Non-Current Assets,2603121,2699772,2810981,3755379,4199843,5493253,7784080,7300248,6594607,5655531,5722140,8405312,7255606,6871188,6330941,6082248
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8667820,8565741,15706299,21292317,19424533,22881955,24051257,21567349,16973508,11326225,12131831,16003249,14278619,16047483,14580482,16004019
48,Accounts Payable,691054,1298643,990533,950681,444735,1093350,1361611,2537060,2888385,1526123,996065,365308,345705,609082,185065,500848
49,Short-Term Debt,3876934,670814,613832,624818,809309,1371767,1358933,6284479,4169771,3321888,953106,717481,766354,822105,109829,2474963
50,Tax Payable,- -,- -,- -,- -,- -,- -,159987,232624,- -,- -,9032,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,3418898,3945364,56376,382130,799413,253813,1461689,1211506,1629018,642831,180706,740947,805049,218152
52,Other Current Liabilities,1405448,498626,1480507,865885,620600,958009,1620682,2107548,3893028,1665658,2321352,893415,788084,753499,1554524,1526270
53,Total Current Liabilities,5973436,2468083,6503770,6386748,1931020,3805256,5140639,11182900,12412873,7725175,5899541,2619035,2080849,2925633,2654467,4720233
54,Long-Term Debt,3442467,6020440,613832,4824453,5414002,5217421,5776294,31108,38071,2485858,3782752,4874721,4185274,3410542,2456560,1341938
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,1020208,255765,991096,826697,684270,521430,2046298,2004346,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,3442467,6020440,613832,4824453,5414002,5217421,6796502,286873,1029167,3312555,4467022,5396151,6231572,5414888,2456560,1341938
59,Other Liabilities,- -,- -,10178053,- -,- -,- -,- -,- -,- -,- -,8971141,10810044,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,10762,- -,- -,- -,- -,- -,22010,45663
61,Total Liabilities,9415903,8488523,16067991,11211201,7345022,9022677,11880933,11469773,13442040,11037730,10403660,8032928,6266123,6336175,5111027,6062171
62,Preferred Stock,2150000,2835278,2542643,2287508,2210216,2039631,1637857,1310206,644110,524210,- -,- -,- -,- -,- -,- -
63,Common Stock,997,1006,- -,1392,1424,1543,1799,1996,2395,2467,2732,2882,2882,2923,2935,2949
64,Retained Earnings,-4139901,-4525489,- -,4919437,6964172,8465283,6342177,3930240,-3165151,-6749332,-5390878,-310709,-576617,993339,651770,972401
65,Other Comprehensive Income/Loss,-1452889,-1879363,- -,-2895505,-3295662,5905,-223584,-221418,-55097,23561,21568,19328,24236,21940,21688,21838
66,Other Total Stockholders Equity,2693710,3645786,4159240,5768284,6199361,3346916,4412075,5076552,6105211,6487589,7094749,8258820,8561995,8693106,8793062,8944660
67,Total Stockholders Equity,-748083,77218,4159240,10081116,12079511,13859278,12170324,10097576,3531468,288495,1728171,7970321,8012496,9711308,9469455,9941848
68,Total Liabilities And Stockholders Equity,8667820,8565741,20227231,21292317,19424533,22881955,24051257,21567349,16973508,11326225,12131831,16003249,14278619,16047483,14580482,16004019
69,Minority Interest,- -,- -,-4520932,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8667820,8565741,15706299,21292317,19424533,22881955,24051257,21567349,16973508,11326225,12131831,16003249,14278619,16047483,14580482,16004019
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1328792/000114420408036527/0001144204-08-036527-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1328792/000095015912000437/0000950159-12-000437-index.htm,https://www.sec.gov/Archives/edgar/data/1328792/000095015913000526/0000950159-13-000526-index.htm,https://www.sec.gov/Archives/edgar/data/1328792/000095015914000381/0000950159-14-000381-index.htm,https://www.sec.gov/Archives/edgar/data/1328792/000095015915000177/0000950159-15-000177-index.html,https://www.sec.gov/Archives/edgar/data/1328792/000095015916000639/0000950159-16-000639-index.html,https://www.sec.gov/Archives/edgar/data/1328792/000114420417034937/0001144204-17-034937-index.html,https://www.sec.gov/Archives/edgar/data/1328792/000114420418036365/0001144204-18-036365-index.html,https://www.sec.gov/Archives/edgar/data/1328792/000114420419032723/0001144204-19-032723-index.html,https://www.sec.gov/Archives/edgar/data/1328792/000110465920072425/0001104659-20-072425-index.htm,https://www.sec.gov/Archives/edgar/data/1328792/000110465921079441/0001104659-21-079441-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,-428148,290225,3515935,5928991,2044735,2686979,-2123106,-2411937,-7095391,-3584181,1358454,5080169,-265908,1100676,-341569,320631
74,Depreciation and Amortization,456383,873320,483358,566836,424888,372758,681434,846012,953428,839508,747553,689293,704284,749755,717579,704049
75,Deferred Income Tax,- -,- -,- -,- -,- -,-158717,-524173,695762,- -,- -,- -,-2871680,825382,423357,-73041,181065
76,Stock Based Compensation,- -,- -,- -,- -,133006,300776,622245,337023,362962,262550,88041,1164221,303175,137352,90917,179917
77,Change in Working Capital,-721502,3306623,2993662,4758642,2143480,289776,-2456908,-8042337,-5118173,-20509,2564631,4468752,-36738,1308498,-655588,-393536
78,Accounts Receivable,- -,- -,- -,3090506,-1214562,-2884681,683394,572786,2056509,1454153,-1196117,151808,75794,436539,20143,382241
79,Inventory,-127445,30649,-12007,-155850,51953,-423997,351236,19985,62220,158513,6217,-13197,-60945,-263622,22702,-53542
80,Accounts Payable,- -,- -,- -,- -,-505946,648615,237046,1171600,357115,-1224025,-668295,-630757,-19603,263377,-424017,315783
81,Other Working Capital,91263,3397886,6391548,11150190,13293670,13583446,11126538,3084201,-2033972,-2054481,510150,4978902,4942164,6250662,5595074,5201538
82,Other Non-Cash Items,42500,-2732003,-4502515,-1908089,-6171965,-2205300,1153590,10354623,11099785,1726163,-3710586,-6800982,-274016,-3188329,938481,-356276
83,Cash Provided by Operating Activities,-650767,1738165,2490440,9346380,-1425856,1286272,-2646918,1779146,202611,-776469,1048093,1729773,1256179,531309,676779,635850
84,CAPEX,-83934,-430534,-956260,-1333300,-869352,-1560270,-2682341,-663185,-64895,-54099,-221664,-787808,-994530,-446652,-39831,-617513
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,240000,12000,60000,- -,- -,- -,12500,-204064,- -,80000,35309,- -,9582
89,Cash Used for Investing Activites,-83934,-430534,-956260,-1093300,-857352,-1500270,-2682341,-663185,-64895,-41599,-221664,-787808,-914530,-411343,-39831,-607931
90,Debt Repayment,- -,- -,- -,-625783,-701673,-3956371,-1372637,-1366017,-2126935,-4938333,-933651,-5236617,-717476,-766354,-1710500,-1120441
91,Common Stock Issued,2806763,- -,658437,170060,6650,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-210000,- -,-111500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-188600,- -,- -
93,Dividends Paid,- -,- -,- -,-187296,-185996,-1326162,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1645291,-356434,-672439,- -,1475713,4263308,1960072,500000,- -,6006002,103592,6029051,- -,182400,-32577,2292490
95,Cash Used/Provided by Financing Activities,951472,-356434,-125502,-643019,594694,-1019225,587435,-866017,-2126935,1067669,-830059,792434,-717476,-772554,-1743077,1172049
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,24309,1947,544,23,-529,-409,-1219,124,339,-113
97,Net Change In Cash,216771,951197,1408678,7610061,-1688514,-1233223,-4717515,251891,-1988675,249624,-4159,1733990,-377046,-652464,-1105790,1199855
98,Cash at the End of Period,1442801,1443998,2852676,10462737,8774223,7541000,2823485,3075376,1086701,1336325,1332166,3066156,2689110,2036646,930856,2130711
99,Cash at the Beginning of Period,1226030,492801,1443998,2852676,10462737,8774223,7541000,2823485,3075376,1086701,1336325,1332166,3066156,2689110,2036646,930856
100,Free Cash Flow,-734701,1307631,1534180,8013080,-2295208,-273998,-5329259,1115961,137716,-830568,826429,941965,261649,84657,636948,18337
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1328792/000114420408036527/0001144204-08-036527-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1328792/000095015912000437/0000950159-12-000437-index.htm,https://www.sec.gov/Archives/edgar/data/1328792/000095015913000526/0000950159-13-000526-index.htm,https://www.sec.gov/Archives/edgar/data/1328792/000095015914000381/0000950159-14-000381-index.htm,https://www.sec.gov/Archives/edgar/data/1328792/000095015915000177/0000950159-15-000177-index.html,https://www.sec.gov/Archives/edgar/data/1328792/000095015916000639/0000950159-16-000639-index.html,https://www.sec.gov/Archives/edgar/data/1328792/000114420417034937/0001144204-17-034937-index.html,https://www.sec.gov/Archives/edgar/data/1328792/000114420418036365/0001144204-18-036365-index.html,https://www.sec.gov/Archives/edgar/data/1328792/000114420419032723/0001144204-19-032723-index.html,https://www.sec.gov/Archives/edgar/data/1328792/000110465920072425/0001104659-20-072425-index.htm,https://www.sec.gov/Archives/edgar/data/1328792/000110465921079441/0001104659-21-079441-index.htm
102,false,,,,,,,,,,,,,,,,
