,https://roic.ai/company/FPH,2015,2016,2017,2018,2019,2020,2021
63,Common Stock,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,17872000,-15394000,57841000,33811000,42844000,42221000,48789000
65,Other Comprehensive Income/Loss,-2779000,-2469000,-2455000,-3306000,-2682000,-2833000,-1952000
66,Other Total Stockholders Equity,335285000,1529347000,1849768000,1817706000,1843956000,1845710000,- -
67,Total Stockholders Equity,260922000,242916000,585401000,587026000,611694000,617666000,- -
68,Total Liabilities And Stockholders Equity,354340000,849385000,1658147000,1662401000,1732594000,1694553000,859789000
69,Minority Interest,87511000,1265197000,1320208000,1261491000,1272106000,1267432000,- -
70,Total Liabilities & Equity,441851000,2114582000,2978355000,2923892000,3004700000,2961985000,859789000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1574197/000157419718000004/0001574197-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419719000005/0001574197-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419720000004/0001574197-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419721000007/0001574197-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419722000016/0001574197-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-2685000,-33266000,73235000,-34714000,9033000,-428000,13310000
74,Depreciation and Amortization,-179000,3042000,1508000,13260000,20633000,14142000,- -
75,Deferred Income Tax,-546000,-7888000,-105586000,9183000,2445000,950000,- -
76,Stock Based Compensation,- -,27746000,18421000,11464000,13631000,11562000,- -
77,Change in Working Capital,-43144000,803565000,854726000,-45559000,47785000,93685000,-1521412000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-39938000,-61746000,-64523000,-278008000,-191967000,-99228000,52584000
80,Accounts Payable,-28280000,11237000,59774000,-5714000,-4174000,-32304000,- -
81,Other Working Capital,296607000,1100172000,1954898000,1909339000,1957124000,2050809000,529397000
82,Other Non-Cash Items,5181000,-917836000,-900447000,-296930000,-325567000,-198410000,1508102000
83,Cash Provided by Operating Activities,-41373000,-124637000,-58143000,-343296000,-232040000,-78499000,- -
84,CAPEX,-845000,-1091000,-242000,5685000,-1676000,-2147000,- -
85,Acquisitions Net,-346000,78607000,-76500000,-10200000,- -,57532000,- -
86,Purchases of Investments,-37500000,-20763000,-25233000,- -,- -,- -,- -
87,Sales/Maturities of Investments,43000000,25000000,45210000,- -,- -,- -,- -
88,Other Investing Activites,79000,1574000,876000,13884000,1987000,-2445000,- -
89,Cash Used for Investing Activites,4388000,83327000,-55889000,579000,311000,52940000,- -
90,Debt Repayment,- -,-5000000,- -,-5000000,-65130000,- -,- -
91,Common Stock Issued,- -,470000,419743000,- -,3000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-6579000,-513000,480463000,-5131000,148333000,-23541000,- -
95,Cash Used/Provided by Financing Activities,-6579000,-5043000,900206000,-10131000,83206000,-23541000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-43564000,-46353000,786174000,-352848000,-148523000,-49100000,- -
98,Cash at the End of Period,108657000,62304000,848478000,497097000,348574000,299474000,- -
99,Cash at the Beginning of Period,152221000,108657000,62304000,849945000,497097000,348574000,299474000
100,Free Cash Flow,-42218000,-125728000,-58385000,-346401000,-233716000,-80646000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1574197/000157419718000004/0001574197-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419719000005/0001574197-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419720000004/0001574197-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419721000007/0001574197-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419722000016/0001574197-22-000016-index.htm
102,false,,,,,,,
