,https://roic.ai/company/EVR,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),905000,2114000,3372000,8398000,12401000,179000,19532000,15880000,22724000,30908000,63689000,68756000,77030000,119303000,258442000,108520000,95046000,128151000,248026000
23,Net Income,34344000,49777000,63152000,69737000,-34495000,-4713000,-1570000,8954000,6952000,28889000,53262000,86874000,42863000,107528000,125454000,377240000,297436000,350574000,740116000
24,Net Income ratio,0.5713,0.5767,0.5027,0.3353,-0.1073,-0.0242,-0.0050,0.0236,0.0133,0.0450,0.0696,0.0949,0.0350,0.0747,0.0736,0.1837,0.1490,0.1558,0.2258
25,EPS,8.60,12.46,15.81,10.97,-3.38,-0.36,-0.10,0.45,0.26,0.98,1.65,2.42,1.15,2.74,3.16,9.29,7.44,8.64,18.25
26,EPS Diluted,8.60,12.46,15.81,10.97,-3.38,-0.36,-0.10,0.39,0.23,0.89,1.38,2.08,0.98,2.43,2.80,8.33,6.89,8.22,18.25
27,Weighted Average Shares Outstanding,3995238,3995238,3995238,6359609,10219000,13072000,15545000,19655000,26019000,29275000,32208000,35827000,37161000,39220000,39641000,40595000,39994000,40553000,39467000
28,Weighted Average Shares Outstanding Diluted,3995238,3995238,3995238,6359609,10219000,13072000,15545000,22968000,29397000,32548000,38481000,41843000,43699000,44193000,44826000,45279000,43194000,42623000,39467000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1360901/000119312507072377/0001193125-07-072377-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000119312508057106/d10k.htm,https://www.sec.gov/Archives/edgar/data/1360901/000119312509052457/0001193125-09-052457-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000119312510036474/0001193125-10-036474-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000119312511060912/d10k.htm,https://www.sec.gov/Archives/edgar/data/1360901/000119312512089182/0001193125-12-089182-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000119312513080314/0001193125-13-080314-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090114000008/evr1231201310k.htm,https://www.sec.gov/Archives/edgar/data/1360901/000136090115000004/evr1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1360901/000136090116000017/0001360901-16-000017-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090117000007/0001360901-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090118000006/0001360901-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090119000006/0001360901-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090120000006/0001360901-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090121000005/0001360901-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1360901/000136090122000005/0001360901-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,37379000,37855000,65420000,193475000,175902000,206682000,141337000,182905000,259431000,298453000,352160000,448764000,558524000,609587000,790590000,848604000,829598000,578317000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128559000,304627000,- -,- -,1784639000
33,Cash and Short-Term Investments,- -,37379000,37855000,65420000,193475000,175902000,206682000,141337000,182905000,259431000,298453000,352160000,448764000,558524000,738146000,1095217000,848604000,829598000,2362956000
34,Net Receivables,- -,14313000,16268000,57879000,53423000,26036000,29795000,53090000,59853000,94264000,92580000,153607000,196686000,245556000,202023000,332911000,318771000,391939000,351668000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,92501000,308102000,403562000,460223000,286473000,243142000,173005000,146867000,177189000,104014000,121553000,60036000,53489000,523047000,452680000,83741000
37,Total Current Assets,- -,- -,- -,215800000,555000000,605500000,696700000,480900000,485900000,526700000,537900000,682956000,749464000,925633000,1000205000,1481617000,1690422000,1674217000,2798365000
38,PP&E,- -,1893000,2263000,4373000,10105000,8145000,8217000,14923000,21437000,29777000,27832000,42527000,47980000,51651000,68593000,81069000,326787000,419330000,263329000
39,Goodwill,- -,- -,- -,37966000,42044000,32750000,49764000,139031000,177849000,188684000,189274000,218232000,166461000,160961000,134231000,131387000,130758000,129126000,128246000
40,Intangible Assets,- -,- -,- -,23080000,8993000,5413000,7577000,49232000,40909000,35397000,26731000,69544000,41010000,29370000,19577000,10378000,2303000,698000,336000
41,Intangible Assets,- -,- -,- -,61046000,51037000,38163000,57341000,188263000,218758000,224081000,216005000,287776000,207471000,190331000,153808000,141765000,133061000,129824000,128582000
42,Investments,- -,16925000,16755000,20225000,23930000,128319000,159648000,153447000,190218000,147442000,157491000,164572000,170438000,183120000,226872000,395271000,498640000,1147517000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,248077000
44,Other Non-Current Assets,- -,- -,- -,56000,49024000,-41227000,-30746000,60552000,127279000,217200000,241555000,268725000,303818000,311611000,135408000,25945000,-50297000,- -,364304000
45,Total Non-Current Assets,- -,- -,- -,85700000,134096000,133400000,194460000,417185000,557692000,618500000,642883000,763600000,729707000,736713000,584681000,644050000,908191000,1696671000,1004292000
46,Other Assets,- -,71681000,81412000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5067559000,- -
47,Total Assets,- -,71681000,81412000,301500000,689096000,738900000,891160000,898085000,1043592000,1145200000,1180783000,1446556000,1479171000,1662346000,1584886000,2125667000,2598613000,3370888000,3802657000
48,Accounts Payable,- -,4111000,11672000,8948000,11490000,8104000,10159000,12558000,17849000,17909000,18365000,37104000,43878000,30723000,34111000,37948000,39726000,37961000,- -
49,Short-Term Debt,- -,115000,193000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33316000,80845000,470885000
50,Tax Payable,- -,1423000,1711000,5822000,3961000,92000,- -,404000,5159000,20304000,4713000,2515000,20886000,27321000,16494000,33621000,3400000,15346000,20980000
51,Deferred Revenue,- -,1413000,935000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,142952000,408110000,357296000,406141000,274442000,285051000,302991000,265835000,347976000,364171000,432698000,429941000,711743000,595611000,- -,826251000
53,Total Current Liabilities,- -,5639000,12800000,151900000,419600000,365400000,416300000,287000000,302900000,320900000,284200000,385080000,408049000,463421000,464052000,749691000,668653000,118806000,1297136000
54,Long-Term Debt,- -,- -,- -,- -,- -,95263000,96618000,98082000,99664000,101375000,103226000,127776000,141800000,184647000,175146000,168612000,375062000,638793000,673716000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,107000,3385000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,36993000,93115000,72537000,111882000,212318000,233336000,294425000,290774000,382419000,424770000,486980000,401724000,449244000,685182000,- -,196524000
58,Total Non-Current Liabilities,- -,- -,- -,37100000,96500000,167800000,208500000,310400000,333000000,395800000,394000000,510195000,566570000,671627000,576870000,617856000,1060244000,638793000,870240000
59,Other Liabilities,- -,14763000,17107000,74226000,193020000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2401501000,- -
60,Capital Lease Obligations,- -,448000,425000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250567000,343146000,- -
61,Total Liabilities,- -,20402000,29907000,189026000,516120000,533163000,595404000,530844000,577766000,654469000,617625000,734323000,771955000,879015000,788518000,1117728000,1472363000,1881514000,2167376000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,51116000,51301000,64000,113000,126000,172000,215000,310000,350000,408000,464000,552000,582000,621000,659000,687000,722000,- -
64,Retained Earnings,- -,- -,- -,3786000,-35612000,-46564000,-56756000,-61504000,-76703000,-77079000,-59896000,-17814000,-27791000,20343000,79461000,364882000,558269000,798573000,1418382000
65,Other Comprehensive Income/Loss,- -,163000,204000,63000,597000,-14969000,-3760000,-4193000,-12058000,-9086000,-10784000,-20387000,-34539000,-50096000,-31411000,-30434000,-27596000,-9758000,-12086000
66,Other Total Stockholders Equity,- -,- -,- -,108564000,207878000,267184000,326739000,366181000,496115000,514321000,572853000,589018000,566330000,556469000,495293000,423013000,338356000,441409000,- -
67,Total Stockholders Equity,- -,51279000,51505000,112477000,172976000,205777000,266395000,300699000,407664000,428506000,502581000,551281000,504552000,527298000,543964000,758120000,869716000,1230946000,1320371000
68,Total Liabilities And Stockholders Equity,- -,71681000,81412000,301503000,689096000,738940000,861799000,831543000,985430000,1082975000,1120206000,1285604000,1276507000,1406313000,1332482000,1875848000,2342079000,3112460000,3487747000
69,Minority Interest,- -,- -,- -,-3000,- -,-40000,29361000,66542000,58162000,62225000,60577000,160952000,202664000,256033000,252404000,249819000,256534000,258428000,314910000
70,Total Liabilities & Equity,- -,71681000,81412000,301500000,689096000,738900000,891160000,898085000,1043592000,1145200000,1180783000,1446556000,1479171000,1662346000,1584886000,2125667000,2598613000,3370888000,3802657000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1360901/000119312507072377/0001193125-07-072377-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000119312508057106/d10k.htm,https://www.sec.gov/Archives/edgar/data/1360901/000119312509052457/0001193125-09-052457-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000119312510036474/0001193125-10-036474-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000119312511060912/d10k.htm,https://www.sec.gov/Archives/edgar/data/1360901/000119312512089182/0001193125-12-089182-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000119312513080314/0001193125-13-080314-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090114000008/evr1231201310k.htm,https://www.sec.gov/Archives/edgar/data/1360901/000136090115000004/evr1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1360901/000136090116000017/0001360901-16-000017-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090117000007/0001360901-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090118000006/0001360901-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090119000006/0001360901-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090120000006/0001360901-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090121000005/0001360901-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1360901/000136090122000005/0001360901-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,34344000,49777000,63152000,69737000,-34495000,-4713000,-1570000,8954000,6952000,28889000,53262000,86874000,42863000,107528000,125454000,377240000,297436000,350574000,740116000
74,Depreciation and Amortization,626000,667000,778000,4507000,17421000,4619000,5872000,11541000,20401000,18784000,16699000,18773000,29636000,25223000,26032000,29374000,35730000,30002000,28655000
75,Deferred Income Tax,- -,- -,- -,-1487000,-5945000,-2781000,5851000,2899000,11026000,-7967000,20058000,14315000,-3627000,10043000,148320000,-3981000,-10503000,13824000,29078000
76,Stock Based Compensation,- -,- -,- -,4399000,140837000,29380000,59518000,55914000,94253000,115632000,121608000,111771000,207533000,258295000,230268000,293507000,360341000,367438000,422210000
77,Change in Working Capital,-4073000,- -,- -,63900000,71500000,104700000,40300000,-86500000,-10900000,22800000,47900000,44176000,43539000,120797000,73941000,195773000,289843000,-1021769000,1501229000
78,Accounts Receivable,1488000,-5515000,-5598000,-36696000,7024000,23947000,844000,-18822000,2749000,-37111000,1460000,-51166000,-46442000,-64522000,47120000,-130956000,5241000,-78573000,16028000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,288000,2346000,7561000,-5688000,1158000,-2436000,776000,976000,1499000,466000,258000,6231000,5418000,-10030000,1149000,5496000,-745000,-796000,-5497000
81,Other Working Capital,- -,- -,- -,63900000,135400000,240100000,280400000,193900000,183000000,205800000,253700000,297876000,341415000,462212000,536153000,731926000,1021769000,- -,1501229000
82,Other Non-Cash Items,-13091000,-3887000,2752000,-87339000,-43143000,-112935000,-21870000,52187000,26104000,-17980000,-60813000,-59937000,36907000,-105788000,-87464000,-42339000,-468150000,1238302000,-1336390000
83,Cash Provided by Operating Activities,17806000,46557000,66682000,53717000,146175000,18270000,88101000,44995000,147836000,160158000,198714000,215972000,356851000,416098000,516551000,849574000,504697000,978371000,1384898000
84,CAPEX,-602000,-1048000,-1024000,-2184000,-6727000,-1159000,-2260000,-8567000,-8662000,-13941000,-4487000,-13521000,-16189000,-18439000,-31300000,-33324000,-70816000,-53330000,- -
85,Acquisitions Net,- -,- -,- -,5342000,-324000,- -,-9382000,-70481000,-30397000,-6743000,1416000,42869000,-5647000,-2877000,34354000,- -,- -,679000,- -
86,Purchases of Investments,-3808000,-545000,-5793000,-8678000,-1947000,-114684000,-87568000,-155328000,-120174000,-25660000,-38199000,-39704000,-39920000,-71615000,-41992000,-336691000,-702838000,-1201760000,-6660000
87,Sales/Maturities of Investments,9024000,3056000,5010000,6033000,- -,3608000,51677000,188701000,80678000,67958000,31106000,34719000,32318000,46547000,45642000,191779000,510151000,555624000,2690467000
88,Other Investing Activites,-116000,-724000,-679000,-601000,1433000,- -,4853000,1809000,1211000,3303000,1300000,672000,3321000,-2120000,-61345000,-34330000,-109968000,214916000,-3389699000
89,Cash Used for Investing Activites,4498000,739000,-2486000,-88000,-7565000,-112235000,-42680000,-43866000,-77344000,24917000,-8864000,25035000,-26117000,-48504000,-54641000,-212566000,-373471000,-483871000,-705892000
90,Debt Repayment,-62000,-107000,-147000,-6255000,-131000,-113000,-32000,-9000,-8335000,-1047000,- -,-75000000,-45000000,-176000000,-39751000,-36799000,-30000000,- -,- -
91,Common Stock Issued,- -,- -,- -,88590000,42074000,- -,70761000,77185000,168140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-968000,-7082000,-75467000,-114141000,-140242000,-66983000,-102277000,-156242000,-160733000,-173958000,-304313000,-315233000,-333296000,-147411000,- -
93,Dividends Paid,- -,- -,- -,- -,-4651000,-6239000,-8217000,-12358000,-19346000,-24296000,-30090000,-38754000,-46132000,-51558000,-56521000,-77302000,-96803000,-106582000,-118762000
94,Other Financing Activites,-24245000,-25543000,-63573000,-108442000,-46843000,103463000,-1925000,-17500000,-25298000,-17686000,-17429000,90401000,28062000,169029000,-18645000,-23593000,170090000,-53800000,-806559000
95,Cash Used/Provided by Financing Activities,-24307000,-25650000,-63720000,-26107000,-10519000,90029000,-14880000,-66823000,-25081000,-110012000,-149796000,-179595000,-223803000,-232487000,-419230000,-452927000,-290009000,-307793000,-925321000
96,Effect of Forex Changes on Cash,- -,- -,- -,43000,-36000,-13637000,239000,349000,-3843000,1463000,-1032000,-7705000,-10327000,-25347000,8383000,-1370000,2573000,7631000,-4616000
97,Net Change In Cash,-2003000,21646000,476000,27565000,128055000,-17573000,30780000,-65345000,41568000,76526000,39022000,53707000,96604000,109760000,51063000,182711000,-156210000,194338000,-250931000
98,Cash at the End of Period,15733000,37379000,37855000,81778000,193475000,175902000,206682000,141337000,182905000,259431000,298453000,352160000,448764000,558524000,609587000,800096000,643886000,838224000,587293000
99,Cash at the Beginning of Period,17736000,15733000,37379000,54213000,65420000,193475000,175902000,206682000,141337000,182905000,259431000,298453000,352160000,448764000,558524000,617385000,800096000,643886000,838224000
100,Free Cash Flow,17204000,45509000,65658000,51533000,139448000,17111000,85841000,36428000,139174000,146217000,194227000,202451000,340662000,397659000,485251000,816250000,433881000,925041000,1384898000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1360901/000119312507072377/0001193125-07-072377-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000119312508057106/d10k.htm,https://www.sec.gov/Archives/edgar/data/1360901/000119312509052457/0001193125-09-052457-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000119312510036474/0001193125-10-036474-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000119312511060912/d10k.htm,https://www.sec.gov/Archives/edgar/data/1360901/000119312512089182/0001193125-12-089182-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000119312513080314/0001193125-13-080314-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090114000008/evr1231201310k.htm,https://www.sec.gov/Archives/edgar/data/1360901/000136090115000004/evr1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1360901/000136090116000017/0001360901-16-000017-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090117000007/0001360901-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090118000006/0001360901-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090119000006/0001360901-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090120000006/0001360901-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1360901/000136090121000005/0001360901-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1360901/000136090122000005/0001360901-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,
