,https://roic.ai/company/PBR-A,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3504000000,4346000000,3907000000,4178000000,4410000000,6070000000,8172000000,11064000000,16234000000,19579000000,20430000000,24798000000,15051000000,17907000000,17220000000,20625000000,15020000000,10955000000,15000000000,10617000000,12355000000,7064000000,8411000000
11,COGS and Expenses,12284000000,17795000000,17118000000,16119000000,19826000000,26986000000,39009000000,52059000000,66023000000,92444000000,69681000000,95492000000,114646000000,125441000000,125474000000,130102000000,82505000000,66372000000,75147000000,72134000000,58087000000,36259000000,51575000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,1427000000,1641000000,1899000000,2630000000,3943000000,2635000000,1183000000,968000000,718000000,552000000,604000000,563000000,5000000,79000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,242000000,848000000,1295000000,1643000000,1424000000,1345000000,1570000000,3134000000,5085000000,6035000000,5412000000,4206000000,6684000000,5771000000,4977000000
14,Depreciation and Amortization,1987000000,2043000000,1731000000,1951000000,1805000000,2481000000,2918000000,3673000000,5544000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11695000000
15,EBITDA,2963000000,9908000000,6611000000,5415000000,11027000000,10902000000,17703000000,22190000000,24812000000,28986000000,22037000000,27183000000,28277000000,15941000000,15242000000,-5554000000,-4502000000,1881000000,7149000000,16063000000,21035000000,5738000000,44786000000
16,EBITDA ratio,0.1811,0.3676,0.2693,0.2395,0.3581,0.2911,0.3143,0.3067,0.2828,0.2451,0.2399,0.2264,0.1938,0.1106,0.1077,-0.0387,-0.0463,0.0231,0.0805,0.1681,0.2746,0.1069,0.5334
17,Operating Income,4074000000,9160000000,7431000000,6493000000,10971000000,10466000000,17315000000,20288000000,21712000000,25813000000,22188000000,24560000000,31269000000,18662000000,15988000000,13555000000,14809000000,15033000000,13680000000,23450000000,20614000000,17424000000,32391000000
18,Operating Income ratio,0.2491,0.3398,0.3027,0.2871,0.3562,0.2795,0.3074,0.2804,0.2475,0.2183,0.2415,0.2046,0.2143,0.1295,0.1130,0.0944,0.1522,0.1847,0.1540,0.2453,0.2692,0.3246,0.3858
19,Total Other Income Expenses (Gains),-3098000000,-1295000000,-2639000000,-3029000000,-2198000000,-1531000000,-2723000000,-1127000000,-2413000000,1179000000,-127000000,1271000000,-4545000000,-4169000000,-2578000000,-22379000000,-24557000000,-18698000000,-11683000000,-11352000000,-8611000000,-17650000000,-4166000000
20,Income Before Tax,976000000,7865000000,4792000000,3464000000,8773000000,8935000000,14592000000,19161000000,19299000000,26992000000,22061000000,25831000000,26724000000,14493000000,13410000000,-8824000000,-9748000000,-3665000000,1997000000,12098000000,12003000000,-226000000,28225000000
21,Income Before Tax Ratio,0.0597,0.2918,0.1952,0.1532,0.2849,0.2386,0.2591,0.2648,0.2200,0.2282,0.2401,0.2152,0.1831,0.1006,0.0948,-0.0614,-0.1002,-0.0450,0.0225,0.1266,0.1567,-0.0042,0.3361
22,Income Tax expense (Gain),249000000,2523000000,1389000000,1153000000,2663000000,2231000000,4441000000,5691000000,5888000000,9259000000,5238000000,6356000000,6732000000,3562000000,2578000000,-1321000000,-1137000000,684000000,1828000000,4684000000,4200000000,-1174000000,8239000000
23,Net Income,727000000,5342000000,3491000000,2311000000,6559000000,6190000000,10344000000,12826000000,13138000000,18879000000,15504000000,19184000000,20121000000,11034000000,11094000000,-7367000000,-8450000000,-4838000000,-91000000,7173000000,10151000000,1141000000,19875000000
24,Net Income ratio,0.0444,0.1982,0.1422,0.1022,0.2130,0.1653,0.1837,0.1773,0.1497,0.1596,0.1688,0.1598,0.1379,0.0766,0.0784,-0.0513,-0.0868,-0.0594,-0.0010,0.0750,0.1325,0.0213,0.2367
25,EPS,0.34,2.46,0.80,0.53,1.50,1.41,2.36,2.92,3.00,4.30,3.54,3.88,5.10,1.69,1.70,-1.12,-1.30,-0.74,-0.02,1.10,1.56,0.18,3.05
26,EPS Diluted,0.34,2.46,0.80,0.53,1.50,1.41,2.36,2.92,3.00,4.30,3.54,3.88,5.10,1.69,1.70,-1.12,-1.30,-0.74,-0.02,1.10,1.56,0.18,3.05
27,Weighted Average Shares Outstanding,1268336838,1268336836,4344416348,4344416348,4386151700,4386151700,4386151700,4386576816,4387038370,4387038370,4387038370,4936413032,6531960784,6522248465,6522248465,6522248465,6522248465,6522248465,6522248465,6522248465,6522248465,6522100630,6522100630
28,Weighted Average Shares Outstanding Diluted,1268336838,1268336836,4344416348,4344416348,4386151700,4386151700,4386151700,4386576816,4387038370,4387038370,4387038370,4936413032,6531960784,6522248465,6522248465,6522248465,6522248465,6522248465,6522248465,6522248465,6522248465,6522100630,6522100630
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,3301000000,9610000000,6856000000,9871000000,12688000000,6987000000,6499000000,16169000000,17633000000,19057000000,13520000000,15868000000,16655000000,25058000000,21205000000,22519000000,13899000000,7372000000,11711000000,10467000000
32,Short-Term Investments,- -,- -,- -,- -,- -,388000000,456000000,346000000,267000000,124000000,72000000,15612000000,8961000000,10431000000,3885000000,9323000000,780000000,784000000,1885000000,1083000000,888000000,659000000,650000000
33,Cash and Short-Term Investments,- -,- -,- -,3301000000,9610000000,7244000000,10327000000,13034000000,7254000000,6623000000,16241000000,33245000000,28018000000,23951000000,19753000000,25978000000,25838000000,21989000000,24404000000,14982000000,8260000000,12370000000,11117000000
34,Net Receivables,- -,- -,- -,2267000000,2905000000,4285000000,8271000000,8904000000,10026000000,9894000000,12055000000,15832000000,18604000000,16671000000,14641000000,11780000000,8551000000,7271000000,7409000000,7781000000,7306000000,7326000000,7714000000
35,Inventory,- -,- -,- -,2540000000,2947000000,4904000000,5305000000,6573000000,9231000000,7990000000,11227000000,11834000000,15165000000,14552000000,14225000000,11466000000,7441000000,8475000000,8489000000,8987000000,8189000000,5677000000,7255000000
36,Other Current Assets,- -,- -,- -,2089000000,2438000000,2993000000,1875000000,2444000000,2629000000,2251000000,3121000000,2952000000,2805000000,2620000000,4036000000,1608000000,1598000000,7034000000,6829000000,5312000000,4057000000,2015000000,4063000000
37,Total Current Assets,- -,- -,- -,10197000000,17900000000,19426000000,25778000000,30955000000,29140000000,26758000000,42644000000,63863000000,64592000000,57794000000,52655000000,50832000000,43428000000,44769000000,47131000000,37062000000,27812000000,27388000000,30149000000
38,PP&E,- -,- -,- -,18224000000,30805000000,37020000000,45920000000,58897000000,84523000000,84719000000,136167000000,218567000000,182465000000,204901000000,227901000000,218730000000,161297000000,175470000000,176650000000,157383000000,- -,124201000000,125330000000
39,Goodwill,- -,- -,- -,- -,- -,- -,237000000,243000000,313000000,118000000,139000000,192000000,504000000,461000000,400000000,366000000,284000000,220000000,218000000,203000000,63000000,24000000,22000000
40,Intangible Assets,- -,- -,- -,- -,183000000,211000000,- -,- -,- -,- -,- -,- -,43362000000,39278000000,15019000000,4143000000,2808000000,3052000000,2122000000,2602000000,19410000000,14924000000,3003000000
41,Intangible Assets,- -,- -,- -,- -,183000000,211000000,237000000,243000000,313000000,118000000,139000000,192000000,43866000000,39739000000,15419000000,4509000000,3092000000,3272000000,2340000000,2805000000,19473000000,14948000000,3025000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,7256000000,4936000000,7009000000,9411000000,9594000000,6282000000,6797000000,5862000000,3615000000,3142000000,3859000000,2812000000,5557000000,3317000000,1554000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,61000000,15000000,- -,5462000000,- -,9199000000,5526000000,1130000000,1006000000,6016000000,4307000000,3438000000,2680000000,1388000000,6451000000,604000000
44,Other Non-Current Assets,- -,- -,- -,3597000000,4724000000,6425000000,6690000000,8524000000,8468000000,9164000000,8849000000,16650000000,9694000000,17403000000,17521000000,17748000000,13073000000,16023000000,17948000000,19326000000,175510000000,13705000000,13686000000
45,Total Non-Current Assets,- -,- -,- -,21821000000,35712000000,43656000000,52847000000,67725000000,100575000000,98937000000,157626000000,244820000000,254818000000,273851000000,268768000000,247855000000,187093000000,202214000000,204235000000,185006000000,201928000000,162622000000,144199000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,32018000000,53612000000,63082000000,78625000000,98680000000,129715000000,125695000000,200270000000,308683000000,319410000000,331645000000,321423000000,298687000000,230521000000,246983000000,251366000000,222068000000,229740000000,190010000000,174348000000
48,Accounts Payable,- -,- -,- -,1702000000,2261000000,3284000000,3838000000,5418000000,7816000000,7763000000,9882000000,10468000000,11863000000,12124000000,11919000000,9760000000,6380000000,5762000000,5767000000,6327000000,5601000000,6859000000,5483000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4469000000,4186000000,9073000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4734000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,276000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,5243000000,8960000000,10044000000,14317000000,16368000000,16376000000,16993000000,21083000000,23084000000,24501000000,21946000000,23307000000,21358000000,22193000000,19141000000,19181000000,18724000000,18746000000,15180000000,9620000000
53,Total Current Liabilities,- -,- -,- -,6945000000,11221000000,13328000000,18155000000,21786000000,24468000000,24756000000,30965000000,33552000000,36364000000,34070000000,35226000000,31118000000,28573000000,24903000000,24948000000,25051000000,28816000000,26225000000,24176000000
54,Long-Term Debt,- -,- -,- -,10787000000,16954000000,16544000000,15132000000,14702000000,12148000000,16031000000,48149000000,60471000000,72718000000,88484000000,106235000000,120218000000,111482000000,108371000000,102045000000,80508000000,58791000000,49702000000,49670000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,123000000,1122000000,1558000000,2159000000,2916000000,4802000000,7080000000,9844000000,12704000000,17736000000,19213000000,9906000000,3031000000,232000000,263000000,1196000000,654000000,1760000000,195000000,1229000000
57,Other Non-Current Liabilities,- -,- -,- -,4998000000,6796000000,8269000000,9188000000,13011000000,20786000000,15260000000,15892000000,18559000000,15482000000,20839000000,20933000000,27342000000,24179000000,35896000000,41675000000,42680000000,66158000000,54012000000,29461000000
58,Total Non-Current Liabilities,- -,- -,- -,15908000000,24872000000,26371000000,26479000000,30629000000,37736000000,38371000000,73885000000,91734000000,105936000000,128536000000,137074000000,150591000000,135893000000,144530000000,144916000000,123842000000,126709000000,103909000000,80360000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,1907000000,1242000000,1069000000,1015000000,824000000,738000000,595000000,430000000,222000000,142000000,104000000,89000000,72000000,51000000,244000000,229000000,185000000,23861000000,21650000000,23043000000
61,Total Liabilities,- -,- -,- -,22853000000,36093000000,39699000000,44634000000,52415000000,62204000000,63127000000,104850000000,125286000000,142300000000,162606000000,172300000000,181709000000,164466000000,169433000000,169864000000,148893000000,155525000000,130134000000,104536000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,8620000000,15106000000,15106000000,45840000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,6220000000,7262000000,11701000000,11701000000,18677000000,12196000000,- -,- -,- -,- -,107362000000,107371000000,107101000000,107101000000,107101000000,107101000000,107101000000,107101000000,107101000000,107101000000
64,Retained Earnings,- -,- -,- -,21670000000,25653000000,24725000000,32063000000,34245000000,41481000000,41486000000,51753000000,60905000000,60224000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,-14936000000,-19254000000,-21120000000,-26689000000,-30194000000,-38936000000,-37950000000,-52324000000,-62274000000,-67803000000,-72591000000,-73071000000,-75245000000,-64435000000,-81299000000,-90879000000,-85224000000,-86623000000,-24534000000,-37694000000
66,Other Total Stockholders Equity,- -,- -,- -,-3653000000,3491000000,7200000000,15842000000,21571000000,41818000000,59032000000,95991000000,184766000000,184689000000,133116000000,114227000000,84416000000,22570000000,50977000000,63580000000,49667000000,52845000000,-23219000000,- -
67,Total Stockholders Equity,- -,- -,- -,9301000000,17152000000,22506000000,32917000000,44299000000,65179000000,61909000000,94058000000,181494000000,175838000000,167887000000,148527000000,116272000000,65236000000,76779000000,79802000000,71544000000,73323000000,59348000000,69407000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,32154000000,53245000000,62205000000,77551000000,96714000000,127383000000,125036000000,198908000000,306780000000,318138000000,330493000000,320827000000,297981000000,229702000000,246212000000,249666000000,220437000000,228848000000,189482000000,173943000000
69,Minority Interest,- -,- -,- -,-136000000,367000000,877000000,1074000000,1966000000,2332000000,659000000,1362000000,1903000000,1272000000,1152000000,596000000,706000000,819000000,771000000,1700000000,1631000000,892000000,528000000,405000000
70,Total Liabilities & Equity,- -,- -,- -,32018000000,53612000000,63082000000,78625000000,98680000000,129715000000,125695000000,200270000000,308683000000,319410000000,331645000000,321423000000,298687000000,230521000000,246983000000,251366000000,222068000000,229740000000,190010000000,174348000000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,727000000,5342000000,3491000000,2311000000,6559000000,6190000000,10344000000,12826000000,13138000000,18879000000,15504000000,19184000000,20121000000,11034000000,11094000000,-7367000000,-8450000000,-4838000000,-91000000,7173000000,10151000000,1141000000,19875000000
74,Depreciation and Amortization,1987000000,2043000000,1731000000,1951000000,1805000000,2481000000,2918000000,3673000000,5544000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,184000000,949000000,193000000,-116000000,64000000,117000000,218000000,680000000,1062000000,2355000000,860000000,2960000000,3599000000,2254000000,402000000,-3045000000,-2043000000,-913000000,467000000,764000000,2798000000,-4916000000,3072000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,11000000,-1551000000,524000000,-949000000,404000000,-791000000,285000000,1534000000,811000000,-1972000000,-304000000,-4178000000,-7060000000,-6546000000,-4612000000,-6620000000,-2203000000,-1977000000,-2149000000,-2429000000,-6419000000,2430000000,-558000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-460000000,-1098000000,-777000000,-2347000000,-2326000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-319000000,-1048000000,232000000,-1139000000,244000000,-1527000000,38000000,-533000000,-1619000000,-568000000,-672000000,-427000000,-5035000000,-1864000000,-2128000000,570000000,291000000,-518000000,-336000000,-1994000000,-281000000,724000000,-2334000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1709000000,2246000000,206000000,251000000,2455000000,1039000000,1108000000,-1211000000,-1226000000,-1060000000,-62000000,804000000,-989000000,216000000,1073000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,1418000000,1551000000,905000000,770000000,1163000000,-79000000,-163000000,-735000000,-796000000,-834000000,-1498000000,-1752000000,-2590000000,-3131000000,-6301000000,-1869000000,-4325000000
82,Other Non-Cash Items,1835000000,857000000,2804000000,3090000000,-263000000,836000000,1350000000,2364000000,2109000000,8958000000,8860000000,10529000000,17038000000,21146000000,19405000000,43664000000,38609000000,33842000000,28885000000,20845000000,19070000000,30235000000,15402000000
83,Cash Provided by Operating Activities,4744000000,7640000000,8743000000,6287000000,8569000000,8833000000,15115000000,21077000000,22664000000,28220000000,24920000000,28495000000,33698000000,27888000000,26289000000,26632000000,25913000000,26114000000,27112000000,26353000000,25600000000,28890000000,37791000000
84,CAPEX,-4351000000,-3583000000,-4254000000,-4911000000,-6551000000,-7718000000,-10365000000,-14643000000,-20978000000,-29874000000,-35134000000,-45078000000,-37024000000,-25863000000,-45110000000,-34808000000,-21653000000,-14085000000,-13639000000,-12021000000,-23897000000,-5874000000,-6325000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-71000000,-187000000,-1732000000,- -,- -,-17942000000,-4689000000,- -,-199000000,-5469000000,-108000000,-125000000,-861000000,-44000000,-7000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,169000000,205000000,- -,- -,- -,- -,6683000000,2051000000,5718000000,- -,7982000000,229000000,- -,704000000,198000000,66000000,- -
88,Other Investing Activites,44000000,6000000,-338000000,-1745000000,1032000000,-703000000,60000000,-56000000,-1316000000,408000000,14000000,- -,411000000,-14567000000,-41144000000,-31006000000,-20667000000,-11407000000,-10171000000,6599000000,11654000000,-4576000000,8506000000
89,Cash Used for Investing Activites,-4307000000,-3577000000,-4592000000,-6656000000,-5519000000,-8421000000,-10207000000,-14681000000,-24026000000,-29466000000,-35120000000,-63020000000,-34619000000,-38379000000,-35625000000,-36475000000,-12793000000,-11303000000,-11032000000,-4762000000,-3496000000,-4510000000,2157000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-3928000000,-4780000000,-3275000000,-9898000000,-8750000000,-11347000000,-18455000000,-10031000000,-14809000000,-30660000000,-36095000000,-34063000000,-32480000000,-31607000000,-27240000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30563000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1046000000,- -,- -,- -,-279000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-342000000,-512000000,-1725000000,-1018000000,-943000000,-1809000000,-2104000000,-3144000000,-3860000000,-4747000000,-7712000000,-5299000000,-6422000000,-3272000000,-2656000000,-3918000000,- -,- -,- -,-625000000,-1877000000,-1367000000,-13078000000
94,Other Financing Activites,2320000000,-298000000,-29000000,-596000000,3319000000,-395000000,-521000000,-164000000,1800000000,12305000000,27922000000,20299000000,19404000000,20688000000,34406000000,24957000000,11215000000,11546000000,21457000000,5095000000,2288000000,13715000000,-473000000
95,Cash Used/Provided by Financing Activities,1978000000,-810000000,-1754000000,-1614000000,2376000000,-2204000000,-2625000000,-4354000000,-5988000000,2778000000,16935000000,35386000000,4232000000,6069000000,13295000000,11008000000,-3594000000,-19114000000,-14638000000,-29593000000,-32069000000,-19259000000,-40791000000
96,Effect of Forex Changes on Cash,-213000000,-442000000,-863000000,-2076000000,883000000,304000000,732000000,775000000,1649000000,-2020000000,2935000000,603000000,-1909000000,-1115000000,-1611000000,-378000000,-1123000000,450000000,-128000000,-618000000,1631000000,-773000000,-402000000
97,Net Change In Cash,2202000000,2811000000,1534000000,-4059000000,6309000000,-1488000000,3015000000,2817000000,-5701000000,-488000000,9670000000,1464000000,1402000000,-5537000000,2348000000,787000000,8403000000,-3853000000,1314000000,-8620000000,-6522000000,4348000000,-1245000000
98,Cash at the End of Period,3015000000,5826000000,7360000000,3301000000,9610000000,6856000000,9871000000,12688000000,6987000000,6499000000,16169000000,17633000000,19057000000,13520000000,15868000000,16655000000,25058000000,21205000000,22519000000,13899000000,7377000000,11725000000,10480000000
99,Cash at the Beginning of Period,813000000,3015000000,5826000000,7360000000,3301000000,8344000000,6856000000,9871000000,12688000000,6987000000,6499000000,16169000000,17655000000,19057000000,13520000000,15868000000,16655000000,25058000000,21205000000,22519000000,13899000000,7377000000,11725000000
100,Free Cash Flow,393000000,4057000000,4489000000,1376000000,2018000000,1115000000,4750000000,6434000000,1686000000,-1654000000,-10214000000,-16583000000,-3326000000,2025000000,-18821000000,-8176000000,4260000000,12029000000,13473000000,14332000000,1703000000,23016000000,31466000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,
