,https://roic.ai/company/MORN,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.3820,-0.1019,0.0041,-0.0853,0.0490,0.1370,0.1642,0.1699,0.1842,0.1721,0.1555,0.1558,0.1642,0.1769,0.1030,0.1681,0.2016,0.1502,0.1794,0.1289,0.1609,0.1138
25,EPS,-0.75,-0.24,0.01,-0.31,0.23,0.79,1.26,1.71,2.01,1.71,1.75,1.96,2.23,2.68,1.75,3.00,3.74,3.21,4.30,3.56,5.22,4.36
26,EPS Diluted,-0.75,-0.32,-0.09,-0.31,0.21,0.70,1.11,1.53,1.88,1.66,1.70,1.92,2.20,2.66,1.74,3.00,3.72,3.18,4.25,3.52,5.18,4.33
27,Weighted Average Shares Outstanding,38389000,38298000,38345000,38382000,38418000,39392000,41176000,43216000,46139000,48112000,49249000,50032000,48497000,46158000,44675000,44200000,43000000,42700000,42600000,42700000,42900000,43100000
28,Weighted Average Shares Outstanding Diluted,38389000,41364000,40361000,38382000,41858000,44459000,46723000,48165000,49213000,49793000,50555000,50988000,49148000,46491000,44901000,44300000,43300000,43000000,43000000,43200000,43200000,43400000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289419/000110465906017405/a06-6523_110k.htm,https://www.sec.gov/Archives/edgar/data/1289419/000110465907020018/a07-5934_110k.htm,https://www.sec.gov/Archives/edgar/data/1289419/000110465908016092/a08-2794_110k.htm,https://www.sec.gov/Archives/edgar/data/1289419/000110465909014752/0001104659-09-014752-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000110465910010688/0001104659-10-010688-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000110465911010974/a10-23801_110k.htm,https://www.sec.gov/Archives/edgar/data/1289419/000128941912000063/0001289419-12-000063-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941913000059/0001289419-13-000059-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941914000044/morn_10kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1289419/000128941915000044/morn_10kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1289419/000128941916000250/0001289419-16-000250-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941917000009/0001289419-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941918000008/0001289419-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941919000035/0001289419-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941920000041/0001289419-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941921000039/0001289419-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1289419/000128941922000005/0001289419-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,44337000,53509000,59493000,92367000,96140000,159576000,173891000,130496000,180176000,200437000,163889000,168160000,185150000,207100000,259100000,308200000,369300000,334100000,422500000,483800000
32,Short-Term Investments,- -,- -,20459000,22649000,35970000,60823000,67611000,99012000,123686000,212057000,185240000,269755000,157529000,130407000,39422000,41500000,44900000,45100000,26600000,33400000,41700000,62300000
33,Cash and Short-Term Investments,- -,- -,64796000,76158000,95463000,153190000,163751000,258588000,297577000,342553000,365416000,470192000,321418000,298567000,224572000,248600000,304000000,353300000,395900000,367500000,464200000,546100000
34,Net Receivables,- -,- -,19821000,22174000,33668000,47530000,65176000,95810000,98730000,87871000,121350000,120757000,128628000,118073000,143605000,139300000,145800000,148200000,174000000,194800000,207300000,277800000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,8794000,7108000,6623000,5495000,8557000,13163000,17429000,13673000,20514000,21084000,24564000,30253000,31596000,22000000,22200000,28300000,31700000,40900000,58500000,63700000
37,Total Current Assets,- -,- -,93411000,105440000,135754000,206215000,237484000,367561000,413736000,444097000,507280000,612033000,474610000,446893000,399773000,409900000,472000000,529800000,601600000,603200000,730000000,887600000
38,PP&E,- -,- -,14995000,17304000,17521000,17355000,15869000,19108000,58822000,59828000,62105000,68196000,84022000,104986000,117561000,134500000,152100000,147400000,143500000,299500000,302800000,321000000
39,Goodwill,- -,- -,5995000,14075000,- -,17500000,86680000,128141000,187242000,249992000,317661000,318492000,320845000,326450000,370054000,364200000,556800000,564900000,556700000,1039100000,1205000000,1207000000
40,Intangible Assets,- -,- -,- -,1860000,15981000,7251000,72841000,95767000,119812000,135488000,169023000,139809000,116732000,103909000,95905000,74200000,120900000,95400000,73900000,333400000,380100000,328200000
41,Intangible Assets,- -,- -,5995000,15935000,15981000,24751000,159521000,223908000,307054000,385480000,486684000,458301000,437577000,430359000,465959000,438400000,677700000,660300000,630600000,1372500000,1585100000,1535200000
42,Investments,- -,- -,15656000,16873000,- -,- -,- -,- -,20404000,24079000,24262000,27642000,35305000,38714000,28798000,35600000,40300000,62000000,63100000,59600000,32600000,63300000
43,Tax Assets,- -,- -,- -,- -,27105000,29729000,13789000,15658000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10700000,12600000,12800000
44,Other Non-Current Assets,- -,- -,25055000,27668000,17000000,18261000,21175000,23072000,3924000,6099000,5971000,5912000,10438000,9716000,7190000,10600000,8800000,6200000,15000000,25400000,32900000,42800000
45,Total Non-Current Assets,- -,- -,61701000,77780000,77607000,90096000,210354000,281746000,390204000,475486000,579022000,560051000,567342000,583775000,619508000,619100000,878900000,875900000,852200000,1767700000,1966000000,1975100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,155112000,183220000,213361000,296311000,447838000,649307000,803940000,919583000,1086302000,1172084000,1041952000,1030668000,1019281000,1029000000,1350900000,1405700000,1453800000,2370900000,2696000000,2862700000
48,Accounts Payable,- -,- -,- -,- -,12085000,13664000,21014000,22325000,- -,- -,42680000,- -,43777000,52877000,34268000,39200000,44600000,49200000,54400000,58900000,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,18000,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,35000000,- -,- -,- -,11000000,39900000,36400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,47731000,55554000,63363000,71155000,100525000,129302000,130270000,127114000,146267000,155494000,146015000,149225000,145979000,140700000,165400000,171300000,195800000,250100000,306800000,377400000
52,Other Current Liabilities,- -,- -,35675000,55796000,43386000,31022000,45924000,66211000,103171000,79765000,63777000,115139000,67573000,78189000,83512000,89500000,84900000,102700000,112600000,175800000,279800000,369700000
53,Total Current Liabilities,- -,- -,83406000,111350000,118852000,115841000,167463000,217838000,233441000,206879000,252724000,270633000,257365000,280291000,293759000,304400000,294900000,323200000,362800000,495800000,626500000,783500000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000000,180000000,70000000,502100000,586800000,495100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14200000,32200000,33500000,36400000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,7531000,4678000,19975000,15940000,21583000,23755000,25978000,19800000,38200000,23600000,22200000,95000000,108900000,101700000
57,Other Non-Current Liabilities,- -,- -,21243000,24094000,30128000,6756000,10952000,23166000,27436000,31152000,32178000,28495000,36109000,35332000,45146000,64200000,71000000,74000000,49900000,162200000,68900000,30100000
58,Total Non-Current Liabilities,- -,- -,21243000,24094000,30128000,6756000,10952000,23166000,34967000,35830000,52153000,44435000,57692000,59087000,71124000,84000000,359200000,277600000,156300000,791500000,798100000,663300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174500000,177600000,172100000
61,Total Liabilities,- -,- -,104649000,135444000,148980000,122597000,178415000,241004000,268408000,242709000,304877000,315068000,315057000,339378000,364883000,388400000,654100000,600800000,519100000,1287300000,1424600000,1446800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,4000,- -,- -,- -,- -,- -,- -,- -,5000,5000,4000,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,-78637000,-90534000,-81725000,-50608000,1154000,71757000,164289000,246745000,323408000,409022000,496354000,594626000,641527000,739200000,861900000,958700000,1114800000,1217900000,1389400000,1526500000
65,Other Comprehensive Income/Loss,- -,- -,-18925000,-26972000,-34011000,1000000,3000000,8000000,-16000000,-54770000,5000000,2000000,10000000,5000000,-25000000,-55000000,-82000000,-47000000,-75000000,-61000000,-22000000,-35300000
66,Other Total Stockholders Equity,- -,- -,148025000,165282000,180113000,223322000,265269000,328546000,387243000,483730000,451908000,444348000,219158000,90626000,36965000,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,50463000,47776000,64381000,173714000,269423000,408303000,535532000,675705000,780316000,855370000,725517000,690257000,653496000,640300000,696500000,804900000,934700000,1083600000,1271400000,1415900000
68,Total Liabilities And Stockholders Equity,- -,- -,155112000,183220000,213361000,296311000,447838000,649307000,803940000,918414000,1085193000,1170438000,1040574000,1029635000,1018379000,1028700000,1350600000,1405700000,1453800000,2370900000,2696000000,2862700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,1169000,1109000,1646000,1378000,1033000,902000,300000,300000,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,155112000,183220000,213361000,296311000,447838000,649307000,803940000,919583000,1086302000,1172084000,1041952000,1030668000,1019281000,1029000000,1350900000,1405700000,1453800000,2370900000,2696000000,2862700000
71,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289419/000110465906017405/a06-6523_110k.htm,https://www.sec.gov/Archives/edgar/data/1289419/000110465907020018/a07-5934_110k.htm,https://www.sec.gov/Archives/edgar/data/1289419/000110465908016092/a08-2794_110k.htm,https://www.sec.gov/Archives/edgar/data/1289419/000110465909014752/0001104659-09-014752-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000110465910010688/0001104659-10-010688-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000110465911010974/a10-23801_110k.htm,https://www.sec.gov/Archives/edgar/data/1289419/000128941912000063/0001289419-12-000063-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941913000059/0001289419-13-000059-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941914000044/morn_10kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1289419/000128941915000044/morn_10kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1289419/000128941916000250/0001289419-16-000250-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941917000009/0001289419-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941918000008/0001289419-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941919000035/0001289419-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941920000041/0001289419-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941921000039/0001289419-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1289419/000128941922000005/0001289419-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-28638000,-9295000,446000,-11897000,8809000,31117000,51762000,73922000,92532000,82456000,86370000,98357000,108079000,123529000,78301000,132600000,161000000,136900000,183000000,152000000,223600000,193300000
74,Depreciation and Amortization,- -,- -,5547000,7123000,8225000,8266000,14975000,21257000,25996000,31961000,39664000,42913000,43096000,45693000,54886000,64400000,70700000,91200000,96700000,117700000,139500000,150700000
75,Deferred Income Tax,- -,- -,-455000,2457000,830000,583000,-3856000,-1048000,9241000,-1887000,211000,-4436000,6316000,-1133000,3028000,2900000,4700000,-14100000,-1100000,-6000000,-6700000,-12100000
76,Stock Based Compensation,- -,- -,7292000,29029000,- -,- -,- -,- -,11281000,11593000,13793000,15303000,18905000,15043000,17624000,17400000,14500000,24100000,31700000,44400000,36600000,41900000
77,Change in Working Capital,- -,10005000,-15915000,22812000,73472000,-20353000,79702000,30572000,56923000,17338000,86844000,-124155000,-50643000,-60588000,-514000,71600000,29500000,32200000,-131400000,-3900000,500000,63600000
78,Accounts Receivable,- -,- -,-5160000,-2218000,- -,- -,- -,- -,-658000,12364000,-23652000,-3858000,-17124000,-1593000,-25916000,-6900000,-100000,-1200000,-29600000,11300000,-9200000,-67900000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,10005000,-5910000,16902000,90374000,70021000,149723000,180295000,237218000,254556000,341400000,217245000,166602000,106014000,105500000,177100000,206600000,238800000,107400000,103500000,104000000,124400000
82,Other Non-Cash Items,-7531000,-5893000,19627000,-19819000,-58474000,28832000,-43906000,-12335000,-43527000,-45279000,-103466000,136994000,20243000,64114000,-21104000,-50000000,-66700000,-20200000,135900000,30200000,-9200000,12500000
83,Cash Provided by Operating Activities,-36169000,-5183000,16542000,29705000,32862000,48445000,98677000,112368000,152446000,96182000,123416000,164976000,145996000,186658000,132221000,238900000,213700000,250100000,314800000,334400000,384300000,449900000
84,CAPEX,-11072000,-5932000,-5989000,-8607000,-7730000,-7451000,-4722000,-11346000,-48519000,-12372000,-14771000,-23322000,-30039000,-33583000,-58320000,-57300000,-62800000,-66600000,-76100000,-80000000,-76700000,-101800000
85,Acquisitions Net,- -,- -,- -,- -,- -,-8000000,-117000000,-61000000,-105000000,-74000000,-102000000,- -,6000000,-10000000,-64000000,-11000000,-192000000,23000000,10000000,-682000000,-32600000,-23700000
86,Purchases of Investments,- -,- -,-15826000,-22347000,-50553000,-78798000,-81265000,-159693000,-134117000,-176770000,-186283000,-320193000,-145491000,-140051000,-20353000,-34700000,-32000000,-34900000,-35700000,-36200000,-63100000,-100900000
87,Sales/Maturities of Investments,- -,- -,14872000,20727000,37529000,77510000,74679000,128713000,109172000,92851000,214929000,234868000,260317000,171243000,111551000,30000000,28600000,42200000,51200000,35800000,46900000,58800000
88,Other Investing Activites,-20215000,3128000,2389000,-18861000,-74000,-174000,-694000,488000,-49179000,-16756000,-14595000,-25442000,-40634000,-36053000,-58414000,-63800000,-78800000,-91100000,-75400000,-63900000,-75000000,-101900000
89,Cash Used for Investing Activites,-20215000,3128000,1435000,-20481000,-20828000,-16913000,-129002000,-102838000,-179124000,-174675000,-87949000,-110767000,80192000,-14861000,-31216000,-79500000,-274200000,-60800000,-49900000,-746300000,-123800000,-167700000
90,Debt Repayment,- -,- -,-2122000,-153000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45000000,-15000000,-70000000,-110000000,-165600000,-473400000,-100000000
91,Common Stock Issued,- -,- -,214000,127000,194000,25274000,20249000,22037000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3785000,-40672000,-251813000,-153514000,-76732000,-97000000,-48800000,-42300000,-20900000,-4900000,-41900000,-1300000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10041000,-25487000,-17425000,-30498000,-33700000,-37900000,-39300000,-42600000,-47800000,-51400000,-54200000
94,Other Financing Activites,97146000,-1049000,-44000,- -,-6561000,-18000,13734000,30428000,47630000,30394000,16310000,18117000,12124000,4567000,35551000,50800000,225400000,-5900000,-15300000,592000000,384500000,-56300000
95,Cash Used/Provided by Financing Activities,97146000,-1049000,-1952000,-26000,-6367000,25256000,33983000,52465000,47630000,30394000,12525000,-32596000,-265176000,-166372000,-71679000,-124900000,123700000,-157500000,-188800000,373700000,-182200000,-211800000
96,Effect of Forex Changes on Cash,- -,- -,345000,-26000,317000,-328000,115000,1441000,-6637000,4704000,1688000,-1352000,2440000,-1154000,-12336000,-12600000,-11200000,17300000,-15000000,3000000,10100000,-9100000
97,Net Change In Cash,97146000,-1049000,- -,- -,5984000,56460000,3773000,63436000,14315000,-43395000,49680000,20261000,-36548000,4271000,16990000,21900000,52000000,49100000,61100000,-35200000,88400000,61300000
98,Cash at the End of Period,- -,- -,- -,- -,59493000,92367000,96140000,159576000,173891000,130496000,180176000,200437000,163889000,168160000,185150000,207100000,259100000,308200000,369300000,334100000,422500000,483800000
99,Cash at the Beginning of Period,- -,- -,- -,- -,53509000,35907000,92367000,96140000,159576000,173891000,130496000,180176000,200437000,163889000,168160000,185200000,207100000,259100000,308200000,369300000,334100000,422500000
100,Free Cash Flow,-47241000,-11115000,10553000,21098000,25132000,40994000,93955000,101022000,103927000,83810000,108645000,141654000,115957000,153075000,73901000,181600000,150900000,183500000,238700000,254400000,307600000,348100000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1289419/000110465906017405/a06-6523_110k.htm,https://www.sec.gov/Archives/edgar/data/1289419/000110465907020018/a07-5934_110k.htm,https://www.sec.gov/Archives/edgar/data/1289419/000110465908016092/a08-2794_110k.htm,https://www.sec.gov/Archives/edgar/data/1289419/000110465909014752/0001104659-09-014752-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000110465910010688/0001104659-10-010688-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000110465911010974/a10-23801_110k.htm,https://www.sec.gov/Archives/edgar/data/1289419/000128941912000063/0001289419-12-000063-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941913000059/0001289419-13-000059-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941914000044/morn_10kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1289419/000128941915000044/morn_10kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1289419/000128941916000250/0001289419-16-000250-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941917000009/0001289419-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941918000008/0001289419-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941919000035/0001289419-19-000035-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941920000041/0001289419-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/1289419/000128941921000039/0001289419-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1289419/000128941922000005/0001289419-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
