,https://roic.ai/company/NP,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1296435/000110465906016099/a06-6683_110k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000110465907020076/a07-7958_110k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000110465908017299/a08-2934_110k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000110465909017114/0001104659-09-017114-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000110465910013538/0001104659-10-013538-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000110465911013315/a11-2216_110k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000104746912002245/0001047469-12-002245-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000104746913002348/0001047469-13-002348-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000104746914001764/a2218284z10-k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000104746915001412/a2223013z10-k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000104746916010514/0001047469-16-010514-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000129643517000053/0001296435-17-000053-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000129643518000049/0001296435-18-000049-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000129643519000067/0001296435-19-000067-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000129643520000030/0001296435-20-000030-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000129643521000038/0001296435-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1296435/000129643522000026/0001296435-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,19100000,12600000,1600000,2400000,3300000,5600000,48300000,12800000,7800000,73400000,72600000,4200000,3100000,4500000,9900000,9000000,37100000,23900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,19100000,12600000,1600000,2400000,3300000,5600000,48300000,12800000,7800000,73400000,72600000,4200000,3100000,4500000,9900000,9000000,37100000,23900000
34,Net Receivables,- -,- -,- -,- -,92400000,79100000,112500000,150000000,74400000,68500000,70700000,73300000,82100000,91100000,87100000,97300000,100600000,115700000,117600000,104600000,108300000,151800000
35,Inventory,- -,- -,- -,- -,88700000,87100000,74900000,110600000,88600000,70700000,69400000,68800000,102900000,101100000,111300000,120600000,116300000,143500000,131600000,122800000,108900000,138500000
36,Other Current Assets,- -,- -,- -,- -,5400000,25500000,33400000,27200000,75600000,85400000,33600000,38600000,41300000,39800000,31500000,24500000,16300000,21500000,18800000,16300000,17000000,32800000
37,Total Current Assets,- -,- -,- -,- -,205600000,204300000,222400000,290200000,241900000,230200000,222000000,193500000,234100000,305400000,302500000,246600000,236300000,285200000,277900000,252700000,271300000,347000000
38,PP&E,- -,- -,- -,- -,262800000,213000000,355600000,432300000,316200000,284400000,261900000,252300000,254800000,261700000,270000000,323000000,364600000,425200000,396200000,394500000,349600000,334100000
39,Goodwill,- -,- -,- -,- -,- -,- -,92000000,106600000,43800000,44900000,41500000,40500000,41400000,43100000,51500000,72200000,70400000,85300000,84000000,83100000,87400000,198600000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,29500000,33600000,28700000,27500000,24000000,21900000,34000000,38500000,58900000,79100000,74000000,78700000,70700000,66700000,62600000,154600000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,121500000,140200000,72500000,72400000,65500000,62400000,75400000,81600000,110400000,151300000,144400000,164000000,154700000,149800000,150000000,353200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,27300000,27600000,32700000,55400000,42000000,37400000,43100000,45500000,35300000,13300000,29900000,20000000,6100000,10100000,16400000,13400000,18300000,25100000
44,Other Non-Current Assets,- -,- -,- -,- -,90900000,92100000,12500000,14700000,12000000,13100000,14200000,11400000,11100000,13900000,17800000,10500000,14200000,19900000,16000000,17400000,17400000,22300000
45,Total Non-Current Assets,- -,- -,- -,- -,381000000,332700000,522300000,642600000,442700000,407300000,384700000,371600000,376600000,370500000,428100000,504800000,529300000,619200000,583300000,575100000,535300000,734700000
46,Other Assets,679700000,602000000,540300000,592000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,679700000,602000000,540300000,592000000,586600000,537000000,744700000,932800000,684600000,637500000,606700000,565100000,610700000,675900000,730600000,751400000,765600000,904400000,861200000,827800000,806600000,1081700000
48,Accounts Payable,- -,- -,- -,- -,50600000,40400000,74700000,86900000,40600000,30000000,30400000,30200000,35100000,36400000,46900000,53700000,55600000,65700000,63300000,48900000,46000000,97400000
49,Short-Term Debt,- -,- -,- -,- -,- -,1200000,1300000,10900000,24100000,55600000,13600000,21700000,4700000,21400000,1400000,1200000,1200000,1400000,2300000,2600000,8100000,10500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,9100000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,36600000,38800000,53500000,72000000,32300000,48600000,48100000,51600000,47600000,45800000,45800000,51200000,51200000,57500000,55200000,48900000,61900000,67100000
53,Total Current Liabilities,- -,- -,- -,- -,87200000,80400000,129500000,169900000,97000000,134200000,92100000,103500000,87400000,103600000,94100000,106100000,108000000,124600000,120800000,100400000,116000000,175000000
54,Long-Term Debt,- -,- -,- -,- -,225000000,226300000,282300000,321200000,340500000,263600000,231300000,164500000,177600000,190500000,232900000,228200000,219700000,254100000,236800000,198200000,207900000,471200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,8400000,- -,35800000,30400000,25400000,23700000,19400000,16000000,12500000,15600000,10600000,11800000,10100000,15000000,14400000,12900000,12300000,38200000
57,Other Non-Current Liabilities,- -,- -,- -,- -,48000000,65000000,112200000,123300000,111300000,108300000,104700000,114400000,135400000,98700000,104300000,93700000,89500000,110800000,99000000,110000000,102800000,81300000
58,Total Non-Current Liabilities,- -,- -,- -,- -,281400000,291300000,430300000,474900000,477200000,395600000,355400000,294900000,325500000,304800000,347800000,333700000,319300000,379900000,350200000,321100000,323000000,590700000
59,Other Liabilities,197600000,151900000,146600000,158300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14900000,21600000,40400000
61,Total Liabilities,197600000,151900000,146600000,158300000,368600000,371700000,559800000,644800000,574200000,529800000,447500000,398400000,412900000,408400000,441900000,439800000,427300000,504500000,471000000,421500000,439000000,765700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,100000,100000,100000,100000,100000,100000,100000,100000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000
64,Retained Earnings,- -,- -,- -,- -,-70700000,-106300000,-49700000,-45500000,-210000000,-217100000,-62000000,-40400000,-3900000,36600000,88200000,119000000,169600000,235700000,243200000,268100000,220400000,163400000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-359800000,54000000,10000000,99000000,84000000,92000000,-18000000,-40000000,-50000000,-27000000,-68000000,-78000000,-92000000,-94000000,-105000000,-113000000,-103700000,-96900000
66,Other Total Stockholders Equity,482100000,450100000,393700000,433700000,648400000,217500000,224500000,234400000,236300000,232700000,239100000,247000000,251500000,257700000,268300000,270400000,260500000,258000000,251800000,251000000,250700000,249300000
67,Total Stockholders Equity,482100000,450100000,393700000,433700000,218000000,165300000,184900000,288000000,110400000,107700000,159200000,166700000,197800000,267500000,288700000,311600000,338300000,399900000,390200000,406300000,367600000,316000000
68,Total Liabilities And Stockholders Equity,679700000,602000000,540300000,592000000,586600000,537000000,744700000,932800000,684600000,637500000,606700000,565100000,610700000,675900000,730600000,751400000,765600000,904400000,861200000,827800000,806600000,1081700000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,679700000,602000000,540300000,592000000,586600000,537000000,744700000,932800000,684600000,637500000,606700000,565100000,610700000,675900000,730600000,751400000,765600000,904400000,861200000,827800000,806600000,1081700000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1296435/000110465906016099/a06-6683_110k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000110465907020076/a07-7958_110k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000110465908017299/a08-2934_110k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000110465909017114/0001104659-09-017114-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000110465910013538/0001104659-10-013538-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000110465911013315/a11-2216_110k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000104746912002245/0001047469-12-002245-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000104746913002348/0001047469-13-002348-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000104746914001764/a2218284z10-k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000104746915001412/a2223013z10-k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000104746916010514/0001047469-16-010514-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000129643517000053/0001296435-17-000053-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000129643518000049/0001296435-18-000049-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000129643519000067/0001296435-19-000067-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000129643520000030/0001296435-20-000030-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000129643521000038/0001296435-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1296435/000129643522000026/0001296435-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,169100000,74600000,62300000,38900000,-26400000,-29700000,62500000,10200000,-158500000,-1200000,159100000,29100000,44300000,52000000,68700000,51100000,73000000,80300000,36400000,55400000,-15800000,-24900000
74,Depreciation and Amortization,- -,- -,- -,- -,36000000,29800000,30200000,45300000,35800000,34500000,31300000,31000000,28800000,29400000,30000000,31500000,32000000,33300000,36100000,38900000,36700000,42700000
75,Deferred Income Tax,- -,- -,- -,- -,-43600000,-20100000,30000000,-26800000,-55700000,-9400000,37000000,7400000,6800000,19200000,1700000,8200000,15400000,-300000,-1800000,2700000,-2900000,-18300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,4900000,4300000,4900000,4900000,6000000,6500000,5800000,6400000,4000000,5600000,4200000,4500000
77,Change in Working Capital,- -,- -,- -,118400000,5500000,-31000000,27400000,24600000,-48900000,33900000,-39900000,56700000,55100000,6600000,-67900000,-12200000,32300000,-3500000,-4800000,3000000,23700000,-5300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,-1900000,-7700000,-9400000,4700000,-5200000,1500000,- -,-900000,11600000,4500000,-26200000
79,Inventory,- -,- -,- -,- -,-9400000,-7600000,24700000,-1100000,-2400000,- -,1300000,-100000,-26800000,4800000,-5600000,7700000,4300000,- -,3800000,8200000,15700000,-8100000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,500000,5000000,1300000,6800000,-500000,-2700000,- -,300000,-14000000,-3600000,28700000
81,Other Working Capital,- -,- -,- -,118400000,123900000,92900000,120300000,144900000,96000000,129900000,90000000,146700000,201800000,208400000,140500000,128300000,160600000,157100000,152300000,155300000,179000000,-1000000
82,Other Non-Cash Items,3100000,70600000,49500000,-83700000,104500000,73800000,-84300000,16200000,240400000,2400000,-137900000,-71300000,-99800000,-28600000,56000000,26100000,-42700000,-16200000,22800000,-8000000,47500000,54500000
83,Cash Provided by Operating Activities,172200000,145200000,111800000,73600000,76000000,22800000,65800000,69500000,13100000,64900000,54500000,57200000,40100000,83500000,94500000,111200000,115800000,100000000,92700000,97600000,93400000,53200000
84,CAPEX,-16800000,-29100000,-18400000,-24400000,-19100000,-25700000,-25100000,-58300000,-30000000,-8400000,-17400000,-23100000,-39200000,-33900000,-27900000,-48100000,-68500000,-42700000,-38100000,-21400000,-18900000,-28200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-102400000,-56200000,200000,- -,78000000,- -,- -,- -,-72400000,-118200000,- -,-43100000,- -,- -,- -,-240200000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3500000,-5800000,- -,- -,-3500000,-200000,-100000,-600000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-16200000,-26100000,-16000000,-23600000,- -,-100000,-200000,1100000,-600000,-8300000,-8000000,-30100000,-32300000,-33300000,-29000000,-41700000,-68100000,-51300000,-34300000,-23300000,-19500000,-24100000
89,Cash Used for Investing Activites,-16200000,-26100000,-16000000,-23600000,-19100000,-25800000,-127700000,-113400000,-30400000,-8300000,66500000,-28900000,-32300000,-33300000,-104900000,-160100000,-68200000,-95000000,-34300000,-23300000,-19500000,-264300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105900000,-86300000,-106500000,-117100000,-209400000,-31000000,-145600000,-252900000,-293300000,-285600000,-201600000,-295900000,-212800000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,1300000,3700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-9400000,- -,- -,-500000,-11700000,-4600000,-4500000,-8400000,-16400000,-9300000,-10800000,-6200000,-4800000,-6000000
93,Dividends Paid,- -,- -,- -,- -,- -,-5900000,-5900000,-6000000,-6000000,-5900000,-5900000,-6700000,-7800000,-11400000,-17100000,-20300000,-22400000,-25100000,-27800000,-30500000,-31900000,-31900000
94,Other Financing Activites,-163100000,-119100000,-95800000,-50000000,-37800000,2300000,55400000,46100000,33600000,57600000,13900000,49900000,123600000,240400000,62800000,155500000,243300000,323900000,271600000,163100000,285600000,449900000
95,Cash Used/Provided by Financing Activities,-163100000,-119100000,-95800000,-50000000,-37800000,-3600000,50800000,43800000,18200000,-54200000,-78300000,-63800000,-13000000,15000000,10200000,-18800000,-48400000,-3800000,-52600000,-75200000,-47000000,199200000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,100000,100000,900000,- -,-100000,- -,- -,200000,400000,-600000,-700000,-300000,200000,-400000,- -,1200000,-1300000
97,Net Change In Cash,-163100000,-119100000,-95800000,-50000000,-37800000,-6500000,-11000000,800000,900000,2300000,42700000,-35500000,-5000000,65600000,-800000,-68400000,-1100000,1400000,5400000,-900000,28100000,-13200000
98,Cash at the End of Period,- -,- -,- -,- -,19100000,12600000,1600000,2400000,3300000,5600000,48300000,12800000,7800000,73400000,72600000,4200000,3100000,4500000,9900000,9000000,37100000,23900000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,19100000,12600000,1600000,2400000,3300000,5600000,48300000,12800000,7800000,73400000,72600000,4200000,3100000,4500000,9900000,9000000,37100000
100,Free Cash Flow,155400000,116100000,93400000,49200000,56900000,-2900000,40700000,11200000,-16900000,56500000,37100000,34100000,900000,49600000,66600000,63100000,47300000,57300000,54600000,76200000,74500000,25000000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1296435/000110465906016099/a06-6683_110k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000110465907020076/a07-7958_110k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000110465908017299/a08-2934_110k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000110465909017114/0001104659-09-017114-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000110465910013538/0001104659-10-013538-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000110465911013315/a11-2216_110k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000104746912002245/0001047469-12-002245-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000104746913002348/0001047469-13-002348-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000104746914001764/a2218284z10-k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000104746915001412/a2223013z10-k.htm,https://www.sec.gov/Archives/edgar/data/1296435/000104746916010514/0001047469-16-010514-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000129643517000053/0001296435-17-000053-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000129643518000049/0001296435-18-000049-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000129643519000067/0001296435-19-000067-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000129643520000030/0001296435-20-000030-index.html,https://www.sec.gov/Archives/edgar/data/1296435/000129643521000038/0001296435-21-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1296435/000129643522000026/0001296435-22-000026-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
