,https://roic.ai/company/NBRV,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,2041000,7530000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,8285,7296,7653,- -,- -,- -,- -,750000,374000
52,Other Current Liabilities,20178685,34746340,6398006,13326000,8124000,14502000,11966000,12844000,10064000
53,Total Current Liabilities,20707559,35108712,9345549,15877000,13260000,17806000,16639000,18524000,22340000
54,Long-Term Debt,694579,3446179,- -,- -,232000,23718000,34502000,5686000,4265000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,10944,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,9189704,2926942,84184,107000,203000,264000,1698000,1091000,954000
58,Total Non-Current Liabilities,9884283,6384065,84184,107000,435000,23982000,36200000,6777000,5219000
59,Other Liabilities,- -,12768131,168369,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,30591842,41492777,9429733,15984000,13695000,41788000,52839000,25301000,27559000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,452926,398852,2316708,2939000,367000,670000,945000,211000,- -
64,Retained Earnings,-115337347,-117837687,-137332998,-204842000,-279198000,-393978000,-476742000,-546226000,-595676000
65,Other Comprehensive Income/Loss,-2899832,- -,- -,-2751000,-3047000,-3456000,27000,27000,27000
66,Other Total Stockholders Equity,94544174,80765115,243795509,281910000,363946000,465394000,517044000,579123000,648999000
67,Total Stockholders Equity,-23240078,-36673720,108779219,77256000,82068000,68630000,41274000,33135000,53350000
68,Total Liabilities And Stockholders Equity,7351763,4819057,118208952,93240000,95763000,110418000,94113000,58436000,80909000
69,Minority Interest,- -,-0,-0,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7351763,4819057,118208952,93240000,95763000,110418000,94113000,58436000,80909000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1641640/000104746918001768/0001047469-18-001768-index.htm,https://www.sec.gov/Archives/edgar/data/1641640/000104746919001138/0001047469-19-001138-index.htm,https://www.sec.gov/Archives/edgar/data/1641640/000155837020002547/0001558370-20-002547-index.htm,https://www.sec.gov/Archives/edgar/data/1641640/000155837021002824/0001558370-21-002824-index.htm,https://www.sec.gov/Archives/edgar/data/1641640/000155837022004615/0001558370-22-004615-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,15479577,-16270247,-31386526,-54890000,-74356000,-114780000,-82764000,-69484000,-49450000
74,Depreciation and Amortization,197465,152002,150876,233000,432000,510000,770000,820000,356000
75,Deferred Income Tax,1071557,87553,-438414,-794000,1410000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,2545000,5732000,5154000,9748000,5219000,3291000
77,Change in Working Capital,2010550,-16792178,138471880,-32647818,5835000,10368000,-195000,-11391000,19231000
78,Accounts Receivable,3623409,- -,-3133405,-1932000,- -,- -,2582000,-5887000,-8117000
79,Inventory,- -,- -,- -,- -,- -,- -,-682000,-5141000,-8686000
80,Accounts Payable,-1612859,644487,5950845,-383000,2585000,-2969000,1310000,-1813000,1581000
81,Other Working Capital,-14287884,-31080062,107391818,74744000,80579000,90947000,50000,758000,57925000
82,Other Non-Cash Items,-23936038,22292202,-128552347,36232818,-8401000,26025000,549000,3505000,-32985000
83,Cash Provided by Operating Activities,-5176890,-10530668,-21754532,-49321000,-69348000,-72723000,-71892000,-71331000,-59557000
84,CAPEX,-33141,-82689,-163995,-603000,-1173000,-229000,-61000,-113000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-75371176,-57045000,-30000,-115000,- -,- -,- -
87,Sales/Maturities of Investments,3453561,- -,- -,81000000,50950000,- -,- -,- -,- -
88,Other Investing Activites,0,2432,- -,- -,-1171000,-4489000,392000,-161000,-81000
89,Cash Used for Investing Activites,3420420,-80257,-75535172,23352000,49749000,-4604000,331000,-274000,-81000
90,Debt Repayment,-805048,-2128022,-7274834,- -,- -,- -,- -,-30000000,513000
91,Common Stock Issued,- -,- -,149358231,24822000,80000000,74219000,20138000,53460000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2210776,10911280,-10123980,-2521000,-7781000,18704000,35937000,3464000,65853000
95,Cash Used/Provided by Financing Activities,1405728,8783258,131959417,22301000,72219000,92923000,56075000,26924000,66366000
96,Effect of Forex Changes on Cash,- -,-21888,-4373,- -,1371000,-362000,-106000,-140000,-484000
97,Net Change In Cash,-350742,-1849555,34665340,-3668000,53991000,15234000,-15592000,-44821000,6244000
98,Cash at the End of Period,4544450,2152342,36600485,32778000,86769000,102003000,86411000,41590000,47834000
99,Cash at the Beginning of Period,4895192,4001897,1935145,36446000,32778000,86769000,102003000,86411000,41590000
100,Free Cash Flow,-5210031,-10613357,-21918527,-49924000,-70521000,-72952000,-71953000,-71444000,-59557000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1641640/000104746918001768/0001047469-18-001768-index.htm,https://www.sec.gov/Archives/edgar/data/1641640/000104746919001138/0001047469-19-001138-index.htm,https://www.sec.gov/Archives/edgar/data/1641640/000155837020002547/0001558370-20-002547-index.htm,https://www.sec.gov/Archives/edgar/data/1641640/000155837021002824/0001558370-21-002824-index.htm,https://www.sec.gov/Archives/edgar/data/1641640/000155837022004615/0001558370-22-004615-index.htm
102,false,,,,,,,,,
