,https://roic.ai/company/NILE,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1091171/000095012405001898/0000950124-05-001898-index.htm,https://www.sec.gov/Archives/edgar/data/1091171/000095013407005953/0000950134-07-005953-index.htm,https://www.sec.gov/Archives/edgar/data/1091171/000095013408003577/0000950134-08-003577-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1091171/000095013409004501/0000950134-09-004501-index.htm,https://www.sec.gov/Archives/edgar/data/1091171/000095012310017160/0000950123-10-017160-index.htm,https://www.sec.gov/Archives/edgar/data/1091171/000095012311019883/0000950123-11-019883-index.htm,https://www.sec.gov/Archives/edgar/data/1091171/000109117113000018/0001091171-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/1091171/000109117114000014/0001091171-14-000014-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1091171/000109117115000032/0001091171-15-000032-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896493/000121465921004221/0001214659-21-004221-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,616000,1050000,- -,59499000,78540000,122793000,- -,54451000,78149000,113261000,87017000,115942000,- -,91186000,996000,1478000,902329,488553,18679848
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,41868000,19767000,- -,- -,- -,15000000,- -,- -,2280000,- -,2280000,- -,1835000,178597,639647,2562983
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,616000,1050000,- -,101367000,98307000,122793000,- -,54451000,93149000,113261000,87017000,118222000,- -,93466000,996000,3313000,1080926,1128200,21242831
34,Net Receivables,- -,- -,- -,- -,- -,- -,1982000,1625000,- -,760000,1484000,2452000,- -,984000,1594000,1405000,2578000,3005000,- -,2137000,1439000,2072000,7172036,5945088,6744317
35,Inventory,- -,- -,- -,- -,- -,- -,1451000,1693000,- -,9914000,14616000,20906000,- -,18834000,19434000,- -,33270000,34530000,- -,41668000,1122000,1993000,3261126,2541852,3373851
36,Other Current Assets,- -,- -,- -,- -,- -,- -,1383000,432000,- -,9488000,1611000,2995000,- -,2464000,1667000,22172000,3062000,844000,- -,1938000,285000,1407000,775981,1456117,2988080
37,Total Current Assets,- -,- -,- -,- -,- -,- -,5432000,4800000,- -,121529000,116018000,149146000,- -,76733000,115844000,136838000,125927000,156601000,- -,139209000,3842000,8785000,12290069,11071257,34349079
38,PP&E,- -,- -,- -,- -,- -,- -,364000,318000,- -,3916000,3391000,7601000,- -,7558000,7332000,6157000,7876000,10188000,- -,10422000,570000,1217000,9313299,7568251,6440508
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3652000,8463070,8100947,9645686
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,385000,319000,286000,- -,271000,325000,274000,195000,140000,- -,103000,- -,2898000,4359798,3206988,4390388
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,385000,319000,286000,- -,271000,325000,274000,195000,140000,- -,103000,- -,6550000,12822868,11307935,14036074
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,41868000,19767000,- -,- -,- -,- -,- -,2000000,2000000,- -,2000000,1036000,5887000,9527886,9606093,13601737
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7786000,5470000,- -,3064000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,43000,18000,- -,-39316000,-17389000,- -,- -,- -,- -,- -,2117000,2526000,- -,2536000,24000,8071000,5471758,3196872,7215984
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,407000,336000,- -,6853000,6088000,7887000,- -,7829000,7657000,6431000,19974000,20324000,- -,18125000,1630000,21725000,37135811,31679151,41294303
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,5839000,5136000,- -,128382000,122106000,157033000,- -,84562000,123501000,143269000,145901000,176925000,- -,157334000,5472000,30510000,49425880,42750408,75643382
48,Accounts Payable,- -,- -,- -,- -,- -,- -,1349000,1074000,- -,37775000,66625000,85866000,- -,62291000,76128000,90296000,116209000,122322000,- -,128675000,1231000,- -,13123590,15230768,10615188
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,277000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000,1322000,13583811,9343256,5285341
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,86000,- -,1300000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,8442000,598000,799000,- -,670000,449000,557000,926000,1038000,- -,1123000,- -,4647000,- -,2210392,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,974000,1040000,- -,-2526000,6914000,9026000,- -,6183000,9605000,11067000,11819000,10043000,- -,11193000,398000,5051000,4027970,3436916,5981877
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,2600000,2114000,- -,43691000,74137000,95691000,- -,69144000,86182000,101920000,128954000,133403000,- -,140991000,1879000,11020000,30735371,30221332,21882406
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2188000,2229000,- -,1982000,34000,700000,625718,5580126,4628893
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2188000,2229000,- -,1982000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,926000,1038000,- -,1123000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,114000,- -,169000,- -,- -,1,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5327000,5610000,- -,5256000,34000,700000,625719,5580126,4628893
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,84691000,47969000,64895000,- -,20521000,44233000,49891000,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5391958,4378899
61,Total Liabilities,- -,- -,- -,- -,- -,- -,2600000,2114000,- -,128382000,122106000,160586000,- -,89665000,130415000,151811000,131792000,136320000,- -,143631000,1913000,11720000,31361090,35801458,26511299
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126,132,132
63,Common Stock,- -,- -,- -,- -,- -,- -,11036000,11036000,- -,18000,19000,20000,- -,20000,20000,20000,21000,22000,- -,22000,- -,30000,4036,3318,27754
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-8482000,-9445000,- -,- -,7110000,24569000,- -,36199000,48999000,63141000,82883000,93758000,- -,103489000,-12158000,-23412000,-55721115,-88650465,-121396715
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-152000,-6000,- -,-2000,-2000,75000,- -,17000,61000,-66000,-100000,-26000,- -,-236000,-820000,4503000,-3902523,-5511624,-1717934
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,83604000,40176000,38813000,- -,- -,- -,- -,- -,- -,- -,- -,- -,36888000,77643608,101099347,171397199
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,3239000,3022000,- -,83620000,47303000,63477000,- -,19308000,43269000,49061000,14109000,40605000,- -,13703000,3559000,18009000,18024132,6940708,48310436
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,5839000,5136000,- -,212002000,169409000,224063000,- -,108973000,173684000,200872000,145901000,176925000,- -,157334000,5472000,29729000,49385222,42742166,74821735
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83620000,-47303000,-67030000,- -,-24411000,-50183000,-57603000,- -,- -,- -,- -,- -,781000,40658,8242,821647
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,5839000,5136000,- -,128382000,122106000,157033000,- -,84562000,123501000,143269000,145901000,176925000,- -,157334000,5472000,30510000,49425880,42750408,75643382
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1091171/000095012405001898/0000950124-05-001898-index.htm,https://www.sec.gov/Archives/edgar/data/1091171/000095013407005953/0000950134-07-005953-index.htm,https://www.sec.gov/Archives/edgar/data/1091171/000095013408003577/0000950134-08-003577-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1091171/000095013409004501/0000950134-09-004501-index.htm,https://www.sec.gov/Archives/edgar/data/1091171/000095012310017160/0000950123-10-017160-index.htm,https://www.sec.gov/Archives/edgar/data/1091171/000095012311019883/0000950123-11-019883-index.htm,https://www.sec.gov/Archives/edgar/data/1091171/000109117113000018/0001091171-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/1091171/000109117114000014/0001091171-14-000014-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1091171/000109117115000032/0001091171-15-000032-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896493/000121465921004221/0001214659-21-004221-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1200000,1400000,-600000,27191,95167,-7040720,290000,-963000,- -,9987000,13064000,17459000,- -,11630000,12800000,14142000,8392000,10875000,- -,9731000,-1122000,-10616000,-32233881,-32913412,-32728629
74,Depreciation and Amortization,100000,200000,400000,500691,475987,450752,298000,131000,- -,1510000,- -,1772000,- -,2110000,2593000,3129000,3368000,3141000,- -,3607000,161000,255000,2906905,4490144,587185
75,Deferred Income Tax,300000,- -,-300000,8813,16755,334037,-649000,649000,- -,5388000,- -,-1407000,- -,-1396000,-1534000,-1763000,-1030000,-2204000,- -,-2321000,- -,-226000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,375000,- -,5832000,- -,7114000,7325000,6982000,5087000,5028000,- -,4361000,543000,1831000,4719266,1583991,1105688
77,Change in Working Capital,-1200000,-1900000,-300000,1027981,-715451,991774,767000,-14000,- -,- -,-34988000,11574000,- -,-45866000,22073000,5256000,-22994000,26225000,- -,-24980000,-72000,703000,4842710,3722317,-2393665
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000,- -,-1935000,- -,1867000,-126000,64000,-323000,-41000,- -,-182000,-311000,111000,-959272,2158210,-641087
79,Inventory,-1200000,-1000000,400000,303259,-612363,429515,634000,-179000,- -,290000,- -,-6291000,- -,2072000,-600000,-732000,-4003000,-1260000,- -,-7138000,209000,100000,13137,836924,183331
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,11487000,- -,19241000,- -,-23575000,13794000,14199000,20392000,6432000,- -,6323000,322000,1587000,6838160,4164850,-393112
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,77838000,41881000,53455000,- -,7589000,29662000,34918000,-3027000,23198000,- -,-1782000,-192000,-335000,-1866072,-868524,- -
82,Other Non-Cash Items,200000,200000,800000,163532,306041,4435597,-190000,- -,- -,12491000,62442000,6225000,- -,23481000,-4239000,13862000,41621000,-19627000,- -,26810000,132000,3936000,9342596,12820924,22248442
83,Cash Provided by Operating Activities,600000,-100000,- -,1728208,178499,-828560,516000,-197000,- -,29751000,40518000,41455000,- -,-2927000,39018000,41608000,34444000,23438000,- -,17208000,-358000,-4117000,-10422404,-10296036,-11180979
84,CAPEX,-400000,-400000,-3500000,-168042,-176068,-133281,-37000,-67000,- -,-1417000,- -,-4897000,- -,-2010000,-2345000,-1843000,-2525000,-5528000,- -,-3771000,-85000,-453000,-8922557,-201360,-582092
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-267000,-4643521,- -,-3627534
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-600000,- -,- -,-82870000,- -,-20230000,- -,- -,-15000000,- -,-38850000,-10433000,- -,-40308000,-1034000,-8026000,-7371421,-3242474,-4086882
87,Sales/Maturities of Investments,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,90000,64000,2252879,580721,373360
88,Other Investing Activites,- -,- -,- -,6146,26121,5876,-62000,329000,- -,40991000,- -,40143000,- -,10000,- -,15000000,34850000,10153000,- -,40308000,- -,-42000,-1937333,- -,139933
89,Cash Used for Investing Activites,-300000,-400000,-3500000,-161896,-149947,-127405,-699000,262000,- -,-43296000,- -,15016000,- -,-2000000,-17345000,13157000,-6525000,-5808000,- -,-3771000,-1029000,-8674000,-20618928,-2863113,-7783215
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,235000,- -,- -,- -,- -,- -,- -,- -,-247000,- -,247000,- -,-871000,-14809576,-9287817,-8880493
91,Common Stock Issued,2300000,1200000,100000,- -,754197,- -,- -,600000,- -,42516000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,541000,2035000,23884470,17028605,39978350
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19996000,- -,-66450000,- -,-25336000,-38850000,-10433000,- -,-40308000,- -,- -,-57747,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35000,- -,-15938,-17621
94,Other Financing Activites,200000,-1500000,2100000,-1524302,-602426,1457602,-423000,-269000,- -,-90000,-54964000,7700000,- -,3093000,1981000,5761000,8550000,21925000,- -,1975000,738000,12095000,21520541,5200353,6203403
95,Cash Used/Provided by Financing Activities,2500000,-300000,2200000,-1524302,151771,1457602,-423000,331000,- -,42661000,-54964000,-12296000,- -,-63357000,1981000,-19575000,-30300000,11245000,- -,-38086000,1279000,13224000,30537688,12925203,37283639
96,Effect of Forex Changes on Cash,- -,- -,- -,-84909,-198624,-65144,-21000,38000,- -,- -,- -,- -,- -,- -,- -,- -,7000,50000,- -,-107000,-137000,49000,-72174,-179830,-122980
97,Net Change In Cash,2500000,-300000,2200000,-42899,-18301,436493,-627000,434000,- -,29116000,- -,44253000,- -,-68342000,23698000,35112000,-2374000,28925000,- -,-24756000,-245000,482000,-575818,-413776,18196465
98,Cash at the End of Period,- -,- -,- -,824708,806407,1242900,616000,1050000,- -,59499000,- -,122793000,- -,54451000,78149000,113261000,87017000,115942000,- -,91186000,996000,1478000,902329,488553,18679848
99,Cash at the Beginning of Period,200000,3000000,2200000,867607,824708,806407,1243000,616000,- -,30383000,- -,78540000,- -,122793000,54451000,78149000,89391000,87017000,- -,115942000,1241000,996000,1478147,902329,483383
100,Free Cash Flow,200000,-500000,-3500000,1560166,2431,-961841,479000,-264000,- -,28334000,40518000,36558000,- -,-4937000,36673000,39765000,31919000,17910000,- -,13437000,-443000,-4570000,-19344961,-10497396,-11763071
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1091171/000095012405001898/0000950124-05-001898-index.htm,https://www.sec.gov/Archives/edgar/data/1091171/000095013407005953/0000950134-07-005953-index.htm,https://www.sec.gov/Archives/edgar/data/1091171/000095013408003577/0000950134-08-003577-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1091171/000095013409004501/0000950134-09-004501-index.htm,https://www.sec.gov/Archives/edgar/data/1091171/000095012310017160/0000950123-10-017160-index.htm,https://www.sec.gov/Archives/edgar/data/1091171/000095012311019883/0000950123-11-019883-index.htm,https://www.sec.gov/Archives/edgar/data/1091171/000109117113000018/0001091171-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/1091171/000109117114000014/0001091171-14-000014-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/1091171/000109117115000032/0001091171-15-000032-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/896493/000121465921004221/0001214659-21-004221-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
