,https://roic.ai/company/AGE,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,-35000,-157000,- -
91,Common Stock Issued,10000000,5000000,- -,21000,496000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,3275000,1000000,6300000,6097000,7000000
95,Cash Used/Provided by Financing Activities,13275000,6000000,6265000,5961000,7496000
96,Effect of Forex Changes on Cash,121000,- -,1000,1000,- -
97,Net Change In Cash,7116000,-668000,-4255000,-1875000,57000
98,Cash at the End of Period,7375000,6707000,2452000,- -,- -
99,Cash at the Beginning of Period,259000,7375000,6707000,- -,- -
100,Free Cash Flow,-6286000,-9888000,-10801000,-7817000,-7855000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1708599/000149315219004614/0001493152-19-004614-index.html,https://www.sec.gov/Archives/edgar/data/1708599/000149315220005309/0001493152-20-005309-index.html,https://www.sec.gov/Archives/edgar/data/1708599/000149315221007461/0001493152-21-007461-index.htm,https://www.sec.gov/Archives/edgar/data/1708599/000149315222008028/0001493152-22-008028-index.htm
102,false,,,,,
