,https://roic.ai/company/SHVLF,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
36,Other Current Assets,- -,- -,- -,- -,- -,23368,9663,25125,1307000,1090000,492000,832000,1593000,2585000,2425000,891000,1349000,- -,349000,355000,379000,282000,367000
37,Total Current Assets,- -,- -,- -,- -,3981,539021,1239227,684618,13175000,8161000,4181000,4632000,7533000,11822000,14441000,16542000,12806000,- -,17610000,9523000,7512000,6300000,8489000
38,PP&E,- -,- -,- -,- -,2871,209195,764942,1081669,36934000,39100000,41269000,40538000,39104000,43060000,42078000,44488000,53257000,- -,58876000,46653000,43129000,43122000,34471000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1309000,3018000,4064000,2969000,- -,5445000,8110000,6199000,4826000,3346000
44,Other Non-Current Assets,- -,- -,- -,- -,5000,5000,16375,6934076,- -,- -,806000,- -,- -,- -,- -,- -,165000,- -,165000,165000,165000,165000,165000
45,Total Non-Current Assets,- -,- -,- -,- -,7871,214195,781317,8015745,36934000,39100000,42075000,40538000,39104000,44369000,45096000,48552000,56391000,- -,64486000,54928000,49493000,48113000,37982000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,11852,753216,2020544,8700363,50109000,47261000,46256000,45170000,46637000,56191000,59537000,65094000,69197000,- -,82096000,64451000,57005000,54413000,46471000
48,Accounts Payable,- -,- -,- -,- -,233415,29915,51165,50546,2786000,4953000,- -,- -,- -,1684000,- -,- -,- -,- -,- -,- -,3399000,2441000,2213000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,4132000,2173000,6692000,10754000,3211000,7698000,3479000,- -,- -,- -,1646000,- -,1507000,3813000,447000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,59000,- -,381,29668,- -,- -,1729000,3300000,17509000,- -,1936000,3252000,1950000,- -,2496000,4774000,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,292415,29915,51546,80214,6918000,7126000,8421000,14054000,20720000,9382000,5415000,3252000,1950000,- -,4142000,4774000,4906000,6254000,2660000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,8815000,6304000,1489000,11379000,- -,- -,- -,- -,1305000,- -,- -,1334000,3081000,1083000,500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,6796000,7674000,8617000,3230000,2456000,8866000,10420000,13167000,12674000,- -,11905000,8113000,8728000,8758000,5079000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,14896,13542,3292000,3898000,2563000,2633000,11347000,4229000,1477000,1128000,1162000,- -,1131000,1162000,1254000,1014000,1952000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,14896,13542,18903000,17876000,12669000,17242000,13803000,13095000,11897000,14295000,15141000,- -,13036000,10609000,13063000,10855000,7531000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,4132000,2173000,8181000,17607000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,947000
61,Total Liabilities,- -,- -,- -,- -,292415,29915,66442,93756,25821000,25002000,21090000,31296000,34523000,22477000,17312000,17547000,17091000,- -,17178000,15383000,17969000,17109000,10191000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50725000,50725000,50725000
64,Retained Earnings,- -,- -,- -,- -,-11896349,-12141757,-12821051,-13711039,-15929000,-18496000,-17585000,-28721000,-32744000,-16665000,-9739000,-6774000,-9486000,- -,-2069000,-14069000,-25873000,-29502000,-26610000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,-7154,169750,184310,6892000,4247000,3452000,-586000,-2970000,-3240000,7326000,8212000,10298000,16238000,- -,16382000,12412000,14184000,16081000,12165000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,-280563,723301,1954102,8606607,24288000,22259000,25166000,13874000,12114000,33714000,42225000,47547000,52106000,- -,64918000,49068000,39036000,37304000,36280000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,11852,753216,2020544,8700363,50109000,47261000,46256000,45170000,46637000,56191000,59537000,65094000,69197000,- -,82096000,64451000,57005000,54413000,46471000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,11852,753216,2020544,8700363,50109000,47261000,46256000,45170000,46637000,56191000,59537000,65094000,69197000,- -,82096000,64451000,57005000,54413000,46471000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1301713/000130171317000031/0001301713-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1301713/000119312518231670/0001193125-18-231670-index.htm,https://www.sec.gov/Archives/edgar/data/1301713/000119312519205460/0001193125-19-205460-index.htm,https://www.sec.gov/Archives/edgar/data/1301713/000156459020033911/0001564590-20-033911-index.htm,https://www.sec.gov/Archives/edgar/data/1301713/000156459021039227/0001564590-21-039227-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-350972,-979946,-464593,-628366,-855983,-245408,-679294,-889988,-2218000,-2567000,911000,-3728000,-4023000,14335000,4702000,2965000,210000,- -,7222000,-12000000,-11804000,-3629000,2892000
74,Depreciation and Amortization,1054,971,971,971,972,971,9531,11828,1437000,2185000,58000,47000,35000,4480000,5002000,6004000,6688000,- -,- -,5032000,3899000,3836000,4456000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,1537000,1082000,649000,-2014000,-688000,- -,- -,- -,- -,- -,- -,-5945000,2229000,1178000,-1449000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-168000,457000,235000,560000,261000,466000,144000,- -,267000,-64000,-104000,44000,72000
77,Change in Working Capital,200678,-69624,-32099,80049,129202,-99553,23844,6716,-381000,929000,-1531000,1161000,-51000,-7736000,3517000,326000,-2127000,- -,-1769000,-908000,-71000,646000,412000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-745000,- -,- -,-1307000,- -,- -,-559000,-475000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-24000,-390000,493000,-132000,-1267000,-125000,788000,-671000,519000,- -,-1591000,-1181000,1890000,-216000,-332000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-32099,80049,129202,-99553,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,70720,653126,199333,450312,719426,12405,184310,290139,3146000,2020000,3069000,7617000,6617000,6163000,502000,1984000,-1686000,- -,-3660000,7873000,5843000,664000,1345000
83,Cash Provided by Operating Activities,-78520,-395473,-296388,-97034,-6383,-331585,-461609,-581305,3521000,3649000,2988000,3540000,2125000,17802000,13984000,11745000,3229000,- -,2060000,-6012000,-8000,2739000,7728000
84,CAPEX,-139581,-389319,-158199,-11748,- -,-107295,-62008,-328555,-2189000,-5585000,-3616000,-3380000,-4026000,-6372000,-3828000,-5967000,-3299000,- -,-4777000,-2190000,-3537000,-3114000,-1575000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10171000,- -,- -,- -,- -
86,Purchases of Investments,-457728,-407145,-269486,-8838,-19400,- -,- -,- -,- -,- -,- -,- -,- -,-4100000,-2700000,3150000,-303000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,427423,413468,270113,22562,4498,- -,- -,- -,- -,- -,- -,- -,- -,3750000,1600000,-4770000,2002000,- -,- -,4022000,- -,- -,- -
88,Other Investing Activites,-81114,-387420,- -,- -,15750,- -,-485895,-14758,-27128000,- -,- -,- -,-200000,-88000,10000,4000,-2306000,- -,1826000,565000,1196000,1836000,456000
89,Cash Used for Investing Activites,-113114,-382996,-157572,1976,848,-107295,-547903,-343313,-29317000,-5585000,-3616000,-3380000,-4226000,-6810000,-4918000,-7583000,-3906000,- -,7220000,2397000,-2341000,-1278000,-1119000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2675000,-2045000,-1237000,-5941000,-4667000,-3583000,- -,- -,- -,-1213000,- -,-1935000,-3723000
91,Common Stock Issued,193000,884478,384544,- -,- -,782522,1817382,359000,20812000,- -,- -,2200000,2543000,5850000,497000,19000,386000,- -,- -,125000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2922000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,52500,6500,163250,-110451,-10943,14495000,-4032000,- -,-129000,-148000,-8972000,-543000,-33000,1296000,- -,-5083000,972000,2940000,-514000,-235000
95,Cash Used/Provided by Financing Activities,193000,884478,384544,52500,6500,945772,1706931,348057,35307000,-4032000,-2675000,26000,1158000,-9063000,-4713000,-3597000,-1240000,- -,-5083000,-116000,2940000,-2449000,-3958000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-1085000,-214000,1431000,-380000,831000,-966000,-390000,-749000,-167000,- -,-2887000,494000,-363000,544000,-364000
97,Net Change In Cash,1366,106009,-69416,-42558,965,506892,697419,-576561,8426000,-6182000,-1872000,-194000,-112000,963000,3963000,-184000,-2084000,- -,1310000,-3237000,228000,-444000,2287000
98,Cash at the End of Period,5913,111922,42506,-52,913,507805,1205224,628663,9055000,2890000,1018000,824000,712000,1675000,5638000,5454000,3370000,- -,5558000,2321000,2549000,2105000,4392000
99,Cash at the Beginning of Period,4547,5913,111922,42506,-52,913,507805,1205224,629000,9072000,2890000,1018000,824000,712000,1675000,5638000,5454000,- -,4248000,5558000,2321000,2549000,2105000
100,Free Cash Flow,-218101,-784792,-454587,-108782,-6383,-438880,-523617,-909860,1332000,-1936000,-628000,160000,-1901000,11430000,10156000,5778000,-70000,- -,-2717000,-8202000,-3545000,-375000,6153000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1301713/000130171317000031/0001301713-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1301713/000119312518231670/0001193125-18-231670-index.htm,https://www.sec.gov/Archives/edgar/data/1301713/000119312519205460/0001193125-19-205460-index.htm,https://www.sec.gov/Archives/edgar/data/1301713/000156459020033911/0001564590-20-033911-index.htm,https://www.sec.gov/Archives/edgar/data/1301713/000156459021039227/0001564590-21-039227-index.htm
102,Forex Rate,0.6635,0.6727,0.6521,0.6312,0.7117,0.7508,0.818,0.8835,0.937,0.977,0.9277,0.9711,1.0467,0.9967,0.9729,0.9167,0.7639,undefined,0.7324,0.7785,0.747,0.7169,0.8135
