,https://roic.ai/company/HQI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-21545,- -,- -,- -,- -,-616474,-2067287,-872084,-2342995,-2104236,-946536,38220,-1290241,-1055431,-176537,-25019,-11615,-2115,191492,1120955,4825798
20,Income Before Tax,-116047,- -,- -,- -,- -,-2420000,-26040000,-17620000,-5960000,- -,-60000,2517424,3077999,5432020,2813792,1581360,3684880,1179360,2975523,6100452,12487998
21,Income Before Tax Ratio,-1.3887,- -,- -,- -,- -,-0.0340,-0.2638,-0.2224,-0.1156,- -,-0.0007,0.0256,0.0328,0.0591,0.0318,0.0170,0.0376,0.0121,0.1874,0.4418,0.5487
22,Income Tax expense (Gain),-100,- -,- -,- -,- -,- -,- -,- -,- -,- -,-910000,958147,137128,-3693730,1100633,822040,1656530,205070,3480996,741038,638064
23,Net Income,-115947,-84566,41126,123867,-200122,-2420000,-26040000,-17620000,-5960000,-1560352,850000,1559277,2940871,9125750,1713159,759330,1679350,974290,-289979,5359414,11849934
24,Net Income ratio,-1.3875,-0.2971,0.0925,0.2984,-0.5377,-0.0340,-0.2638,-0.2224,-0.1156,-0.0225,0.0104,0.0158,0.0314,0.0994,0.0194,0.0081,0.0171,0.0100,-0.0183,0.3881,0.5207
25,EPS,-0.79,-0.31,0.14,0.41,-0.60,-1.56,-12.48,-5.88,-1.92,-0.36,0.24,0.36,0.59,1.68,0.32,0.15,0.33,0.20,-0.03,0.40,0.88
26,EPS Diluted,-0.79,-0.31,0.14,0.41,-0.60,-1.56,-12.48,-5.88,-1.92,-0.36,0.12,0.24,0.59,1.68,0.32,0.15,0.33,0.20,-0.03,0.39,0.87
27,Weighted Average Shares Outstanding,166666,266665,305115,295800,370432,1520607,2085690,3004963,3065189,3985682,4738266,4936312,4975916,5322206,5358752,5052867,5043254,4853000,11588776,13542403,13482303
28,Weighted Average Shares Outstanding Diluted,166666,266665,305115,295800,370432,1520607,2085690,3004963,3065189,3985682,5113939,5260371,4975916,5465679,5358752,5052867,5105006,4855019,11588776,13654128,13621938
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1140102/000110465903005251/0001104659-03-005251-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1140102/000114420405008446/0001144204-05-008446-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000114420407044722/0001144204-07-044722-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1140102/000114420408017971/0001144204-08-017971-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000114420409019753/0001144204-09-019753-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000114420410019314/0001144204-10-019314-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000114010211000004/0001140102-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000135448812001742/0001354488-12-001742-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1140102/000135448815000933/0001354488-15-000933-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1140102/000165495417003237/0001654954-17-003237-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000165495418003383/0001654954-18-003383-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000165495419004201/0001654954-19-004201-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000165495420003486/0001654954-20-003486-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000165495421003300/0001654954-21-003300-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000143774922006329/0001437749-22-006329-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,547210000,60000,1650000,370000,1390000,580000,2180000,70000,1667281,1130000,1632993,5820309,8600250,7629424,3022740,7768630,7934290,4187450,13667434,1255520
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,547210000,60000,1650000,370000,1390000,580000,2180000,70000,1667281,1130000,1632993,5820309,8600250,7629424,3022740,7768630,7934290,4187450,13667434,1255520
34,Net Receivables,- -,- -,- -,- -,- -,9390000,11030000,5510000,5060000,1893093,2170000,13719014,10605183,9037300,8917933,10287460,9394380,9041360,31620737,23522798,38239036
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,1700000,2770000,2470000,1740000,1933497,2140000,1653694,1495583,3715590,2324761,1510510,1020350,662550,1212938,1778674,- -
37,Total Current Assets,- -,- -,- -,- -,- -,12480000,14380000,10160000,6870000,5493871,5440000,17005701,17921075,21353140,18872118,14820710,18183360,17638200,37021125,38968906,39494556
38,PP&E,- -,- -,- -,- -,- -,3390000,3250000,2590000,880000,411695,380000,609772,350767,430990,408657,432860,372150,329260,1900686,3193379,4454145
39,Goodwill,- -,- -,- -,- -,- -,31220000,14260000,2500000,2500000,2500000,2500000,3306786,3306786,2500000,2500000,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,730000,680000,500000,320000,176336,50000,522535,386956,- -,- -,4307610,4085580,3930900,- -,342697,8077948
41,Intangible Assets,- -,- -,- -,- -,- -,31950000,14940000,3000000,2820000,2676336,2550000,3829321,3693742,2500000,2500000,4307610,4085580,3930900,- -,342697,8077948
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2083851,- -,- -,- -,- -,79379,- -
44,Other Non-Current Assets,- -,2850490,3176124,1653276,2601286,1540000,2840000,2730000,2320000,1430814,130000,506196,1783112,3916630,2256814,4394460,2723160,1533890,7990251,6510681,- -
45,Total Non-Current Assets,- -,2850490,3176124,1653276,2601286,36880000,21030000,8320000,6020000,4518845,3060000,4945289,5827621,6847620,7249322,9134930,7180890,5794050,9890937,10126136,12532093
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50389104
47,Total Assets,- -,2850490,3176124,1653276,2601286,49360000,35410000,18480000,12890000,10012716,8500000,21950990,23748696,28200760,26121439,23955640,25364250,23432250,46912062,49095042,77351567
48,Accounts Payable,- -,- -,- -,- -,- -,2370000,1180000,1080000,2170000,2075326,900000,722150,8453305,546250,783625,762280,563400,219950,253845,457490,1125545
49,Short-Term Debt,- -,- -,- -,- -,- -,5733591,4695123,4457581,4128980,5422,169738,9051999,8050633,2900104,479616,- -,853562,398894,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,100000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,4196409,-96695123,3212419,3141020,4495796,2530262,5060160,-4169191,3475916,2984955,3453750,3433998,3043476,10758132,8998586,20345924
53,Total Current Liabilities,- -,- -,- -,- -,- -,12300000,9180000,8750000,9440000,6576544,3600000,14834309,12334747,6922270,4248196,4216030,4850960,3662320,11011977,9456076,21471469
54,Long-Term Debt,- -,542425,1558404,- -,- -,1220000,1210000,1200000,70000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171286
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1412924,1468359,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2126000,- -,2316774,721602,1079908,1688446,- -,472946
57,Other Non-Current Liabilities,- -,8252,14061,- -,592201,850000,2220000,2980000,3720000,2897200,3130000,3110160,3999959,388310,2231735,-712034,195898,-201448,1516633,1806334,8500935
58,Total Non-Current Liabilities,- -,550677,1572465,- -,592201,2070000,3430000,4180000,3790000,2897200,3130000,3110160,3999959,2514310,2231735,1604740,917500,878460,4618003,3274693,9145167
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,5422,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,550677,1572465,- -,592201,14370000,12610000,12930000,13230000,9473744,6730000,17944469,16334706,9436580,6479931,5820770,5768460,4540780,15629980,12730769,30616636
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,737,737,702,10066,20000,40000,40000,40000,54624,60000,59611,59711,65630,64305,5050,4990,4680,13518,13629,13745
64,Retained Earnings,- -,-200236,-159110,-35243,-604106,-2200000,-28240000,-45860000,-51820000,-53383757,-53250000,-51686467,-48745596,-39619840,-38175098,-38300390,-36621040,-35650070,3683954,7685720,16395054
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-470000,-1160000,-1810000,-2210000,-2616991,-1830000,- -,- -,- -,- -,- -,- -,- -,-628179,- -,- -
66,Other Total Stockholders Equity,- -,2499312,1762032,1687817,2603125,37643166,52162230,53176876,53650245,56485096,56784664,55633377,56099875,58318397,- -,57159195,56211839,54536857,28212789,28664924,30326132
67,Total Stockholders Equity,- -,2299813,1603659,1653276,2009085,34993166,22802230,5546876,-339755,538972,1764664,4006521,7413990,18764187,19641508,18863855,19595789,18891467,31282082,36364273,46734931
68,Total Liabilities And Stockholders Equity,- -,2850490,3176124,- -,2601286,49363166,35412230,18476876,12890245,10012716,8494664,21950990,23748696,28200767,26121439,24684625,25364249,23432247,46912062,49095042,77351567
69,Minority Interest,- -,- -,- -,1653276,- -,-3166,-2230,3124,-245,- -,5336,- -,- -,-7,- -,-728985,1,3,- -,- -,- -
70,Total Liabilities & Equity,- -,2850490,3176124,1653276,2601286,49360000,35410000,18480000,12890000,10012716,8500000,21950990,23748696,28200760,26121439,23955640,25364250,23432250,46912062,49095042,77351567
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1140102/000110465903005251/0001104659-03-005251-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1140102/000114420405008446/0001144204-05-008446-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000114420407044722/0001144204-07-044722-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1140102/000114420408017971/0001144204-08-017971-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000114420409019753/0001144204-09-019753-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000114420410019314/0001144204-10-019314-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000114010211000004/0001140102-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000135448812001742/0001354488-12-001742-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1140102/000135448815000933/0001354488-15-000933-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1140102/000165495417003237/0001654954-17-003237-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000165495418003383/0001654954-18-003383-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000165495419004201/0001654954-19-004201-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000165495420003486/0001654954-20-003486-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000165495421003300/0001654954-21-003300-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000143774922006329/0001437749-22-006329-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-115947,-84566,41126,123867,-200122,-2420000,-26040000,-17620000,-5960000,-1560352,850000,1559277,2940871,9125750,1713159,759330,1679350,974290,-289979,5359414,11849934
74,Depreciation and Amortization,- -,- -,- -,- -,- -,347652,1526056,868208,786142,569905,431425,370768,351240,540746,171511,298300,386413,323852,400132,129182,1563088
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3886000,924064,746482,1666043,-358306,-1242501,-1767825,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,24720,277954,105119,138600,104724,420408,741656,147168,156790,332089,758053,1226890,2326772
77,Change in Working Capital,11134,- -,- -,- -,- -,180000,5020000,-3790000,-3980000,1487327,2922673,331392,3414936,8844542,193052,-4019242,2727720,643480,12033268,3503682,-11489743
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,3856109,398000,284094,-266645,-5750776,3006664,1633994,28919,-1051585,683273,281737,-7476109,6856780,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,217362,818768,-99178,-646818,-178024,-319479,143575,-242238,201316,-198875,-343457,200411,203645,- -
81,Other Working Capital,- -,- -,- -,- -,- -,180000,5200000,1410000,-2570000,-1082673,1840000,2171392,5586328,14430870,14623922,10604680,13332400,13975880,26009148,29512830,18023087
82,Other Non-Cash Items,-20559,95338,-102876,-86892,-68490,230651,13529692,20645110,7697457,1796758,-4936538,-4234389,-1604494,-7287303,-409189,2081136,-1868648,707545,-6701160,2428985,-4250051
83,Cash Provided by Operating Activities,-125372,10772,-61750,36975,-268612,-1661697,-5964252,103318,-1431681,2571592,-627321,-1834352,5207277,7758143,3334253,13174,4747668,2622950,4957813,10880328,- -
84,CAPEX,-25518,-10769,- -,- -,-1254,-1465775,-511141,-108298,-17577,-81889,-278664,-293285,-58895,-245709,-124621,-100609,-103665,-158578,-507602,-1764572,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000,- -,- -,- -,-1980000,- -,- -,5376543,- -,-2693094
86,Purchases of Investments,- -,-80600,- -,-274179,-505000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,80600,396765,101000,404000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-429331,-1575780,-1517941,3100521,-476233,136832,-129116,- -,- -,6690,150000,- -,40300,- -,-172500,- -,- -,41675,4943964,1458246,- -
89,Cash Used for Investing Activites,-454849,-1667149,-1437341,3223107,-881487,-924943,-640257,-108298,-17577,-75199,-128664,-443285,-18595,-245709,-297121,-2080609,-103665,-116903,9812905,36371,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-2115811,-1035939,-1380967,- -,-150000,-1001366,-5150529,-2420487,-1010583,- -,-454668,- -,- -,- -
91,Common Stock Issued,- -,1500049,- -,- -,- -,1496000,5919783,- -,52000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1615710,-1528665,-375218,-1829153,-8368926,-146465,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1357648,- -
94,Other Financing Activites,295959,441466,1015979,-1670904,-133333,2111663,-125223,3714833,328208,481884,220000,2929334,- -,418035,28240,- -,465282,- -,-3505659,67398,- -
95,Cash Used/Provided by Financing Activities,295959,1941515,1015979,-1670904,-133333,3607663,5794560,1599022,-655731,-899083,220000,2779334,-1001366,-4732494,-4007957,-2539248,90064,-2283821,-11874585,-1436715,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-284262,285138,-483112,1589178,-1283432,1021023,-809949,1594042,-2104989,1597310,-535985,501697,4187316,2779940,-970825,-4606683,4734067,222226,2896133,9479984,- -
98,Cash at the End of Period,262072,547210,64098,1653276,369844,1390867,580918,2174960,69971,1667281,1131296,1632993,5820309,8600249,7629424,3022741,7781484,8003710,4187450,13667434,- -
99,Cash at the Beginning of Period,546334,262072,547210,64098,1653276,369844,1390867,580918,2174960,69971,1667281,1131296,1632993,5820309,8600249,7629424,3047417,7781484,1291317,4187450,13667434
100,Free Cash Flow,-150890,3,-61750,36975,-269866,-3127472,-6475393,-4980,-1449258,2489703,-905985,-2127637,5148382,7512434,3209632,-87435,4644003,2464372,4450211,9115756,- -
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1140102/000110465903005251/0001104659-03-005251-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1140102/000114420405008446/0001144204-05-008446-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000114420407044722/0001144204-07-044722-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1140102/000114420408017971/0001144204-08-017971-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000114420409019753/0001144204-09-019753-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000114420410019314/0001144204-10-019314-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000114010211000004/0001140102-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000135448812001742/0001354488-12-001742-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1140102/000135448815000933/0001354488-15-000933-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1140102/000165495417003237/0001654954-17-003237-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000165495418003383/0001654954-18-003383-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000165495419004201/0001654954-19-004201-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000165495420003486/0001654954-20-003486-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000165495421003300/0001654954-21-003300-index.htm,https://www.sec.gov/Archives/edgar/data/1140102/000143774922006329/0001437749-22-006329-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
