,https://roic.ai/company/FTK,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/928054/000114420406012624/v038659_10ksb.htm,https://www.sec.gov/Archives/edgar/data/928054/000119312507057254/d10k.htm,https://www.sec.gov/Archives/edgar/data/928054/000119312508060950/d10k.htm,https://www.sec.gov/Archives/edgar/data/928054/000119312509055569/0001193125-09-055569-index.html,https://www.sec.gov/Archives/edgar/data/928054/000119312510073665/0001193125-10-073665-index.html,https://www.sec.gov/Archives/edgar/data/928054/000130817911000035/flotek10k.htm,https://www.sec.gov/Archives/edgar/data/928054/000119312512101257/0001193125-12-101257-index.html,https://www.sec.gov/Archives/edgar/data/928054/000144530513000594/0001445305-13-000594-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805414000004/ftk_10kx2013.htm,https://www.sec.gov/Archives/edgar/data/928054/000092805415000005/ftk_10kx2014.htm,https://www.sec.gov/Archives/edgar/data/928054/000092805416000079/0000928054-16-000079-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805417000017/0000928054-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805418000020/0000928054-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805419000016/0000928054-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805420000024/0000928054-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805421000044/0000928054-21-000044-index.htm,https://www.sec.gov/Archives/edgar/data/928054/000092805422000071/0000928054-22-000071-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,634511,50492,- -,240438,- -,- -,284801,7376858,510000,1282000,193000,6485000,19863000,46682000,2700000,2730000,1266000,2208000,4823000,4584000,3044000,100575000,38660000,11534000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,634511,50492,- -,240438,- -,- -,284801,7376858,510000,1282000,193000,6485000,19863000,46682000,2700000,2730000,1266000,2208000,4823000,4584000,3044000,100575000,38660000,11534000
34,Net Receivables,- -,427466,138357,- -,2189566,2034381,1977926,3372236,10407086,19077000,24919000,37205000,21219000,30283000,44567000,42259000,65016000,78624000,53897000,59904000,48844000,40208000,16269000,12167000,13319000
35,Inventory,- -,1181104,785639,- -,3704153,1817717,1905070,2447390,10657560,17899000,21017000,38027000,27232000,27845000,37888000,45177000,63132000,85958000,85492000,58283000,75759000,27289000,21697000,11837000,9454000
36,Other Current Assets,- -,- -,- -,- -,24735,198055,113326,76758,233879,578000,1381000,2213000,1643000,1766000,2924000,6078000,6783000,13751000,10145000,65660000,9264000,124241000,13854000,3791000,8292000
37,Total Current Assets,- -,2243081,974488,- -,6158892,4050153,3996322,6181185,28675383,38064000,48599000,77638000,56579000,79757000,132061000,96214000,137661000,179599000,151742000,188670000,138451000,194782000,152395000,66455000,42599000
38,PP&E,- -,186611,117863,- -,3671939,4386182,2644860,2116796,9961353,19302000,39824000,66835000,60251000,42524000,43914000,56499000,79114000,86111000,91913000,74691000,73833000,45485000,56217000,11407000,7337000
39,Goodwill,- -,- -,- -,- -,13111840,12266346,- -,- -,12388318,24185000,60480000,45443000,26943000,26943000,26943000,26943000,66271000,71131000,72820000,56660000,56660000,- -,- -,8092000,- -
40,Intangible Assets,- -,- -,- -,- -,191333,237421,7329156,7659105,1132470,1339000,11890000,38015000,34837000,35466000,29094000,24166000,77523000,73528000,69386000,50352000,48231000,26827000,23083000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,13303173,12503767,7329156,7659105,13520788,25524000,72370000,83458000,61780000,62409000,56037000,51109000,143794000,144659000,142206000,107012000,104891000,26827000,23083000,8092000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15835000,- -,117000,- -,16045000,15012000,12907000,17229000,16215000,12713000,18663000,152000,223000,279000
44,Other Non-Current Assets,- -,144370,137186,- -,87253,- -,- -,1,- -,- -,- -,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,126000,- -,33000,29000
45,Total Non-Current Assets,- -,330981,255049,- -,17062365,16889949,9974016,9775902,23482141,44826000,112194000,166132000,122031000,105050000,99951000,123653000,237920000,243677000,251348000,197918000,191437000,91101000,79452000,19755000,7645000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2574062,1229537,- -,23221257,20940102,13970338,15957087,52157524,82890000,160793000,243770000,178610000,184807000,232012000,219867000,375581000,423276000,403090000,386588000,329888000,285883000,231847000,86210000,50244000
48,Accounts Payable,- -,- -,- -,- -,2225219,2464499,2961805,2641577,3804899,9941000,9424000,22666000,8021000,13520000,18562000,22373000,19899000,33185000,19444000,29960000,22048000,15011000,16231000,5787000,7616000
49,Short-Term Debt,- -,- -,- -,- -,2159703,4577154,5078546,1136467,2016410,2589000,7034000,9017000,8949000,6454000,767000,9462000,26415000,18643000,32291000,40566000,27950000,49731000,541000,4744000,2079000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3876000,3479000,3361000,1307000,2263000,- -,- -,- -,- -,21000,22000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117000,91000
52,Other Current Liabilities,- -,1815460,1413285,- -,1489659,192863,1204157,2084163,3615229,8132000,11566000,16890000,7613000,14258000,14370000,10096000,16250000,13714000,15268000,20528000,14632000,19517000,24552000,18213000,8991000
53,Total Current Liabilities,- -,1815460,1413285,- -,5874581,7234516,9244508,5862207,9436538,20662000,28024000,48573000,24583000,34232000,33699000,41931000,62564000,65542000,67003000,91054000,64630000,84259000,41324000,28861000,18777000
54,Long-Term Debt,- -,19338,10061,- -,3339970,3039649,2165726,5271987,7276570,8185000,52377000,144478000,119190000,126682000,100613000,22455000,35690000,25398000,18255000,7833000,- -,- -,- -,1617000,11184000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117000,91000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2931000,- -,3203000,1153000,2780000,751000,27575000,25982000,23823000,- -,- -,- -,116000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,1321726,- -,-90,239553,534000,- -,- -,- -,26193000,16622000,- -,- -,- -,- -,- -,- -,- -,17131000,8444000,- -
58,Total Non-Current Liabilities,- -,19338,10061,- -,3339970,4361375,2165726,5271897,7516123,8719000,55308000,144478000,122393000,154028000,120015000,23206000,63265000,51380000,42078000,7833000,- -,- -,17247000,10178000,11275000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,1388261,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17672000,9140000,- -
61,Total Liabilities,- -,1834798,1423346,- -,9214551,11595891,11410234,11134104,16952661,29381000,83332000,193051000,146976000,188260000,153714000,65137000,125829000,116922000,109081000,98887000,64630000,84259000,58571000,39039000,30052000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6943000,7280000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,17870210,18134295,- -,485,552,652,667,832,1000,1000,2000,2000,4000,5000,5000,6000,5000,6000,6000,6000,6000,6000,8000,8000
64,Retained Earnings,- -,-16994423,-18207831,- -,-1566665,-7029497,-14413604,-12259915,-4539763,6810000,23464000,-8477000,-63633000,-113350000,-86810000,-37019000,-841000,52762000,39300000,-9830000,-37225000,-107565000,-139844000,-278688000,-309214000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-1295753,90,-3444010,37000,45000,125000,118000,97000,-44000,-40000,-359000,-502000,-1237000,-956000,-884000,-1116000,-966000,-19000,81000
66,Other Total Stockholders Equity,- -,- -,- -,- -,15572886,16373156,18268809,17082141,43187804,46661000,53951000,59069000,88204000,102516000,165147000,191784000,250946000,253738000,255582000,298123000,303003000,310299000,314080000,325870000,309125000
67,Total Stockholders Equity,- -,739264,-193809,- -,14006706,9344211,2560104,4822983,35204863,53509000,77461000,50719000,31634000,-3453000,78298000,154730000,249752000,306003000,293651000,287343000,264900000,201624000,173276000,47171000,20192000
68,Total Liabilities And Stockholders Equity,- -,2574062,1229537,- -,23221257,20940102,13970338,15957087,52157524,82890000,160793000,243770000,178610000,184807000,232012000,219867000,375581000,422925000,402732000,386230000,329530000,285883000,231847000,86210000,50244000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,351000,358000,358000,358000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2574062,1229537,- -,23221257,20940102,13970338,15957087,52157524,82890000,160793000,243770000,178610000,184807000,232012000,219867000,375581000,423276000,403090000,386588000,329888000,285883000,231847000,86210000,50244000
71,SEC Link,undefined,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/928054/000114420406012624/v038659_10ksb.htm,https://www.sec.gov/Archives/edgar/data/928054/000119312507057254/d10k.htm,https://www.sec.gov/Archives/edgar/data/928054/000119312508060950/d10k.htm,https://www.sec.gov/Archives/edgar/data/928054/000119312509055569/0001193125-09-055569-index.html,https://www.sec.gov/Archives/edgar/data/928054/000119312510073665/0001193125-10-073665-index.html,https://www.sec.gov/Archives/edgar/data/928054/000130817911000035/flotek10k.htm,https://www.sec.gov/Archives/edgar/data/928054/000119312512101257/0001193125-12-101257-index.html,https://www.sec.gov/Archives/edgar/data/928054/000144530513000594/0001445305-13-000594-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805414000004/ftk_10kx2013.htm,https://www.sec.gov/Archives/edgar/data/928054/000092805415000005/ftk_10kx2014.htm,https://www.sec.gov/Archives/edgar/data/928054/000092805416000079/0000928054-16-000079-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805417000017/0000928054-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805418000020/0000928054-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805419000016/0000928054-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805420000024/0000928054-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805421000044/0000928054-21-000044-index.htm,https://www.sec.gov/Archives/edgar/data/928054/000092805422000071/0000928054-22-000071-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-2432804,-1213408,-1486193,-1407935,-5462832,-7384107,2153689,7720152,11350000,16727000,-31941000,-50705000,-43465000,31408000,49791000,36178000,53603000,-13462000,-49130000,-27395000,-70340000,-32279000,-136450000,-30526000
74,Depreciation and Amortization,- -,93103,62246,122812,744305,704731,713531,689901,1768268,2750000,6537000,13874000,14186000,13768000,10105000,11583000,15109000,17848000,18024000,10429000,12159000,9216000,8465000,3412000,1011000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,529000,-1101000,-19521000,10500000,-3611000,1218000,-18746000,793000,1502000,-7928000,-19681000,181000,-5950000,18307000,-187000,-56000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1731000,4684000,7437000,13421000,10914000,10476000,14681000,12053000,11172000,7050000,4235000,3044000,3757000
77,Change in Working Capital,- -,163638,- -,-866418,-322574,-3468674,-2063823,5567164,18919867,-1836845,3173000,8490000,2931000,13529000,52837000,-44079000,20814000,38960000,-29318000,12877000,-23795000,36702000,548000,-73477000,-13772000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22593000,-12698000,-17918000,1796000,-9862000,-13749000,27930000,-11544000,1456000,-2606000,20993000,3556000,-1406000
79,Inventory,- -,-461569,345465,-254592,-1439324,1886436,-351840,-542320,-2946252,-4913000,671000,-14522000,10795000,-613000,-10043000,-8706000,4523000,-23096000,-17626000,-6528000,-17291000,2597000,-65000,3955000,-7633000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14645000,5499000,5041000,2527000,-21326000,13147000,-13545000,12653000,-8719000,4631000,1131000,-12323000,1829000
81,Other Working Capital,- -,427621,427621,-438797,284311,-3184363,-5248186,318978,19238845,17402000,20575000,29065000,31996000,45525000,98362000,54283000,75097000,114057000,84739000,97616000,73821000,110523000,111071000,37594000,23822000
82,Other Non-Cash Items,- -,1099763,460358,1435718,-98386,6100893,8697142,-7011907,-26281313,-356155,-250000,53972000,23543000,27194000,-70582000,37545000,-44260000,-73567000,44674000,35518000,44125000,3802000,-18367000,155820000,13746000
83,Cash Provided by Operating Activities,- -,-1076300,-690804,-794081,-1084590,-2125882,-37257,1398847,2126974,12436000,25086000,24874000,2186000,12099000,32423000,49515000,39548000,48822000,26671000,2066000,16447000,-19520000,-19091000,-47838000,-25840000
84,CAPEX,- -,-18960,-24955,-88722,-1411460,-1473521,-575260,-113108,-2396785,-9201000,-18193000,-23759000,-6557000,-6060000,-10228000,-20721000,-15092000,-20638000,-21126000,-14533000,-9439000,-5161000,-3025000,-1433000,-39000
85,Acquisitions Net,- -,- -,- -,- -,-6066493,-122250,- -,-100804,-7652555,-12763000,-53028000,-97973000,- -,- -,- -,- -,-53396000,-5704000,-1250000,-7863000,18490000,1665000,169722000,-16377000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-2001,12000,-37873,-1242788,-1362209,8923,-58666,-240516,264000,689000,4554000,-3699000,-600000,-4942000,-15200000,-9304000,-15999000,-16954000,-14436000,-8042000,-5077000,-2448000,-1324000,112000
89,Cash Used for Investing Activites,- -,-20961,-12955,-126595,-7309281,-1484459,-566337,-272578,-10289856,-21700000,-70532000,-117178000,-3699000,-600000,-4942000,-15200000,-62700000,-21703000,-18204000,-22299000,10448000,-3412000,167274000,-17701000,112000
90,Debt Repayment,- -,-655877,-87711,-92438,-355755,-1108704,- -,- -,- -,- -,- -,- -,-28583000,-40576000,-33273000,-102438000,-310330000,-375247000,-376161000,-340607000,-403609000,-255818000,-92766000,-70000,-62000
91,Common Stock Issued,- -,1182608,- -,- -,4112000,610871,525000,109100,20211815,915000,1502000,905000,- -,- -,29438000,161000,824000,906000,879000,30923000,654000,341000,35000,462000,80000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-190000,-307000,-48000,-236000,-775000,-2034000,-7568000,-16689000,-16042000,-2350000,-6932000,-173000,-247000,-253000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1122061,205901,1094504,3584922,3867736,-17077,-950568,-4956876,1482000,44900000,90617000,36443000,42712000,4089000,26010000,340575000,362590000,383975000,334885000,382602000,277130000,42984000,3588000,-390000
95,Cash Used/Provided by Financing Activities,- -,1648792,118190,1002066,7341167,3369903,507923,-841468,15254939,2397000,46212000,91215000,7812000,1900000,-521000,-78301000,23501000,-28440000,-7349000,22851000,-27285000,21480000,-49994000,3727000,-372000
96,Effect of Forex Changes on Cash,- -,-8661,1550,-3698,- -,- -,- -,- -,- -,- -,6000,- -,-7000,-21000,-141000,4000,-319000,-143000,-176000,-3000,151000,-88000,5000,-102000,100000
97,Net Change In Cash,- -,542870,-584019,77692,-1052704,3369903,507923,-841468,7092057,-6867000,772000,-1089000,6292000,13378000,26819000,-43982000,30000,-1464000,942000,2615000,-239000,-1540000,98194000,-61915000,-27126000
98,Cash at the End of Period,- -,634511,50492,128184,240438,- -,- -,284801,7376858,510000,1282000,193000,6485000,19863000,46682000,2700000,2730000,1266000,2208000,4823000,4584000,3044000,101238000,38660000,11534000
99,Cash at the Beginning of Period,- -,91641,634511,50492,1293142,240438,- -,- -,284801,7377000,510000,1282000,193000,6485000,19863000,46682000,2700000,2730000,1266000,2208000,4823000,4584000,3044000,100575000,38660000
100,Free Cash Flow,- -,-1095260,-715759,-882803,-2496050,-3599403,-612517,1285739,-269811,3235000,6893000,1115000,-4371000,6039000,22195000,28794000,24456000,28184000,5545000,-12467000,7008000,-24681000,-22116000,-49271000,-25879000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/928054/000114420406012624/v038659_10ksb.htm,https://www.sec.gov/Archives/edgar/data/928054/000119312507057254/d10k.htm,https://www.sec.gov/Archives/edgar/data/928054/000119312508060950/d10k.htm,https://www.sec.gov/Archives/edgar/data/928054/000119312509055569/0001193125-09-055569-index.html,https://www.sec.gov/Archives/edgar/data/928054/000119312510073665/0001193125-10-073665-index.html,https://www.sec.gov/Archives/edgar/data/928054/000130817911000035/flotek10k.htm,https://www.sec.gov/Archives/edgar/data/928054/000119312512101257/0001193125-12-101257-index.html,https://www.sec.gov/Archives/edgar/data/928054/000144530513000594/0001445305-13-000594-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805414000004/ftk_10kx2013.htm,https://www.sec.gov/Archives/edgar/data/928054/000092805415000005/ftk_10kx2014.htm,https://www.sec.gov/Archives/edgar/data/928054/000092805416000079/0000928054-16-000079-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805417000017/0000928054-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805418000020/0000928054-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805419000016/0000928054-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805420000024/0000928054-20-000024-index.html,https://www.sec.gov/Archives/edgar/data/928054/000092805421000044/0000928054-21-000044-index.htm,https://www.sec.gov/Archives/edgar/data/928054/000092805422000071/0000928054-22-000071-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
