,https://roic.ai/company/BLBD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64,Retained Earnings,- -,- -,- -,-5650000,-135345000,-128856000,-100055000,-69235000,-45649000,- -,-33753000
65,Other Comprehensive Income/Loss,- -,- -,- -,-47000000,-51774000,-58891000,-43875000,-38427000,-56154000,-58397000,-44794000
66,Other Total Stockholders Equity,- -,- -,25000,57650000,15887000,50771000,45418000,70023000,33989000,5164000,45888000
67,Total Stockholders Equity,- -,- -,25000,106760000,-121230000,-86974000,-58510000,-28336000,-67811000,-53230000,-32656000
68,Total Liabilities And Stockholders Equity,- -,- -,348000,115170000,267903000,277866000,295816000,307430000,365413000,205767000,231238000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,84958000,124782000
70,Total Liabilities & Equity,- -,- -,348000,115170000,267903000,277866000,295816000,307430000,365413000,290725000,356020000
71,SEC Link,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1589526/000121390015001423/0001213900-15-001423-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952615000089/0001589526-15-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952616000199/0001589526-16-000199-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952617000057/0001589526-17-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952618000102/0001589526-18-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952619000054/0001589526-19-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952620000112/0001589526-20-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952621000140/0001589526-21-000140-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,- -,- -,-5650000,14932000,6900000,28801000,30820000,24300000,12185000,-3169000
74,Depreciation and Amortization,- -,- -,- -,- -,8790000,8046000,8180000,9042000,10383000,14400000,13446000
75,Deferred Income Tax,- -,- -,- -,- -,-8626000,8957000,-1202000,5655000,6632000,29000,-925000
76,Stock Based Compensation,- -,- -,- -,- -,1622000,12717000,1270000,2628000,4273000,4141000,5938000
77,Change in Working Capital,- -,- -,- -,-4560000,17000,6531000,19678000,-20705000,1423000,2839000,26043000
78,Accounts Receivable,- -,- -,- -,- -,7435000,-6564000,10167000,-13920000,13530000,2914000,-2345000
79,Inventory,- -,- -,- -,- -,22120000,-4626000,-22349000,17786000,-21497000,22308000,-68684000
80,Accounts Payable,- -,- -,- -,- -,-12905000,-830000,8404000,3096000,6318000,-40258000,14081000
81,Other Working Capital,- -,- -,- -,-4535000,-4518000,2013000,21691000,986000,2409000,5248000,31291000
82,Other Non-Cash Items,- -,- -,- -,9181000,6631000,-18046000,-9086000,20913000,8695000,-30135000,-95574000
83,Cash Provided by Operating Activities,- -,- -,- -,-1029000,23366000,25105000,47641000,48353000,55706000,3459000,-54241000
84,CAPEX,- -,- -,- -,- -,-5190000,-9583000,-9252000,-32118000,-35514000,-18968000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-115000000,- -,- -,48000,14000,47000,165000,-11309000
89,Cash Used for Investing Activites,- -,- -,- -,-115000000,-5190000,-9583000,-9204000,-32104000,-35467000,-18803000,-11309000
90,Debt Repayment,- -,- -,- -,-250000,-36892000,-36971000,-168162000,-8008000,-10033000,-10845000,-1294000
91,Common Stock Issued,- -,- -,- -,115000000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-34327000,-26586000,-50370000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-2881000,-4261000,-1896000,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,1396000,10440000,23778000,178620000,17885000,50863000,-263000,34046000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,116146000,-26452000,-16074000,-28130000,-18605000,-9540000,-11108000,32752000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,117000,-8276000,-552000,10307000,-2356000,10699000,-26452000,-32798000
98,Cash at the End of Period,- -,- -,- -,119000,52861000,52309000,62616000,60260000,70959000,44507000,11709000
99,Cash at the Beginning of Period,- -,- -,- -,2000,61137000,52861000,52309000,62616000,60260000,70959000,44507000
100,Free Cash Flow,- -,- -,- -,-1029000,18176000,15522000,38389000,16235000,20192000,-15509000,-54241000
101,SEC Link,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1589526/000121390015001423/0001213900-15-001423-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952615000089/0001589526-15-000089-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952616000199/0001589526-16-000199-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952617000057/0001589526-17-000057-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952618000102/0001589526-18-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952619000054/0001589526-19-000054-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952620000112/0001589526-20-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1589526/000158952621000140/0001589526-21-000140-index.htm
102,false,,,,,,,,,,,
