,https://roic.ai/company/TILE,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),300000,-100000,1400000,1500000,-7900000,-11700000,-23300000,-21800000,-23700000,- -,-21900000,-24900000,-30000000,-35300000,-36500000,- -,-65800000,-60217000,-21458000,-31956000,-28075000,-50258000,- -,-43523000,-35961000,-34338000,-40969000,-78165000,-26650000,-26548000,-26630000,-34553000,- -,-7827000,-9305000,-21388000,-29087000,- -,-40133000
20,Income Before Tax,11800000,9000000,12700000,14900000,25400000,34100000,40600000,37700000,14300000,- -,18600000,21300000,31600000,43400000,61300000,- -,49100000,29839000,-37500000,-16800000,-12600000,10484000,- -,28839000,93430000,7321000,22025000,14564000,60613000,38100000,69000000,35742000,- -,105766000,100539000,54991000,101816000,- -,-79420000
21,Income Before Tax Ratio,0.1473,0.0839,0.1029,0.1084,0.0951,0.0860,0.0698,0.0605,0.0246,- -,0.0313,0.0341,0.0394,0.0433,0.0540,- -,0.0383,0.0232,-0.0354,-0.0225,-0.0164,0.0119,- -,0.0268,0.0864,0.0068,0.0256,0.0151,0.0573,0.0409,0.0719,0.0356,- -,0.1056,0.1009,0.0466,0.0758,- -,-0.0720
22,Income Tax expense (Gain),5800000,4100000,4700000,6300000,11700000,13900000,16100000,14100000,5400000,- -,6300000,7500000,11300000,17000000,23800000,- -,19300000,12518000,-11500000,-6200000,-4600000,4044000,- -,18816000,35582000,43040000,9352000,4494000,21237000,15204000,-1900000,10934000,- -,33348000,47293000,4738000,22616000,- -,-7491000
23,Net Income,6100000,4900000,8000000,8600000,13700000,20200000,24500000,23600000,8900000,- -,12300000,13800000,16800000,26400000,37500000,- -,29800000,17321000,-36300000,-87700000,-33300000,-55402000,- -,9992000,-10812000,-40873000,10918000,8283000,38721000,5900000,48300000,24808000,- -,72418000,53246000,50253000,79200000,- -,-71929000
24,Net Income ratio,0.0762,0.0457,0.0648,0.0626,0.0513,0.0509,0.0421,0.0379,0.0153,- -,0.0207,0.0221,0.0209,0.0263,0.0330,- -,0.0233,0.0135,-0.0343,-0.1177,-0.0434,-0.0628,- -,0.0093,-0.0100,-0.0378,0.0127,0.0086,0.0366,0.0063,0.0503,0.0247,- -,0.0723,0.0534,0.0426,0.0590,- -,-0.0652
25,EPS,0.23,0.17,0.07,0.09,0.22,0.29,0.36,0.34,0.13,- -,0.18,0.19,0.41,0.61,0.79,- -,0.58,0.34,-0.72,-1.75,-0.66,-1.09,- -,0.18,-0.18,-0.67,0.17,0.13,0.59,0.09,0.73,0.37,- -,1.10,0.86,0.84,1.34,- -,-1.23
26,EPS Diluted,0.23,0.17,0.07,0.09,0.22,0.29,0.32,0.31,0.13,- -,0.18,0.19,0.41,0.61,0.77,- -,0.58,0.34,-0.72,-1.75,-0.66,-1.09,- -,0.18,-0.18,-0.67,0.17,0.13,0.59,0.09,0.73,0.37,- -,1.10,0.86,0.84,1.34,- -,-1.23
27,Weighted Average Shares Outstanding,26800000,28200000,25200000,24576000,34176000,34240000,34240000,34380000,34476000,- -,34530000,34736000,36144578,40162602,47468354,- -,51379310,50944118,50398611,50093714,50389394,50682000,- -,54087000,60573000,61439000,63213000,63794000,65291000,65767000,66194000,66389000,- -,66027000,61996000,59544000,58943000,- -,58547000
28,Weighted Average Shares Outstanding Diluted,26800000,28200000,25200000,24576000,34176000,34240000,34240000,34380000,34476000,- -,34530000,34736000,72777778,40162602,49019608,- -,52608696,50944118,50398611,50148000,50389394,52171000,- -,55713000,61520000,61439000,63308000,64262000,65486000,65900000,66297000,66448000,- -,66075000,62040000,59566000,58948000,- -,58547000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/715787/000095014403004125/0000950144-03-004125-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000095014404002235/0000950144-04-002235-index.htm,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/715787/000119312513083130/0001193125-13-083130-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000143774914002842/0001437749-14-002842-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000143774915003389/0001437749-15-003389-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/715787/000143774916026549/0001437749-16-026549-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000143774918003647/0001437749-18-003647-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000143774919003613/0001437749-19-003613-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000071578720000009/0000715787-20-000009-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/715787/000071578721000009/0000715787-21-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,13300000,300000,10500000,13100000,7400000,14000000,18700000,10100000,10400000,- -,10200000,8700000,8800000,8800000,10200000,- -,9900000,7861000,800000,34100000,2900000,22164000,- -,110220000,82375000,71757000,115363000,69236000,50635000,90500000,72900000,54896000,- -,75696000,87037000,80989000,81301000,- -,103053000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,13300000,300000,10500000,13100000,7400000,14000000,18700000,10100000,10400000,- -,10200000,8700000,8800000,8800000,10200000,- -,9900000,7861000,800000,34100000,2900000,22164000,- -,110220000,82375000,71757000,115363000,69236000,50635000,90500000,72900000,54896000,- -,75696000,87037000,80989000,81301000,- -,103053000
34,Net Receivables,15800000,24000000,27100000,33100000,49900000,101400000,107800000,130600000,123800000,- -,109300000,124200000,111400000,167800000,178000000,- -,194800000,204886000,154900000,137500000,129600000,142228000,- -,159430000,178625000,144783000,129833000,151463000,156170000,137300000,131900000,157093000,- -,130322000,142808000,179004000,177482000,- -,139869000
35,Inventory,9300000,15400000,19700000,32000000,43800000,100100000,106800000,117600000,116600000,- -,101400000,116000000,134500000,146700000,157600000,- -,199300000,198063000,159500000,134700000,128700000,137618000,- -,147963000,125789000,128923000,112249000,136766000,166073000,141200000,149600000,142167000,- -,161174000,177935000,258657000,253584000,- -,228725000
36,Other Current Assets,300000,200000,700000,1400000,1500000,9200000,10700000,12400000,11800000,- -,11500000,17600000,19700000,30000000,29400000,- -,34500000,36298000,85000000,60400000,118300000,65544000,- -,31346000,29640000,30492000,30528000,35624000,33106000,61700000,33700000,30512000,- -,31216000,23087000,40229000,35768000,- -,23747000
37,Total Current Assets,38700000,39900000,58000000,79600000,102600000,224700000,244000000,270700000,262600000,- -,232400000,266500000,274400000,353300000,375200000,- -,438500000,447108000,400200000,366700000,379500000,367554000,- -,448959000,416429000,375955000,387973000,393089000,405984000,430700000,388100000,384668000,- -,398408000,430867000,558879000,548135000,- -,495394000
38,PP&E,9900000,17900000,25400000,63500000,72800000,119000000,126900000,141100000,139400000,- -,137600000,145100000,183300000,208800000,228800000,- -,245300000,258245000,241900000,213100000,206400000,194702000,- -,188725000,161874000,160717000,162269000,177792000,190119000,165700000,230800000,227347000,- -,211489000,212645000,292888000,431629000,- -,457049000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,142700000,- -,133300000,189200000,- -,249100000,278600000,- -,303000000,- -,249200000,210500000,195100000,205913000,- -,180107000,142471000,78489000,80519000,75239000,74557000,75700000,77900000,70509000,- -,63890000,68754000,343542000,346474000,- -,- -
40,Intangible Assets,- -,- -,- -,46900000,49300000,134100000,138500000,147400000,- -,- -,- -,- -,218800000,- -,- -,- -,- -,264656000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,46900000,49300000,134100000,138500000,147400000,142700000,- -,133300000,189200000,218800000,249100000,278600000,- -,303000000,264656000,249200000,210500000,195100000,205913000,- -,180107000,142471000,78489000,80519000,75239000,74557000,75700000,77900000,70509000,- -,63890000,68754000,343542000,346474000,- -,253536000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,1100000,1000000,- -,- -,- -,- -,- -,- -,18300000,- -,18700000,17900000,- -,23500000,28900000,- -,23500000,- -,25000000,20500000,31700000,67448000,- -,65841000,60942000,42999000,44210000,53022000,47290000,7300000,15000000,11002000,- -,10505000,18003000,26488000,35550000,- -,18175000
44,Other Non-Current Assets,2900000,3600000,9300000,7300000,8500000,15600000,16400000,23200000,6400000,- -,12100000,23600000,37900000,27800000,18100000,- -,26600000,64840000,38500000,52700000,67000000,34181000,- -,44708000,53516000,47875000,52268000,56291000,54322000,110000000,84500000,81388000,- -,72257000,70331000,62847000,61261000,- -,81857000
45,Total Non-Current Assets,13900000,22500000,34700000,117700000,130600000,268700000,281800000,311700000,306800000,- -,301700000,375800000,440000000,509200000,554400000,- -,598400000,587741000,554600000,496800000,500200000,502244000,- -,479381000,418803000,330080000,339266000,362344000,366288000,358700000,408200000,390246000,- -,358141000,369733000,725765000,874914000,- -,810617000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,52600000,62400000,92700000,197300000,233200000,493400000,525800000,582400000,569400000,- -,534100000,642300000,714400000,862500000,929600000,- -,1036900000,1034849000,954800000,863500000,879700000,869798000,- -,928340000,835232000,706035000,727239000,755433000,772272000,789400000,796300000,774914000,- -,756549000,800600000,1284644000,1423049000,- -,1306011000
48,Accounts Payable,7400000,10400000,- -,- -,- -,- -,42200000,42900000,56700000,- -,43500000,56000000,55100000,75000000,79300000,- -,80200000,97874000,62100000,55800000,44200000,46466000,- -,56601000,57243000,52040000,35614000,55859000,55289000,56300000,52500000,49464000,- -,52834000,50672000,66301000,75687000,- -,58687000
49,Short-Term Debt,- -,1900000,3900000,3400000,7400000,11300000,18300000,22200000,- -,- -,- -,- -,10100000,14900000,22300000,- -,26900000,808000,- -,- -,- -,- -,- -,- -,- -,- -,14586000,- -,- -,8110000,- -,- -,- -,11250000,15000000,31315000,46936000,- -,28874000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5432000,10579000,12685000,17962000,- -,9299000,19948000,14539000,16809000,- -,2073000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9911000,5454000,- -,- -,- -,- -,- -,- -,- -,- -,10271000,10232000,9732000,- -,8726000,- -,26488000,35550000,- -,- -
52,Other Current Liabilities,5800000,5300000,19500000,31500000,39600000,86000000,51600000,48900000,55300000,- -,50100000,69900000,50200000,73800000,90200000,- -,118000000,107467000,113900000,103189000,82046000,92246000,- -,103005000,120608000,102592000,101143000,112657000,93884000,82719000,67468000,84591000,- -,80207000,110974000,99483000,105102000,- -,105739000
53,Total Current Liabilities,13200000,17600000,23400000,34900000,47000000,97300000,112100000,114000000,112000000,- -,93600000,125900000,115400000,163700000,191800000,- -,225100000,206149000,176000000,168900000,131700000,138712000,- -,159606000,177851000,154632000,151343000,168516000,149173000,157400000,130200000,143787000,- -,153017000,176646000,223587000,263275000,- -,193300000
54,Long-Term Debt,6200000,9900000,15000000,96500000,62900000,249100000,244200000,254600000,240100000,- -,235500000,291600000,324000000,379400000,389500000,- -,387700000,421550000,446800000,445000000,445000000,460000000,- -,411365000,310000000,287588000,280184000,294428000,294507000,275000000,273800000,263338000,- -,202281000,214928000,587266000,566851000,- -,561251000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1000000,3800000,7200000,9400000,12600000,15300000,- -,- -,- -,- -,18100000,- -,- -,- -,- -,29551000,- -,- -,- -,26790000,- -,12686000,7413000,7506000,7029000,7563000,8391000,7339000,15049000,11002000,- -,10505000,6935000,26488000,35550000,- -,34307000
57,Other Non-Current Liabilities,1100000,900000,9500000,10400000,100000,1600000,-100000,100000,18400000,- -,18700000,17900000,- -,26600000,31900000,- -,25200000,- -,29500000,25400000,84200000,45987000,- -,64783000,38852000,38872000,42502000,36054000,39162000,53961000,36451000,50148000,- -,48380000,72000000,92640000,189171000,- -,190615000
58,Total Non-Current Liabilities,7300000,10800000,25500000,110700000,70200000,260100000,256700000,270000000,258500000,- -,254200000,309500000,342100000,406000000,421400000,- -,412900000,451101000,476300000,470400000,529200000,532777000,- -,488834000,356265000,333966000,329715000,338045000,342060000,336300000,325300000,324488000,- -,261166000,293863000,706394000,791572000,- -,786173000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107743000,- -,100023000
61,Total Liabilities,20500000,28400000,48900000,145600000,117200000,357400000,368800000,384000000,370500000,- -,347800000,435400000,457500000,569700000,613200000,- -,638000000,657250000,652300000,639300000,660900000,671489000,- -,648440000,534116000,488598000,481058000,506561000,491233000,493700000,455500000,468275000,- -,414183000,470509000,929981000,1054847000,- -,979473000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,700000,700000,- -,- -,- -,- -,- -,- -,2100000,- -,2100000,2100000,- -,2500000,2800000,- -,6000000,5831000,5100000,5100000,5100000,5243000,- -,6066000,6184000,6316000,6328000,6445000,6548000,6600000,6600000,6597000,- -,6570000,5981000,5951000,5842000,- -,5865000
64,Retained Earnings,16800000,20600000,27500000,34700000,46300000,63900000,84800000,104300000,109100000,- -,117200000,126000000,147000000,166800000,197900000,- -,219200000,241400000,175900000,86000000,52700000,-2683000,- -,5217000,-15159000,-65616000,-55332000,-49770000,-16764000,-16700000,24200000,39737000,- -,100270000,187432000,222214000,286056000,- -,208562000
65,Other Comprehensive Income/Loss,-600000,-6200000,-7400000,-10400000,-17300000,-28400000,-38400000,-52200000,47600000,- -,5400000,-24800000,-151900000,-6200000,-56400000,- -,-76200000,-243976000,-265300000,-88676000,-62105000,-37764000,- -,-60021000,-29533000,-70980000,-57243000,-57465000,-70145000,-60835000,-64667000,-108298000,- -,-134801000,-134593000,-143771000,-174002000,- -,-135809000
66,Other Total Stockholders Equity,15200000,18900000,23700000,27400000,87000000,100500000,110600000,146300000,40200000,- -,61600000,103600000,261800000,129800000,172100000,- -,249800000,369180000,386800000,221747000,223038000,- -,- -,- -,- -,339776000,343348000,349662000,361400000,366637000,374654000,368603000,- -,370327000,271271000,270269000,250306000,- -,247920000
67,Total Stockholders Equity,32100000,34000000,43800000,51700000,116000000,136000000,157000000,198400000,199000000,- -,186300000,206900000,256900000,292900000,316400000,- -,398800000,372435000,302500000,224171000,218733000,194178000,- -,274394000,294142000,209496000,237101000,248872000,281039000,295702000,340787000,306639000,- -,342366000,330091000,354663000,368202000,- -,326538000
68,Total Liabilities And Stockholders Equity,52600000,62400000,92700000,197300000,233200000,493400000,525800000,582400000,569500000,- -,534100000,642300000,714400000,862600000,929600000,- -,1036800000,1029685000,954800000,863471000,879633000,865667000,- -,922834000,828258000,698094000,718159000,755433000,772272000,789402000,796287000,774914000,- -,756549000,800600000,1284644000,1423049000,- -,1306011000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,-100000,- -,- -,100000,5164000,- -,29000,67000,4131000,- -,5506000,6974000,7941000,9080000,- -,- -,-2000,13000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,52600000,62400000,92700000,197300000,233200000,493400000,525800000,582400000,569400000,- -,534100000,642300000,714400000,862500000,929600000,- -,1036900000,1034849000,954800000,863500000,879700000,869798000,- -,928340000,835232000,706035000,727239000,755433000,772272000,789400000,796300000,774914000,- -,756549000,800600000,1284644000,1423049000,- -,1306011000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/715787/000095014403004125/0000950144-03-004125-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000095014404002235/0000950144-04-002235-index.htm,- -,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/715787/000119312513083130/0001193125-13-083130-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000143774914002842/0001437749-14-002842-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000143774915003389/0001437749-15-003389-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/715787/000143774916026549/0001437749-16-026549-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000143774918003647/0001437749-18-003647-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000143774919003613/0001437749-19-003613-index.htm,https://www.sec.gov/Archives/edgar/data/715787/000071578720000009/0000715787-20-000009-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/715787/000071578721000009/0000715787-21-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,8000000,8600000,13700000,20200000,24500000,23600000,8900000,- -,12300000,13800000,16800000,26400000,37500000,- -,29800000,17321000,-36300000,-87700000,-33300000,-55402000,- -,9992000,-10812000,-40873000,10918000,8283000,38721000,5900000,48300000,24808000,- -,72418000,53246000,50253000,79200000,- -,-71929000
74,Depreciation and Amortization,- -,- -,2500000,3200000,8300000,11600000,17200000,21600000,19700000,- -,22300000,24500000,28900000,35300000,38600000,- -,42600000,50625000,47852000,35328000,37257000,33336000,- -,31163000,22487000,23664000,25189000,27927000,25179000,25882000,24670000,30677000,- -,30803000,30261000,44471000,50835000,- -,51377000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,3100000,3000000,- -,-9100000,-8500000,1400000,5400000,7800000,- -,-8400000,-7209000,-18784000,1195000,-12399000,-10832000,- -,-11997000,4942000,14686000,-5634000,-6772000,3443000,-11164000,9349000,-3534000,- -,9052000,23328000,-18448000,-9497000,- -,-20794000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10138000,3293000,7935000,3998000,- -,13948000,7247000,14496000,8691000,- -,-502000
77,Change in Working Capital,- -,- -,-2200000,10100000,10900000,71800000,4500000,24800000,-6100000,- -,-11800000,1800000,-15600000,30600000,-6200000,- -,30000000,23959000,-16759000,-26400000,50000000,-18958000,- -,79853000,-50775000,-17255000,15307000,-12057000,32238000,16489000,-15400000,-17019000,- -,4510000,-57578000,81071000,-50432000,- -,17234000
78,Accounts Receivable,- -,- -,-3100000,-6000000,-16800000,-51500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11891000,20978000,-21418000,-7453000,19994000,3478000,-29255000,- -,18738000,-10313000,-10113000,-930000,- -,40090000
79,Inventory,- -,- -,-4300000,-12300000,-11800000,-56300000,-6400000,-400000,900000,- -,9000000,3100000,6000000,-2200000,-16200000,- -,-21300000,-9172000,15968000,27224000,-507000,-1876000,- -,-24174000,-11855000,-11351000,20831000,-23103000,-31629000,1075000,-10610000,1343000,- -,-26452000,-13629000,-18784000,2573000,- -,38667000
80,Accounts Payable,- -,- -,-3400000,-6800000,-3100000,-14100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,34600000,44700000,55600000,127400000,131900000,156700000,150600000,- -,138800000,140600000,159000000,189600000,183400000,- -,213400000,240959000,224200000,197800000,247800000,228842000,- -,289353000,238578000,221323000,236630000,224573000,256811000,273300000,257900000,240881000,- -,245391000,254221000,335292000,284860000,- -,302094000
82,Other Non-Cash Items,- -,- -,-2200000,-4300000,-26900000,-67900000,-7600000,-50100000,5600000,- -,28000000,9000000,45100000,-42700000,-3000000,- -,-22100000,-13264000,42293000,134954000,-50053000,61397000,- -,-78937000,99866000,74874000,8670000,29999000,-85355000,6488000,-7396000,7450000,- -,-5296000,46849000,-80076000,62971000,- -,143684000
