,https://roic.ai/company/CHCR,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/22872/000095014402009237/0000950144-02-009237-index.html,https://www.sec.gov/Archives/edgar/data/22872/000095014403010656/0000950144-03-010656-index.htm,https://www.sec.gov/Archives/edgar/data/22872/000095014404008634/0000950144-04-008634-index.htm,https://www.sec.gov/Archives/edgar/data/22872/000095014405009030/0000950144-05-009030-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/22872/000119312509066254/0001193125-09-066254-index.html,https://www.sec.gov/Archives/edgar/data/22872/000119312510084447/0001193125-10-084447-index.htm,https://www.sec.gov/Archives/edgar/data/22872/000119312511085031/0001193125-11-085031-index.htm,https://www.sec.gov/Archives/edgar/data/22872/000119312512143913/0001193125-12-143913-index.htm,https://www.sec.gov/Archives/edgar/data/22872/000119312513153233/0001193125-13-153233-index.htm,- -,https://www.sec.gov/Archives/edgar/data/22872/000161577418004065/0001615774-18-004065-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/22872/000161577419001214/0001615774-19-001214-index.htm,https://www.sec.gov/Archives/edgar/data/22872/000161577419001214/0001615774-19-001214-index.html,https://www.sec.gov/Archives/edgar/data/22872/000173112220000362/0001731122-20-000362-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,42800000,10200000,9800000,7600000,3900000,3600000,2000000,1100000,1781000,1542000,4433000,3991000,6016000,8026000,2518000,2891000,5340000,3590000,3209000,3695000,5463000,6313000,1136000,694000,563000,832000,920000,324324,11533,13846,194050,18200,25036,69327
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,42800000,10200000,9800000,7600000,3900000,3600000,2000000,1100000,1781000,1542000,4433000,3991000,6016000,8026000,2518000,2891000,5340000,3590000,3209000,3706000,5464000,6313000,1136000,694000,563000,832000,920000,324324,11533,13846,194050,18200,25036,69327
34,Net Receivables,55900000,50200000,56900000,55400000,33000000,23600000,16400000,7700000,5848000,6079000,3954000,4474000,11670000,3347000,13293000,3753000,3447000,429000,744000,485000,153000,35000,1581000,5000,20000,834000,4546000,711478,271459,19700,- -,961,835138,399913
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,6939000,- -,1233000,2797000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,9400000,9500000,5300000,21200000,40900000,18900000,25500000,10200000,508000,391000,352000,259000,235000,11083000,1591000,865000,591000,605000,524000,481000,1065000,407000,336000,741000,410000,699000,181000,118165,122995,8748,97582,62833,18748,570364
37,Total Current Assets,108100000,69900000,72000000,84200000,77800000,46100000,43900000,19000000,15076000,8012000,9972000,11521000,17921000,22456000,17402000,7509000,9378000,4624000,4477000,4672000,6682000,6755000,3053000,1440000,993000,2365000,5647000,1153967,405987,42294,291632,81994,878922,1039604
38,PP&E,85100000,119000000,131800000,97100000,33100000,34500000,4300000,18200000,15988000,15853000,6273000,6318000,8953000,1970000,1086000,555000,291000,230000,390000,384000,251000,333000,235000,311000,782000,392000,172000,26652,1652,2094,1496,898,299,148119
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1567000,1187000,1080000,- -,- -,- -,- -,- -,- -,991000,991000,991000,12175000,12150000,12150000,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,9300000,7900000,7400000,7600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1008000,936000,991000,991000,991000,991000,- -,- -,- -,1042000,535000,28000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,9300000,7900000,7400000,7600000,- -,- -,- -,- -,- -,- -,- -,1567000,1187000,1080000,1008000,936000,991000,991000,991000,991000,991000,991000,991000,13217000,12685000,12178000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,18000000,19000000,18700000,20600000,30700000,18500000,22200000,9800000,2162000,2136000,8873000,5340000,2344000,3560000,1779000,754000,739000,534000,367000,401000,258000,153000,326000,255000,250000,381000,305000,44582,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,112400000,145900000,157900000,125300000,63800000,53000000,26500000,28000000,18150000,17989000,15146000,13225000,12484000,6610000,3873000,2245000,2021000,1755000,1748000,1776000,1500000,1477000,1552000,13783000,13717000,12951000,477000,71234,1652,2094,1496,898,299,148119
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,220500000,215800000,229900000,209500000,141600000,99100000,70400000,47000000,33226000,26001000,25118000,24746000,30405000,29066000,21275000,9754000,11399000,6379000,6225000,6448000,8182000,8232000,4605000,15223000,14710000,15316000,6124000,1225201,407639,44388,293128,82892,879221,1187723
48,Accounts Payable,- -,- -,- -,- -,- -,- -,16300000,15700000,13776000,10235000,10714000,5152000,5789000,4552000,4028000,3302000,2891000,1836000,1720000,1310000,1198000,1918000,540000,864000,1013000,1323000,1110000,641090,543047,819855,876157,946841,700067,99441
49,Short-Term Debt,1100000,1100000,8400000,24200000,1100000,13100000,15000000,2100000,154000,3285000,2464000,46000,2000,3000,- -,- -,- -,- -,- -,- -,- -,- -,64000,4798000,3549000,5137000,7306000,8757803,8628197,9433048,10396718,11481718,10824962,12808770
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000,118000,238000,- -,- -,- -,- -,- -,- -,- -,2927,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,27800000,28500000,28600000,23100000,26800000,21700000,700000,700000,734000,9834000,16966000,18710000,22899000,27006000,25619000,15977000,18762000,7235000,6855000,6951000,5364000,5558000,8159000,9600000,14762000,21435000,18919000,7537718,8181737,10389152,14154019,18678456,15257431,16534446
53,Total Current Liabilities,28900000,29600000,37000000,47300000,27900000,34800000,32000000,18500000,14664000,23354000,30144000,23908000,28690000,31561000,29647000,19279000,21653000,9071000,8575000,8261000,6562000,7476000,8763000,15262000,19324000,27895000,27335000,16936611,17352981,20642055,25426894,31107015,26782460,29442657
54,Long-Term Debt,55700000,95600000,102400000,72200000,86600000,28100000,10400000,10700000,10477000,5077000,24000,2712000,2704000,2253000,2244000,2244000,2244000,2244000,2244000,2244000,2244000,2244000,2444000,200000,1204000,3903000,1732000,90000,90000,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2986000,1503000,749000,696000,297000,166000,56000,9000,21000,54000,131000,60000,119000,2644000,2589000,2584000,923000,- -,- -,3,-89,- -,- -,- -,- -,146880
58,Total Non-Current Liabilities,55700000,95600000,102400000,73300000,86600000,28100000,10400000,10700000,13463000,6580000,773000,3408000,3001000,2419000,2300000,2253000,2265000,2298000,2375000,2304000,2363000,4888000,5033000,2784000,2127000,3903000,1732000,90003,89911,- -,- -,- -,- -,146880
59,Other Liabilities,115100000,196400000,213800000,156300000,180100000,63400000,24400000,26200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000,77000,186000,- -,- -,- -,- -,- -,- -,- -,- -,260791
61,Total Liabilities,88300000,130400000,148400000,130300000,121400000,70100000,46000000,34000000,28127000,29934000,30917000,27316000,31691000,33980000,31947000,21532000,23918000,11369000,10950000,10565000,8925000,12364000,13796000,18046000,21451000,31798000,29067000,17026614,17442892,20642055,25426894,31107015,26782460,29589537
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,720000,720000,720000,720000,720000,522000,522000,521700,521700,- -,- -,- -,10,10
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,2199000,25000,28000,34000,34000,38000,38000,38000,39000,39000,47000,56000,59000,77000,83000,399000,544000,592000,594000,630637,630637,630637,630637,630637,666617,716617
64,Retained Earnings,54800000,62200000,66900000,64400000,5100000,-11000000,-15500000,-27100000,-34983000,-46516000,-50758000,-53586000,-52697000,-56746000,-62512000,-63629000,-64399000,-56941000,-57718000,-57986000,-58167000,-62566000,-67918000,-19078000,-28963000,-43051000,-50041000,-44188816,-45422656,-48985070,-53521169,-59411526,-54581873,-57837687
65,Other Comprehensive Income/Loss,-15400000,-20900000,-27500000,-27100000,-8800000,-11400000,-2600000,-13200000,-13338000,-13074000,-3590000,-3820000,-4373000,-2326000,-2405000,-2847000,-3189000,-16000,-4000,-2741000,- -,- -,-1342000,-1305000,-1567000,-1791000,-2005000,- -,- -,-898,-1496,-2094,-2693,-3302
66,Other Total Stockholders Equity,92800000,44100000,42100000,41900000,23900000,51400000,42500000,53300000,51221000,55632000,48521000,54802000,55750000,54120000,54207000,54660000,55030000,51928000,52950000,56554000,56645000,57637000,59261000,16119000,22525000,27246000,27987000,27235066,27235066,27757664,27758262,27758860,28014700,28722548
67,Total Stockholders Equity,132200000,85400000,81500000,79200000,20200000,29000000,24400000,13000000,5099000,-3933000,-5799000,-2570000,-1286000,-4914000,-10672000,-11778000,-12519000,-4990000,-4725000,-4117000,-743000,-4132000,-9196000,-3145000,-6741000,-16482000,-22943000,-15801413,-17035253,-20597667,-25133766,-31024123,-25903239,-28401814
68,Total Liabilities And Stockholders Equity,220500000,215800000,229900000,209500000,141600000,99100000,70400000,47000000,33226000,26001000,25118000,24746000,30405000,29066000,21275000,9754000,11399000,6379000,6225000,6448000,8182000,8232000,4600000,14901000,14710000,15316000,6124000,1225201,407639,44388,293128,82892,879221,1187723
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,322000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,220500000,215800000,229900000,209500000,141600000,99100000,70400000,47000000,33226000,26001000,25118000,24746000,30405000,29066000,21275000,9754000,11399000,6379000,6225000,6448000,8182000,8232000,4605000,15223000,14710000,15316000,6124000,1225201,407639,44388,293128,82892,879221,1187723
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/22872/000095014402009237/0000950144-02-009237-index.html,https://www.sec.gov/Archives/edgar/data/22872/000095014403010656/0000950144-03-010656-index.htm,https://www.sec.gov/Archives/edgar/data/22872/000095014404008634/0000950144-04-008634-index.htm,https://www.sec.gov/Archives/edgar/data/22872/000095014405009030/0000950144-05-009030-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/22872/000119312509066254/0001193125-09-066254-index.html,https://www.sec.gov/Archives/edgar/data/22872/000119312510084447/0001193125-10-084447-index.htm,https://www.sec.gov/Archives/edgar/data/22872/000119312511085031/0001193125-11-085031-index.htm,https://www.sec.gov/Archives/edgar/data/22872/000119312512143913/0001193125-12-143913-index.htm,https://www.sec.gov/Archives/edgar/data/22872/000119312513153233/0001193125-13-153233-index.htm,- -,https://www.sec.gov/Archives/edgar/data/22872/000161577418004065/0001615774-18-004065-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/22872/000161577419001214/0001615774-19-001214-index.htm,https://www.sec.gov/Archives/edgar/data/22872/000161577419001214/0001615774-19-001214-index.html,https://www.sec.gov/Archives/edgar/data/22872/000173112220000362/0001731122-20-000362-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,-4600000,-11600000,-7852000,-11533000,-4242000,-2797000,1971000,-3994000,-5766000,-1117000,-770000,7458000,-390000,-268000,-181000,-3463000,-5352000,-19809000,-10470000,-14088000,-6990000,5852281,-1233840,-3562414,-4536099,-5890357,4829653,-3255814
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,-2600000,-2900000,1762000,1797000,2099000,714000,827000,1037000,794000,656000,342000,195000,107000,214000,29000,154000,153000,680000,769000,839000,249000,33148,25000,898,598,598,599,98299
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000,8838000,2220000,3005000,601000,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,-7500000,-2400000,-2310000,992000,436000,-942000,-4557000,-1354000,-440000,186000,2970000,-1207000,-969000,-13000,-1703000,3983000,-406000,2871000,3934000,5354000,-6051000,3792389,1025656,2850319,3752035,4628909,1016740,279556
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-3600000,2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1546000,607000,-16000,-823000,-3740000,3021868,440018,251759,19700,-961,-23929,-4879
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-1700000,-4900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,472000,-282000,-422816,-98043,276808,56302,70684,528226,-522191
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1653000,-1915000,-801000,- -,- -,- -,- -,- -,- -,- -,-39000,-129000,27000,-1931000,-131000,76000,107295,44582,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,5100000,6700000,1239000,880000,6139000,4170000,-108000,2113000,99000,187000,-55000,-8131000,-4000,-191000,201000,132000,9000,871000,592000,881000,12543000,-10787728,56632,-773402,- -,- -,-7531140,391310
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,-9600000,-10200000,-7161000,-7864000,4432000,1145000,-1867000,-2198000,-5313000,-88000,2487000,-1685000,-1256000,-258000,-1654000,806000,-5466000,-6549000,-2955000,-4009000,352000,-1109910,-126552,-1484599,-783466,-1260850,-1684148,-2486649
84,CAPEX,- -,- -,- -,- -,- -,- -,-700000,-500000,-383000,-362000,-814000,-502000,-1413000,-768000,-107000,-48000,-43000,-77000,-210000,-45000,-25000,-58000,-48000,-167000,-294000,-39000,-3000,- -,- -,-1341,- -,- -,- -,-1549
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-978000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,27000,14000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,24500000,22800000,10357000,3154000,2101000,1557000,5013000,4820000,164000,509000,4000,7000,139000,- -,- -,25000,2000,- -,-135000,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,23800000,22300000,9974000,2792000,1287000,1055000,3600000,4052000,57000,461000,-39000,-70000,-71000,-45000,-25000,- -,-19000,-1131000,-429000,-39000,-3000,- -,- -,-1341,- -,- -,- -,-1549
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-2158000,-725000,-4566000,-4165000,-66000,-2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65000,-1703000,-401000,-378000,-1068381,-1084595,-152765,-37330,-485000,-81779,-25000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,2503000,2376000,1523000,358000,158000,- -,- -,3000,18000,979000,841000,3502000,19000,158000,4796000,1450000,1018000,- -,- -,- -,- -,- -,- -,- -,268239
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150000,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-15800000,-13100000,- -,3055000,-638000,- -,- -,- -,-2000,- -,-2000,-13000,-33000,-52000,-55000,-55000,150000,3140000,3506000,3850000,117000,1582615,898354,1641018,1001000,1570000,1772763,2289250
