,https://roic.ai/company/RCM,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.02,-0.18,0.16,0.13,0.29,-1.21,1.34,-0.83,-0.87,0.65,-0.75,-0.60,-0.08,0.33,-1.86
27,Weighted Average Shares Outstanding,36943691,36943691,82565133,70732791,96964661,98602099,95687940,95760762,96806885,100160206,102062051,108175159,111505993,115729645,266183565
28,Weighted Average Shares Outstanding Diluted,44371648,44371648,89795106,94206677,101151273,98602099,96845664,95760762,96806885,100160206,102062051,108175159,111505993,174573270,266183565
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1472595/000095012311026904/0000950123-11-026904-index.htm,https://www.sec.gov/Archives/edgar/data/1472595/000147259512000004/0001472595-12-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/1472595/000119312514457093/0001193125-14-457093-index.htm,https://www.sec.gov/Archives/edgar/data/1472595/000147259515000051/december31201410k_doc.htm,https://www.sec.gov/Archives/edgar/data/1472595/000147259516000160/0001472595-16-000160-index.html,https://www.sec.gov/Archives/edgar/data/1472595/000147259517000023/0001472595-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/1472595/000147259518000023/0001472595-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/1472595/000162828019001770/0001628280-19-001770-index.html,https://www.sec.gov/Archives/edgar/data/1472595/000162828020001837/0001628280-20-001837-index.html,https://www.sec.gov/Archives/edgar/data/1472595/000162828021002423/0001628280-21-002423-index.htm,https://www.sec.gov/Archives/edgar/data/1472595/000162828022002948/0001628280-22-002948-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,34745000,51656000,43659000,155573000,196725000,176956000,228891000,145167000,103497000,181176000,164900000,62800000,92000000,173800000,130100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,1023000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,34745000,51656000,43659000,155573000,196725000,176956000,228891000,145167000,104520000,181176000,164900000,62800000,92000000,173800000,130100000
34,Net Receivables,16838000,21467000,28792000,55177000,95399000,25859000,24557000,4438000,10194000,5816000,23600000,101400000,88200000,122200000,157400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1375000,2405000,5620000,14995000,13462000,274167000,121696000,80849000,12026000,17622000,13800000,32600000,36500000,59400000,77200000
37,Total Current Assets,52958000,75528000,78071000,225745000,305586000,476982000,375144000,230454000,126740000,204614000,202300000,196800000,216700000,355400000,364700000
38,PP&E,4566000,8913000,12901000,21698000,25073000,21354000,16275000,14594000,27217000,32789000,48300000,95200000,194800000,151500000,143600000
39,Goodwill,1468000,1468000,1468000,1468000,1468000,- -,- -,- -,- -,- -,- -,254800000,253200000,375300000,554700000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180500000,164700000,171100000,265400000
41,Intangible Assets,1468000,1468000,1468000,1468000,1468000,605000,579000,162000,4007000,- -,- -,435300000,417900000,546400000,820100000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,7739000,11405000,- -,53436000,112993000,201163000,300825000,169916000,70500000,57500000,64200000,73700000,51800000
44,Other Non-Current Assets,1866000,995000,3293000,2303000,32065000,5000000,5000000,- -,1500000,7740000,14900000,22700000,35500000,62000000,69100000
45,Total Non-Current Assets,7900000,11376000,25401000,36874000,58606000,80395000,134847000,215919000,333549000,210445000,133700000,610700000,712400000,833600000,1084600000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,60858000,86904000,103472000,262619000,364192000,557377000,509991000,446373000,460289000,415059000,336000000,807500000,929100000,1189000000,1449300000
48,Accounts Payable,22146000,38205000,11967000,30073000,15210000,900000,4254000,12488000,5306000,7947000,7200000,9900000,20200000,18200000,17700000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,16300000,46400000,39300000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,12712000,22987000,22610000,21857000,24137000,604888000,255861000,151921000,131860000,83888000,28200000,65800000,48100000,32000000,49400000
52,Other Current Liabilities,10090000,17789000,47616000,64058000,75522000,101941000,132689000,98740000,95461000,43274000,54500000,117800000,147900000,109700000,147800000
53,Total Current Liabilities,44948000,78981000,82193000,115988000,114869000,707729000,392804000,263149000,232627000,135109000,89900000,196200000,232500000,206300000,254200000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,356000000,337700000,590700000,808300000
55,Deferred Revenue,- -,- -,- -,- -,7055000,77443000,195392000,317065000,432477000,111032000,11500000,17700000,18600000,16300000,18700000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,3912000,4179000,8405000,7407000,8405000,8498000,9659000,11900000,22900000,93100000,287800000,21400000
58,Total Non-Current Liabilities,- -,- -,- -,3912000,11234000,85848000,202799000,325470000,440975000,120691000,23400000,396600000,449400000,894800000,848400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95500000,83200000,66900000
61,Total Liabilities,44948000,78981000,82193000,119900000,126103000,793577000,595603000,588619000,673602000,255800000,113300000,592800000,681900000,1101100000,1102600000
62,Preferred Stock,13000,13000,13000,- -,- -,- -,- -,- -,- -,171593000,189300000,208400000,229100000,251500000,- -
63,Common Stock,92000,95000,95000,948000,987000,1000000,1005000,1029000,1133000,1164000,1200000,1200000,1300000,1400000,3000000
64,Retained Earnings,-16246000,-30101000,-30452000,-17834000,11330000,-447980000,-317897000,-397517000,-481773000,-304702000,-244500000,-289800000,-277800000,-161500000,-64300000
65,Other Comprehensive Income/Loss,-2058000,-4243000,-8188000,-14342000,-1000000,-1000000,-1000000,-2000000,-2000000,-3000000,-2000000,-4000000,-5000000,-6500000,-5300000
66,Other Total Stockholders Equity,34109000,42159000,59811000,173947000,226772000,211780000,232280000,256242000,269327000,122611000,89400000,90500000,70500000,3000000,413300000
67,Total Stockholders Equity,15910000,7923000,21279000,142719000,238089000,-236200000,-85612000,-142246000,-213313000,-12334000,33400000,6300000,18100000,87900000,346700000
68,Total Liabilities And Stockholders Equity,60858000,86904000,103472000,262619000,364192000,557377000,509991000,446373000,460289000,243466000,146700000,599100000,700000000,1189000000,1449300000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,171593000,189300000,208400000,229100000,- -,- -
70,Total Liabilities & Equity,60858000,86904000,103472000,262619000,364192000,557377000,509991000,446373000,460289000,415059000,336000000,807500000,929100000,1189000000,1449300000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1472595/000095012311026904/0000950123-11-026904-index.htm,https://www.sec.gov/Archives/edgar/data/1472595/000147259512000004/0001472595-12-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/1472595/000119312514457093/0001193125-14-457093-index.htm,https://www.sec.gov/Archives/edgar/data/1472595/000147259515000051/december31201410k_doc.htm,https://www.sec.gov/Archives/edgar/data/1472595/000147259516000160/0001472595-16-000160-index.html,https://www.sec.gov/Archives/edgar/data/1472595/000147259517000023/0001472595-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/1472595/000147259518000023/0001472595-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/1472595/000162828019001770/0001628280-19-001770-index.html,https://www.sec.gov/Archives/edgar/data/1472595/000162828020001837/0001628280-20-001837-index.html,https://www.sec.gov/Archives/edgar/data/1472595/000162828021002423/0001628280-21-002423-index.htm,https://www.sec.gov/Archives/edgar/data/1472595/000162828022002948/0001628280-22-002948-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,774000,1243000,14590000,12618000,29164000,-119740000,130083000,-79620000,-84256000,177071000,-58800000,-45300000,12000000,117100000,97200000
74,Depreciation and Amortization,1307000,2540000,3921000,6157000,8312000,6355000,6823000,6047000,8462000,10198000,16300000,38800000,55700000,68700000,77500000
75,Deferred Income Tax,- -,- -,-3552000,-3736000,-8751000,-76887000,79356000,-49227000,-52690000,121834000,29700000,-14000000,-5100000,-1200000,23000000
76,Stock Based Compensation,934000,3551000,6917000,16549000,25196000,25298000,25025000,27181000,29236000,29834000,10700000,18400000,18600000,24100000,74300000
77,Change in Working Capital,3739000,-11463000,-669000,113879000,80960000,-421464000,213087000,-15035000,-73192000,175392000,42895000,-111800000,-16400000,164900000,-16500000
78,Accounts Receivable,-15091000,-4309000,-7313000,-26374000,-40221000,-8926000,658000,20548000,-5709000,4373000,-13000000,-39100000,11500000,-56500000,-33200000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,8286000,16074000,-6113000,18093000,-14818000,-358000,3378000,8251000,-7162000,1197000,-300000,-3000000,9900000,-3400000,100000
81,Other Working Capital,8010000,-3453000,-4122000,109757000,190717000,-230747000,-17660000,-32695000,-105887000,69505000,112400000,600000,-15800000,149100000,60600000
82,Other Non-Cash Items,5081000,43654000,-6108000,-113471000,-118475000,615604000,-399951000,33418000,148628000,-601189000,-19895000,132200000,49100000,-311800000,9300000
83,Cash Provided by Operating Activities,11835000,39525000,15099000,31996000,16406000,29166000,54423000,-77236000,-23812000,-86860000,20900000,18300000,113900000,61800000,264800000
84,CAPEX,-3476000,-6831000,-7862000,-15025000,-13358000,-10544000,-1877000,-6034000,-21275000,-12635000,-33600000,-33500000,-61000000,-49300000,-51700000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-463000000,- -,-67700000,-294700000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1023000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1023000,- -,- -,- -,- -,- -
88,Other Investing Activites,205000,698000,-3730000,-7199000,-3903000,- -,- -,- -,- -,- -,- -,200000,- -,- -,6000000
89,Cash Used for Investing Activites,-3271000,-6133000,-7244000,-16869000,-11652000,-10544000,-1877000,-6034000,-22298000,-11612000,-33600000,-496300000,-61000000,-117000000,-340400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1300000,-409800000,-44200000,-598900000
91,Common Stock Issued,6000000,151000,214000,1253000,18148000,- -,- -,- -,- -,- -,- -,19200000,- -,- -,- -
92,Common Stock Repurchased,-656000,-1510000,-13000,- -,- -,-50160000,-161000,-370000,-1607000,-2439000,-2500000,- -,- -,-71900000,-177800000
93,Dividends Paid,- -,-15001000,-14941000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,45000,57000,-1257000,95813000,18763000,11799000,61000,176000,6547000,178834000,-1700000,359500000,384500000,254000000,808100000
95,Cash Used/Provided by Financing Activities,5389000,-16303000,-15997000,97066000,36911000,-38361000,-100000,-194000,4940000,176395000,-4200000,377400000,-25300000,137900000,31400000
96,Effect of Forex Changes on Cash,10000,-178000,145000,-279000,-513000,-30000,-511000,-260000,-500000,-244000,600000,-700000,-200000,-400000,-500000
97,Net Change In Cash,13963000,16911000,-7997000,111914000,41152000,-19769000,51935000,-83724000,-41670000,77679000,-16300000,-101300000,27400000,82300000,-44700000
98,Cash at the End of Period,34745000,51656000,43659000,155573000,196725000,176956000,228891000,145167000,103497000,181176000,164900000,65100000,92500000,174800000,130100000
99,Cash at the Beginning of Period,20782000,34745000,51656000,43659000,155573000,196725000,176956000,228891000,145167000,103497000,181200000,166400000,65100000,92500000,174800000
100,Free Cash Flow,8359000,32694000,7237000,16971000,3048000,18622000,52546000,-83270000,-45087000,-99495000,-12700000,-15200000,52900000,12500000,213100000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1472595/000095012311026904/0000950123-11-026904-index.htm,https://www.sec.gov/Archives/edgar/data/1472595/000147259512000004/0001472595-12-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/1472595/000119312514457093/0001193125-14-457093-index.htm,https://www.sec.gov/Archives/edgar/data/1472595/000147259515000051/december31201410k_doc.htm,https://www.sec.gov/Archives/edgar/data/1472595/000147259516000160/0001472595-16-000160-index.html,https://www.sec.gov/Archives/edgar/data/1472595/000147259517000023/0001472595-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/1472595/000147259518000023/0001472595-18-000023-index.html,https://www.sec.gov/Archives/edgar/data/1472595/000162828019001770/0001628280-19-001770-index.html,https://www.sec.gov/Archives/edgar/data/1472595/000162828020001837/0001628280-20-001837-index.html,https://www.sec.gov/Archives/edgar/data/1472595/000162828021002423/0001628280-21-002423-index.htm,https://www.sec.gov/Archives/edgar/data/1472595/000162828022002948/0001628280-22-002948-index.htm
102,false,,,,,,,,,,,,,,,
