,https://roic.ai/company/TDC,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/816761/000119312508045270/0001193125-08-045270-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312509042599/0001193125-09-042599-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312510043063/0001193125-10-043063-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312511051934/0001193125-11-051934-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312512087334/0001193125-12-087334-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312513082775/0001193125-13-082775-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312514071369/0001193125-14-071369-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676115000008/0000816761-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676116000045/0000816761-16-000045-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676117000010/0000816761-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676118000007/0000816761-18-000007-index.htm,- -,https://www.sec.gov/Archives/edgar/data/816761/000081676120000008/0000816761-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676121000009/0000816761-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676122000009/0000816761-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,270000000,402000000,661000000,883000000,772000000,729000000,695000000,834000000,839000000,974000000,1089000000,715000000,494000000,529000000,592000000
32,Short-Term Investments,- -,- -,- -,- -,- -,40000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,270000000,442000000,661000000,883000000,772000000,729000000,695000000,834000000,839000000,974000000,1089000000,715000000,494000000,529000000,592000000
34,Net Receivables,- -,- -,- -,379000000,507000000,451000000,387000000,402000000,494000000,668000000,717000000,619000000,580000000,548000000,554000000,588000000,398000000,405000000,336000000
35,Inventory,- -,- -,- -,39000000,51000000,44000000,47000000,65000000,61000000,47000000,56000000,38000000,49000000,34000000,30000000,28000000,31000000,29000000,26000000
36,Other Current Assets,- -,- -,- -,84000000,45000000,77000000,57000000,56000000,85000000,90000000,95000000,81000000,266000000,65000000,77000000,97000000,91000000,81000000,152000000
37,Total Current Assets,- -,- -,- -,502000000,873000000,1014000000,1152000000,1406000000,1412000000,1534000000,1563000000,1572000000,1734000000,1621000000,1750000000,1428000000,1014000000,1044000000,1106000000
38,PP&E,- -,- -,- -,64000000,94000000,88000000,95000000,105000000,120000000,150000000,161000000,159000000,143000000,138000000,162000000,295000000,401000000,377000000,314000000
39,Goodwill,- -,- -,- -,90000000,90000000,110000000,109000000,136000000,742000000,932000000,946000000,948000000,380000000,390000000,399000000,395000000,396000000,401000000,396000000
40,Intangible Assets,- -,- -,- -,59000000,61000000,80000000,102000000,116000000,303000000,359000000,343000000,335000000,212000000,198000000,144000000,87000000,36000000,- -,- -
41,Intangible Assets,- -,- -,- -,149000000,151000000,190000000,211000000,252000000,1045000000,1291000000,1289000000,1283000000,592000000,588000000,543000000,482000000,432000000,401000000,396000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78000000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,265000000,140000000,109000000,84000000,59000000,28000000,29000000,24000000,20000000,41000000,49000000,57000000,67000000,87000000,222000000,202000000
44,Other Non-Current Assets,- -,- -,- -,23000000,36000000,29000000,27000000,61000000,11000000,62000000,58000000,20000000,20000000,17000000,44000000,87000000,123000000,149000000,151000000
45,Total Non-Current Assets,- -,- -,- -,501000000,421000000,416000000,417000000,477000000,1204000000,1532000000,1532000000,1560000000,796000000,792000000,806000000,931000000,1043000000,1149000000,1063000000
46,Other Assets,798000000,871000000,911000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1863000000,- -,- -,- -
47,Total Assets,798000000,871000000,911000000,1003000000,1294000000,1430000000,1569000000,1883000000,2616000000,3066000000,3095000000,3132000000,2530000000,2413000000,2556000000,2360000000,2057000000,2193000000,2169000000
48,Accounts Payable,- -,- -,- -,67000000,120000000,99000000,102000000,102000000,97000000,141000000,114000000,126000000,96000000,103000000,74000000,141000000,66000000,50000000,67000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,273000000,210000000,30000000,300000000,36000000,100000000,134000000,177000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,34000000,40000000,35000000,28000000,30000000,34000000,31000000,33000000,- -
51,Deferred Revenue,- -,- -,- -,- -,246000000,255000000,256000000,263000000,339000000,375000000,390000000,370000000,367000000,369000000,414000000,490000000,472000000,499000000,552000000
52,Other Current Liabilities,- -,- -,- -,326000000,206000000,186000000,185000000,204000000,259000000,290000000,246000000,226000000,280000000,227000000,275000000,342000000,248000000,269000000,237000000
53,Total Current Liabilities,- -,- -,- -,393000000,572000000,540000000,543000000,569000000,695000000,806000000,776000000,995000000,953000000,729000000,1063000000,1009000000,886000000,952000000,1033000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,290000000,274000000,248000000,195000000,570000000,538000000,478000000,508000000,454000000,411000000,395000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,25000000,18000000,15000000,14000000,85000000,105000000,61000000,38000000,27000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,83000000,87000000,86000000,28000000,33000000,4000000,3000000,6000000,6000000,7000000
57,Other Non-Current Liabilities,- -,- -,- -,19000000,91000000,113000000,116000000,125000000,137000000,94000000,103000000,131000000,115000000,128000000,258000000,240000000,388000000,386000000,247000000
58,Total Non-Current Liabilities,- -,- -,- -,19000000,91000000,113000000,116000000,125000000,427000000,481000000,463000000,430000000,728000000,713000000,825000000,856000000,909000000,841000000,676000000
59,Other Liabilities,374000000,427000000,394000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000000,188000000,188000000,160000000
61,Total Liabilities,374000000,427000000,394000000,412000000,663000000,653000000,659000000,694000000,1122000000,1287000000,1239000000,1425000000,1681000000,1442000000,1888000000,1865000000,1795000000,1793000000,1709000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,2000000,2000000,2000000,2000000,2000000,2000000,2000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,- -,79000000,329000000,583000000,884000000,1237000000,1656000000,2033000000,656000000,-204000000,-161000000,-579000000,-823000000,-1143000000,-1114000000,-1211000000
65,Other Comprehensive Income/Loss,- -,- -,- -,18000000,-5000000,11000000,14000000,12000000,16000000,29000000,33000000,-4000000,-76000000,-89000000,-74000000,-101000000,-141000000,-143000000,-138000000
66,Other Total Stockholders Equity,424000000,444000000,517000000,573000000,555000000,435000000,311000000,291000000,239000000,92000000,-211000000,1054000000,1128000000,1220000000,1320000000,1418000000,1545000000,1656000000,- -
67,Total Stockholders Equity,424000000,444000000,517000000,591000000,631000000,777000000,910000000,1189000000,1494000000,1779000000,1857000000,1707000000,849000000,971000000,668000000,495000000,262000000,400000000,460000000
68,Total Liabilities And Stockholders Equity,798000000,871000000,911000000,1003000000,1294000000,1430000000,1569000000,1883000000,2616000000,3066000000,3096000000,3132000000,2530000000,2413000000,2556000000,2360000000,2057000000,2193000000,2169000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,798000000,871000000,911000000,1003000000,1294000000,1430000000,1569000000,1883000000,2616000000,3066000000,3095000000,3132000000,2530000000,2413000000,2556000000,2360000000,2057000000,2193000000,2169000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/816761/000119312508045270/0001193125-08-045270-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312509042599/0001193125-09-042599-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312510043063/0001193125-10-043063-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312511051934/0001193125-11-051934-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312512087334/0001193125-12-087334-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312513082775/0001193125-13-082775-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312514071369/0001193125-14-071369-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676115000008/0000816761-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676116000045/0000816761-16-000045-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676117000010/0000816761-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676118000007/0000816761-18-000007-index.htm,- -,https://www.sec.gov/Archives/edgar/data/816761/000081676120000008/0000816761-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676121000009/0000816761-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676122000009/0000816761-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,206000000,192000000,200000000,250000000,254000000,301000000,353000000,419000000,377000000,367000000,-214000000,125000000,-67000000,30000000,-20000000,129000000,147000000
74,Depreciation and Amortization,- -,- -,55000000,55000000,68000000,60000000,63000000,60000000,102000000,126000000,147000000,169000000,170000000,128000000,138000000,130000000,150000000,172000000,149000000
75,Deferred Income Tax,- -,- -,-18000000,-14000000,80000000,38000000,41000000,41000000,71000000,77000000,18000000,-2000000,-39000000,-3000000,-34000000,-18000000,-3000000,-118000000,14000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,23000000,26000000,35000000,43000000,49000000,50000000,56000000,62000000,68000000,65000000,83000000,101000000,112000000
77,Change in Working Capital,- -,- -,-19000000,109000000,192000000,173000000,135000000,228000000,-120000000,11000000,59000000,-210000000,204000000,111000000,-205000000,-268000000,-291000000,-36000000,41000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-5000000,-10000000,-12000000,7000000,-2000000,-18000000,3000000,14000000,-9000000,18000000,-11000000,14000000,3000000,2000000,-3000000,2000000,3000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,109000000,301000000,474000000,609000000,837000000,717000000,728000000,787000000,577000000,781000000,892000000,687000000,419000000,128000000,92000000,26000000
82,Other Non-Cash Items,- -,- -,-32000000,-123000000,-153000000,-81000000,-61000000,-243000000,72000000,-101000000,-140000000,306000000,224000000,23000000,424000000,425000000,229000000,19000000,- -
83,Cash Provided by Operating Activities,- -,- -,192000000,219000000,387000000,440000000,455000000,413000000,513000000,575000000,510000000,680000000,401000000,446000000,324000000,364000000,148000000,267000000,463000000
84,CAPEX,- -,- -,-55000000,-68000000,-100000000,-73000000,-88000000,-83000000,-110000000,-148000000,-138000000,-129000000,-120000000,-118000000,-87000000,-160000000,-59000000,-51000000,-31000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-9000000,- -,-722000000,-274000000,-36000000,-69000000,-17000000,76000000,-21000000,-3000000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-90000000,-25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,50000000,65000000,- -,- -,- -,- -,- -,85000000,2000000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-45000000,-69000000,-4000000,-23000000,- -,-62000000,- -,- -,- -,- -,- -,5000000,- -,-7000000,- -,-7000000,-31000000
89,Cash Used for Investing Activites,- -,- -,-63000000,-89000000,-104000000,-136000000,-57000000,-145000000,-832000000,-422000000,-174000000,-198000000,-52000000,-35000000,-108000000,-163000000,-59000000,-51000000,-31000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-300000000,-11000000,-15000000,-26000000,-467000000,-210000000,-210000000,-285000000,-52000000,-95000000,-136000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-176000000,-174000000,-88000000,-127000000,-277000000,-382000000,-551000000,-657000000,-82000000,-351000000,-300000000,-300000000,-100000000,-244000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-129000000,-130000000,-14000000,9000000,30000000,41000000,639000000,92000000,35000000,251000000,800000000,30000000,452000000,31000000,44000000,9000000,24000000
95,Cash Used/Provided by Financing Activities,- -,- -,-129000000,-130000000,-14000000,-167000000,-144000000,-47000000,212000000,-196000000,-362000000,-326000000,-324000000,-262000000,-109000000,-554000000,-308000000,-186000000,-356000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,1000000,-5000000,5000000,1000000,-4000000,- -,-8000000,-17000000,-20000000,-14000000,8000000,-20000000,-1000000,7000000,-14000000
97,Net Change In Cash,- -,- -,- -,- -,- -,132000000,259000000,222000000,-111000000,-43000000,-34000000,139000000,5000000,135000000,115000000,-373000000,-220000000,37000000,62000000
98,Cash at the End of Period,- -,- -,- -,- -,270000000,402000000,661000000,883000000,772000000,729000000,695000000,834000000,839000000,974000000,1089000000,716000000,496000000,533000000,595000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,270000000,402000000,661000000,883000000,772000000,729000000,695000000,834000000,839000000,974000000,1089000000,716000000,496000000,533000000
100,Free Cash Flow,- -,- -,137000000,151000000,287000000,367000000,367000000,330000000,403000000,427000000,372000000,551000000,281000000,328000000,237000000,204000000,89000000,216000000,432000000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/816761/000119312508045270/0001193125-08-045270-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312509042599/0001193125-09-042599-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312510043063/0001193125-10-043063-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312511051934/0001193125-11-051934-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312512087334/0001193125-12-087334-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312513082775/0001193125-13-082775-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000119312514071369/0001193125-14-071369-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676115000008/0000816761-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676116000045/0000816761-16-000045-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676117000010/0000816761-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676118000007/0000816761-18-000007-index.htm,- -,https://www.sec.gov/Archives/edgar/data/816761/000081676120000008/0000816761-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676121000009/0000816761-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/816761/000081676122000009/0000816761-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,
