,https://roic.ai/company/CE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.0967,0.0413,0.0256,0.0204,0.0924,0.1122,0.1161,0.0645,0.0571,0.0850,0.1020,0.0796,0.2316,0.1114,0.0575,0.1657,0.1467,0.1864,0.1324,0.1174,0.2279
19,Total Other Income Expenses (Gains),-7000000,7000000,85000000,-252000000,-199000000,-83000000,-301000000,-6000000,-49000000,35000000,65000000,146000000,101000000,183000000,162000000,137000000,174000000,176000000,154000000,1587000000,302000000
20,Income Before Tax,-378000000,160000000,203000000,-174000000,362000000,664000000,447000000,434000000,241000000,538000000,755000000,657000000,1609000000,941000000,488000000,1030000000,1075000000,1510000000,988000000,2251000000,2248000000
21,Income Before Tax Ratio,-0.0985,0.0432,0.0441,-0.0455,0.0596,0.0998,0.0694,0.0636,0.0474,0.0909,0.1116,0.1024,0.2472,0.1383,0.0860,0.1911,0.1751,0.2110,0.1569,0.3981,0.2633
22,Income Tax expense (Gain),-97000000,- -,60000000,70000000,57000000,253000000,110000000,63000000,-243000000,112000000,149000000,48000000,508000000,314000000,201000000,122000000,213000000,292000000,124000000,247000000,330000000
23,Net Income,-365000000,168000000,148000000,-253000000,277000000,406000000,426000000,282000000,488000000,377000000,607000000,605000000,1101000000,624000000,304000000,900000000,843000000,1207000000,852000000,1985000000,1890000000
24,Net Income ratio,-0.0951,0.0454,0.0322,-0.0661,0.0456,0.0610,0.0661,0.0413,0.0960,0.0637,0.0898,0.0943,0.1691,0.0917,0.0536,0.1670,0.1373,0.1687,0.1353,0.3510,0.2214
25,EPS,-7.25,2.44,2.99,-2.01,1.73,2.50,2.69,1.83,3.33,2.41,3.89,3.82,6.93,4.03,2.02,6.21,6.11,8.99,6.88,16.85,17.10
26,EPS Diluted,-7.25,2.44,2.99,-2.01,1.67,2.36,2.49,1.73,3.11,2.37,3.82,3.79,6.91,4.00,2.00,6.18,6.09,8.91,6.84,16.75,17.10
27,Weighted Average Shares Outstanding,50331847,68852459,49445958,86863780,154402575,158597424,154475020,148350273,143700000,154600000,156200000,158300000,158800000,155000000,150838050,144939433,137900000,134300000,123900000,117800000,110500000
28,Weighted Average Shares Outstanding Diluted,50331847,68852459,49457145,86961518,166200048,171807599,171227997,163471873,157100000,158400000,158900000,159800000,159300000,156200000,152287955,145668181,138300000,135400000,124700000,118500000,111000000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1306830/000095013606002553/0000950136-06-002553-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000095012307002533/0000950123-07-002533-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000095012308002318/0000950123-08-002318-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000095013409002731/0000950134-09-002731-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000095012310012453/0000950123-10-012453-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000095012311012862/0000950123-11-012862-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683012000015/0001306830-12-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683013000007/0001306830-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683014000011/0001306830-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683015000022/0001306830-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683016000212/0001306830-16-000212-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683017000034/0001306830-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683018000030/0001306830-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683019000014/0001306830-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683020000018/0001306830-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683021000020/0001306830-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683022000017/0001306830-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,148000000,838000000,390000000,791000000,825000000,676000000,1254000000,740000000,682000000,959000000,984000000,780000000,967000000,638000000,576000000,439000000,463000000,955000000,536000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,6000000,3000000,78000000,64000000,53000000,41000000,32000000,30000000,30000000,32000000,31000000,40000000,533000000,10000000
33,Cash and Short-Term Investments,- -,- -,148000000,838000000,390000000,791000000,825000000,682000000,1257000000,818000000,746000000,1012000000,1025000000,812000000,997000000,668000000,608000000,470000000,503000000,1488000000,546000000
34,Net Receivables,- -,- -,1311000000,1536000000,1398000000,1476000000,1446000000,959000000,976000000,1080000000,1106000000,1036000000,1210000000,1042000000,991000000,1024000000,1230000000,1318000000,1181000000,1242000000,1667000000
35,Inventory,- -,- -,509000000,618000000,661000000,653000000,636000000,577000000,522000000,610000000,712000000,711000000,804000000,782000000,682000000,720000000,900000000,1046000000,1038000000,978000000,1524000000
36,Other Current Assets,- -,- -,283000000,159000000,130000000,191000000,156000000,66000000,101000000,160000000,139000000,80000000,143000000,62000000,117000000,60000000,54000000,40000000,43000000,55000000,70000000
37,Total Current Assets,- -,- -,2251000000,3151000000,2579000000,3111000000,3063000000,2284000000,2856000000,2668000000,2703000000,2839000000,3182000000,2698000000,2787000000,2472000000,2792000000,2874000000,2765000000,3763000000,3807000000
38,PP&E,- -,- -,1710000000,1702000000,2040000000,2155000000,2362000000,2472000000,2797000000,3017000000,3269000000,3350000000,3425000000,3733000000,3609000000,3577000000,3762000000,3719000000,3916000000,4171000000,4429000000
39,Goodwill,- -,- -,- -,- -,- -,875000000,866000000,779000000,798000000,774000000,760000000,777000000,798000000,749000000,705000000,796000000,1003000000,1057000000,1074000000,1166000000,1412000000
40,Intangible Assets,- -,- -,- -,1147000000,1430000000,463000000,425000000,364000000,294000000,252000000,197000000,165000000,142000000,132000000,125000000,194000000,301000000,310000000,312000000,319000000,735000000
41,Intangible Assets,- -,- -,1108000000,1147000000,1430000000,1338000000,1291000000,1143000000,1092000000,1026000000,957000000,942000000,940000000,881000000,830000000,990000000,1304000000,1367000000,1386000000,1485000000,2147000000
42,Investments,- -,- -,561000000,- -,775000000,763000000,1023000000,883000000,870000000,838000000,824000000,800000000,841000000,876000000,838000000,852000000,976000000,979000000,975000000,820000000,823000000
43,Tax Assets,- -,- -,606000000,54000000,139000000,22000000,10000000,27000000,484000000,443000000,421000000,606000000,289000000,253000000,222000000,159000000,366000000,84000000,96000000,259000000,248000000
44,Other Non-Current Assets,- -,- -,578000000,1356000000,482000000,506000000,309000000,357000000,311000000,289000000,344000000,463000000,341000000,377000000,300000000,307000000,338000000,290000000,338000000,411000000,521000000
45,Total Non-Current Assets,- -,- -,4563000000,4259000000,4866000000,4784000000,4995000000,4882000000,5554000000,5613000000,5815000000,6161000000,5836000000,6120000000,5799000000,5885000000,6746000000,6439000000,6711000000,7146000000,8168000000
46,Other Assets,6232000000,6417000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6232000000,6417000000,6814000000,7410000000,7445000000,7895000000,8058000000,7166000000,8410000000,8281000000,8518000000,9000000000,9018000000,8818000000,8586000000,8357000000,9538000000,9313000000,9476000000,10909000000,11975000000
48,Accounts Payable,- -,- -,590000000,722000000,810000000,823000000,818000000,523000000,649000000,673000000,673000000,649000000,799000000,757000000,587000000,625000000,807000000,819000000,780000000,797000000,1160000000
49,Short-Term Debt,- -,- -,148000000,144000000,155000000,309000000,272000000,233000000,242000000,228000000,144000000,168000000,177000000,137000000,513000000,118000000,326000000,561000000,525000000,532000000,828000000
50,Tax Payable,- -,- -,266000000,- -,- -,- -,- -,- -,72000000,17000000,12000000,55000000,30000000,18000000,103000000,33000000,88000000,78000000,52000000,140000000,108000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,1234000000,1129000000,1048000000,1084000000,941000000,613000000,716000000,641000000,568000000,538000000,569000000,444000000,450000000,334000000,426000000,399000000,449000000,644000000,517000000
53,Total Current Liabilities,- -,- -,1972000000,1995000000,2013000000,2216000000,2031000000,1369000000,1607000000,1542000000,1385000000,1355000000,1545000000,1338000000,1550000000,1077000000,1559000000,1779000000,1754000000,1973000000,2505000000
54,Long-Term Debt,- -,- -,489000000,3243000000,3282000000,3189000000,3284000000,3300000000,3259000000,2990000000,2873000000,2930000000,2887000000,2608000000,2468000000,2890000000,3315000000,2970000000,3409000000,3435000000,3376000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000000,- -,945000000,81000000,68000000,56000000,50000000,53000000,51000000,49000000,51000000,- -
56,Deferred Tax Liabilities,- -,- -,99000000,256000000,285000000,297000000,265000000,122000000,137000000,389000000,92000000,50000000,225000000,141000000,136000000,130000000,211000000,255000000,257000000,509000000,555000000
57,Other Non-Current Liabilities,- -,- -,1654000000,1510000000,1566000000,1332000000,1411000000,2191000000,2823000000,2393000000,2827000000,1990000000,1581000000,1585000000,1547000000,1189000000,1101000000,879000000,1109000000,1046000000,1002000000
58,Total Non-Current Liabilities,- -,- -,2242000000,5009000000,5133000000,4818000000,4960000000,5613000000,6219000000,5813000000,5792000000,5915000000,4774000000,4402000000,4207000000,4259000000,4680000000,4155000000,4824000000,5041000000,4933000000
59,Other Liabilities,4278000000,4321000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,210000000,244000000,237000000
61,Total Liabilities,4278000000,4321000000,4214000000,7004000000,7146000000,7034000000,6991000000,6982000000,7826000000,7355000000,7177000000,7270000000,6319000000,5740000000,5757000000,5336000000,6239000000,5934000000,6578000000,7014000000,7438000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,150000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,25000000,-253000000,24000000,394000000,799000000,1047000000,1502000000,1851000000,2424000000,2986000000,3011000000,3491000000,3621000000,4320000000,4920000000,5847000000,6399000000,8091000000,9677000000
65,Other Comprehensive Income/Loss,- -,- -,-198000000,-17000000,-126000000,31000000,197000000,-579000000,-659000000,-670000000,-850000000,-1082000000,-4000000,-165000000,-348000000,-358000000,-177000000,-247000000,-300000000,-328000000,-329000000
66,Other Total Stockholders Equity,1954000000,2096000000,2605000000,1105000000,401000000,436000000,71000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,1954000000,2096000000,2582000000,-112000000,235000000,787000000,1062000000,182000000,584000000,926000000,1341000000,1730000000,2699000000,2818000000,2378000000,2588000000,2887000000,2984000000,2507000000,3526000000,4189000000
68,Total Liabilities And Stockholders Equity,6232000000,6417000000,6796000000,6892000000,7381000000,7821000000,8053000000,7164000000,8410000000,8281000000,8518000000,9000000000,9018000000,8558000000,8135000000,7924000000,9126000000,8918000000,9085000000,10540000000,11627000000
69,Minority Interest,- -,- -,18000000,518000000,64000000,74000000,5000000,2000000,- -,- -,- -,- -,- -,260000000,451000000,433000000,412000000,395000000,391000000,369000000,348000000
70,Total Liabilities & Equity,6232000000,6417000000,6814000000,7410000000,7445000000,7895000000,8058000000,7166000000,8410000000,8281000000,8518000000,9000000000,9018000000,8818000000,8586000000,8357000000,9538000000,9313000000,9476000000,10909000000,11975000000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1306830/000095013606002553/0000950136-06-002553-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000095012307002533/0000950123-07-002533-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000095012308002318/0000950123-08-002318-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000095013409002731/0000950134-09-002731-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000095012310012453/0000950123-10-012453-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000095012311012862/0000950123-11-012862-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683012000015/0001306830-12-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683013000007/0001306830-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683014000011/0001306830-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683015000022/0001306830-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683016000212/0001306830-16-000212-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683017000034/0001306830-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683018000030/0001306830-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683019000014/0001306830-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683020000018/0001306830-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683021000020/0001306830-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683022000017/0001306830-22-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-365000000,168000000,148000000,-253000000,277000000,406000000,426000000,282000000,488000000,377000000,607000000,605000000,1101000000,624000000,304000000,900000000,843000000,1207000000,852000000,1985000000,1890000000
74,Depreciation and Amortization,326000000,240000000,294000000,282000000,327000000,296000000,311000000,360000000,77000000,61000000,62000000,320000000,319000000,298000000,363000000,295000000,310000000,349000000,356000000,356000000,378000000
75,Deferred Income Tax,- -,- -,79000000,19000000,-85000000,125000000,23000000,-69000000,-402000000,15000000,93000000,-73000000,344000000,124000000,42000000,83000000,-152000000,137000000,-31000000,77000000,13000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000000,40000000,31000000,47000000,71000000,48000000,28000000,95000000
77,Change in Working Capital,- -,- -,279000000,877000000,-590000000,329000000,137000000,-117000000,334000000,-123000000,192000000,166000000,153000000,-277000000,-123000000,158000000,-162000000,-138000000,-84000000,779000000,-488000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90000000,-83000000,50000000,-23000000,23000000,61000000,-59000000,-110000000,-48000000,165000000,141000000,-396000000
79,Inventory,- -,- -,-11000000,-18000000,21000000,16000000,-27000000,21000000,30000000,-98000000,-112000000,6000000,-81000000,-15000000,62000000,8000000,-97000000,-158000000,6000000,124000000,-367000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,22000000,5000000,108000000,-13000000,-111000000,7000000,126000000,15000000,-59000000,-6000000,353000000
81,Other Working Capital,- -,- -,279000000,1156000000,566000000,895000000,1032000000,915000000,1249000000,1126000000,1318000000,1484000000,1637000000,1360000000,1237000000,1395000000,1233000000,1095000000,1011000000,1790000000,- -
82,Other Non-Cash Items,501000000,-45000000,-399000000,-988000000,785000000,-405000000,-331000000,130000000,99000000,122000000,-316000000,-296000000,-1155000000,147000000,236000000,-574000000,-83000000,-68000000,313000000,-1882000000,-131000000
83,Cash Provided by Operating Activities,462000000,363000000,401000000,-63000000,714000000,751000000,566000000,586000000,596000000,452000000,638000000,722000000,762000000,962000000,862000000,893000000,803000000,1558000000,1454000000,1343000000,1757000000
84,CAPEX,-191000000,-203000000,-211000000,-166000000,-212000000,-295000000,-288000000,-274000000,-351000000,-312000000,-204000000,-410000000,-377000000,-678000000,-520000000,-246000000,-267000000,-337000000,-370000000,-364000000,-467000000
85,Acquisitions Net,- -,- -,- -,-1564000000,-916000000,23000000,425000000,9000000,574000000,-20000000,157000000,-22000000,13000000,-10000000,-2000000,-166000000,-268000000,-131000000,-90000000,1496000000,-1115000000
86,Purchases of Investments,- -,- -,-265000000,-173000000,-137000000,-65000000,-59000000,-91000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16000000,-544000000,- -
87,Sales/Maturities of Investments,- -,- -,202000000,132000000,217000000,95000000,69000000,202000000,15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000000,516000000
88,Other Investing Activites,-105000000,-139000000,-1000000,-39000000,128000000,-26000000,-4000000,-47000000,-558000000,-540000000,-598000000,-478000000,-435000000,-695000000,-556000000,-273000000,-281000000,-376000000,-387000000,-403000000,-520000000
89,Cash Used for Investing Activites,-105000000,-139000000,-275000000,-1810000000,-920000000,-268000000,143000000,-201000000,31000000,-560000000,-441000000,-500000000,-422000000,-705000000,-558000000,-439000000,-549000000,-507000000,-493000000,592000000,-1119000000
90,Debt Repayment,- -,- -,-109000000,- -,- -,- -,- -,- -,-92000000,-921000000,-591000000,-560000000,-332000000,-726000000,-107000000,-1569000000,-201000000,-652000000,-451000000,-783000000,-792000000
91,Common Stock Issued,- -,- -,- -,244000000,997000000,2000000,69000000,18000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-15000000,-221000000,- -,- -,-403000000,-378000000,- -,-48000000,-31000000,-45000000,-164000000,-250000000,-420000000,-500000000,-500000000,-805000000,-996000000,-650000000,-1000000000
93,Dividends Paid,- -,- -,-25000000,-501000000,-825000000,-36000000,-35000000,-34000000,-33000000,-31000000,-34000000,-43000000,-83000000,-144000000,-174000000,-201000000,-241000000,-280000000,-300000000,-293000000,-304000000
94,Other Financing Activites,-337000000,-150000000,41000000,3164000000,-316000000,-74000000,-345000000,-105000000,13000000,612000000,403000000,697000000,253000000,705000000,635000000,1511000000,591000000,572000000,812000000,255000000,1054000000
95,Cash Used/Provided by Financing Activities,-337000000,-150000000,-108000000,2686000000,-144000000,-108000000,-714000000,-499000000,-112000000,-388000000,-253000000,49000000,-326000000,-415000000,-66000000,-759000000,-351000000,-1165000000,-935000000,-1471000000,-1042000000
96,Effect of Forex Changes on Cash,- -,- -,6000000,25000000,-98000000,26000000,39000000,-35000000,63000000,-18000000,-2000000,6000000,11000000,-46000000,-51000000,-24000000,35000000,-23000000,-2000000,28000000,-15000000
97,Net Change In Cash,- -,- -,24000000,- -,-448000000,401000000,34000000,-149000000,578000000,-514000000,-58000000,277000000,25000000,-204000000,187000000,-329000000,-62000000,-137000000,24000000,492000000,-419000000
98,Cash at the End of Period,- -,- -,148000000,838000000,390000000,791000000,825000000,676000000,1254000000,740000000,682000000,959000000,984000000,780000000,967000000,638000000,576000000,439000000,463000000,955000000,536000000
99,Cash at the Beginning of Period,- -,- -,124000000,- -,838000000,390000000,791000000,825000000,676000000,1254000000,740000000,682000000,959000000,984000000,780000000,967000000,638000000,576000000,439000000,463000000,955000000
100,Free Cash Flow,271000000,160000000,190000000,-229000000,502000000,456000000,278000000,312000000,245000000,140000000,434000000,312000000,385000000,284000000,342000000,647000000,536000000,1221000000,1084000000,979000000,1290000000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1306830/000095013606002553/0000950136-06-002553-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000095012307002533/0000950123-07-002533-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000095012308002318/0000950123-08-002318-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000095013409002731/0000950134-09-002731-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000095012310012453/0000950123-10-012453-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000095012311012862/0000950123-11-012862-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683012000015/0001306830-12-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683013000007/0001306830-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683014000011/0001306830-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683015000022/0001306830-15-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683016000212/0001306830-16-000212-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683017000034/0001306830-17-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683018000030/0001306830-18-000030-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683019000014/0001306830-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683020000018/0001306830-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683021000020/0001306830-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1306830/000130683022000017/0001306830-22-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
