,https://roic.ai/company/CNSL,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),4000000,-1200000,-11800000,-35892000,-47627000,-35639000,-50540000,-56461000,-32372000,-23754000,-20728000,-45791000,-56185000,-62774000,-85671000,-49282000,-98282000,-93667000,-104926000,-87275000,-235592000
20,Income Before Tax,12900000,12700000,9200000,-911000,6473000,13672000,16097000,11903000,38334000,42143000,41827000,7607000,47476000,28415000,2104000,38158000,-59628000,-74698000,-23645000,48238000,-100414000
21,Income Before Tax Ratio,0.1116,0.1156,0.0695,-0.0034,0.0201,0.0426,0.0489,0.0284,0.0944,0.1099,0.1118,0.0151,0.0789,0.0447,0.0027,0.0513,-0.0563,-0.0534,-0.0177,0.0370,-0.0783
22,Income Tax expense (Gain),6300000,- -,3700000,232000,10935000,405000,4674000,6639000,12399000,8991000,14845000,1436000,17512000,13027000,2775000,22962000,-124927000,-24127000,-3714000,10936000,6279000
23,Net Income,6600000,8000000,5500000,-1143000,-4462000,13267000,11423000,12504000,24905000,32595000,26410000,5640000,30811000,15067000,-881000,14931000,64945000,-50834000,-20383000,36977000,-106693000
24,Net Income ratio,0.0571,0.0728,0.0416,-0.0042,-0.0139,0.0414,0.0347,0.0299,0.0613,0.0850,0.0706,0.0112,0.0512,0.0237,-0.0011,0.0201,0.0613,-0.0363,-0.0153,0.0284,-0.0832
25,EPS,0.22,0.27,-0.33,-1.79,-0.83,0.48,0.44,0.43,0.84,1.10,0.88,0.14,0.76,0.35,-0.02,0.29,1.07,-0.73,-0.29,0.47,-1.15
26,EPS Diluted,0.22,0.27,-0.33,-1.79,-0.83,0.47,0.44,0.42,0.84,1.09,0.88,0.14,0.76,0.35,-0.02,0.29,1.07,-0.73,-0.29,0.47,-1.15
27,Weighted Average Shares Outstanding,29687514,29687514,9090909,8998883,29687514,27639583,25961364,29321404,29388000,29763122,29869512,39877998,39764000,50030000,50176000,50301000,60373000,70613000,70837000,72752000,92791000
28,Weighted Average Shares Outstanding Diluted,29687514,29687514,9090909,8998883,29687514,28227660,25961364,29530736,29621613,29763122,29869512,39877998,39764000,50030000,50176000,50301000,60373000,70613000,70837000,72752000,92791000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1304421/000095012306003732/y18588e10vk.htm,https://www.sec.gov/Archives/edgar/data/1304421/000136231007000249/c70248e10vk.htm,https://www.sec.gov/Archives/edgar/data/1304421/000095012308003048/y51440e10vk.htm,https://www.sec.gov/Archives/edgar/data/1304421/000136231009003899/0001362310-09-003899-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000095012310022157/0000950123-10-022157-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000110465911012456/a11-7197_110k.htm,https://www.sec.gov/Archives/edgar/data/1304421/000110465912015589/0001104659-12-015589-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000110465913019701/0001104659-13-019701-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000110465914016384/a13-24828_110k.htm,https://www.sec.gov/Archives/edgar/data/1304421/000110465915015377/a14-26241_110k.htm,https://www.sec.gov/Archives/edgar/data/1304421/000155837016003635/0001558370-16-003635-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000155837017001183/0001558370-17-001183-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000155837018001412/0001558370-18-001412-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000155837019001019/0001558370-19-001019-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000155837020001763/0001558370-20-001763-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000155837021001947/0001558370-21-001947-index.htm,https://www.sec.gov/Archives/edgar/data/1304421/000155837022002913/0001558370-22-002913-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3300000,1100000,10100000,52084000,31409000,26672000,34341000,15471000,42758000,67654000,105704000,17854000,5551000,6679000,15878000,27077000,15657000,9599000,12395000,155561000,99635000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110801000
33,Cash and Short-Term Investments,3300000,1100000,10100000,52084000,31409000,26672000,34341000,15471000,42758000,67654000,105704000,17854000,5551000,6679000,15878000,27077000,15657000,9599000,12395000,155561000,210436000
34,Net Receivables,- -,- -,- -,33817000,35503000,34396000,44001000,45092000,42125000,48502000,44480000,70401000,61829000,96476000,92715000,77832000,143374000,144208000,122685000,138718000,133362000
35,Inventory,- -,- -,- -,3529000,3420000,4170000,6364000,7482000,6874000,7972000,7151000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,23400000,22100000,29500000,9457000,8703000,8979000,14909000,10531000,12609000,12122000,10995000,20269000,20340000,30990000,17815000,28292000,54628000,44336000,41787000,46382000,84017000
37,Total Current Assets,26700000,23200000,39600000,98887000,79035000,74217000,99615000,78576000,104366000,136250000,168330000,108524000,87720000,134145000,126408000,133201000,213659000,198143000,176867000,340661000,427815000
38,PP&E,- -,- -,- -,360760000,335088000,314381000,411647000,400286000,377200000,356057000,332046000,908236000,885362000,1135333000,1093261000,1055186000,2037606000,1927126000,1835878000,1760152000,- -
39,Goodwill,- -,- -,- -,318481000,- -,316034000,526439000,520562000,520562000,520562000,520562000,604988000,603446000,765806000,764630000,756877000,1038032000,1035274000,1035274000,1035274000,1013243000
40,Intangible Assets,- -,- -,- -,164351000,531827000,124564000,160702000,138540000,115534000,92297000,70158000,49530000,40084000,56365000,43540000,31655000,306826000,240485000,174626000,123975000,10557000
41,Intangible Assets,- -,- -,- -,482832000,531827000,440598000,687141000,659102000,636096000,612859000,590720000,654518000,643530000,822171000,808170000,788532000,1344858000,1275759000,1209900000,1159249000,1023800000
42,Investments,- -,- -,- -,42884000,44000000,40000000,94000000,96000000,98748000,99105000,98069000,109750000,113099000,115376000,105543000,106221000,108858000,110853000,112717000,111665000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194458000
44,Other Non-Current Assets,222200000,213200000,278000000,20736000,-44000000,20383000,12188000,7662000,6633000,5275000,4904000,13800000,17667000,13240000,5144000,9618000,14145000,23380000,54915000,135573000,2066619000
45,Total Non-Current Assets,222200000,213200000,278000000,907212000,866915000,815362000,1204976000,1163050000,1118677000,1073296000,1025739000,1686304000,1659658000,2086120000,2012118000,1959557000,3505467000,3337118000,3213410000,3166639000,3284877000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,248900000,236400000,317600000,1006099000,945950000,889579000,1304591000,1241626000,1223043000,1209546000,1194069000,1794828000,1747378000,2220265000,2138526000,2092758000,3719126000,3535261000,3390277000,3507300000,3712692000
48,Accounts Payable,- -,- -,- -,11176000,11743000,11004000,35553000,31438000,13482000,9972000,13673000,19162000,4885000,15277000,12576000,6766000,24143000,32502000,30936000,25283000,40953000
49,Short-Term Debt,- -,- -,- -,41079000,- -,- -,1010000,922000,344000,132000,8992000,9596000,9751000,9849000,10937000,14922000,29696000,30468000,27301000,17561000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4599000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1134000
51,Deferred Revenue,- -,- -,- -,- -,- -,15303000,- -,- -,- -,- -,- -,28592000,25934000,31933000,27616000,26438000,42526000,47724000,45710000,49544000,- -
52,Other Current Liabilities,- -,- -,- -,45312000,56116000,39439000,48380000,38932000,66751000,65488000,62625000,86827000,77129000,99016000,93171000,101959000,159575000,172920000,140349000,178082000,244592000
53,Total Current Liabilities,- -,- -,- -,97567000,67859000,65746000,84943000,71292000,80577000,75592000,85290000,144177000,117699000,156075000,144300000,150085000,255940000,283614000,244296000,270470000,285545000
54,Long-Term Debt,21100000,21000000,180400000,588342000,555000000,594000000,890000000,880000000,880000000,880000000,871200000,1208248000,1212134000,1356753000,1377892000,1376754000,2311514000,2303585000,2250677000,2171367000,2118853000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194458000
56,Deferred Tax Liabilities,- -,- -,- -,66641000,- -,55893000,97289000,58134000,74711000,73628000,77327000,138842000,179859000,243576000,236529000,244298000,209720000,188129000,173027000,171021000,194458000
57,Other Non-Current Liabilities,- -,- -,- -,270053000,120889000,55287000,72671000,156915000,107038000,108451000,112440000,167456000,85347000,136948000,129106000,145366000,368010000,344279000,375026000,505214000,83002000
58,Total Non-Current Liabilities,21100000,21000000,180400000,925036000,675889000,705180000,1059960000,1095049000,1061749000,1062079000,1060967000,1514546000,1477340000,1737277000,1743527000,1766418000,2889244000,2835993000,2798730000,2847602000,2590771000
59,Other Liabilities,91900000,82900000,501500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,1636000,344000,344000,4125000,4711000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,70800000,61900000,321100000,1022603000,743748000,770926000,1144903000,1166341000,1142326000,1137671000,1146257000,1658723000,1595039000,1893352000,1887827000,1916503000,3145184000,3119607000,3043026000,3118072000,2876316000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,58000,297000,260000,294000,295000,296000,298000,299000,399000,401000,504000,505000,506000,708000,712000,720000,792000,1137000
64,Retained Earnings,- -,- -,- -,-19111000,-57533000,-87362000,-117452000,- -,- -,- -,- -,- -,- -,- -,-881000,- -,- -,-50834000,-71217000,-34514000,-141599000
65,Other Comprehensive Income/Loss,- -,- -,- -,258000,2302000,2202000,-5651000,-59479000,-35540000,-31471000,-37833000,-45784000,-1000000,-35556000,-35699000,-47277000,-48083000,-53212000,-80868000,-109418000,-59571000
66,Other Total Stockholders Equity,178100000,174500000,- -,- -,254162000,199858000,278175000,129284000,109746000,98126000,79852000,177315000,148433000,357139000,281738000,217725000,615662000,513070000,492246000,525673000,747833000
67,Total Stockholders Equity,178100000,174500000,-3500000,-18795000,199228000,114958000,155366000,70100000,74502000,66953000,42318000,131930000,147834000,322087000,245663000,170954000,568287000,409736000,340881000,382533000,547800000
68,Total Liabilities And Stockholders Equity,248900000,236400000,317600000,1003808000,942976000,885884000,1300269000,1236441000,1216828000,1204624000,1188575000,1790653000,1742873000,2215439000,2133490000,2087457000,3713471000,3529343000,3383907000,3500605000,3424116000
69,Minority Interest,- -,- -,- -,2291000,2974000,3695000,4322000,5185000,6215000,4922000,5494000,4175000,4505000,4826000,5036000,5301000,5655000,5918000,6370000,6695000,288576000
70,Total Liabilities & Equity,248900000,236400000,317600000,1006099000,945950000,889579000,1304591000,1241626000,1223043000,1209546000,1194069000,1794828000,1747378000,2220265000,2138526000,2092758000,3719126000,3535261000,3390277000,3507300000,3712692000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1304421/000095012306003732/y18588e10vk.htm,https://www.sec.gov/Archives/edgar/data/1304421/000136231007000249/c70248e10vk.htm,https://www.sec.gov/Archives/edgar/data/1304421/000095012308003048/y51440e10vk.htm,https://www.sec.gov/Archives/edgar/data/1304421/000136231009003899/0001362310-09-003899-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000095012310022157/0000950123-10-022157-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000110465911012456/a11-7197_110k.htm,https://www.sec.gov/Archives/edgar/data/1304421/000110465912015589/0001104659-12-015589-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000110465913019701/0001104659-13-019701-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000110465914016384/a13-24828_110k.htm,https://www.sec.gov/Archives/edgar/data/1304421/000110465915015377/a14-26241_110k.htm,https://www.sec.gov/Archives/edgar/data/1304421/000155837016003635/0001558370-16-003635-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000155837017001183/0001558370-17-001183-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000155837018001412/0001558370-18-001412-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000155837019001019/0001558370-19-001019-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000155837020001763/0001558370-20-001763-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000155837021001947/0001558370-21-001947-index.htm,https://www.sec.gov/Archives/edgar/data/1304421/000155837022002913/0001558370-22-002913-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6600000,8000000,5500000,-1143000,-4462000,13267000,11423000,12504000,24905000,32595000,26410000,5640000,30811000,15067000,-881000,14931000,64945000,-50834000,-20383000,36977000,-106693000
74,Depreciation and Amortization,31800000,24600000,22500000,54522000,67379000,70690000,79110000,91678000,85227000,87142000,88745000,120976000,139274000,149435000,179922000,174010000,291873000,432668000,381237000,324864000,300597000
75,Deferred Income Tax,- -,- -,- -,201000,10232000,-9305000,-4271000,-12032000,57000,-2390000,8546000,-757000,16045000,10244000,5828000,20863000,-126127000,-26008000,-5249000,8386000,5504000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,1927000,2363000,2132000,2348000,3028000,3636000,3060000,3017000,2766000,5119000,6836000,7533000,10097000
77,Change in Working Capital,- -,-3500000,16400000,-38280000,9856000,-2705000,6201000,-7388000,16505000,36869000,22382000,-118693000,5674000,8049000,4038000,1008000,-25397000,-43190000,18042000,137620000,72079000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,2967000,113000,6520000,-1512000,5937000,11896000,8688000,5353000,-2607000,-2044000,13120000,-4993000,4103000
79,Inventory,- -,- -,- -,-249000,109000,-750000,-228000,-1118000,608000,-1084000,821000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1146000,-3510000,3701000,4504000,-10069000,-1904000,-2701000,-1067000,4968000,8359000,-1566000,-5653000,-189000
81,Other Working Capital,26700000,23200000,39600000,1320000,11176000,8471000,14672000,7284000,23789000,60658000,83040000,-35653000,-29979000,-21930000,-17892000,-16884000,-42281000,-85471000,-67429000,70191000,142270000
82,Other Non-Cash Items,-4100000,-600000,-15500000,64466000,-3705000,12646000,-10394000,7649000,-12314000,-41565000,-18031000,113701000,-30476000,1354000,27212000,4404000,1967000,39566000,-41387000,-150400000,37283000
83,Cash Provided by Operating Activities,34300000,28500000,28900000,79766000,79300000,84593000,82069000,92411000,116307000,115014000,130184000,123215000,164356000,187785000,219179000,218233000,210027000,357321000,339096000,364980000,318867000
84,CAPEX,-13100000,-14100000,-11300000,-30010000,-31094000,-33388000,-33495000,-48027000,-42352000,-41789000,-42593000,-77095000,-107363000,-108998000,-133934000,-125192000,-181185000,-244816000,-232203000,-217563000,-480346000
85,Acquisitions Net,- -,- -,- -,-524090000,- -,- -,-271780000,- -,- -,- -,- -,-385346000,- -,-139558000,- -,16697000,-862385000,20999000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-10625000,- -,- -,- -,- -,-6728000,-403000,-100000,- -,- -,- -,- -,- -,- -,-175764000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,5921000,10625000,- -,725000,35000,- -,- -,- -,- -,846000,- -,- -,233000,329000,426000,66198000
88,Other Investing Activites,-13100000,-14100000,-296100000,-30010000,- -,815000,- -,- -,- -,1065000,1112000,610000,330000,1795000,13548000,208000,859000,2125000,14055000,7071000,3469000
89,Cash Used for Investing Activites,-13100000,-14100000,-296100000,-554100000,-31094000,-26652000,-305275000,-48027000,-41627000,-40689000,-41481000,-468559000,-107436000,-246861000,-119540000,-108287000,-1042711000,-221459000,-217819000,-210066000,-586443000
90,Debt Repayment,- -,- -,- -,-209782000,- -,- -,- -,- -,-922000,-399000,-149000,-510266000,-991477000,-147930000,-370081000,-945935000,-119270000,-220693000,-257673000,-2321575000,-6365000
91,Common Stock Issued,- -,- -,- -,- -,67589000,- -,12000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350000000,75000000
92,Common Stock Repurchased,- -,- -,- -,- -,-49672000,-56823000,-131000,-257000,-545000,-1001000,-726000,-559000,-887000,-1856000,-1125000,-1231000,-571000,-593000,-363000,-812000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-44593000,-40192000,-45449000,-45926000,-46179000,-46307000,-54100000,-62064000,-62341000,-78209000,-78419000,-94138000,-110222000,-55445000,- -,- -
94,Other Financing Activites,-18900000,-16600000,277400000,726058000,-86798000,38738000,271186000,-17548000,- -,-1850000,-3471000,822419000,982874000,272331000,358975000,926838000,1035243000,189588000,195000000,1960639000,143015000
95,Cash Used/Provided by Financing Activities,-18900000,-16600000,277400000,516276000,-68881000,-62678000,230875000,-63254000,-47393000,-49429000,-50653000,257494000,-71554000,60204000,-90440000,-98747000,821264000,-141920000,-118481000,-11748000,211650000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,41942000,-20675000,-4737000,7669000,-18870000,27287000,24896000,38050000,-87850000,-12303000,1128000,9199000,11199000,-11420000,-6058000,2796000,143166000,-55926000
98,Cash at the End of Period,- -,- -,- -,52084000,31409000,26672000,34341000,15471000,42758000,67654000,105704000,17854000,5551000,6679000,15878000,27077000,15657000,9599000,12395000,155561000,99635000
99,Cash at the Beginning of Period,- -,- -,- -,10142000,52084000,31409000,26672000,34341000,15471000,42758000,67654000,105704000,17854000,5551000,6679000,15878000,27077000,15657000,9599000,12395000,155561000
100,Free Cash Flow,21200000,14400000,17600000,49756000,48206000,51205000,48574000,44384000,73955000,73225000,87591000,46120000,56993000,78787000,85245000,93041000,28842000,112505000,106893000,147417000,-161479000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1304421/000095012306003732/y18588e10vk.htm,https://www.sec.gov/Archives/edgar/data/1304421/000136231007000249/c70248e10vk.htm,https://www.sec.gov/Archives/edgar/data/1304421/000095012308003048/y51440e10vk.htm,https://www.sec.gov/Archives/edgar/data/1304421/000136231009003899/0001362310-09-003899-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000095012310022157/0000950123-10-022157-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000110465911012456/a11-7197_110k.htm,https://www.sec.gov/Archives/edgar/data/1304421/000110465912015589/0001104659-12-015589-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000110465913019701/0001104659-13-019701-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000110465914016384/a13-24828_110k.htm,https://www.sec.gov/Archives/edgar/data/1304421/000110465915015377/a14-26241_110k.htm,https://www.sec.gov/Archives/edgar/data/1304421/000155837016003635/0001558370-16-003635-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000155837017001183/0001558370-17-001183-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000155837018001412/0001558370-18-001412-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000155837019001019/0001558370-19-001019-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000155837020001763/0001558370-20-001763-index.html,https://www.sec.gov/Archives/edgar/data/1304421/000155837021001947/0001558370-21-001947-index.htm,https://www.sec.gov/Archives/edgar/data/1304421/000155837022002913/0001558370-22-002913-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
