,https://roic.ai/company/PLL,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,1495659,1806111,2007746,1862268,1600524,1805561,2016264,2495590,2337674,1393691,1686226,- -,2133566,1679991,1395440,524362,- -,180,12511,47152,51437,13843,7742,4247,8362,13981,7062,7451,1501,1259,8812,- -,11589
15,EBITDA,6821442,7041215,4492504,3965070,3271855,4954149,4022584,5353430,3772533,2562033,3721579,2198937,3707843,-108096,-2794922,-4246632,-80062,-317410,-2271745,-5827925,-3256420,-1388963,-1110900,-1680050,-2461651,-3034292,-908294,-469693,-2721534,-10194386,-10410371,-6162248,-19798987
16,EBITDA ratio,0.1457,0.1360,0.0894,0.0786,0.0683,0.0788,0.0589,0.0621,0.0633,0.0499,0.0543,0.0340,0.0723,-0.0026,-0.1003,-0.2116,-Infinity,-0.6102,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,45334843,49955581,47327735,47661520,44874116,59148003,64528248,81867794,57273015,45555397,61330289,64656397,139822,4117780,-2511926,-10276094,-80062,-372468,-2284255,-5492380,-3307857,-1372059,-1827143,-2115020,-2686356,-3034292,-931304,-398217,-2722164,-10143107,-10185093,-6352194,-19735956
18,Operating Income ratio,0.9681,0.9651,0.9415,0.9443,0.9363,0.9402,0.9447,0.9493,0.9608,0.8868,0.8952,1.0000,0.0027,0.1009,-0.0902,-0.5120,-Infinity,-0.7161,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-40934692,-45868234,-44831474,-45432475,-43038457,-55554419,-62337985,-79402917,-55686682,-44288969,-59665425,-62173264,875676,-6008332,-2524728,5097496,1597432,54878,127701,1025119,335910,209580,-155030,104430,91080,180259,27969,111470,33933,185290,362467,681095,-193266
20,Income Before Tax,4400151,4087347,2496261,2229045,1835659,3593584,2190263,2464877,1586333,1266428,1664864,2483133,1015498,-1890553,-5036655,-5178598,1517370,-317590,-2156554,-4467260,-2971948,-1162479,-1982173,-2010590,-2595275,-2854033,-903334,-286748,-2688230,-9957817,-9822626,-5671099,-19929222
21,Income Before Tax Ratio,0.0940,0.0790,0.0497,0.0442,0.0383,0.0571,0.0321,0.0286,0.0266,0.0247,0.0243,0.0384,0.0198,-0.0463,-0.1808,-0.2580,Infinity,-0.6106,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),1954700,2382765,1204034,1054015,886434,1530087,956642,1460814,767921,517125,1059398,1035883,311283,209436,758699,- -,- -,- -,- -,- -,- -,-414314,521025,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,2685542,2493813,1023812,814976,697390,1527164,872128,976501,426539,424626,518685,952893,772085,-2186128,-5137725,-5178598,1517370,-317590,-2170544,-4467260,-2971948,-748166,-2503198,-2010590,-2595275,-2854033,-903334,-286748,-2688230,-9957817,-9822626,-5671099,-19993848
24,Net Income ratio,0.0573,0.0482,0.0204,0.0161,0.0146,0.0243,0.0128,0.0113,0.0072,0.0083,0.0076,0.0147,0.0151,-0.0536,-0.1845,-0.2580,Infinity,-0.6106,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,0.01,0.01,0.08,0.06,0.05,0.12,0.07,0.07,0.06,0.03,0.05,0.09,0.07,-0.20,-0.48,-0.48,-0.00,-0.00,-0.01,-0.02,-0.01,-0.00,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00,-0.01,-0.02,-0.02,-0.01,-1.48
26,EPS Diluted,0.01,0.01,0.08,0.06,0.05,0.12,0.07,0.07,0.06,0.03,0.05,0.09,0.07,-0.20,-0.48,-0.48,-0.00,-0.00,-0.01,-0.02,-0.01,-0.00,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00,-0.01,-0.02,-0.02,-0.01,-1.48
27,Weighted Average Shares Outstanding,409976775,409976775,12914000,12914000,13050000,12901234,12926316,13052632,87755,77207,64037,10710958,10710958,10710958,10710958,10710958,37680821,243834225,175904359,230456275,232133566,393908129,393986622,394058129,396120321,397808129,397808129,397808129,409976775,520222133,621391730,828356668,13551150
28,Weighted Average Shares Outstanding Diluted,409976775,409976775,12914000,12914000,13050000,12901234,12926316,13052632,87755,77207,64037,10710958,10710958,10710958,10710958,10710958,37680821,243834225,175904359,230456275,232133566,393908129,393986622,394058129,396120321,397808129,397808129,397808129,409976775,520222133,621391730,828356668,13551150
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1728205/000114036121032488/0001140361-21-032488-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11455,283855,1011071,2022970,10045652,7919787,4475625,9426442,11065653,9022408,6038932,3379521,1765247,1385350,3532872,7238489,4432150,18857088,142651648
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2470824,- -,- -,1800211,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2482279,283855,1011071,3823181,10045652,7919787,4475625,9426442,11065653,9022408,6038932,3379521,1765247,1385350,3532872,7238489,4432150,18857088,142651648
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1375226,- -,8387,17411,172869,242683,339879,18768,73409,33596,29865,39698,19282,10314,33944,35493,24679,130096,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2683745,- -,- -,37183,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106460,- -,- -,-1800211,-0,0,- -,- -,- -,-0,-0,- -,- -,0,- -,36617,35000,25587,1251322
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6647710,283855,1019459,2077565,10218521,8162471,4815504,9445210,11139062,9056004,6068796,3419219,1784529,1395664,3566816,7310599,4491829,19012771,143902970
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2408161,- -,- -,739,2900825,2451573,64170,25665,58044,69173,80580,68318,46604,39812,181518,745999,2291316,8495397,27463464
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2470824,- -,- -,- -,- -,5596961,4248316,2590181,765140,294200,37645,70612,8629,- -,- -,- -,- -,- -,16262498
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2470824,- -,- -,- -,- -,- -,- -,- -,0,- -,- -,-0,0,- -,- -,- -,- -,150781,222698
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2408161,- -,- -,739,2900825,8048535,4312487,2615847,823184,363374,118225,138930,55233,39812,181518,745999,2291316,8646178,43948660
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5801651,- -,- -,- -,- -,- -,236449,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9055871,283855,1019459,2078304,13119346,16211005,9127991,12061056,11962246,9419378,6187021,3558149,1839762,1435476,3748334,8056598,6783145,27658949,187851629
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2527424,- -,- -,24488,- -,- -,85914,46445,223365,109238,47455,24008,4248,27423,350460,1901870,1434439,644857,2561834
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2357626,1747873,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,705536,1225577
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,780934,416693,762,3970,436389,583542,91484,51194,53540,84665,251464,281865,38902,19864,132496,87214,709632,362650,2427103
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5665984,2164566,762,28458,436389,583542,177398,97639,276905,193904,298919,305873,43150,47288,482956,1989084,2144071,1713043,6214514
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1880507,1226404
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211573,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29906,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211573,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1910413,1226404
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24931,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268425,140435
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5877557,2164566,762,28458,436389,583542,177398,97639,276905,193904,298919,305873,43150,47288,482956,1989084,2144071,3623456,7440918
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3404711,3532801,5405344,6636700,19358778,22410806,18904348,25531873,32120565,30757034,27791579,28671529,23357605,22741866,27051146,40483348,48853707,74877325,1550
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-226397,-5413512,-4386647,-4626243,-7458430,-12880392,-13837036,-15274245,-21711500,-21910471,-22018008,-25451029,-21637320,-21353678,-24661521,-36382142,-46204768,-51356942,-71334645
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5670700,- -,- -,39390,782609,6097048,3883282,1705789,1276276,378912,114531,31775,76327,- -,875754,1966308,1990135,515110,-827853
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5670700,- -,0,-0,- -,0,- -,- -,0,0,0,-0,-0,0,-0,- -,- -,- -,252571659
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3178314,-1880711,1018696,2049846,12682957,15627463,8950593,11963417,11685341,9225474,5888102,3252276,1796612,1388188,3265378,6067514,4639074,24035493,180410711
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9055871,283855,1019459,2078304,13119346,16211005,9127991,12061056,11962246,9419378,6187021,3558149,1839762,1435476,3748334,8056598,6783145,27658949,187851629
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0,0,-0,0,-0,0,0,-0,0,- -,- -,- -,-0,0,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9055871,283855,1019459,2078304,13119346,16211005,9127991,12061056,11962246,9419378,6187021,3558149,1839762,1435476,3748334,8056598,6783145,27658949,187851629
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1728205/000114036121032488/0001140361-21-032488-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2685542,2493813,1023812,814976,697390,1527164,872128,976501,426539,424626,518685,952893,772085,-2186128,-5137725,-5178598,1517370,-317590,-2170544,-4467260,-2971948,-748166,-2503198,-2010590,-2595275,-2854033,-903334,-286748,-2688230,-9957817,-9822626,-5671099,-19993848
74,Depreciation and Amortization,1495659,1806111,2007746,1862268,1600524,1805561,2016264,2495590,2337674,1393691,1686226,- -,2133566,1679991,1395440,524362,- -,180,12511,47152,51437,13843,7742,4247,8362,13981,7062,7451,1501,1259,8812,- -,11589
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1172164,- -,- -,1319372
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1254936,- -,- -,2197273
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-249205,- -,- -,- -
82,Other Non-Cash Items,-4181200,-4299924,650442,1409756,1152086,3341276,-4178392,1752909,-216213,-1818317,-2204910,-952893,1146349,-886863,3742285,-1372764,-2633370,-136300,955171,3947616,1556132,-43123,1785183,486340,135632,-189704,-391758,-274063,921860,-52538,9813814,5671099,208360
83,Cash Provided by Operating Activities,- -,- -,3682000,4087000,3450000,6674000,-1290000,5225000,2548000,- -,- -,- -,4052000,-1393000,- -,-6027000,-1116000,-453710,-1202862,-472492,-1364378,-777446,-710273,-1520003,-2451281,-3029756,-1288030,-553360,-1764869,-7581996,- -,- -,-16257254
84,CAPEX,- -,- -,-1707888,-2376951,-1046085,-1938548,-3370619,-6287406,-2311298,-2810352,-3142148,-2113559,-2193271,-1432834,-163060,- -,- -,-919,-105654,-104782,-10159,-3882,-26011,-5136,-29476,- -,- -,- -,-4130,-565563,-1537511,-3417255,-18207381
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,10214324,988931,- -,- -,-496522,- -,- -,27966,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16358412
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-50400,-1694098,- -,- -,- -,-1229000,- -,- -,- -,- -,- -,- -,- -,-786877,- -,- -,- -,- -,- -,- -,- -,- -,-36394,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,42000,42000,334000,- -,- -,- -,- -,- -,1476299,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79876,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,180989,-516923,90264,440993,648209,2616078,-252457,1948064,-1234296,-858559,2553740,284878,33690,4422118,- -,- -,-967905,-2962807,-306852,8414,-27800,-12804,3152,1883,- -,- -,-181088,-223,-15000,- -,-20035
89,Cash Used for Investing Activites,- -,- -,-1418766,-2069187,-784898,-1455555,-2388410,-3081491,5956472,126643,-2837746,-2972118,111245,-1147956,-129370,4616482,- -,-919,-1073559,-3067588,-1103888,4532,-27800,-17940,-26324,1883,- -,79876,-185218,-602180,-1552511,-3417255,-34565793
90,Debt Repayment,- -,- -,-515357,-227835,-287239,-40919,- -,-74813,-3030235,-61459,-341784,-22091,-997127,-152010,- -,-3845320,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-435535,-695572
91,Common Stock Issued,- -,- -,115035,1254211,- -,232363,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1555495,1449167,10556466,- -,- -,5414510,- -,- -,256669,- -,- -,- -,3888360,12491525,8831759,27435257,174964132
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000,-98000,-737073,- -,- -,-52904,-1650,- -,- -,- -,- -,- -,-310981,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-1302964,-1160836,-971937,-1152314,-1538298,-1441126,-1379092,-1847495,-1135499,-869903,-546532,-301768,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,58284,0,- -,730700,2105039,201600,-146952,-2866224,979960,67467,-142374,844499,1958063,3469877,950,24934,7763,107905,- -,7942,-113,- -,- -,- -,- -,- -,72007,-657716,-509865,-2315535,349047
95,Cash Used/Provided by Financing Activities,- -,- -,-1645002,-134460,-1259177,-230171,566741,-1314339,-4556279,-4775178,-497323,-824527,-1686033,390722,1958063,-375443,1552445,1376102,9827156,107905,- -,5369548,-1763,- -,256669,- -,- -,- -,3649386,11833809,8321894,24684187,174617607
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-630,52538,234090,133434,- -
97,Net Change In Cash,- -,- -,-240040,849338,260519,3190969,-2737829,-281138,3320371,-2909059,-981963,441220,492950,-1670983,-532976,27267,701498,1038508,7733358,-3411738,-2205009,4713351,-788678,-1573503,-2006695,-2850619,-987920,-333362,2107323,3702171,-2806339,14424938,123794560
98,Cash at the End of Period,- -,- -,1286859,2102802,2140934,5532863,2639821,2646003,5852475,1912058,1074084,1401875,1691136,194798,-299841,-283855,1011071,2022970,10045652,7919787,4475625,9426442,11065653,9022408,6038932,3379521,1765247,1385350,3532872,7238489,4432150,18857088,142651648
99,Cash at the Beginning of Period,- -,- -,1526899,1253464,1880415,2341895,5377650,2927140,2532103,4821117,2056047,960654,1198185,1865781,233135,-311121,309574,984462,2312294,11331526,6680635,4713091,11854331,10595912,8045626,6230139,2753167,1718713,1425549,3536318,7238489,4432150,18857088
100,Free Cash Flow,- -,- -,1115840,676034,1258509,2938146,-4286780,-2172715,-391120,-1070877,-789042,2124306,-125534,-2217093,-2524728,-4213772,-850947,-337594,-1125893,-556836,-1111281,-664611,-759114,-1560700,-2266516,-2852502,-987920,-413239,-1360345,-8147559,-11347323,-10392683,-34464635
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1728205/000114036121032488/0001140361-21-032488-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
