,https://roic.ai/company/BEAT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,1461000,2009000,2894000,2554000,2566000,2378000,5176000,5332000,7323000,- -,- -,- -
36,Other Current Assets,- -,- -,- -,385541,430249,1059000,2818000,3086000,1511000,1923000,2433000,2352000,1505000,4477000,10268000,5820000,2000,27000,- -
37,Total Current Assets,- -,- -,- -,14791298,41374843,98661000,92855000,78050000,72596000,43422000,44255000,49471000,47045000,59560000,90108000,146660000,7000,51000,13192
38,PP&E,- -,- -,- -,1779043,15094205,18766000,28243000,22000000,15041000,19851000,18779000,21703000,25554000,25823000,49194000,48377000,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,41162835,45999000,45999000,49362000,3363000,16446000,16469000,29596000,29831000,41068000,223105000,238814000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,2806950,1823000,939000,3764000,2545000,9664000,7312000,22720000,19981000,33472000,141707000,129653000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,43969785,47822000,46938000,53126000,5908000,26110000,23781000,52316000,49812000,74540000,364812000,368467000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36636000,17681000,19975000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,599728,2600695,524000,286000,3516000,1430000,627000,731000,1288000,1732000,2425000,2767000,3322000,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,2378771,61664685,67112000,75467000,78642000,22379000,46588000,43291000,75307000,77098000,139424000,434454000,440141000,- -,- -,- -
46,Other Assets,22151000,22802000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,806
47,Total Assets,22151000,22802000,- -,17170069,103039528,165773000,168322000,156692000,94975000,90010000,87546000,124778000,124143000,198984000,524562000,586801000,7000,51000,13998
48,Accounts Payable,- -,- -,- -,1642132,3971781,3838000,7160000,7127000,4094000,6349000,8718000,13195000,8496000,12425000,13227000,18157000,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,26577152,1137216,72000,- -,- -,- -,- -,- -,938000,1250000,1250000,2050000,5125000,42000,4295000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,465578,461000,393000,408000,872000,2195000,1945000,2248000,2625000,3972000,4298000,3080000,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,5285412,6424886,10287000,9919000,9881000,10453000,9946000,8377000,18940000,11517000,13860000,31380000,23261000,312000,541000,- -
53,Total Current Liabilities,- -,- -,- -,33504696,11999461,14658000,17472000,17416000,15419000,18490000,19040000,35321000,23888000,31507000,50955000,49623000,354000,4836000,- -
54,Long-Term Debt,- -,- -,- -,2911115,1655449,- -,- -,- -,- -,- -,- -,23070000,21944000,23911000,197306000,193424000,3380000,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,965000,1497000,1157000,854000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,3191000,705000,866000,767000,1258000,1233000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,611024,116249697,33000,- -,- -,- -,656000,910000,1453000,1152000,4652000,26598000,33269000,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,3522139,117905146,998000,1497000,4348000,1559000,1522000,1677000,25781000,24329000,28563000,223904000,226693000,3380000,- -,- -
59,Other Liabilities,14151000,25565000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,588
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,14151000,25565000,- -,37026835,129904607,15656000,18969000,21764000,16978000,20012000,20717000,61102000,48217000,60070000,274859000,276316000,3734000,4836000,588
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1186463,1399402,24000,24000,24000,25000,25000,26000,27000,27000,28000,32000,33000,- -,- -,1
64,Retained Earnings,- -,- -,- -,-75961053,-81720186,-72515000,-92991000,-112851000,-174273000,-186475000,-193794000,-203587000,-196159000,-142722000,-158678000,-115858000,-3728000,-4796000,-9224
65,Other Comprehensive Income/Loss,- -,- -,- -,-14099528,-27919300,-34203000,-44246000,-45623000,-54354000,-61075000,-43445000,-49854000,-54579000,-60070000,-71902000,-67202000,- -,- -,- -
66,Other Total Stockholders Equity,8000000,- -,- -,69017352,81375005,256811000,286566000,293378000,306599000,317523000,304042000,317090000,326637000,341678000,481305000,493512000,- -,- -,22633
67,Total Stockholders Equity,8000000,-2763000,- -,-19856766,-26865079,150117000,149353000,134928000,77997000,69998000,66829000,63676000,75926000,138914000,250757000,310485000,-3727000,-4785000,13410
68,Total Liabilities And Stockholders Equity,22151000,22802000,- -,17170069,103039528,165773000,168322000,156692000,94975000,90010000,87546000,124778000,124143000,198984000,525616000,586801000,7000,51000,13998
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1054000,- -,- -,- -,- -
70,Total Liabilities & Equity,22151000,22802000,- -,17170069,103039528,165773000,168322000,156692000,94975000,90010000,87546000,124778000,124143000,198984000,524562000,586801000,7000,51000,13998
71,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1574774/000104746914001401/0001047469-14-001401-index.htm,https://www.sec.gov/Archives/edgar/data/1574774/000104746915001062/a2223115z10-k.htm,https://www.sec.gov/Archives/edgar/data/1574774/000104746916010284/0001047469-16-010284-index.html,https://www.sec.gov/Archives/edgar/data/1574774/000104746917000837/0001047469-17-000837-index.html,https://www.sec.gov/Archives/edgar/data/1574774/000157477418000014/0001574774-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1574774/000157477419000018/0001574774-19-000018-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1779372/000177937222000011/0001779372-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-7644732,-358071,9205000,-20476000,-19860000,-61422000,-12202000,-7319000,-9793000,7428000,53437000,-15956000,42820000,-536000,-1068000,-4428
74,Depreciation and Amortization,- -,- -,- -,2656291,4549025,8693000,10937000,12071000,12132000,9378000,12318000,12550000,12488000,14269000,28561000,40168000,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1033000,53000,-2499000,245000,-38141000,6050000,-2294000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,3392000,16625000,3945000,4006000,3747000,3303000,4037000,4952000,6502000,7680000,9261000,- -,10000,192
77,Change in Working Capital,- -,- -,- -,-2893877,48088780,54627618,-8620000,-14749000,-3457000,-32245000,283000,-11065000,9007000,4896000,11100000,57884000,-97384000,-4438000,4798192
78,Accounts Receivable,- -,- -,- -,- -,- -,-29733000,-21436000,-3062000,-6653000,-3635000,-4597000,-12795000,-7677000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-548000,-885000,340000,299000,188000,-753000,665000,-1991000,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,-134000,3322000,-1182000,-3033000,552000,2369000,47000,-4699000,3145000,-9622000,3760000,- -,- -,-357
81,Other Working Capital,- -,- -,- -,-18713398,29375382,84003000,75383000,60634000,57177000,24932000,25215000,14150000,23157000,28053000,39153000,97037000,-347000,-4785000,13192
82,Other Non-Cash Items,- -,- -,- -,4969589,-52517373,-65609618,9438000,28955000,53771000,38098000,2621000,15581000,-19770000,-2112000,-13653000,-75093000,97702000,4896000,-4797186
83,Cash Provided by Operating Activities,- -,- -,- -,-2912729,-237639,10308000,7904000,10362000,5030000,5743000,11259000,8811000,14350000,38851000,23782000,72746000,-218000,-600000,-3230
84,CAPEX,- -,- -,- -,-913666,-13050946,-11804000,-19938000,-5247000,-3954000,-5962000,-8169000,-12781000,-13600000,-10899000,-13697000,-24637000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-36942000,-49657000,-11935000,- -,- -,- -,- -,-1322000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,9750000,47898000,39636000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-45906548,-4836000,- -,-9852000,- -,-28155000,- -,-14100000,- -,-25282000,-162169000,-4214000,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-913666,-58957494,-16640000,-19938000,-42291000,-5713000,-6416000,-8169000,-26881000,-13600000,-36181000,-177188000,-28851000,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,-3171000,-72000,- -,- -,- -,-84000,-26963000,-1418000,-13259000,-31703000,-5790000,- -,-20000,- -
91,Common Stock Issued,- -,- -,- -,167960,102184432,46475000,36000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,456
92,Common Stock Repurchased,- -,- -,- -,-180,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,4810209,-28807813,3108000,3051000,1472000,509000,440000,847000,42889000,-353000,14686000,198160000,6391000,206000,639000,15942
95,Cash Used/Provided by Financing Activities,- -,- -,- -,4977989,73376619,46412000,3015000,1482000,509000,440000,763000,15926000,-1771000,1427000,166457000,601000,206000,619000,16398
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31000,-81000,371000,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,1151594,14181486,40080000,-9019000,-30447000,-174000,-233000,3853000,-2144000,-1021000,4066000,12970000,44867000,-12000,19000,-10808
98,Cash at the End of Period,- -,- -,- -,3909150,18090636,58171000,49152000,18705000,18531000,18298000,22151000,20007000,18986000,23052000,36022000,80889000,5000,24000,13192
99,Cash at the Beginning of Period,- -,- -,- -,2757556,3909150,18091000,58171000,49152000,18705000,18531000,18298000,22151000,20007000,18986000,23052000,36022000,17000,5000,24000
100,Free Cash Flow,- -,- -,- -,-3826395,-13288585,-1496000,-12034000,5115000,1076000,-219000,3090000,-3970000,750000,27952000,10085000,48109000,-218000,-600000,-3230
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1574774/000104746914001401/0001047469-14-001401-index.htm,https://www.sec.gov/Archives/edgar/data/1574774/000104746915001062/a2223115z10-k.htm,https://www.sec.gov/Archives/edgar/data/1574774/000104746916010284/0001047469-16-010284-index.html,https://www.sec.gov/Archives/edgar/data/1574774/000104746917000837/0001047469-17-000837-index.html,https://www.sec.gov/Archives/edgar/data/1574774/000157477418000014/0001574774-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1574774/000157477419000018/0001574774-19-000018-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1779372/000177937222000011/0001779372-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,
