,https://roic.ai/company/GRVY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
57,Other Non-Current Liabilities,20000000,- -,1186239620,791250000,2865000000,4576796244,6819834983,11228464443,1091000000,650000000,1420000000,1084000000,930000000,490000000,329000000,333000000,314000000,560000000,503000000,3769000000,5203000000,6589764000
58,Total Non-Current Liabilities,20000000,- -,4744958480,2053750000,4718000000,4576796244,7847068192,11277153582,10930000000,10580000000,13013000000,10157000000,10102000000,7365000000,5597000000,6933000000,4410000000,7141000000,4101000000,3872000000,5304000000,6687990000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,58000000,- -,11862396200,11875000000,14688000000,23818327179,23291936415,21395131132,19327000000,18828000000,27078000000,22219000000,20477000000,18765000000,15248000000,15737000000,25096000000,71885000000,97622000000,59659000000,88024000000,80685465000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1186239620,3010000000,2680000000,3437593686,3313226283,3475655438,3474000000,3474000000,3474000000,3474000000,3474000000,3474000000,3474000000,3474000000,3474000000,3474000000,3474000000,3474000000,3474000000,3474450000
64,Retained Earnings,- -,- -,-1186239620,14015000000,40689000000,42135505161,19383482599,-2880149819,-5652000000,1265000000,4995000000,19923000000,7699000000,-10889000000,-31796000000,-48761000000,-48511000000,13962000000,45405000000,84668000000,147371000000,213317805000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1250000,-136000000,-198860798,-359265501,-245318353,3402000000,3262000000,3552000000,3042000000,3001000000,1674000000,1521000000,694000000,617000000,-40000000,138000000,274000000,- -,- -
66,Other Total Stockholders Equity,150000000,- -,- -,2313750000,2106000000,74108124338,71247227673,75168539485,75247000000,75395000000,75395000000,75395000000,75395000000,75076000000,75076000000,75076000000,75076000000,27164000000,27141000000,27128000000,26065000000,29278652000
67,Total Stockholders Equity,150000000,- -,- -,19337500000,45339000000,119482362387,93584671054,75518726752,76471000000,83396000000,87416000000,101834000000,89569000000,69335000000,48275000000,30483000000,30656000000,44560000000,76158000000,115544000000,176910000000,246070907000
68,Total Liabilities And Stockholders Equity,208000000,- -,11862396200,31212500000,60027000000,143300689566,116876607469,96913857883,95798000000,102224000000,114494000000,124053000000,110046000000,88100000000,63523000000,46220000000,55752000000,116445000000,173780000000,175203000000,264934000000,326756372000
69,Minority Interest,- -,- -,- -,- -,- -,21984611,27499335,68352060,137000000,214000000,10996000000,8825000000,509000000,-335000000,-427000000,-491000000,-562000000,-562000000,-606000000,222000000,438000000,769951000
70,Total Liabilities & Equity,208000000,- -,11862396200,31212500000,60027000000,143322674177,116904106804,96982209943,95935000000,102438000000,125490000000,132878000000,110555000000,87765000000,63096000000,45729000000,55190000000,115883000000,173174000000,175425000000,265372000000,327526323000
71,SEC Link,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1313310/000114554906000930/h00617e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000114554907001173/h01298e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000114554908001180/h02250e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000095012309018944/h03133e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000095012310054555/h04158e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000095012311062658/h05180e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000119312512191082/d283775d20f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000119312513177435/d451611d20f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000104746914004408/a2219817z20-f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000104746915003935/a2224384z20-f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000119312516547162/d64640d20f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000119312517145523/d506087d20f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000095012318003832/grvy-20f_20171231.htm,https://www.sec.gov/Archives/edgar/data/1313310/000156459019013202/grvy-20f_20181231.htm,https://www.sec.gov/Archives/edgar/data/1313310/000156459020019403/grvy-20f_20191231.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,15917500000,28211000000,-2997901470,-21238357072,-23213483195,-2773000000,6917000000,3730000000,14928000000,-12224000000,-18588000000,-20907000000,-16965000000,250000000,13319000000,31443000000,39876000000,62703000000,65879791000
74,Depreciation and Amortization,- -,- -,1186239620,1777500000,3191000000,5313280705,7112569836,7485018742,8501000000,5627000000,3708000000,4088000000,5864878000,6709433000,5453625000,4763000000,236542000,520000000,1413000000,3653000000,4920000000,- -
75,Deferred Income Tax,- -,- -,- -,-1078750000,-2024000000,-6165684023,7980129489,-559925095,- -,- -,- -,- -,- -,- -,- -,- -,- -,1144000000,3053000000,11526000000,25455000000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,121000000,148000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,-3558718860,-740000000,876000000,16268611977,3431207299,-5422284656,-5235000000,740000000,-793000000,-20561000000,-3301000000,3871000000,9275000000,1177000000,1329000000,12879000000,6704000000,-17213000000,-12951000000,-2883876000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-1393000000,265000000,1213000000,1437000000,-1611000000,1660000000,265000000,24000000,-6363000000,-27786000000,-18573000000,30143000000,-29116000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-710911000,-437000000,-1366000000,-795000000,-636000000,-1702000000,102000000,1584000000,35046000000,27319000000,-37145000000,15510000000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-4992505248,3934179000,-5096441958,-1403000000,1494000000,-1123000000,-9000000000,-1170000000,2547000000,6854000000,482000000,6841000000,6881000000,-3164000000,-11888000000,6805000000,- -
82,Other Non-Cash Items,- -,- -,-2372479240,1178750000,1274000000,5319276508,1923179272,11077715379,6338000000,2429000000,1743000000,2724000000,8934122000,4763567000,31375000,5047000000,612458000,-1726000000,-6641000000,-11471000000,-10271000000,11187043000
83,Cash Provided by Operating Activities,- -,- -,-4744958480,17055000000,31528000000,17737583698,-791271177,-10632958824,6952000000,15861000000,8388000000,1179000000,-726000000,-3244000000,-6147000000,-5978000000,2428000000,26136000000,35972000000,26371000000,69856000000,74182958000
84,CAPEX,- -,- -,-2372479240,-5155000000,-11906000000,-14437893480,-2725982428,-9618913878,-5862000000,-3373000000,-6541000000,-6311000000,-4315000000,-1566000000,-342000000,-418000000,-178000000,-2064000000,-2249000000,-2343000000,-3696000000,-4211341000
85,Acquisitions Net,- -,- -,- -,- -,- -,-9095633060,- -,- -,-6054000000,-229000000,-11277000000,- -,890000000,579000000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-4446250000,-8253000000,-50428699927,-8241816705,- -,- -,-5000000000,-5495000000,-2223000000,-2500000000,-500000000,-41500000000,-49000000000,-53500000000,-500000000,- -,-30274000000,-32356000000,-78883900000
87,Sales/Maturities of Investments,- -,- -,- -,763750000,147000000,494653743,13466690281,37500000080,- -,- -,8808000000,5021000000,- -,- -,45005000000,52000000000,43000000000,7014000,13000000000,42768000,22479000,594774000
88,Other Investing Activites,- -,- -,-1186239620,-2625000000,1651000000,-4740681525,8022709104,1473782775,-757000000,-11694000000,-6460000000,-4025000000,-2109000000,-693000000,320000000,13000000,11000000,-1590014000,-1036000000,-1311768000,-2644479000,-2435203000
89,Cash Used for Investing Activites,- -,- -,-3558718860,-11462500000,-18361000000,-78208254249,10521600252,29354868976,-9028000000,-17550000000,-15873000000,-2793000000,-5192000000,-1234000000,3483000000,2595000000,-10667000000,-2982000000,10823000000,-32526000000,-36049000000,-82471756000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-294000000,-195000000,-143000000,-168000000,-228000000,-619000000,-144000000,-117000000,-5000000,- -,-197000000,-2034000000,-2893000000,-3647934000
91,Common Stock Issued,- -,- -,- -,3478750000,- -,71075247351,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,5931198100,-3813750000,-2538000000,-1236134706,-725627604,-438202248,212000000,140000000,418000000,- -,353000000,- -,- -,- -,- -,- -,- -,348000000,346000000,341915000
95,Cash Used/Provided by Financing Activities,- -,- -,5931198100,-335000000,-2538000000,69839112645,-725627604,-438202248,-82000000,-55000000,275000000,-168000000,125000000,-619000000,-144000000,-117000000,-5000000,- -,-197000000,-1686000000,-2547000000,-3306019000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,1738000000,-91000000,-1000000,90000000,-182000000,-136000000,-32000000,27000000,55000000,-779000000,358000000,1218000000,-56000000,67278000
97,Net Change In Cash,- -,- -,5931198100,5257500000,10629000000,9368442094,9004701472,18283707904,-420000000,-1835000000,-7211000000,-1692000000,-5975000000,-5233000000,-2840000000,-3473000000,-8189000000,22375000000,46956000000,-6623000000,31204000000,-11527539000
98,Cash at the End of Period,- -,- -,- -,5865000000,15849000000,25600079953,33684023671,53617977642,53168000000,51333000000,44122000000,42430000000,36455000000,31222000000,28382000000,24909000000,16720000000,39095000000,86051000000,79428000000,110632000000,99104943000
99,Cash at the Beginning of Period,- -,- -,2372479240,607500000,5220000000,16231637859,24679322200,35334269738,53588000000,53168000000,51333000000,44122000000,42430000000,36455000000,31222000000,28382000000,24909000000,16720000000,39095000000,86051000000,79428000000,110632482000
100,Free Cash Flow,- -,- -,-7117437720,11900000000,19622000000,3299690218,-3517253604,-20251872702,1090000000,12488000000,1847000000,-5132000000,-5041000000,-4810000000,-6489000000,-6396000000,2250000000,24072000000,33723000000,24028000000,66160000000,69971617000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1313310/000114554906000930/h00617e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000114554907001173/h01298e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000114554908001180/h02250e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000095012309018944/h03133e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000095012310054555/h04158e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000095012311062658/h05180e20vf.htm,https://www.sec.gov/Archives/edgar/data/1313310/000119312512191082/d283775d20f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000119312513177435/d451611d20f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000104746914004408/a2219817z20-f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000104746915003935/a2224384z20-f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000119312516547162/d64640d20f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000119312517145523/d506087d20f.htm,https://www.sec.gov/Archives/edgar/data/1313310/000095012318003832/grvy-20f_20171231.htm,https://www.sec.gov/Archives/edgar/data/1313310/000156459019013202/grvy-20f_20181231.htm,https://www.sec.gov/Archives/edgar/data/1313310/000156459020019403/grvy-20f_20191231.htm,- -,- -
102,Forex Rate,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0009,0.0009,0.0009,0.0009,0.0009,0.00085,0.000937,0.000898,0.000866,0.000921,0.000841
