,https://roic.ai/company/REFR,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3676998,-5845087,-4413722,-4279856,-4238410,-2413859,-2686128,-3808978,-2340864,-1846352
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1.8786,-2.7044,-2.7606,-2.1320,-3.4289,-1.5996,-1.8044,-2.4354,-2.8256,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-613397,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-800000,-800000,-800000,-700000,-1000000,-1400000,-1800000,-2900000,-2900000,-2500000,-3200000,-2600000,-3700000,-7567800,-4540670,-3951116,-4772308,-4262741,-3747532,-3303633,-7565218,-2594843,-4002761,-3874865,-4134068,-3063601,-5845087,-4413722,-4279856,-4238410,-2413859,-2686128,-3808978,-2340864,-1846352
24,Net Income ratio,-2.6667,-2.6667,-1.6000,-1.4000,-2.5000,-2.8000,-3.6000,-4.8333,-29.0000,-25.0000,-32.0000,-26.0000,-18.5000,-22.6817,-31.9761,-18.1645,-18.4839,-21.1739,-27.0108,-20.3127,-18.8022,-1.5446,-5.6392,-5.0485,-4.8867,-1.5652,-2.7044,-2.7606,-2.1320,-3.4289,-1.5996,-1.8044,-2.4354,-2.8256,-Infinity
25,EPS,-0.20,-0.17,-0.18,-0.17,-0.20,-0.19,-0.24,-0.33,-0.32,-0.25,-0.32,-0.24,-0.34,-0.63,-0.38,-0.33,-0.38,-0.33,-0.27,-0.24,-0.50,-0.17,-0.25,-0.22,-0.22,-0.15,-0.25,-0.19,-0.18,-0.18,-0.10,-0.10,-0.13,-0.07,-0.06
26,EPS Diluted,-0.20,-0.17,-0.18,-0.17,-0.20,-0.19,-0.24,-0.33,-0.32,-0.25,-0.32,-0.24,-0.34,-0.63,-0.38,-0.33,-0.38,-0.33,-0.27,-0.24,-0.50,-0.17,-0.25,-0.22,-0.22,-0.15,-0.25,-0.19,-0.18,-0.18,-0.10,-0.10,-0.13,-0.07,-0.06
27,Weighted Average Shares Outstanding,4000000,4705882,4444444,4117647,5000000,7368421,7500000,8787879,9196479,9924875,10201961,10878141,11100196,12096108,12085609,12152506,12436879,12792091,13692011,14028509,15278796,15441789,16065248,17321360,18538041,20125309,22946019,23663229,24007974,24043846,24043846,25956232,30011556,31487785,31650396
28,Weighted Average Shares Outstanding Diluted,4000000,4705882,4444444,4117647,5000000,7368421,7500000,8787879,9473684,10000000,10201961,11111111,11100196,12096108,12085609,12152506,12436879,12792091,13692011,14028509,15278796,15441789,16065248,17321360,18538041,20125309,22946019,23663229,24007974,24043846,24043846,25956232,30011556,31487785,31650396
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793524/0000793524-96-000004-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793524/000079352409000003/0000793524-09-000003-index.html,https://www.sec.gov/Archives/edgar/data/793524/000079352410000012/0000793524-10-000012-index.html,- -,https://www.sec.gov/Archives/edgar/data/793524/000120677412001041/0001206774-12-001041-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000120677413001035/0001206774-13-001035-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000120677414000818/0001206774-14-000818-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000120677415000852/0001206774-15-000852-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000120677416004855/0001206774-16-004855-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000149315217002495/0001493152-17-002495-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000149315218003279/0001493152-18-003279-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000149315219003330/0001493152-19-003330-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000149315220003807/0001493152-20-003807-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000149315221005808/0001493152-21-005808-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000149315222006393/0001493152-22-006393-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2700000,1400000,200000,500000,300000,200000,4400000,200000,3800000,500000,2200000,5400000,8100000,3806172,853210,5117571,5072290,2602063,3644685,3000521,7260192,2367512,3760534,6957544,2403364,8390233,5866123,7569537,5712310,1691603,1737847,2969416,6591960,4772705,269964
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,11311658,7083606,11250,7875,- -,- -,- -,- -,2299496,- -,- -,1255056,5052921,5076930,1501554,1513784,1523333,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2700000,1400000,200000,500000,300000,200000,4400000,200000,3800000,500000,2200000,5400000,9300000,15117830,7936816,5128821,5080165,2602063,3644685,3000521,7260192,4667008,3760534,6957544,3658420,13443154,10943053,9071091,7226094,3214936,1737847,2969416,6591960,4772705,269964
34,Net Receivables,- -,- -,- -,- -,- -,- -,5700000,100000,100000,100000,- -,- -,200000,- -,201811,138147,159891,54544,40000,65000,101028,128787,376491,380177,484050,688318,867162,1175218,1314675,1117146,597441,689677,656062,598292,831636
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,700000,- -,4500000,3700000,-200000,6900000,6000000,7600000,7500000,1300000,200000,240989,134050,26661,82027,60357,138408,60860,108236,141736,170460,118099,169634,201949,135080,121252,133465,256892,29697,52729,58835,56512,2848042
37,Total Current Assets,2700000,1400000,900000,500000,4800000,3900000,9900000,7200000,9900000,8200000,9700000,6700000,9700000,15358819,8272677,5293629,5322083,2716964,3823093,3126381,7469456,4937531,4307485,7455820,4312104,14333421,11945295,10367561,8674234,4588974,2364985,3711822,7306857,5427509,3949642
38,PP&E,100000,200000,200000,100000,100000,100000,100000,100000,100000,200000,200000,300000,300000,347703,279618,200815,135878,121104,111507,102651,127419,159900,143770,109768,82428,59041,64365,660201,836216,651655,482561,313177,915709,738214,562778
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1503525,- -,- -,- -,- -,- -,- -,2755111
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,100000,- -,100000,- -,- -,- -,100000,- -,- -,100000,- -,- -,22605,772607,772607,232309,22605,22605,22605,62530,186449,22605,219103,22605,22605,22605,33567,33567,33567,33567,33567,33567,33567,-2721544
45,Total Non-Current Assets,200000,300000,200000,200000,100000,100000,100000,200000,100000,200000,300000,300000,300000,370308,1052225,973422,368187,143709,134112,125256,189949,346349,166375,328871,105033,81646,86970,2197293,869783,685222,516128,346744,949276,771781,596345
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2900000,1700000,1100000,700000,4900000,4000000,10000000,7400000,10000000,8400000,10000000,7000000,10000000,15729127,9324902,6267051,5690270,2860673,3957205,3251637,7659405,5283880,4473860,7784691,4417137,14415067,12032265,12564854,9544017,5274196,2881113,4058566,8256133,6199290,4545987
48,Accounts Payable,- -,- -,- -,- -,- -,- -,1700000,100000,100000,100000,100000,100000,200000,203787,79197,88609,85821,116440,132584,120345,144441,104680,52388,51938,96146,72269,56603,159312,46734,29932,58090,133486,169750,33410,66460
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166377,182091
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37500,12000,23683,10000,5000,5000,- -,- -,25000,25000,25000,25000,25000,- -,- -,- -,824,50570,7734,- -,- -
52,Other Current Liabilities,600000,100000,300000,300000,200000,200000,200000,100000,100000,100000,300000,200000,300000,787423,158285,191976,111339,341930,173367,133671,184156,307015,231135,235301,188793,145123,80725,323372,421478,339338,254833,273606,209945,26279,49385
53,Total Current Liabilities,600000,100000,300000,300000,200000,200000,1900000,200000,200000,200000,400000,300000,500000,991210,274982,292585,220843,468370,310951,259016,328597,411695,308523,312239,309939,242392,162328,482684,468212,369270,313747,457662,387429,226066,297936
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,464128
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,501414,812596,646219,- -
58,Total Non-Current Liabilities,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,501414,812596,646219,464128
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,975832,812596,- -
61,Total Liabilities,600000,200000,300000,300000,200000,200000,1900000,200000,200000,200000,400000,300000,500000,991210,274982,292585,220843,468370,310951,259016,328597,411695,308523,312239,309939,242392,162328,482684,468212,369270,313747,959076,1200025,872285,762064
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1210,1211,1222,1268,1281,1381,1451,1544,1544,1652,1828,1854,2265,2311,2392,2404,2404,2404,2767,3125,3158,3165
64,Retained Earnings,-5700000,-6400000,-7200000,-8000000,-9000000,-10400000,-12200000,-15100000,-18000000,-20500000,23700000,-26400000,-30100000,-37658531,-42199201,-46150317,-50922625,-55185366,-58932898,-62236531,-69801749,-72396592,-76399353,-80274218,-84408286,-87471887,-93316974,-98130702,-102410558,-106648968,-109062827,-111690934,-115499912,-117840776,-119687128
65,Other Comprehensive Income/Loss,- -,-100000,-100000,-200000,-200000,-200000,-300000,-400000,-500000,-500000,-600000,-700000,-800000,-928211,-1046868,-1161038,-1273130,-1355866,-1402006,-1439668,-1477094,-1520833,-1560910,-1605225,-1645082,-1680045,-1725257,-1757081,-1897251,-2074866,-2250509,-2431556,-2668294,- -,- -
66,Other Total Stockholders Equity,8000000,8000000,8100000,8600000,13900000,14400000,20600000,22700000,28300000,29200000,- -,33800000,40400000,53323449,52294778,53284599,57663914,58932254,63979777,66667369,78608107,78788066,82123948,89350067,90158712,103322342,106909857,111967561,113381210,113626356,113878298,117219213,125221189,123164623,123467886
67,Total Stockholders Equity,2300000,1500000,800000,400000,4700000,3800000,8100000,7200000,9800000,8200000,9600000,6700000,9500000,14737917,9049920,5974466,5469427,2392303,3646254,2992621,7330808,4872185,4165337,7472452,4107198,14172675,11869937,12082170,9075805,4904926,2567366,3099490,7056108,5327005,3783923
68,Total Liabilities And Stockholders Equity,2900000,1700000,1100000,700000,4900000,4000000,10000000,7400000,10000000,8400000,10000000,7000000,10000000,15729127,9324902,6267051,5690270,2860673,3957205,3251637,7659405,5283880,4473860,7784691,4417137,14415067,12032265,12564854,9544017,5274196,2881113,4058566,8256133,6199290,4545987
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2900000,1700000,1100000,700000,4900000,4000000,10000000,7400000,10000000,8400000,10000000,7000000,10000000,15729127,9324902,6267051,5690270,2860673,3957205,3251637,7659405,5283880,4473860,7784691,4417137,14415067,12032265,12564854,9544017,5274196,2881113,4058566,8256133,6199290,4545987
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793524/0000793524-96-000004-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793524/000079352409000003/0000793524-09-000003-index.html,https://www.sec.gov/Archives/edgar/data/793524/000079352410000012/0000793524-10-000012-index.html,- -,https://www.sec.gov/Archives/edgar/data/793524/000120677412001041/0001206774-12-001041-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000120677413001035/0001206774-13-001035-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000120677414000818/0001206774-14-000818-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000120677415000852/0001206774-15-000852-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000120677416004855/0001206774-16-004855-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000149315217002495/0001493152-17-002495-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000149315218003279/0001493152-18-003279-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000149315219003330/0001493152-19-003330-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000149315220003807/0001493152-20-003807-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000149315221005808/0001493152-21-005808-index.htm,https://www.sec.gov/Archives/edgar/data/793524/000149315222006393/0001493152-22-006393-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-800000,-800000,-700000,-1000000,-1400000,-1800000,-2900000,-2900000,-2500000,-3200000,-2600000,-3700000,-7567800,-4540670,-3951116,-4772308,-4262741,-3747532,-3303633,-7565218,-2594843,-4002761,-3874865,-4134068,-3063601,-5845087,-4413722,-4279856,-4238410,-2413859,-2686128,-3808978,-2340864,-1846352
74,Depreciation and Amortization,- -,- -,100000,100000,100000,100000,100000,100000,100000,- -,100000,100000,100000,109137,118657,114170,112092,82736,46140,37662,37426,43739,40077,44315,39857,34963,45212,31824,140170,188501,175643,181047,195377,67082,- -
75,Deferred Income Tax,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126408,445913,772604,702837,878578,2719380,1042917,725016,67531,76299,69309,841612,327554,- -
77,Change in Working Capital,- -,- -,-700000,-400000,4400000,-900000,4300000,-1000000,2700000,-1700000,1300000,-2900000,2800000,5167609,-6369914,-2996651,100196,-2852646,1263548,-644777,4273494,-2615023,-526874,3144619,-3141416,10088864,-2308062,-1898090,-1678855,-3986318,-2168466,1202922,3665268,-1717985,-1549737
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-354268,-260042,-439306,-463743,-283034,476490,-77565,-123021,-23597,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-156770,- -
81,Other Working Capital,- -,1300000,600000,200000,4600000,3700000,8000000,7000000,9700000,8000000,9300000,6400000,9200000,14367609,7997695,5001044,5101240,2248594,3512142,2867365,7140859,4525836,3998962,7143581,4002165,14091029,11782967,9884877,8206022,4219704,2051238,3254160,6919428,5201443,3651706
82,Other Non-Cash Items,- -,800000,1600000,700000,-4600000,800000,-4300000,-600000,-1700000,-100000,2100000,2700000,-1800000,-926704,5853530,3167839,435039,3423581,-1482991,645390,-262887,2625443,311118,-3288726,3180206,-10617897,2143698,1913256,1512713,3963253,2859843,-838210,-2975998,1411522,3396089
83,Cash Provided by Operating Activities,- -,- -,200000,-200000,-1100000,-1400000,-1700000,-4400000,-1800000,-4300000,300000,-2700000,-2600000,-3217758,-4938397,-3665758,-4124981,-3609070,-3920835,-3265358,-3517185,-2414276,-3732527,-3202053,-3352584,-2679093,-3244859,-3323815,-3580812,-4005443,-1470540,-2071060,-2082719,-2252691,- -
84,CAPEX,- -,- -,-100000,- -,- -,- -,-100000,-100000,- -,-100000,-100000,-100000,-100000,-137519,-50572,-35367,-47155,-67962,-36543,-28806,-62194,-76220,-23947,-10313,-12517,-11576,-50536,-627660,-316185,-11715,-6549,-11663,-65282,-56536,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-4200000,- -,-1800000,-1700000,- -,- -,-9500000,-5800000,-2500000,-12588032,- -,- -,- -,- -,- -,- -,- -,-6896996,- -,- -,-2255056,-3797865,-24009,-3005079,- -,-9549,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,800000,- -,- -,- -,- -,6600000,12100000,2400000,2526363,4315981,6991771,- -,- -,- -,- -,- -,4485000,2299496,- -,1000000,- -,- -,5076930,1491295,- -,1523333,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-100000,1700000,- -,- -,- -,- -,- -,- -,- -,-750002,- -,-74902,44203,- -,- -,-37500,- -,- -,- -,- -,224903,- -,- -,- -,6000,- -,- -,- -,3713,- -
89,Cash Used for Investing Activites,- -,- -,-100000,- -,-4200000,700000,-200000,-1800000,- -,-100000,-3000000,6200000,-200000,-10199188,3515407,6956404,-122057,-23759,-36543,-28806,-99694,-2488216,2275549,-10313,-1267573,-3584538,-74545,1444191,1175110,-15264,1516784,-11663,-65282,-52823,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,300000,5000000,800000,6100000,2900000,5500000,1400000,1200000,500000,5600000,12394718,6614721,3175362,4201757,1162602,5000000,2650000,7876550,9812,2850000,6409376,65977,12250500,795294,3583038,548475,- -,- -,3314292,5770545,284207,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-300000,- -,-300000,- -,-100000,-100000,-700000,-300000,-3314169,-8144693,-2354608,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
