,https://roic.ai/company/PRG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85861000,112391000,21311000,22226000,20519000,20385000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5912000,11589000,8761000,826000,- -,2760000
44,Other Non-Current Assets,- -,89000000,85900000,98200000,106600000,2900000,3600000,3700000,2500000,4400000,- -,4277000,10767000,11577000,21530000,25760000,13382000,26213000,26237000,50128000,22954000,29425000,37316000,67403000,36082000,134781000,58986000,- -,- -,- -,- -,18881000,26548000,24161000,31887000,7899000,12772000
45,Total Non-Current Assets,- -,89000000,85900000,98200000,106600000,94000000,92500000,92800000,100800000,136800000,- -,187528000,227492000,255853000,297279000,356647000,112760000,139292000,181306000,236120000,257798000,315155000,432450000,485295000,463274000,545904000,511013000,556680000,586400000,1068869000,1063449000,1030978000,1124708000,1224184000,1526968000,498439000,502185000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,89000000,85900000,98200000,106600000,102000000,100700000,101100000,108200000,144900000,- -,198103000,239382000,272174000,318408000,380379000,397196000,483648000,555292000,700288000,858515000,979606000,1113176000,1233270000,1321456000,1502072000,1735149000,1812929000,1827176000,2456844000,2658875000,2615736000,2692264000,2826692000,3297800000,1317404000,1621761000
48,Accounts Payable,- -,- -,- -,- -,- -,9600000,11300000,11700000,14200000,20900000,- -,24999000,31071000,33461000,36941000,34693000,65344000,64131000,83854000,93565000,112817000,121018000,141030000,173926000,177284000,- -,- -,225532000,243910000,270421000,300356000,71941000,80821000,88369000,89959000,8630000,13741000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55365000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137000000,- -,- -,- -,- -,146515000,97192000,83778000,- -,50000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31116000,66084000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44571000,- -,- -,- -,- -,- -,- -,- -,- -,46565000,45070000
52,Other Current Liabilities,- -,- -,- -,- -,- -,800000,- -,200000,- -,- -,- -,3264000,- -,- -,- -,- -,- -,- -,- -,- -,75896000,94498000,83162000,182983000,163670000,440652000,423235000,13278000,42854000,39041000,14031000,193966000,194077000,177514000,360527000,69619000,122213000
53,Total Current Liabilities,- -,- -,- -,- -,- -,10400000,11300000,11900000,14200000,20900000,- -,90768000,31071000,33461000,36941000,34693000,65344000,64131000,83854000,93565000,188713000,215516000,224192000,356909000,340954000,440652000,604806000,238810000,286764000,309462000,314387000,412422000,372090000,349661000,450486000,174814000,181024000
54,Long-Term Debt,- -,31300000,26600000,37100000,40400000,34000000,35500000,34100000,33100000,53100000,- -,- -,76486000,51727000,72760000,104769000,77713000,73265000,79570000,116655000,211873000,129974000,185832000,114817000,55044000,41790000,153789000,128250000,128250000,594241000,601156000,351314000,271606000,340974000,338360000,29516000,615064000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40213000,- -,46022000,45241000,61069000,69233000,62427000,68060000,80579000,91914000,46565000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,6700000,6000000,4300000,5100000,5200000,- -,- -,6687000,7811000,14410000,20986000,20963000,50517000,55290000,95173000,- -,- -,- -,- -,- -,- -,- -,263721000,226958000,268551000,307481000,276116000,222592000,267500000,310395000,126938000,146265000
57,Other Non-Current Liabilities,- -,18900000,19200000,19900000,21500000,4300000,3900000,4100000,3600000,5900000,- -,- -,8683000,10304000,10579000,11393000,13209000,15190000,16392000,19717000,23458000,27101000,29772000,- -,38198000,- -,- -,- -,- -,- -,- -,31859000,29912000,27270000,369386000,-46565000,- -
58,Total Non-Current Liabilities,- -,50200000,45800000,57000000,61900000,45000000,45400000,42500000,41800000,64200000,- -,- -,91856000,69842000,97749000,137148000,111885000,138972000,151252000,231545000,235331000,157075000,215604000,114817000,93242000,82003000,153789000,437993000,400449000,923861000,977870000,721716000,592170000,716323000,1110055000,156454000,761329000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13278000,14454000,11841000,9294000,- -,- -,- -,372056000,29516000,25410000
61,Total Liabilities,- -,50200000,45800000,57000000,61900000,55400000,56700000,54400000,56000000,85100000,- -,90768000,122927000,103303000,134690000,171841000,177229000,203103000,235106000,325110000,424044000,372591000,439796000,471726000,434196000,522655000,758595000,676803000,687213000,1233323000,1292257000,1134138000,964260000,1065984000,1560541000,331268000,942353000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10766000,10766000,11816000,11816000,11816000,11816000,12679000,19018000,28527000,28527000,30252000,30252000,30252000,30252000,45376000,45376000,45376000,45376000,45376000,45376000,45376000,45376000,45376000,45376000,45376000,41039000
64,Retained Earnings,- -,32700000,37300000,42300000,46800000,49600000,50200000,52800000,58400000,66600000,- -,96226000,113864000,134511000,159313000,185782000,197321000,223928000,252924000,294077000,349377000,424991000,499109000,585827000,694689000,809084000,918699000,1087032000,1202219000,1274233000,1403120000,1534983000,1819524000,2005344000,2029613000,1236378000,1055526000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,-29900000,-32900000,-36800000,-29300000,-54000000,- -,-60532000,-69500000,-112800000,-132000000,-36449000,-39151000,-45339000,-52428000,-61231000,-70823000,-77782000,-94667000,-1000000,-122016000,1000000,-154725000,-173915000,-197904000,-216065000,-1000000,-1000000,1000000,-1000000,-311252000,- -,- -
66,Other Total Stockholders Equity,- -,6100000,2800000,- -,- -,26900000,26700000,30700000,23100000,47200000,- -,60875000,61325000,135344000,144589000,47389000,49981000,89277000,100672000,113805000,127390000,229554000,238686000,146465000,284335000,123957000,167204000,177633000,90272000,119977000,-80878000,-97761000,-137896000,-289012000,-26478000,-295618000,- -
67,Total Stockholders Equity,- -,38800000,40100000,41200000,44700000,46600000,44000000,46700000,52200000,59800000,- -,107335000,116455000,168871000,183718000,208538000,219967000,280545000,320186000,375178000,434471000,607015000,673380000,761544000,887260000,979417000,976554000,1136126000,1139963000,1223521000,1366618000,1481598000,1728004000,1760708000,1737259000,986136000,679408000
68,Total Liabilities And Stockholders Equity,- -,89000000,85900000,98200000,106600000,102000000,100700000,101100000,108200000,144900000,- -,198103000,239382000,272174000,318408000,380379000,397196000,483648000,555292000,700288000,858515000,979606000,1113176000,1233270000,1321456000,1502072000,1735149000,1812929000,1827176000,2456844000,2658875000,2615736000,2692264000,2826692000,3297800000,1317404000,1621761000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,89000000,85900000,98200000,106600000,102000000,100700000,101100000,108200000,144900000,- -,198103000,239382000,272174000,318408000,380379000,397196000,483648000,555292000,700288000,858515000,979606000,1113176000,1233270000,1321456000,1502072000,1735149000,1812929000,1827176000,2456844000,2658875000,2615736000,2692264000,2826692000,3297800000,1317404000,1621761000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1808834/000180883421000012/0001808834-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1808834/000180883422000016/0001808834-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,3300000,1000000,3100000,6100000,8800000,11300000,15393000,18396000,21484000,25602000,27261000,12336000,27440000,36426000,52616000,57993000,78635000,80275000,90189000,112601000,118376000,113767000,173043000,120666000,78233000,135709000,139283000,292536000,196210000,31472000,-61465000,243557000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,14800000,17300000,22900000,29400000,41000000,58800000,70693000,77487000,98090000,112746000,133109000,153548000,179040000,215397000,277187000,333131000,395581000,444874000,471393000,519371000,549532000,603564000,661433000,685105000,1018234000,1292847000,1386673000,1531203000,1822054000,2077419000,93814000,33258000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-100000,-1200000,-1700000,800000,100000,-1100000,-899000,3805000,1124000,6599000,6576000,1168000,29554000,3496000,39919000,-20261000,18490000,-11394000,66345000,15032000,63843000,59449000,-23241000,-36763000,-7157000,38970000,-35162000,-59201000,48359000,49967000,-141407000,15729000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3696000,4759000,8385000,6454000,2342000,10863000,14163000,21470000,27400000,28182000,26548000,41218000,21349000
77,Change in Working Capital,- -,- -,- -,- -,- -,800000,-2400000,-700000,-500000,-3200000,-6000000,-67393000,61012000,2041000,1328000,4851000,230053000,61133000,9907000,80471000,41401000,36931000,7599000,-65468000,126162000,-1712000,103814000,398109000,-63427000,124501000,202526000,-108703000,23130000,57381000,67499000,-676195000,-2123767000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2339000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6582000,-3567000,-43211000,-18528000,-30419000,-110269000,-173159000,-149826000,-208947000,-270888000,-331636000,-250159000,-229703000
79,Inventory,- -,- -,- -,- -,- -,800000,1800000,100000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-634170000,-594062000,-695904000,-538399000,-1008788000,-1264822000,-1181600000,-1560405000,-1835898000,-2082795000,-2033301000,-1923802000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4635000,16893000,-12788000,25458000,-51643000,-2736000,-20367000,20183000,39660000,70820000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-2400000,-3100000,-3600000,-6800000,-12800000,-80193000,-19181000,-17140000,-15812000,-10961000,219092000,280225000,290132000,370603000,412004000,448935000,456534000,391066000,517228000,515516000,619330000,1017439000,954012000,1078513000,1281039000,1172336000,1195466000,1252847000,1320346000,644151000,-33203000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,1500000,2300000,1300000,2900000,9100000,5700000,71731000,-55405000,-2111000,-5982000,-5632000,-207747000,-75498000,-198177000,-415455000,-418751000,-454676000,-412189000,-486720000,-583445000,-685537000,-581784000,-1156044000,-399486000,-1273636000,-1517454000,-938117000,-1655933000,-1795688000,-1935720000,1199999000,2055835000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,20300000,17000000,24900000,38700000,55800000,68700000,89525000,105295000,120628000,140293000,166165000,189358000,221669000,67049000,34738000,-6487000,74961000,109165000,75739000,193417000,49261000,307195000,59754000,308437000,-48962000,166761000,465444000,159135000,356498000,317185000,455964000,245961000
84,CAPEX,- -,- -,- -,- -,- -,-47200000,-45100000,-48300000,-64500000,-112700000,-113600000,-154557000,-160427000,-196705000,-239963000,-303341000,-272697000,-394302000,-37898000,-37723000,-61449000,-95482000,-141518000,-74924000,-83140000,-87636000,-78211000,-65073000,-58145000,-47565000,-60557000,-57453000,-57973000,-78845000,-92963000,-64345000,-9555000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000000,18000000,7000000,-10000000,-25000000,-29000000,-9000000,-684000000,-59000000,26000000,-144000000,-189000000,-11000000,-14434000,-22766000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6436000,- -,- -,- -,- -,- -,- -,-100513000,-91000000,-74845000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7592000,6993000,- -,- -,- -,- -,- -,- -,102118000,47930000,89993000,- -,- -,2658000,3066000,1212000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,35000000,30200000,25200000,27300000,38000000,41800000,46284000,43302000,70698000,90280000,108654000,110007000,144125000,-36322000,-33737000,-32725000,14889000,35868000,54763000,37373000,53533000,12650000,6990000,7106000,6048000,10707000,11372000,-6022000,1646000,-3525000,-35756000,-49845000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-12200000,-14900000,-23100000,-37200000,-74700000,-71800000,-108273000,-117125000,-126007000,-149683000,-194687000,-162690000,-250177000,-74220000,-70304000,-87181000,-80593000,-155650000,-2161000,-38767000,-44103000,-191074000,-75965000,-86954000,-635524000,-108850000,-20081000,-205337000,-263133000,-106276000,-114535000,-82166000
