,https://roic.ai/company/ARMK,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-451120000,-456807000,-423845000,-334886000,-285942000,-315383000,-287415000,-354261000,-334987000,-382800000,-324296000
20,Income Before Tax,95969000,124968000,90629000,229677000,341996000,430931000,520642000,471876000,556172000,-647719000,-132852000
21,Income Before Tax Ratio,0.0073,0.0093,0.0065,0.0155,0.0239,0.0299,0.0356,0.0299,0.0343,-0.0505,-0.0110
22,Income Tax expense (Gain),-734000,18066000,19233000,80218000,105020000,142699000,146455000,-96564000,118106000,-186284000,-40633000
23,Net Income,83846000,103551000,69356000,148956000,235946000,287806000,373923000,567885000,448549000,-461529000,-90833000
24,Net Income ratio,0.0064,0.0077,0.0050,0.0100,0.0165,0.0200,0.0256,0.0360,0.0276,-0.0360,-0.0075
25,EPS,0.36,0.45,0.30,0.66,0.99,1.19,1.53,2.31,1.82,-1.83,-0.36
26,EPS Diluted,0.36,0.45,0.30,0.63,0.96,1.16,1.49,2.24,1.78,-1.83,-0.36
27,Weighted Average Shares Outstanding,229837345,229837345,229837345,225866000,237616000,242286000,244453000,245771000,246854000,251828000,254748000
28,Weighted Average Shares Outstanding Diluted,229837345,229837345,229837345,237451000,246616000,248763000,251557000,253352000,252010000,251828000,254748000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1584509/000158450915000215/0001584509-15-000215-index.html,https://www.sec.gov/Archives/edgar/data/1584509/000158450916000514/0001584509-16-000514-index.html,https://www.sec.gov/Archives/edgar/data/1584509/000158450917000247/0001584509-17-000247-index.html,https://www.sec.gov/Archives/edgar/data/1584509/000158450918000226/0001584509-18-000226-index.html,https://www.sec.gov/Archives/edgar/data/1584509/000158450919000237/0001584509-19-000237-index.html,https://www.sec.gov/Archives/edgar/data/1584509/000158450920000230/0001584509-20-000230-index.htm,https://www.sec.gov/Archives/edgar/data/1584509/000158450921000256/0001584509-21-000256-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,136748000,110998000,111690000,122416000,152580000,238797000,215025000,246643000,2509188000,532591000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,136748000,110998000,111690000,122416000,152580000,238797000,215025000,246643000,2509188000,532591000
34,Net Receivables,- -,1315997000,1405843000,1582431000,1444574000,1476349000,1615993000,1790433000,1806964000,1431206000,1748601000
35,Inventory,- -,508416000,541972000,553815000,575263000,587155000,610732000,724802000,411319000,436473000,412676000
36,Other Current Assets,- -,224340000,228352000,217040000,236870000,276487000,187617000,171165000,193461000,298944000,204987000
37,Total Current Assets,- -,2185501000,2287165000,2464976000,2379123000,2492571000,2653139000,2901425000,2658387000,4675811000,2898855000
38,PP&E,- -,976309000,977323000,997331000,959345000,1023083000,1042031000,1378094000,2181762000,2602302000,2626248000
39,Goodwill,- -,4729474000,4619987000,4589680000,4558968000,4628881000,4715511000,5610568000,5518800000,5343828000,5487297000
40,Intangible Assets,- -,1595149000,1408764000,1252741000,1111980000,1203643000,1120824000,2136844000,2033566000,2109773000,2211272000
41,Intangible Assets,- -,6324623000,6028751000,5842421000,5670948000,5832524000,5836335000,7747412000,7552366000,7453601000,7698569000
42,Investments,- -,- -,- -,- -,- -,1118802000,1228901000,1274023000,264452000,262609000,405498000
43,Tax Assets,- -,- -,- -,- -,- -,- -,725804000,722179000,812253000,- -,- -
44,Other Non-Current Assets,- -,1000921000,973867000,1150965000,1186941000,115092000,-479981000,-303031000,267101000,718361000,746994000
45,Total Non-Current Assets,- -,8301853000,7979941000,7990717000,7817234000,8089501000,8353090000,10818677000,11077934000,11036873000,11477309000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,10487354000,10267106000,10455693000,10196357000,10582072000,11006229000,13720102000,13736321000,15712684000,14376164000
48,Accounts Payable,- -,873345000,888969000,986240000,844699000,847588000,955925000,1018920000,999517000,663455000,919090000
49,Short-Term Debt,- -,37462000,65841000,89805000,81427000,46522000,78157000,30907000,69928000,171725000,126130000
50,Tax Payable,- -,- -,- -,- -,- -,62510000,75156000,96855000,61816000,53146000,58410000
51,Deferred Revenue,- -,- -,- -,- -,937311000,262976000,978944000,977215000,1088822000,291680000,340587000
52,Other Current Liabilities,- -,1252867000,1434443000,1302828000,317551000,1027659000,355069000,463117000,547031000,1220598000,1471626000
53,Total Current Liabilities,- -,2163674000,2389253000,2378873000,2180988000,2184745000,2368095000,2490159000,2705298000,2347458000,2857433000
54,Long-Term Debt,- -,5971305000,5758229000,5355789000,5184597000,5223514000,5190331000,7213077000,6612239000,9178508000,7707795000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,1207585000,1047002000,993118000,937311000,608375000,978944000,977215000,1088822000,398777000,383224000
57,Other Non-Current Liabilities,- -,177926000,168915000,9877000,10102000,404432000,9798000,10093000,9915000,1051953000,704840000
58,Total Non-Current Liabilities,- -,7356816000,6974146000,6358784000,6132010000,6236321000,6179073000,8200385000,7710976000,10629238000,8795859000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,413477000,381658000
61,Total Liabilities,- -,9520490000,9363399000,8737657000,8312998000,8421066000,8547168000,10690544000,10416274000,12976696000,11653292000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2159000,2194000,2561000,2666000,2726000,2771000,2793000,2829000,2907000,2943000
64,Retained Earnings,- -,-444479000,-479233000,-382463000,-228641000,-33778000,247050000,710519000,1107029000,532379000,327557000
65,Other Comprehensive Income/Loss,- -,-73745000,-59225000,-106298000,-166568000,-180783000,-123760000,-91223000,-216965000,-307258000,-208011000
66,Other Total Stockholders Equity,- -,1449082000,1439971000,- -,2275902000,2372841000,2333000000,2407469000,2427154000,2507960000,- -
67,Total Stockholders Equity,- -,933017000,903707000,1718036000,1883359000,2161006000,2459061000,3029558000,3320047000,2735988000,2722872000
68,Total Liabilities And Stockholders Equity,- -,10453507000,10267106000,10455693000,10196357000,10582072000,11006229000,13720102000,13736321000,15712684000,14376164000
69,Minority Interest,- -,33847000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,10487354000,10267106000,10455693000,10196357000,10582072000,11006229000,13720102000,13736321000,15712684000,14376164000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1584509/000158450915000215/0001584509-15-000215-index.html,https://www.sec.gov/Archives/edgar/data/1584509/000158450916000514/0001584509-16-000514-index.html,https://www.sec.gov/Archives/edgar/data/1584509/000158450917000247/0001584509-17-000247-index.html,https://www.sec.gov/Archives/edgar/data/1584509/000158450918000226/0001584509-18-000226-index.html,https://www.sec.gov/Archives/edgar/data/1584509/000158450919000237/0001584509-19-000237-index.html,https://www.sec.gov/Archives/edgar/data/1584509/000158450920000230/0001584509-20-000230-index.htm,https://www.sec.gov/Archives/edgar/data/1584509/000158450921000256/0001584509-21-000256-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,83846000,103551000,69356000,148956000,235946000,287806000,373923000,567885000,448549000,-461529000,-90833000
74,Depreciation and Amortization,516290000,529213000,542136000,521581000,504033000,495765000,508212000,596182000,592573000,595195000,550692000
75,Deferred Income Tax,-39890000,-66613000,-17791000,37372000,-4108000,52416000,-37856000,-104289000,40503000,-134048000,-43234000
76,Stock Based Compensation,17317000,15678000,19417000,96332000,66416000,56942000,65155000,88276000,55280000,30339000,71053000
77,Change in Working Capital,-278649000,125000,-123915000,188191000,112032000,109691000,-22782000,126222000,-458177000,2375264000,317501000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-45891000,-78771000,362708000,-290214000
79,Inventory,-26000000,-50324000,-34950000,-19810000,-29587000,-9625000,-21147000,-40187000,-49732000,-25675000,-7536000
80,Accounts Payable,27012000,83981000,74462000,9657000,-99265000,-24231000,93965000,26658000,17680000,-342069000,252158000
81,Other Working Capital,21702000,21827000,-102088000,86103000,198135000,307826000,285044000,411266000,-46911000,2328353000,- -
82,Other Non-Cash Items,4694000,109807000,206704000,-594273000,-231283000,-195980000,166735000,-226925000,305499000,-2228539000,-148100000
83,Cash Provided by Operating Activities,303608000,691761000,695907000,398159000,683036000,806640000,1053387000,1047351000,984227000,176682000,657079000
84,CAPEX,-455859000,-497874000,-414951000,-566110000,-527618000,-722135000,-702965000,-2906873000,-558587000,-437628000,-407818000
85,Acquisitions Net,88206000,-1936000,372000,23460000,-143000,10226000,8114000,37985000,304345000,-3081000,-265766000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-151191000,-106193000,7355000,23193000,20193000,-144450000,-131596000,-1991210000,-7456000,61733000,39198000
89,Cash Used for Investing Activites,-363147000,-481576000,-385388000,-505222000,-504334000,-679745000,-678484000,-2865276000,-209521000,-361120000,-634386000
90,Debt Repayment,-31236000,-288940000,-3314853000,-1978606000,-209621000,-1363534000,-3911992000,-973689000,-654560000,-1000463000,-2769171000
91,Common Stock Issued,4593000,11258000,5597000,528489000,39946000,35705000,28779000,21507000,39087000,90022000,41587000
92,Common Stock Repurchased,-16149000,-37704000,-42399000,-4730000,-50176000,-749000,-100000000,-24410000,-50000000,-6540000,- -
93,Dividends Paid,-711172000,- -,- -,-52186000,-81898000,-92074000,-100813000,-103115000,-108439000,-110893000,-112010000
94,Other Financing Activites,865964000,28559000,3015386000,1614788000,133773000,1323921000,3795340000,2873860000,39020000,3465396000,834255000
95,Cash Used/Provided by Financing Activities,112000000,-286827000,-336269000,107755000,-167976000,-96731000,-288686000,1794153000,-734892000,2437522000,-2005339000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-8196000,9461000,6049000
97,Net Change In Cash,52461000,-76642000,-25750000,692000,10726000,30164000,86217000,-23772000,31618000,2262545000,-1976597000
98,Cash at the End of Period,213390000,136748000,110998000,111690000,122416000,152580000,238797000,215025000,246643000,2509188000,532591000
99,Cash at the Beginning of Period,160929000,213390000,136748000,110998000,111690000,122416000,152580000,238797000,215025000,246643000,2509188000
100,Free Cash Flow,-152251000,193887000,280956000,-167951000,155418000,84505000,350422000,-1859522000,425640000,-260946000,249261000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1584509/000158450915000215/0001584509-15-000215-index.html,https://www.sec.gov/Archives/edgar/data/1584509/000158450916000514/0001584509-16-000514-index.html,https://www.sec.gov/Archives/edgar/data/1584509/000158450917000247/0001584509-17-000247-index.html,https://www.sec.gov/Archives/edgar/data/1584509/000158450918000226/0001584509-18-000226-index.html,https://www.sec.gov/Archives/edgar/data/1584509/000158450919000237/0001584509-19-000237-index.html,https://www.sec.gov/Archives/edgar/data/1584509/000158450920000230/0001584509-20-000230-index.htm,https://www.sec.gov/Archives/edgar/data/1584509/000158450921000256/0001584509-21-000256-index.htm
102,false,,,,,,,,,,,
