,https://roic.ai/company/ZSAN,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1587221/000119312516521425/0001193125-16-521425-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000119312517063319/0001193125-17-063319-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000119312518078418/0001193125-18-078418-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000158722119000006/0001587221-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000158722120000004/0001587221-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000158722121000007/0001587221-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000158722122000022/0001587221-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,1818000,-5608000,-14241000,-28427000,-29832000,-29105000,-35358000,-37589000,-33369000,-29925000
74,Depreciation and Amortization,1069000,428000,3042000,2452000,2543000,2553000,764000,683000,1426000,1751000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,63000,65000,184000,653000,1168000,692000,1178000,1612000,1583000,1900000
77,Change in Working Capital,-3457000,-3293000,-10351000,42110000,-24934000,-2521000,9137000,-680000,-2620000,-1003000
78,Accounts Receivable,352000,3334000,3315000,111000,- -,- -,- -,- -,- -,-110000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-100000,265000,-2631000,724000,172000,-34000,98000,1764000,-1472000,582000
81,Other Working Capital,1925000,-1368000,-11719000,30391000,5457000,2936000,12073000,-1288000,21000,-97000
82,Other Non-Cash Items,1008000,4684000,10451000,-40943000,25369000,1262000,-4843000,1157000,1262000,-313000
83,Cash Provided by Operating Activities,501000,-3724000,-10915000,-24155000,-25686000,-27119000,-29122000,-34817000,-31718000,-27590000
84,CAPEX,-21000,-897000,-1176000,-432000,-287000,-1244000,-5490000,-11760000,-8487000,-5423000
85,Acquisitions Net,- -,- -,- -,- -,225000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-365000,- -,-42634000,- -,-8280000,-29788000,-3476000,- -,- -
87,Sales/Maturities of Investments,415000,- -,- -,12120000,30271000,8274000,16050000,17400000,- -,- -
88,Other Investing Activites,1590000,2401000,43000,- -,63000,22000,15000,- -,- -,- -
89,Cash Used for Investing Activites,1984000,1139000,-1133000,-30946000,30272000,-1228000,-19213000,2164000,-8487000,-5423000
90,Debt Repayment,-1112000,- -,- -,-11465000,-2876000,-5808000,-7350000,-3079000,-2240000,- -
91,Common Stock Issued,- -,- -,- -,61615000,6642000,26623000,45604000,26782000,54918000,10216000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,3525000,7349000,10383000,5000,4180000,7570000,6126000,16474000,-1423000
95,Cash Used/Provided by Financing Activities,-1112000,3525000,7349000,60533000,3771000,24995000,45824000,29829000,69152000,8793000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1373000,940000,-4699000,5432000,8357000,-3352000,-2511000,-2824000,28947000,-24220000
98,Cash at the End of Period,4973000,5913000,1214000,6646000,15003000,11651000,9595000,6771000,35718000,11498000
99,Cash at the Beginning of Period,3600000,4973000,5913000,1214000,6646000,15003000,12106000,9595000,6771000,35718000
100,Free Cash Flow,480000,-4621000,-12091000,-24587000,-25973000,-28363000,-34612000,-46577000,-40205000,-33013000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1587221/000119312516521425/0001193125-16-521425-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000119312517063319/0001193125-17-063319-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000119312518078418/0001193125-18-078418-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000158722119000006/0001587221-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000158722120000004/0001587221-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000158722121000007/0001587221-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1587221/000158722122000022/0001587221-22-000022-index.htm
102,false,,,,,,,,,,
