,https://roic.ai/company/CHCI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,-7976000,-88189000,-104320000,105135000,48898000,30984000,32714000,26737000,4275000,12384000,-10976000,7749000,1698000,16333000,-14101000,-26026000,8839000,6659000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1837000,569000,1287000,226000,-222000,-281000,271000,-3643000,-1650000,404000,1886000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,14280000,18276000,19927000,10292000,-8984000,-12413000,-3717000,1562000,-11090000,4778000,22399000,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1356000,504000,240000,-915000,- -
81,Other Working Capital,- -,- -,- -,-44283000,-132472000,-236792000,-131657000,-82759000,-51775000,-19061000,7676000,11951000,24335000,13359000,21108000,22806000,39139000,25038000,-988000,7851000,14510000
82,Other Non-Cash Items,- -,- -,- -,5244000,-71252000,76148000,81226000,-19837000,6856000,-9722000,-15304000,-14773000,-15246000,12491000,271000,-4778000,-6771000,35403000,32831000,-8289000,-3437000
83,Cash Provided by Operating Activities,- -,- -,- -,11146000,-131085000,-86363000,116501000,12899000,11931000,15392000,12736000,-16041000,-4339000,-5224000,2560000,-11816000,5064000,16252000,8394000,3436000,8688000
84,CAPEX,- -,- -,- -,-372000,-298000,-2392000,-129000,- -,- -,-4000,-78000,-158000,-91000,-252000,-163000,-42000,-54000,-80000,-207000,-147000,-188000
85,Acquisitions Net,- -,- -,- -,1215000,- -,-15490000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-579000,- -,-1200000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9764000,- -,-7000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,120000,1000000,- -,- -,- -,- -,- -,- -,19075000,1279000,512000,-578000,269000,-201000,39000,1552000,1818000,1464000
89,Cash Used for Investing Activites,- -,- -,- -,963000,702000,-17882000,-129000,- -,- -,-4000,-9842000,18917000,1181000,260000,-741000,227000,-834000,-41000,145000,1671000,1276000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-63144000,-17697000,-17649000,-38436000,-27512000,-35688000,-27857000,-40078000,-33735000,-29947000,-29191000,-228000,-69000,- -
91,Common Stock Issued,- -,- -,- -,64962000,52942000,18702000,55000,9000,- -,- -,2350000,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-2438000,- -,- -,- -,- -,- -,- -,- -,-103000,-79000,- -,-89000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-28349000,-15067000,-44000,-3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,1677000,67116000,67122000,-130864000,49391000,874000,1651000,38356000,22536000,47202000,28527000,43288000,38637000,21851000,17044000,-5654000,-1517000,-255000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,38290000,104991000,83342000,-130812000,-13744000,-16823000,-15998000,2270000,-4976000,11514000,567000,3131000,4902000,-8185000,-12147000,-5882000,-1586000,-227000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,50399000,-25392000,-20904000,-14441000,-845000,-4892000,-610000,5164000,-2100000,8356000,-4397000,4950000,-6687000,-3955000,4064000,2657000,3521000,8791000
98,Cash at the End of Period,- -,- -,- -,67559000,42167000,21263000,6822000,5977000,1085000,475000,5639000,3539000,11895000,7498000,12448000,5761000,1806000,7011000,3511000,7032000,15823000
99,Cash at the Beginning of Period,- -,- -,- -,17160000,67559000,42167000,21263000,6822000,5977000,1085000,475000,5639000,3539000,11895000,7498000,12448000,5761000,2947000,854000,3511000,7032000
100,Free Cash Flow,- -,- -,- -,10774000,-131383000,-88755000,116372000,12899000,11931000,15388000,12658000,-16199000,-4430000,-5476000,2397000,-11858000,5010000,16172000,8187000,3289000,8500000
101,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/1299969/000095013306001315/w18555e10vk.htm,https://www.sec.gov/Archives/edgar/data/1299969/000095013307001159/w31826e10vk.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312508063651/d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312509069423/0001193125-09-069423-index.html,https://www.sec.gov/Archives/edgar/data/1299969/000119312510073107/0001193125-10-073107-index.html,https://www.sec.gov/Archives/edgar/data/1299969/000119312511084811/d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312512144026/0001193125-12-144026-index.html,https://www.sec.gov/Archives/edgar/data/1299969/000119312513129585/0001193125-13-129585-index.html,https://www.sec.gov/Archives/edgar/data/1299969/000119312514124091/d637127d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312515129688/d882673d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312516528197/d93740d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312517126231/d314334d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000119312518123577/d512324d10k.htm,https://www.sec.gov/Archives/edgar/data/1299969/000156459019010210/0001564590-19-010210-index.html,https://www.sec.gov/Archives/edgar/data/1299969/000156459020016780/0001564590-20-016780-index.htm,https://www.sec.gov/Archives/edgar/data/1299969/000129996921000002/0001299969-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1299969/000129996922000013/0001299969-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
