,https://roic.ai/company/NVO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1351771200,224680500,1790542050,1976962400,2804223000,3154273600,3630297650,6985683250,4793872500,7844361000,8010961000,8756510700,9928179000,11455956274,12279789610,12192224000,12155084550,12555822060,12753693900,14098183890,16472299740,20042678200,23125508000,23124591600,26048000000,29548000000,31877000000,35087000000,37939000000,39752000000,42295000000,46165000000,45097000000,46966000000,49450000000,51888000000,58498000000
11,COGS and Expenses,3425144400,3518526000,4380335250,4693567200,6569176500,7279492800,8425554800,9512246250,11201557500,11677760360,11840483000,12923894976,14649883992,15842937250,17329215440,16571799200,18119847690,19180539900,20215521300,22203679260,25638286660,29631746400,32929046000,33255976400,36486000000,41228000000,44466000000,48552000000,52079000000,54314000000,58483000000,63348000000,62729000000,64583000000,69538000000,72820000000,82156000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,375000000,382000000,514000000,125000000,56000000,101000000,56000000,52000000,69000000,51000000,65000000,337000000,231000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1265000000,2057000000,959000000,1788000000,55000000,39000000,67000000,65000000,90000000,85000000,220000000,390000000,289000000
14,Depreciation and Amortization,199897200,224680500,266417050,323765400,471775500,520417600,591941350,693738500,799092000,1055036150,1138881000,1067460352,1142082936,1468696012,1426850930,1034734800,1077667290,1330605720,1625992500,1904270070,1929017880,2141577400,3012146000,2449933600,2551000000,2467000000,- -,2693000000,2799000000,3435000000,2959000000,3193000000,3182000000,3925000000,5661000000,5753000000,6025000000
15,EBITDA,1076576400,1013265000,963856650,1229071200,1521046500,1658289600,2054349900,2366614250,2671114500,2986329990,3293056400,3596721878,4313622600,5214316674,5382111280,5879539600,7092554490,7622672130,9028692900,9411594150,10149407800,11306850600,14002132000,15175680400,17804000000,22810000000,22884000000,32292000000,35393000000,37570000000,46509000000,51056000000,51952000000,51625000000,54434000000,59273000000,65394000000
16,EBITDA ratio,0.2589,0.2420,0.1917,0.2183,0.1996,0.1990,0.2090,0.2218,0.2032,0.2209,0.2401,0.2413,0.2540,0.2911,0.2570,0.2825,0.2990,0.3030,0.3393,0.3219,0.3010,0.2918,0.3343,0.3323,0.3486,0.3753,0.3449,0.4139,0.4235,0.4231,0.4309,0.4568,0.4651,0.4616,0.4461,0.4669,0.4644
17,Operating Income,733255200,668901750,647448300,936238800,1049931750,1052387200,1403864900,1158530750,1944049500,1840080340,1872641800,1980043644,2334149118,2066746990,3615181890,4243214800,5597186700,5973570360,6403454100,7029884610,8075398380,9120068400,8954614000,12404794800,14933000000,18891000000,22374000000,29474000000,31493000000,34492000000,49444000000,48432000000,48967000000,47248000000,52483000000,54126000000,58644000000
18,Operating Income ratio,0.1763,0.1597,0.1288,0.1663,0.1378,0.1263,0.1428,0.1086,0.1479,0.1361,0.1366,0.1329,0.1374,0.1154,0.1726,0.2039,0.2360,0.2375,0.2406,0.2405,0.2395,0.2353,0.2138,0.2716,0.2924,0.3108,0.3372,0.3777,0.3768,0.3884,0.4581,0.4333,0.4384,0.4225,0.4301,0.4264,0.4165
19,Total Other Income Expenses (Gains),143424000,119682750,49991300,-30933000,-660750,85484800,58543650,514345000,-72027000,91213500,281533600,549217882,837390546,1678873672,340078460,601590000,417700500,318496050,1176627300,477439470,144991540,45204800,2030258000,320952000,-945000000,-605000000,-449000000,-1663000000,1046000000,-396000000,-5961000000,-634000000,-287000000,367000000,-3930000000,-996000000,436000000
20,Income Before Tax,876679200,788584500,697439600,905305800,1049271000,1137872000,1462408550,1672875750,1872022500,1931293840,2154175400,2529261526,3171539664,3745620662,3955260350,4844804800,6014887200,6292066410,7580081400,7507324080,8220389920,9165273200,10984872000,12725746800,13988000000,18286000000,21925000000,27811000000,32539000000,34096000000,43483000000,47798000000,48680000000,47615000000,48553000000,53130000000,59080000000
21,Income Before Tax Ratio,0.2108,0.1883,0.1387,0.1608,0.1377,0.1366,0.1488,0.1568,0.1424,0.1429,0.1571,0.1697,0.1867,0.2091,0.1888,0.2328,0.2536,0.2501,0.2848,0.2568,0.2438,0.2365,0.2622,0.2787,0.2739,0.3009,0.3305,0.3564,0.3894,0.3839,0.4029,0.4276,0.4358,0.4258,0.3979,0.4185,0.4196
22,Income Tax expense (Gain),268920000,267267000,217035400,267398600,303284250,377750400,532215000,400185500,441675000,499849980,592439800,726730820,952420482,1336857298,1545139090,1756642800,2163688590,2201161590,2530635600,2458538880,2363992500,2712288000,2454720000,3059742400,3220000000,3883000000,4828000000,6379000000,7355000000,7615000000,8623000000,9873000000,10550000000,8987000000,9602000000,10992000000,11323000000
23,Net Income,607759200,521317500,480404200,637907200,745986750,760121600,930193550,1272690250,1430347500,1431443860,1561735600,1802530706,2219119182,2408763364,2410121260,3088162000,3851198610,4090904820,4872064800,5048785200,5856397420,6452985200,8535266000,9666004400,10768000000,14403000000,17097000000,21432000000,25184000000,26481000000,34860000000,37925000000,38130000000,38628000000,38951000000,42138000000,47757000000
24,Net Income ratio,0.1462,0.1245,0.0955,0.1133,0.0979,0.0912,0.0946,0.1193,0.1088,0.1059,0.1139,0.1209,0.1307,0.1345,0.1151,0.1484,0.1624,0.1626,0.1831,0.1727,0.1737,0.1665,0.2038,0.2117,0.2108,0.2370,0.2577,0.2747,0.3013,0.2982,0.3230,0.3393,0.3414,0.3454,0.3192,0.3319,0.3392
25,EPS,0.24,0.21,0.19,0.25,0.19,0.24,0.32,0.34,0.38,0.38,0.42,0.48,0.59,0.65,0.67,0.90,1.12,1.18,1.43,1.49,1.78,2.01,2.71,3.13,3.59,4.96,6.05,7.82,9.40,10.10,13.56,14.99,15.42,15.96,16.41,18.05,20.46
26,EPS Diluted,0.24,0.21,0.19,0.25,0.19,0.24,0.32,0.34,0.38,0.38,0.42,0.48,0.59,0.65,0.67,0.90,1.11,1.17,1.42,1.49,1.78,2.00,2.69,3.10,3.56,4.92,6.00,7.77,9.35,10.07,13.52,14.96,15.39,15.93,16.38,18.01,20.46
27,Weighted Average Shares Outstanding,2511111111,2535714286,2541935484,2577777778,4032142857,3133333333,2912962963,3757407407,3758928571,3736507937,3757333333,3735802469,3768604651,3707843137,3575432850,3491933700,3443232964,3464280748,3415868283,3381293801,3283669453,3211861048,3154923571,3089352556,2996104619,2902660218,2827165000,2741690000,2679362000,2621881188,2570796460,2529945000,2473218000,2419603000,2374299000,2333900000,2333900000
28,Weighted Average Shares Outstanding Diluted,2511111111,2535714286,2541935484,2577777778,4032142857,3133333333,2912962963,3757407407,3758928571,3736507937,3757333333,3735802469,3768604651,3707843137,3575432850,3491933700,3468048068,3490884142,3440025617,3394974257,3294719972,3229534803,3178485784,3113209173,3021324355,2927439024,2850660000,2758340000,2693625000,2629692155,2578402367,2534729000,2478093000,2424417000,2378658000,2340000000,2333900000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/353278/000120864606000088/0001208646-06-000088-index.htm,https://www.sec.gov/Archives/edgar/data/353278/000120864607000095/0001208646-07-000095-index.htm,https://www.sec.gov/Archives/edgar/data/353278/000120864608000041/0001208646-08-000041-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2105643600,1994223000,2047814350,2520695800,2947605750,4338353600,6035909450,5818998250,5706441000,6684733370,2999884600,1572002159,1122911280,798675108,1973933670,1275370800,1654093980,1422615690,1265317800,3457320300,3296981540,3271697400,4827616000,8804783200,11296000000,12017000000,13408000000,11553000000,10728000000,14396000000,16923000000,18690000000,18852000000,15638000000,15475000000,12757000000,10720000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1395119670,318496050,1832937000,532317570,1720986540,1830794400,2557000000,1380093600,1530000000,4034000000,4094000000,4552000000,3741000000,1509000000,3542000000,2009000000,- -,- -,- -,- -,6765000000
33,Cash and Short-Term Investments,2105643600,1994223000,2047814350,2520695800,2947605750,4338353600,6035909450,5818998250,5706441000,6684733370,2999884600,1572002159,1122911280,798675108,1973933670,1275370800,3049213650,1741111740,3098254800,3989637870,5017968080,5102491800,7384616000,10184876800,12826000000,16051000000,17502000000,16105000000,14469000000,15905000000,20465000000,20699000000,18852000000,15638000000,15475000000,12757000000,17485000000
34,Net Receivables,888332400,1146898500,1102247200,1244881400,2117703750,1113035200,1054968400,3092342500,1437142500,4040149960,4362108200,5670883120,4769634132,5704731214,6528027830,4708444400,6031595220,4699586160,4387223400,4571345730,6121164580,6498190000,7313020000,8724545200,7862000000,9150000000,12608000000,13584000000,15174000000,17528000000,21613000000,24197000000,23551000000,26889000000,29152000000,32184000000,46799000000
35,Inventory,1295298000,1208575500,1041891850,1125273800,1327446750,1185812800,1396768700,1667230500,2057526000,2479182930,2272220000,2510199734,2715528132,4641741776,4886779610,3970494000,4745077680,5909871150,6551271600,7210982340,7772807340,8396791600,9031324000,9633909200,10016000000,9689000000,9433000000,9543000000,9552000000,11357000000,12758000000,14341000000,15373000000,16336000000,17641000000,18536000000,19621000000
36,Other Current Assets,- -,-734250,609650,687400,- -,- -,- -,- -,- -,- -,- -,- -,4234197168,1917711922,2543195440,2574805200,- -,1401382620,2264564100,2101831230,617790040,841939400,603452000,593761200,1962000000,2403000000,48000000,931000000,2863000000,1503000000,304000000,529000000,2304000000,204000000,188000000,2332000000,1690000000
37,Total Current Assets,4289274000,4348962750,4192563050,4891538400,6392756250,6637201600,8487646550,10578571250,9201109500,13204066260,9634212800,9753085013,12842270712,13062860020,15931936550,12529114400,13825886550,13751951670,16301313900,17873797170,19529730040,20839412800,24332412000,29137092400,32666000000,37293000000,39591000000,40163000000,42058000000,46293000000,55140000000,59766000000,60080000000,59067000000,62456000000,65809000000,85595000000
38,PP&E,2976048000,3638943000,3984062750,4245382400,5139313500,5713619200,6527321300,8116615000,9627835500,10135644120,10124679800,10807440383,12332852424,13830326930,14704696890,10900810800,13591974270,16179599340,16874845800,17681723820,19914272820,20353461200,19632646000,18684755600,19226000000,20507000000,20931000000,21539000000,21882000000,23136000000,25545000000,30179000000,35247000000,41891000000,50551000000,50269000000,55362000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16951800,66482000,- -,- -,70000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4346000000
40,Intangible Assets,34063200,13216500,14631600,26808600,55503000,79708800,150202900,158694250,188901000,189115990,154621800,220401970,256763250,236927544,177432240,32084800,16708020,240641460,218769900,318292980,485406460,621566000,603452000,791681600,1037000000,1388000000,1489000000,1495000000,1615000000,1378000000,2158000000,2714000000,3325000000,5145000000,5835000000,20657000000,38825000000
41,Intangible Assets,34063200,13216500,14631600,26808600,55503000,79708800,150202900,158694250,188901000,189115990,154621800,220401970,256763250,236927544,177432240,32084800,16708020,240641460,218769900,318292980,485406460,638517800,669934000,791681600,1037000000,1458000000,1489000000,1495000000,1615000000,1378000000,2158000000,2714000000,3325000000,5145000000,5835000000,20657000000,43171000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176000000,43000000,39000000,228000000,551000000,856000000,2150000000,2197000000,1762000000,1773000000,1808000000,1648000000,1441000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,773781210,876253220,1909902800,2526316000,1701045600,1455000000,1847000000,2414000000,2244000000,4231000000,5399000000,6806000000,2683000000,1941000000,2893000000,4121000000,5865000000,8672000000
44,Other Non-Current Assets,62748000,149052750,75596600,62553400,72682500,69312000,107034350,-2078079250,222196500,-2399523140,231655600,265673726,254024442,210177660,229183310,1139010400,1395119670,1281061890,1093849500,1048171710,1090588540,954951400,634136000,411888400,182000000,254000000,234000000,- -,- -,- -,- -,- -,- -,- -,841000000,674000000,267000000
45,Total Non-Current Assets,3072859200,3801212250,4074290950,4334744400,5267499000,5862640000,6784558550,6197230000,10038933000,7925236970,10510957200,11293516079,12843640116,14277432134,15111312440,12071906000,15003801960,17701302690,18187465200,19821969720,22366521040,23856833200,23463032000,21589371200,22076000000,24109000000,25107000000,25506000000,28279000000,30769000000,36659000000,37773000000,42275000000,51702000000,63156000000,79113000000,108913000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7362133200,8150175000,8266854000,9226282800,11660255250,12499841600,15272205100,16775801250,19240042500,21129303230,20145170000,21046601092,25685910828,27340292154,31043248990,24601020400,28829688510,31453254360,34488779100,37695766890,41896251080,44696246000,47795444000,50726463600,54742000000,61402000000,64698000000,65669000000,70337000000,77062000000,91799000000,97539000000,102355000000,110769000000,125612000000,144922000000,194508000000
48,Accounts Payable,- -,- -,- -,- -,- -,653265600,739778850,2153976500,926838000,1029496370,2722230400,781533472,581311998,768103812,1005449360,978586400,969065160,863478180,1011071700,1070122950,1500347240,1712131800,1948434000,2284108400,2242000000,2906000000,3291000000,3859000000,4092000000,4950000000,4927000000,6011000000,5610000000,6756000000,6358000000,5717000000,8870000000
49,Short-Term Debt,63644400,62411250,1044940100,1260004200,1809794250,1719515200,1357148250,996700250,960133500,1455159370,725447800,117944838,1339961814,922870998,1145916550,818162400,827046990,566215200,975595500,510366330,1443611420,339036000,404006000,1337300000,418000000,1720000000,351000000,500000000,215000000,720000000,1073000000,229000000,1694000000,515000000,1474000000,7459000000,13684000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,701000000,1252000000,1171000000,1296000000,2983000000,3515000000,4673000000,5048000000,5424000000,5043000000,4212000000,3913000000,3658000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1539118800,2133730500,1072984000,1467599000,1836885000,1795180800,1759266250,272853750,1804072500,2094261960,489358600,2774086417,3393383112,3794662116,4413626970,4620211200,4193713020,4529721600,4659207600,5751224880,7621511820,8108611000,8305136000,9366449200,10755000000,13850000000,17137000000,17279000000,19918000000,28019000000,34873000000,41196000000,39752000000,46893000000,51151000000,57097000000,76962000000
53,Total Current Liabilities,1602763200,2196141750,2117924100,2727603200,3646679250,4167961600,3856193350,3423530500,3691044000,4578917700,3937036800,3673564727,5314656924,5485636926,6564992880,6416960000,5989825170,5959414980,6645874800,7331714160,10565470480,10159778800,10657576000,12987857600,13415000000,18476000000,20779000000,21638000000,24225000000,33689000000,40873000000,47436000000,47056000000,54164000000,58983000000,70273000000,99516000000
54,Long-Term Debt,736840800,920015250,880334600,841377600,1563995250,1140760000,1713732300,2586779000,3343819500,3107339900,1321212800,945941428,1763107650,1834914662,3733470050,946501600,860463030,821012040,756825600,1196342580,1248188040,1175324800,961432000,984252800,970000000,504000000,502000000,- -,- -,- -,- -,- -,- -,- -,3009000000,2897000000,12961000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,46612800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1554040880,1589497150,970565200,1353349620,1118275020,1164801900,1865855400,1840762160,2000312400,2347326000,2412489200,3010000000,2865000000,3206000000,732000000,672000000,7000000,6000000,13000000,846000000,118000000,80000000,2502000000,5271000000
57,Other Non-Current Liabilities,60058800,959664750,103030850,131293400,190296000,162305600,200467650,209501500,250735500,310125900,466636400,403871718,434101068,429908850,524903710,521378000,543010650,658225170,626746200,614634720,649309940,1231830800,1605796000,1283808000,1613000000,2592000000,2763000000,2667000000,2871000000,3072000000,3951000000,4821000000,4638000000,4648000000,5947000000,5925000000,6014000000
58,Total Non-Current Liabilities,843512400,1879680000,983365450,972671000,1754291250,1303065600,1914199950,2796280500,3594555000,3417465800,1787849200,1349813146,2197208718,3818864392,5847870910,2438444800,2756823300,2597512230,2548373700,3676832700,3738260140,4407468000,4914554000,4680550000,5593000000,5961000000,6471000000,3399000000,3543000000,3079000000,3957000000,4834000000,5484000000,4766000000,9036000000,11324000000,24246000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3824000000,3672000000,4129000000
61,Total Liabilities,2446275600,4075821750,3101289550,3700274200,5400970500,5471027200,5770393300,6219811000,7285599000,7996383500,5724886000,5023377873,7511865642,9304501318,12412863790,8855404800,8746648470,8556927210,9194248500,11008546860,14303730620,14567246800,15572130000,17668407600,19008000000,24437000000,27250000000,25037000000,27768000000,36768000000,44830000000,52270000000,52540000000,58930000000,68019000000,81597000000,123762000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,754091968,754087020,753992800,710090850,707769000,709524000,713415300,706045760,672421400,649478000,636554800,620000000,600000000,580000000,560000000,550000000,530000000,520000000,510000000,500000000,490000000,480000000,470000000,462000000
64,Retained Earnings,2869376400,2884868250,3115311500,3458996800,4057665750,4836822400,6127568700,7164449500,8542674000,9733088540,11013062400,12609375408,14593053726,14457038498,14689910870,12352648000,16415629650,19024830720,21149727900,22829289600,26924298580,28812409400,30699342000,33512738000,35146000000,36097000000,37111000000,39001000000,41137000000,41277000000,46816000000,46111000000,48977000000,53406000000,57817000000,63774000000,72004000000
65,Other Comprehensive Income/Loss,-1117810800,-915609750,-1605208450,-1863541400,-2539923000,-2488878400,-3519715200,-3962965500,-799092000,-5221060740,-5917747600,-6084285734,-12335591232,-7745365222,-8849432970,-5871518400,-6432587700,608681340,863254200,609146910,25215920,678072000,900064000,-1064490800,- -,-17711000000,-19409000000,1088000000,903000000,-1502000000,-357000000,-1343000000,349000000,-2046000000,-694000000,-911000000,-1714000000
66,Other Total Stockholders Equity,3164292000,2105094750,3655461400,3930553200,4741542000,4680292800,6893366950,7353879000,4210182000,8619675750,9313885200,9489794011,15861121830,10505061588,11961890180,8510493200,9389907240,2555046090,2572024500,2535368220,-63039800,-33903600,-25570000,-26746000,-32000000,17979000000,19166000000,-17000000,-21000000,-11000000,-10000000,-9000000,-11000000,-11000000,-10000000,-8000000,-6000000
67,Total Stockholders Equity,4915857600,4074353250,5165564450,5526008600,6259284750,7028236800,9501220450,10555363000,11953764000,13131703550,14409200000,16014883685,18118584324,17970826832,18556455100,15745615600,20083040040,22896327150,25294530600,26687220030,27592520460,30128999200,32223314000,33058056000,35734000000,36965000000,37448000000,40632000000,42569000000,40294000000,46969000000,45269000000,49815000000,51839000000,57593000000,63325000000,70746000000
68,Total Liabilities And Stockholders Equity,7362133200,8150175000,8266854000,9226282800,11660255250,12499264000,15271613750,16775174000,19239363000,21128087050,20134086000,21038261558,25630449966,27275328150,30969318890,24601020400,28829688510,31453254360,34488779100,37695766890,41896251080,44696246000,47795444000,50726463600,54742000000,61402000000,64698000000,65669000000,70337000000,77062000000,91799000000,97539000000,102355000000,110769000000,125612000000,144922000000,194508000000
69,Minority Interest,- -,- -,- -,- -,- -,577600,591350,627250,679500,1216180,11084000,8339534,55460862,64964004,73930100,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7362133200,8150175000,8266854000,9226282800,11660255250,12499841600,15272205100,16775801250,19240042500,21129303230,20145170000,21046601092,25685910828,27340292154,31043248990,24601020400,28829688510,31453254360,34488779100,37695766890,41896251080,44696246000,47795444000,50726463600,54742000000,61402000000,64698000000,65669000000,70337000000,77062000000,91799000000,97539000000,102355000000,110769000000,125612000000,144922000000,194508000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/353278/000120864606000088/0001208646-06-000088-index.htm,https://www.sec.gov/Archives/edgar/data/353278/000120864607000095/0001208646-07-000095-index.htm,https://www.sec.gov/Archives/edgar/data/353278/000120864608000041/0001208646-08-000041-index.htm,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,760121600,930193550,1272690250,1430347500,1431443860,1561735600,1802530706,2219119182,2408763364,2410121260,3088162000,3851198610,4090904820,4872064800,5048785200,5856397420,6452985200,8535266000,9666004400,10768000000,14403000000,17097000000,21432000000,25184000000,26481000000,34860000000,37925000000,38130000000,38628000000,38951000000,42138000000,47757000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,520417600,591941350,693738500,799092000,1055036150,1138881000,1067460352,1142082936,1468696012,1426850930,1034734800,1077667290,1330605720,1625992500,1904270070,1929017880,2141577400,3012146000,2449933600,2551000000,2467000000,- -,2693000000,2799000000,3435000000,2959000000,3193000000,3182000000,3925000000,5661000000,5753000000,6025000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-26569600,117087300,-144267500,53001000,-210399140,592439800,- -,-143102718,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6379000000,7355000000,7615000000,8623000000,9873000000,10550000000,8987000000,9602000000,10992000000,11323000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,308000000,409000000,371000000,442000000,368000000,292000000,414000000,363000000,823000000,1040000000
77,Change in Working Capital,- -,- -,- -,- -,- -,294576000,-587210550,-654221750,-542241000,44390570,54865800,-802977988,-237591594,-236290642,-170039230,914416800,-1453597740,-714846690,-1271230500,109756200,-390846760,-1028409200,-1027914000,-561666000,-224000000,297000000,434000000,274000000,-265000000,-2148000000,-2157000000,-3708000000,-3634000000,-3370000000,-3388000000,-4353000000,-8656000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-740000000,-1878000000,-849000000,-290000000,-1268000000,-2134000000,-2444000000,-4749000000,69000000,-2621000000,-2126000000,-2822000000,-12909000000
79,Inventory,- -,- -,- -,- -,- -,140934400,-208155200,-276617250,-380520000,-125874630,106960600,-229337185,-115714638,-154767186,-192218260,-376996400,-843755010,-1132430400,-573531900,-625610340,-617790040,-683722600,-618794000,-652602400,-405000000,327000000,256000000,-110000000,-9000000,-1805000000,-1401000000,-1583000000,-1032000000,-963000000,-1305000000,-895000000,-1085000000
