,https://roic.ai/company/PLYM,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,-Infinity,-Infinity,-2.0578,-0.2783,-0.0740,-0.1079,-0.0214,0.0424,0.0446,-0.1086
19,Total Other Income Expenses (Gains),- -,- -,- -,-12947000,-43296000,-37833000,-11350000,-20123000,-15129000,-19364000,- -
20,Income Before Tax,- -,-2166678,-3472224,-18429000,-48665000,-39288000,-14027000,-21175000,-11938000,-14462000,-15267000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-6.9178,-2.5228,-1.9986,-0.5652,-0.4302,-0.1586,-0.1317,-0.1086
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-2166678,-3472224,-18429000,-48665000,-36987000,-8707000,-18716000,-10420000,-13813000,-15008000
24,Net Income ratio,- -,-Infinity,-Infinity,-6.9178,-2.5228,-1.8815,-0.3508,-0.3803,-0.1384,-0.1257,-0.1067
25,EPS,- -,-0.60,-0.96,-5.08,-13.42,-10.20,-4.45,-5.76,-2.88,-1.52,-0.47
26,EPS Diluted,- -,-0.60,-0.96,-5.08,-13.42,-10.20,-4.45,-5.76,-2.88,-1.52,-0.47
27,Weighted Average Shares Outstanding,- -,3626702,3626702,3626702,3626702,3626702,2150000,4821876,8503375,18381700,32301693
28,Weighted Average Shares Outstanding Diluted,- -,3626702,3626702,3626702,3626702,3626702,2150000,4821876,8503375,18381700,32301693
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1515816/000117152014000297/eps5599.htm,https://www.sec.gov/Archives/edgar/data/1515816/000117152015000223/eps6166.htm,https://www.sec.gov/Archives/edgar/data/1515816/000117152016000898/0001171520-16-000898-index.html,- -,https://www.sec.gov/Archives/edgar/data/1515816/000117152018000145/0001171520-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/1515816/000117152019000138/0001171520-19-000138-index.html,https://www.sec.gov/Archives/edgar/data/1515816/000117152020000141/0001171520-20-000141-index.html,https://www.sec.gov/Archives/edgar/data/1515816/000117152021000110/0001171520-21-000110-index.htm,https://www.sec.gov/Archives/edgar/data/1515816/000117152022000150/0001171520-22-000150-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,175645,174442,265952,4974000,698000,941000,12915000,5394000,10465000,15668000,26232000
32,Short-Term Investments,25425,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,201070,174442,265952,4974000,698000,941000,12915000,5394000,10465000,15668000,26232000
34,Net Receivables,- -,9431,13930,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,744000,757000,9260000,6248000,9567000,11933000,16386000,17142000
37,Total Current Assets,201070,183873,279882,5718000,1455000,10201000,19163000,14961000,22398000,32054000,43374000
38,PP&E,- -,- -,- -,137108000,129714000,123059000,278389000,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,19424000,14773000,10533000,27619000,37940000,57088000,66116000,75864000
41,Intangible Assets,- -,- -,- -,19424000,14773000,10533000,27619000,37940000,57088000,66116000,75864000
42,Investments,- -,1642027,4830938,3722000,2987000,- -,- -,- -,- -,6683000,5833000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,16733,87774,3556000,1122000,1953000,4782000,417262000,605995000,815417000,1145734000
45,Total Non-Current Assets,- -,1658760,4918712,163810000,148596000,135545000,310790000,455202000,663083000,888216000,1227431000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,201070,1842633,5198594,169528000,150051000,145746000,329953000,470163000,685481000,920270000,1270805000
48,Accounts Payable,- -,- -,158221,4149000,4268000,5352000,16015000,21996000,36284000,49335000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,428162000,38000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,430932,81970,1653000,8081000,207000,1357000,- -,- -,-428162000,66880000
53,Total Current Liabilities,- -,430932,240191,5802000,12349000,5559000,17372000,21996000,36284000,49335000,104880000
54,Long-Term Debt,- -,- -,- -,173627000,196800000,145315000,245632000,317180000,397458000,518162000,652142000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,2473000,1941000,32448000,6807000,7067000,8314000,13557000,10273000
58,Total Non-Current Liabilities,- -,- -,- -,176100000,198741000,177763000,252439000,324247000,405772000,531719000,662415000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,2207000,2227000
61,Total Liabilities,- -,430932,240191,181902000,211090000,183322000,269811000,346243000,442056000,581054000,767295000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,48931000,121060000,128661000,135694000,142910000
63,Common Stock,200,3678,11927,13000,13000,3000,39000,49000,141000,253000,361000
64,Retained Earnings,1070,-2212686,-6235036,-24854000,-73519000,-110506000,-119213000,-137983000,-148403000,-162250000,-177258000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1004000,-8522000,-16027000,-25013000,- -,- -,- -,- -
66,Other Total Stockholders Equity,199800,3620709,11181512,13471000,20989000,28504000,148283000,126327000,256259000,360752000,532666000
67,Total Stockholders Equity,201070,1411701,4958403,-12374000,-61039000,-98026000,53027000,109453000,236658000,334449000,498679000
68,Total Liabilities And Stockholders Equity,- -,1842633,5198594,169528000,150051000,85296000,322838000,455696000,678714000,915503000,1265974000
69,Minority Interest,201070,- -,- -,- -,- -,60450000,7115000,14467000,6767000,4767000,4831000
70,Total Liabilities & Equity,201070,1842633,5198594,169528000,150051000,145746000,329953000,470163000,685481000,920270000,1270805000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1515816/000117152014000297/eps5599.htm,https://www.sec.gov/Archives/edgar/data/1515816/000117152015000223/eps6166.htm,https://www.sec.gov/Archives/edgar/data/1515816/000117152016000898/0001171520-16-000898-index.html,- -,https://www.sec.gov/Archives/edgar/data/1515816/000117152018000145/0001171520-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/1515816/000117152019000138/0001171520-19-000138-index.html,https://www.sec.gov/Archives/edgar/data/1515816/000117152020000141/0001171520-20-000141-index.html,https://www.sec.gov/Archives/edgar/data/1515816/000117152021000110/0001171520-21-000110-index.htm,https://www.sec.gov/Archives/edgar/data/1515816/000117152022000150/0001171520-22-000150-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-2166678,-3472224,-18429000,-48665000,-36987000,-8707000,-18716000,-10420000,-13813000,-15008000
74,Depreciation and Amortization,- -,- -,- -,1587000,11785000,11319000,13575000,25484000,35893000,54353000,68546000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,116330,175500,- -,- -,- -,435000,805000,1205000,1439000,1559000
77,Change in Working Capital,- -,404766,286750,-123691,-10810000,15536000,-2851000,-8826000,-6851000,-3395000,478000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,158221,1312000,937000,174000,8832000,5717000,10371000,12330000,9925000
81,Other Working Capital,- -,-247059,39691,-84000,-10894000,4642000,1791000,-7035000,-13886000,-17281000,-5564000
82,Other Non-Cash Items,- -,92837,85015,11660691,43339000,10352000,5129000,16120000,7890000,3161000,2365000
83,Cash Provided by Operating Activities,- -,-1552745,-2924959,-5305000,-4351000,220000,7581000,14867000,27717000,41745000,57940000
84,CAPEX,- -,- -,- -,-154218000,-434000,-850000,-170788000,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,1708000,5582000,231000,- -,- -,-6702000,- -
86,Purchases of Investments,- -,- -,-3900000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,25630,- -,- -,1708000,6063000,231000,- -,- -,- -,- -
88,Other Investing Activites,- -,-1735068,122543,1468000,-1362000,-13277000,-3565000,-141923000,-200467000,-252416000,-356080000
89,Cash Used for Investing Activites,- -,-1709438,-3777457,-152750000,1620000,-1632000,-173891000,-141923000,-200467000,-259118000,-356080000
90,Debt Repayment,- -,- -,- -,-2000000,- -,-114447000,-12500000,-191596000,-155380000,-206566000,-208392000
91,Common Stock Issued,- -,3260980,6985501,1096000,- -,- -,52559000,17843000,153518000,135155000,212033000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-5054000,- -,-416000,-12000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1755000,-11083000,-19930000,-25709000,-31477000
94,Other Financing Activites,- -,- -,-191575,163667000,-1545000,116102000,139980000,312744000,201979000,324565000,337308000
95,Cash Used/Provided by Financing Activities,- -,3260980,6793926,162763000,-1545000,1655000,178284000,122854000,180187000,227029000,309460000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-1203,91510,4708000,-4276000,243000,11974000,-4202000,7437000,9656000,11320000
98,Cash at the End of Period,- -,174442,265952,4974000,698000,941000,12915000,14961000,22398000,32054000,43374000
99,Cash at the Beginning of Period,- -,175645,174442,266000,4974000,698000,941000,19163000,14961000,22398000,32054000
100,Free Cash Flow,- -,-1552745,-2924959,-159523000,-4785000,220000,-163207000,14867000,27717000,41745000,57940000
101,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1515816/000117152014000297/eps5599.htm,https://www.sec.gov/Archives/edgar/data/1515816/000117152015000223/eps6166.htm,https://www.sec.gov/Archives/edgar/data/1515816/000117152016000898/0001171520-16-000898-index.html,- -,https://www.sec.gov/Archives/edgar/data/1515816/000117152018000145/0001171520-18-000145-index.html,https://www.sec.gov/Archives/edgar/data/1515816/000117152019000138/0001171520-19-000138-index.html,https://www.sec.gov/Archives/edgar/data/1515816/000117152020000141/0001171520-20-000141-index.html,https://www.sec.gov/Archives/edgar/data/1515816/000117152021000110/0001171520-21-000110-index.htm,https://www.sec.gov/Archives/edgar/data/1515816/000117152022000150/0001171520-22-000150-index.htm
102,false,,,,,,,,,,,
