,https://roic.ai/company/GPP,2013,2014,2015,2016,2017,2018,2019,2020,2021
34,Net Receivables,1104000,755000,14913000,20290000,19974000,15357000,16651000,14744000,14555000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,623000,541000,2621000,1363000,1158000,690000,517000,-3222000,845000
37,Total Current Assets,3431000,7001000,33919000,22275000,21634000,16616000,17429000,17994000,33045000
38,PP&E,20691000,18568000,41862000,51022000,48305000,40911000,72811000,72723000,67636000
39,Goodwill,10598000,10598000,10598000,10598000,10598000,10598000,10598000,10598000,10598000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,10598000,10598000,10598000,10598000,10598000,10598000,10598000,10598000,10598000
42,Investments,- -,- -,- -,- -,2237000,3648000,4329000,3994000,3193000
43,Tax Assets,1207000,1442000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,8423000,8371000,9398000,9881000,9494000,9371000,486000,11000,- -
45,Total Non-Current Assets,40919000,38979000,61858000,71501000,70634000,64528000,88224000,87326000,81427000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,44350000,45980000,95777000,93776000,92268000,81144000,105653000,105320000,114472000
48,Accounts Payable,2012000,1165000,6128000,6201000,7960000,3177000,5593000,4399000,4954000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,145193000,109245000,12108000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,77000,702000,1222000,248000,- -,- -,- -
52,Other Current Liabilities,483000,350000,7398000,10400000,6876000,4763000,5026000,5438000,5420000
53,Total Current Liabilities,2495000,1515000,13603000,17303000,16058000,8188000,155812000,119082000,22482000
54,Long-Term Debt,8100000,8100000,7879000,136927000,134875000,142025000,- -,97739000,87029000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,349000,739000,797000,843000,- -,- -,- -
57,Other Non-Current Liabilities,580000,672000,2136000,2973000,3384000,2542000,25588000,-65039000,2658000
58,Total Non-Current Liabilities,8680000,8772000,10364000,140639000,139056000,145410000,25588000,32700000,89687000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,349000,739000,797000,843000,36181000,41341000,39670000
61,Total Liabilities,11175000,10287000,23967000,157942000,155114000,153598000,181400000,151782000,112169000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,146290000,76486000,77242000,-71283000,-74298000,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,-7892000,-10450000,-152668000,-279826000,-278752000,-28265000,-31976000,-34301000,- -
66,Other Total Stockholders Equity,41067000,46143000,6121000,139174000,138664000,27094000,30527000,- -,- -
67,Total Stockholders Equity,- -,- -,-257000,- -,- -,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,44350000,45980000,23710000,93776000,92268000,81144000,105653000,105320000,112169000
69,Minority Interest,- -,- -,72067000,- -,- -,- -,- -,- -,2303000
70,Total Liabilities & Equity,44350000,45980000,95777000,93776000,92268000,81144000,105653000,105320000,114472000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1635650/000163565016000060/0001635650-16-000060-index.html,https://www.sec.gov/Archives/edgar/data/1635650/000163565017000006/0001635650-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1635650/000163565018000004/0001635650-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1635650/000163565019000007/0001635650-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1635650/000163565020000007/0001635650-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1635650/000163565021000009/0001635650-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1635650/000163565022000008/0001635650-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,- -,2133000,23009000,56805000,58867000,55681000,41479000,41147000,40362000
74,Depreciation and Amortization,3572000,2568000,5787000,5427000,5111000,4442000,3441000,3806000,3737000
75,Deferred Income Tax,-4255000,-203000,-4076000,-2000,20000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,219000,277000,319000,320000,279000
77,Change in Working Capital,-2409000,4550000,14830000,-15344000,604000,2852000,-146811000,37295000,414000
78,Accounts Receivable,-577000,478000,-13365000,-5377000,316000,4677000,-1294000,1907000,304000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-2063000,-980000,11922000,4086000,-1309000,-8256000,2377000,-1616000,129000
81,Other Working Capital,936000,5486000,20316000,4972000,5576000,8428000,-138383000,-101088000,54000
82,Other Non-Cash Items,-7581000,-4764000,-23587000,15309000,-767000,-7861000,148229000,-34779000,2958000
83,Cash Provided by Operating Activities,-10673000,4284000,15963000,62195000,64054000,55391000,46657000,47789000,47750000
84,CAPEX,-1122000,-547000,-1497000,-537000,-1914000,-1256000,-305000,-162000,-668000
85,Acquisitions Net,-10301000,- -,- -,- -,-2248000,-1425000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1940000,- -,19000,-152312000,- -,2721000,331000,10000000,27500000
89,Cash Used for Investing Activites,-9483000,-547000,-1478000,-152849000,-4162000,40000,26000,9838000,26832000
90,Debt Repayment,-1678000,- -,- -,-89000000,-72200000,-76000000,-88100000,-79000000,-52700000
91,Common Stock Issued,- -,- -,157452000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,-168275000,-53125000,-57771000,-61805000,-45098000,-19800000,-18839000
94,Other Financing Activites,23185000,264000,7018000,217016000,69959000,82441000,86207000,43390000,12124000
95,Cash Used/Provided by Financing Activities,21507000,264000,-3805000,74891000,-60012000,-55364000,-46991000,-55410000,-59415000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1351000,4001000,10680000,-15763000,-120000,67000,-308000,2217000,15167000
98,Cash at the End of Period,1704000,5705000,16385000,622000,502000,569000,261000,2478000,17645000
99,Cash at the Beginning of Period,353000,1704000,5705000,16385000,622000,502000,569000,261000,2478000
100,Free Cash Flow,-11795000,3737000,14466000,61658000,62140000,54135000,46352000,47627000,47082000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1635650/000163565016000060/0001635650-16-000060-index.html,https://www.sec.gov/Archives/edgar/data/1635650/000163565017000006/0001635650-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1635650/000163565018000004/0001635650-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1635650/000163565019000007/0001635650-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1635650/000163565020000007/0001635650-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1635650/000163565021000009/0001635650-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1635650/000163565022000008/0001635650-22-000008-index.htm
102,false,,,,,,,,,
