,https://roic.ai/company/VST,2014,2015,2016,2017,2018,2019,2020,2021
44,Other Non-Current Assets,- -,566000000,953000000,720000000,699000000,516000000,-1759000000,624000000
45,Total Non-Current Assets,- -,12208000000,12694000000,11927000000,22589000000,22502000000,18528000000,21800000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,15658000000,15167000000,14600000000,26024000000,26616000000,21957000000,29683000000
48,Accounts Payable,- -,514000000,479000000,473000000,945000000,947000000,880000000,1515000000
49,Short-Term Debt,- -,1441000000,46000000,44000000,530000000,1091000000,403000000,259000000
50,Tax Payable,- -,109000000,159000000,194000000,192000000,201000000,226000000,207000000
51,Deferred Revenue,- -,- -,- -,4000000,4000000,- -,838000000,- -
52,Other Current Liabilities,- -,857000000,979000000,830000000,2146000000,2536000000,915000000,4069000000
53,Total Current Liabilities,- -,2812000000,1504000000,1351000000,3625000000,4574000000,3036000000,5843000000
54,Long-Term Debt,- -,3000000,4577000000,4379000000,10874000000,10102000000,95000000,10750000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,213000000,- -,- -,10000000,2000000,- -,- -
57,Other Non-Current Liabilities,- -,35514000000,2489000000,2528000000,3648000000,3978000000,1131000000,4798000000
58,Total Non-Current Liabilities,- -,35730000000,7066000000,6907000000,14532000000,14082000000,1226000000,15548000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,15037000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,133000000,254000000,278000000
61,Total Liabilities,- -,38542000000,8570000000,8258000000,18157000000,18656000000,16847000000,21391000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,2000000000
63,Common Stock,- -,- -,4000000,4000000,5000000,5000000,- -,5000000
64,Retained Earnings,- -,- -,-1155000000,-1410000000,-1449000000,-764000000,- -,-1964000000
65,Other Comprehensive Income/Loss,- -,- -,6000000,-17000000,-22000000,-30000000,-48000000,-16000000
66,Other Total Stockholders Equity,- -,- -,7742000000,7765000000,9329000000,8748000000,8361000000,8266000000
67,Total Stockholders Equity,- -,-22884000000,6597000000,6342000000,7863000000,7959000000,8371000000,8291000000
68,Total Liabilities And Stockholders Equity,- -,15658000000,15167000000,14600000000,26020000000,26615000000,25218000000,29682000000
69,Minority Interest,- -,- -,- -,- -,4000000,1000000,-3261000000,1000000
70,Total Liabilities & Equity,- -,15658000000,15167000000,14600000000,26024000000,26616000000,21957000000,29683000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1692819/000169281918000018/0001692819-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1692819/000169281919000005/0001692819-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1692819/000169281920000005/0001692819-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1692819/000169281921000004/0001692819-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000169281922000005/0001692819-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-6229000000,-4677000000,22688000000,-254000000,-54000000,928000000,624000000,-1274000000
74,Depreciation and Amortization,1440000000,995000000,817000000,835000000,1533000000,1876000000,2048000000,2050000000
75,Deferred Income Tax,-2353000000,-883000000,-1324000000,205000000,17000000,318000000,230000000,-528000000
76,Stock Based Compensation,- -,- -,- -,- -,73000000,47000000,65000000,47000000
77,Change in Working Capital,328000000,654000000,331000000,353000000,-1512000000,-270000000,853000000,-1301000000
78,Accounts Receivable,72000000,17000000,-81000000,7000000,-207000000,-88000000,-5000000,-228000000
79,Inventory,-67000000,34000000,74000000,22000000,61000000,-44000000,-59000000,-100000000
80,Accounts Payable,94000000,40000000,-53000000,-30000000,90000000,-221000000,-40000000,402000000
81,Other Working Capital,-16000000,638000000,969000000,1322000000,-190000000,-460000000,393000000,-966000000
82,Other Non-Cash Items,7258000000,4148000000,-22669000000,247000000,1414000000,-163000000,-3820000000,800000000
83,Cash Provided by Operating Activities,444000000,237000000,-157000000,1386000000,1471000000,2736000000,- -,-206000000
84,CAPEX,-413000000,-460000000,-352000000,-531000000,-496000000,-609000000,- -,-1033000000
85,Acquisitions Net,- -,- -,-1343000000,- -,445000000,-880000000,- -,- -
86,Purchases of Investments,-331000000,-418000000,-245000000,-272000000,-274000000,-453000000,- -,-505000000
87,Sales/Maturities of Investments,314000000,401000000,226000000,252000000,252000000,431000000,- -,483000000
88,Other Investing Activites,-364000000,-510000000,-29000000,10000000,-28000000,-206000000,-337000000,-1131000000
89,Cash Used for Investing Activites,-458000000,-650000000,-1465000000,-541000000,-101000000,-1717000000,-1572000000,-1153000000
90,Debt Repayment,-223000000,-21000000,-3570000000,-191000000,-3075000000,-7409000000,- -,-3081000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-763000000,-656000000,- -,-471000000
93,Dividends Paid,- -,- -,-992000000,- -,- -,-243000000,- -,-290000000
94,Other Financing Activites,1334000000,-9000000,5627000000,-10000000,1115000000,7071000000,-1796000000,6116000000
95,Cash Used/Provided by Financing Activities,1111000000,-30000000,1065000000,-201000000,-2723000000,-1237000000,-1796000000,2274000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1097000000,-443000000,-557000000,644000000,-1353000000,-218000000,- -,915000000
98,Cash at the End of Period,1843000000,1400000000,843000000,1487000000,693000000,475000000,- -,1359000000
99,Cash at the Beginning of Period,746000000,1843000000,1400000000,843000000,2046000000,693000000,- -,444000000
100,Free Cash Flow,31000000,-223000000,-509000000,855000000,975000000,2127000000,- -,-1239000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1692819/000169281918000018/0001692819-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1692819/000169281919000005/0001692819-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1692819/000169281920000005/0001692819-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1692819/000169281921000004/0001692819-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1692819/000169281922000005/0001692819-22-000005-index.htm
102,false,,,,,,,,
