,https://roic.ai/company/BRST,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-102180,-568770,-1126393,-1959885,-7939,- -,- -,- -,-808,-4040,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88052658,-8189,-8189,-8189,-8189,-8189,-8189,91917426,93543695,93954760,95011308,94352440,108630982,109582212,109670213,111862607,111865839,53059000,44587000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1686954,1589977,1511684,1440860,1392333,2211813,1952727,3964100,4722818,4787809,-2851099,-562589,93183,27476,-754634,641510,38970,51385000,44812000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1723957,1628598,1544846,1471968,1439979,2284737,1963030,9035693,10692052,11400144,3142129,38028,402401,336134,142153,768381,192081,192259000,192754000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51000,-165806000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1723957,1628598,1544846,1471968,1439979,2284737,1963030,9035693,10692052,11400144,3142129,38028,402401,336134,142153,768381,192081,192310000,26948000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764897/000156459020058064/0001564590-20-058064-index.htm,https://www.sec.gov/Archives/edgar/data/764897/000156459021018959/0001564590-21-018959-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-5400000,-7300000,-500000,-400000,-700000,- -,- -,-252635,-179039,-76055,-104154,-30076,-96977,-78293,-70824,-48527,-610520,-562836,-47669,-977851,-829050,-8920051,1142827,-11088060,-1104478,-872609,-715776,-602540,-1890000,-9524000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,263897,728182,903735,1078292,2445,- -,- -,- -,808,3232,182000,10442000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1359637,-290795,- -,569582,- -,- -,- -,- -,- -,- -,-704000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28750,87500,91096,28153,5538,5189,6633175,555520,165000,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,5200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1612727,-2359342,-873808,-52820,-3917061,5027715,655772,-65707,-782110,1374336,-599308,1258606,-127998000
78,Accounts Receivable,- -,- -,- -,-100000,200000,- -,200000,100000,- -,- -,- -,- -,2906,12211,272348,-4732,7624,2635,-14051,3983,- -,5052,-154473,239855,65241,22478,- -,- -,- -,- -,- -,-715000,-855000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,2700000,-2800000,-100000,-100000,- -,- -,- -,- -,- -,-8840,10575,-596,1618,-5459,-2054,16538,25278,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1960000,456000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1612727,-746615,-1620423,-1673243,-5590304,-562589,93183,27476,-754634,619702,20394,1279000,-126719000
82,Other Non-Cash Items,- -,- -,- -,-1500000,3700000,-200000,200000,- -,- -,- -,82968,-9868,-138189,22786,271752,-3114,2165,581,2487,459261,-1669522,2851411,850280,147680,9578390,-6975928,3499390,11146,704169,-1495014,675191,-4172606,124662000
83,Cash Provided by Operating Activities,- -,- -,- -,-1700000,-3600000,-700000,-200000,-700000,- -,- -,-169667,-188907,-214244,-81368,241676,-100091,-76128,-70243,-46040,-151259,-590881,-563840,-472896,197698,-1605310,-797752,-299723,-603519,-785550,-835646,-523425,-5326000,-2418000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-448790,-889705,-601551,-1023945,- -,- -,- -,- -,-22616,- -,-69340000,-4323000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-340000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-2100000,-900000,- -,- -,-1005000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,200000,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,3200000,4700000,500000,-100000,-300000,- -,- -,1130300,106189,1072759,- -,- -,- -,- -,- -,- -,- -,- -,-4921929,- -,523065,- -,- -,- -,- -,- -,-50000,- -,-70318000,-6247000
89,Cash Used for Investing Activites,- -,- -,- -,3200000,4700000,500000,-2000000,700000,- -,- -,125300,106189,1072759,- -,- -,- -,- -,- -,- -,- -,-340000,-5370719,-889705,-78486,-1023945,- -,- -,- -,- -,-72616,- -,-70318000,-6247000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-363853,-670761,-1447621,-4284313,- -,- -,- -,- -,-363208,-45236,-4668000,-3308000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,583000,- -,- -,- -,- -,- -,- -,1000000,275000,- -,- -,- -,500000,308000,650000,528500,- -,1810264,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62500,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100030,-201835,-166958,- -,- -,- -,- -,- -,- -,-306000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4849100,2094000,1782508,6272038,511131,25000,- -,458618,169138,- -,92075000,10361000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,- -,- -,583000,- -,- -,- -,- -,- -,- -,1000000,275000,4422747,1323209,133052,2320767,819131,675000,528500,458618,1616194,-45236,87101000,7053000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,500000,- -,- -,-44367,-82718,1441515,-81368,241676,-100091,-76128,-70243,-46040,848741,-655881,-1511812,-39392,252264,-308488,21379,375277,-75019,-326932,707932,-568661,11457000,-1612000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,193710,110992,1552507,1471139,1712815,1612724,1536596,1466353,1420313,2269054,1613173,101361,61969,314233,5745,27124,402401,327382,450,708382,139721,11595000,9983000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1500000,2600000,2400000,300000,- -,- -,238077,193710,110992,1552507,1471139,1712815,1612724,1536596,1466353,1420313,2269054,1613173,101361,61969,314233,5745,27124,402401,327382,450,708382,138000,11595000
100,Free Cash Flow,- -,- -,- -,-1700000,-3600000,-700000,-200000,-700000,- -,- -,-169667,-188907,-214244,-81368,241676,-100091,-76128,-70243,-46040,-151259,-590881,-1012630,-1362601,-403853,-2629255,-797752,-299723,-603519,-785550,-858262,-523425,-6304000,-2418000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764897/000156459020058064/0001564590-20-058064-index.htm,https://www.sec.gov/Archives/edgar/data/764897/000156459021018959/0001564590-21-018959-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
