,https://roic.ai/company/PRO,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10505000,- -,- -,- -,- -,13373000,15478000,12544000,9510000
44,Other Non-Current Assets,- -,- -,468154,2144371,2592681,2297000,3743000,5390000,5882000,6265000,1351000,2290000,2268000,6013000,7233000,5190000,6831000,7549000,9003000
45,Total Non-Current Assets,- -,- -,3021463,4517243,5656072,5198000,6702000,8638000,10585000,19053000,42699000,59836000,52681000,53997000,86627000,90824000,127362000,145671000,210954000
46,Other Assets,34112000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,34112000,- -,50289643,63046409,68980123,76594000,85329000,98128000,121259000,146479000,179828000,300125000,263722000,227654000,288683000,436967000,513307000,539971000,494483000
48,Accounts Payable,- -,- -,1633321,584372,1466227,1088000,1198000,2131000,4915000,3775000,7839000,10564000,8273000,2744000,2976000,6934000,9098000,4246000,4034000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,136529000,- -,5937000,8457000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,13174190,22079937,20258519,16288000,14099000,28429000,33094000,39774000,42274000,57313000,60664000,68349000,75604000,99262000,124459000,99156000,97713000
52,Other Current Liabilities,- -,- -,5381488,8290083,7681649,12279000,12575000,6604000,6457000,10927000,14889000,20509000,17417000,25628000,23445000,32025000,62577000,38579000,44625000
53,Total Current Liabilities,- -,- -,20188999,30954392,29406395,29655000,27872000,37164000,44466000,54476000,65002000,88386000,86354000,96721000,102025000,274750000,196134000,147918000,154829000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,110448000,116371000,122299000,213203000,88661000,110704000,262127000,326321000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,2418000,1461000,2850000,2007000,2977000,1121000,4665000,11389000,19591000,17903000,17801000,11372000,8553000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,26056341,21414925,5885422,3187000,- -,- -,- -,1327000,546000,1171000,918000,639000,843000,754000,23672000,1517000,1196000
58,Total Non-Current Liabilities,- -,- -,26056341,21414925,5885422,3187000,2418000,1461000,2850000,3334000,3523000,112740000,121954000,134327000,233637000,107318000,152177000,275016000,336070000
59,Other Liabilities,42574000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29564000,50036000,46491000
61,Total Liabilities,42574000,- -,46245340,52369317,35291817,32842000,30290000,38625000,47316000,57810000,68525000,201126000,208308000,231048000,335662000,382068000,348311000,422934000,490899000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,23431,23581,29926,30000,30000,31000,31000,32000,33000,34000,34000,35000,36000,42000,47000,48000,49000
64,Retained Earnings,- -,- -,4987015,11552475,-10764958,-8000,5508000,3577000,9927000,14882000,18328000,-19223000,-85034000,-160259000,-238185000,-292708000,-361789000,-438773000,-508652000
65,Other Comprehensive Income/Loss,- -,- -,-6633427,-7492685,-8022622,-8411000,-9268000,-9797000,-8209000,-9278000,-11952000,-2000000,-4000000,-5000000,-3000000,-3000000,-4000000,-3431000,-4659000
66,Other Total Stockholders Equity,- -,- -,5667284,6593721,52445960,52141000,58769000,65692000,72194000,83033000,104894000,120188000,144414000,161830000,194170000,350565000,530738000,559193000,516846000
67,Total Stockholders Equity,-8462000,- -,4044303,10677092,33688306,43752000,55039000,59503000,73943000,88669000,111303000,98999000,55414000,-3394000,-46979000,54899000,164996000,117037000,3584000
68,Total Liabilities And Stockholders Equity,34112000,- -,50289643,63046409,68980123,76594000,85329000,98128000,121259000,146479000,179828000,300125000,263722000,227654000,288683000,436967000,513307000,539971000,494483000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,34112000,- -,50289643,63046409,68980123,76594000,85329000,98128000,121259000,146479000,179828000,300125000,263722000,227654000,288683000,436967000,513307000,539971000,494483000
71,SEC Link,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1392972/000110465908012328/a08-6063_110k.htm,https://www.sec.gov/Archives/edgar/data/1392972/000110465909012603/0001104659-09-012603-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000095012310022407/0000950123-10-022407-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000095012311019844/h79999e10vk.htm,https://www.sec.gov/Archives/edgar/data/1392972/000119312512081468/0001193125-12-081468-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297213000005/0001392972-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297214000045/pro-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297215000046/pro-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297216000143/0001392972-16-000143-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297217000038/0001392972-17-000038-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297218000068/0001392972-18-000068-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297219000067/0001392972-19-000067-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297220000059/0001392972-20-000059-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297221000039/0001392972-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297222000031/0001392972-22-000031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,3439527,7025259,10517080,10757000,5516000,-1931000,6350000,4966000,3446000,-36644000,-65811000,-75225000,-77926000,-64246000,-69081000,-76984000,-81209000
74,Depreciation and Amortization,- -,- -,1515303,1270441,1182582,1363000,1486000,1361000,1609000,2286000,4307000,10443000,10395000,9507000,10531000,13055000,13870000,14334000,12060000
75,Deferred Income Tax,- -,- -,-98269,-1161450,-1871178,-821000,-1563000,-187000,315000,2535000,155000,12528000,165000,40000,-520000,-463000,-119000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,5475000,6964000,6832000,9645000,16272000,22665000,27864000,20466000,22796000,21453000,24680000,24399000,35075000
77,Change in Working Capital,- -,- -,2068374,495593,6342882,7823344,9014000,1571000,13882000,6742000,-823000,79776000,-27216000,-47751000,23095000,-28638000,118418000,56571000,15938000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,4377000,-14619000,-6659000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,2579000,-790000,2885000,-3104000,-4049000,-2905000,700000,3931000,2489000,-4817000,-515000
81,Other Working Capital,- -,- -,27079181,27574774,33917656,41741000,50755000,52326000,66208000,72950000,72127000,151903000,124687000,76936000,100031000,71393000,189811000,246382000,-2202000
82,Other Non-Cash Items,- -,- -,28023749,5888681,-6147829,-5299344,-8465000,-13054000,-14745000,-1522000,-6386000,-87014000,70135000,78618000,-3289000,64542000,-82523000,-67709000,-419000
83,Cash Provided by Operating Activities,- -,- -,34948684,13518524,10023537,13823000,11463000,-5276000,14243000,24652000,16971000,1754000,15532000,-14345000,-25313000,5703000,5245000,-49389000,-18555000
84,CAPEX,- -,- -,-766359,-1090004,-1677818,-1208000,-1111000,-1524000,-3002000,-9527000,-6275000,-9804000,-7027000,-9914000,-4208000,-6213000,-6757000,-30179000,-2796000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13000000,-22000000,- -,- -,-34000000,- -,-11000000,- -,-79482000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-73000,- -,- -,- -,- -,-57697000,-156990000,- -,-45000,-293000,-281000,-2895000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55200000,141500000,15992000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-293000,37000,-2013000,-42365000,37365000,-133000,-2673000,-3052000,-4738000,-996000,-1686000,- -
89,Cash Used for Investing Activites,- -,- -,-766359,-1090004,-1677818,-1208000,-1111000,-1890000,-2965000,-9527000,-58766000,7866000,-9424000,-25404000,-22346000,-6258000,-17560000,-30460000,-85173000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29411000,-263000,-196000,-209000,-54000,-97678000,- -,-288000
91,Common Stock Issued,- -,- -,17152,67329,54512316,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141954000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-8445472,-17365083,-5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-41328294,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-2327178,-14000,118000,562000,1334000,-24000,2925000,135716000,-5291000,-3488000,90863000,-6548000,120669000,102914000,2759000
95,Cash Used/Provided by Financing Activities,- -,- -,17152,-8378143,-6508239,-5014000,118000,562000,1334000,-24000,2925000,106305000,-5554000,-3684000,90654000,135352000,22991000,102914000,2471000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,406000,197000,-298000,-529000,174000,-75000,-8000,-324000
97,Net Change In Cash,- -,- -,34199477,4050377,1837480,7601000,10470000,-6604000,12612000,15101000,-38870000,116331000,751000,-43731000,42466000,134971000,10601000,23057000,-101581000
98,Cash at the End of Period,- -,- -,38489803,42540180,44377660,51979000,62449000,55845000,68457000,83558000,44688000,161019000,161770000,118039000,160505000,295476000,306077000,329134000,227553000
99,Cash at the Beginning of Period,- -,- -,4290326,38489803,42540180,44378000,51979000,62449000,55845000,68457000,83558000,44688000,161019000,161770000,118039000,160505000,295476000,306077000,329134000
100,Free Cash Flow,- -,- -,34182325,12428520,8345719,12615000,10352000,-6800000,11241000,15125000,10696000,-8050000,8505000,-24259000,-29521000,-510000,-1512000,-79568000,-21351000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1392972/000110465908012328/a08-6063_110k.htm,https://www.sec.gov/Archives/edgar/data/1392972/000110465909012603/0001104659-09-012603-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000095012310022407/0000950123-10-022407-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000095012311019844/h79999e10vk.htm,https://www.sec.gov/Archives/edgar/data/1392972/000119312512081468/0001193125-12-081468-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297213000005/0001392972-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297214000045/pro-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297215000046/pro-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297216000143/0001392972-16-000143-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297217000038/0001392972-17-000038-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297218000068/0001392972-18-000068-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297219000067/0001392972-19-000067-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297220000059/0001392972-20-000059-index.html,https://www.sec.gov/Archives/edgar/data/1392972/000139297221000039/0001392972-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1392972/000139297222000031/0001392972-22-000031-index.htm
102,false,,,,,,,,,,,,,,,,,,,
