,https://roic.ai/company/AIRC,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-212079000,-215708000,-184322000,-149266000,-15835000,32637000,47428000,63866000,64275000,15394000,703576000,504892000,-19135000,473978000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1455,-0.1804,-0.1610,-0.1383,-0.0153,0.0335,0.0482,0.0651,0.0645,0.0153,0.7235,0.5522,-0.0266,0.6398
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-53371000,-18671000,-18433000,-7166000,-929000,-1959000,-20047000,-27524000,-25208000,-32126000,-13027000,-3135000,95437000,-5246000
23,Net Income,7100000,13400000,12984000,28633000,64474000,80959000,99178000,107352000,169046000,158857000,263497000,70982000,176787000,29911000,415463000,-64274000,-71728000,-57087000,132456000,207290000,309249000,248710000,430410000,315774000,666227000,474083000,-104127000,447621000
24,Net Income ratio,0.2518,0.1727,0.1192,0.1384,0.1607,0.1402,0.0901,0.0733,0.1122,0.1048,0.1794,0.0467,0.1045,0.0174,0.2850,-0.0538,-0.0626,-0.0529,0.1282,0.2128,0.3142,0.2534,0.4322,0.3141,0.6851,0.5185,-0.1447,0.6042
25,EPS,0.54,1.10,1.33,1.39,1.07,0.50,0.68,0.29,1.12,0.89,2.40,-0.23,1.28,-0.46,3.80,-1.28,-1.38,-1.10,0.78,1.79,2.63,1.94,3.42,2.50,5.38,3.91,-0.85,3.66
26,EPS Diluted,0.54,1.10,1.33,1.38,1.02,0.49,0.66,0.29,1.11,0.89,2.40,-0.23,1.28,-0.46,3.80,-1.28,-1.38,-1.10,0.78,1.79,2.63,1.94,3.41,2.50,5.38,3.90,-0.85,3.66
27,Weighted Average Shares Outstanding,8019072,12203178,9732689,18839611,35389961,48747250,52921647,56748309,67117731,72719099,72928994,73536748,74996613,78028337,94932689,89519286,91138921,93443846,105322474,113790314,114062864,121532920,122178268,122430455,122072538,119299568,122446000,122446000
28,Weighted Average Shares Outstanding Diluted,8019072,12203178,9732689,19138006,37298593,49690209,54089382,57680304,67959659,72811515,72928994,73536748,74996613,78028337,94932689,89519286,91138921,93443846,105322474,113979062,114347161,121840714,122483712,122800903,122218994,119482089,122446000,122446000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1820877/000156459021012964/0001564590-21-012964-index.htm,https://www.sec.gov/Archives/edgar/data/1820877/000095017022002462/0000950170-22-002462-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,13170000,37088000,71305000,101604000,157115000,80000000,99553000,98129000,105343000,161730000,229824000,210461000,299676000,81260000,111325000,91066000,84413000,55751000,28971000,50789000,61244000,76786000,36858000,142902000,44214000,67320000
32,Short-Term Investments,- -,- -,- -,22100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,13170000,59188000,71305000,101604000,157115000,80000000,99553000,98129000,105343000,161730000,229824000,210461000,299676000,81260000,111325000,91066000,84413000,55751000,28971000,50789000,61244000,76786000,36858000,142902000,44214000,67320000
34,Net Receivables,6700000,- -,4344000,28656000,33708000,231582000,331313000,359939000,301851000,330440000,311265000,301527000,286528000,106421000,281868000,59822000,58247000,41796000,141317000,149210000,158490000,138936000,104606000,11417000,55630000,62249000,556479000,534127000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,377221000,1433592000,- -,- -,985404000,- -,- -,- -,- -,- -,- -,- -,220037000,201406000,186717000,146859000,127037000,118551000,90026000,72655000,120222000,103787000,47567000,40236000,171933000
37,Total Current Assets,- -,- -,- -,465065000,1538605000,- -,- -,1425343000,- -,- -,- -,- -,- -,- -,- -,361119000,370978000,319579000,372589000,331998000,306012000,279751000,238505000,208425000,196275000,252718000,640929000,773380000
38,PP&E,390600000,448400000,745145000,1510206000,2601022000,4096200000,6099189000,6795855000,8924099000,8753266000,8785046000,8751707000,9081218000,9348692000,8102368000,6962361000,6533253000,6028780000,- -,- -,- -,- -,- -,20048000,18309000,87661000,63314000,466355000
39,Goodwill,- -,- -,- -,125239000,128658000,- -,- -,101338000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54500000,- -,- -,- -,39380000,37808000,37808000,37808000,32286000,32286000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27500000,- -,- -,- -,- -,- -,- -,- -,4438000,- -
41,Intangible Assets,- -,- -,- -,125239000,128658000,- -,- -,101338000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82000000,50025000,49441000,45447000,40668000,38701000,43424000,56905000,36724000,32286000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,367851000,237699000,188137000,167799000,39000000,117217000,109312000,105324000,59282000,47790000,- -,75338000,77089000,80903000,91046000,95430000,96237000,387268000,407513000,337800000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9835000,- -,14426000,28326000,42015000,58736000,51933000,- -,30353000,252000,26117000,67544000,32227000,67060000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435649000,356317000,423780000,5946791000,5591699000,5664234000,5711976000,5795055000,5684209000,5768699000,6044187000,5080798000,4830539000
45,Total Non-Current Assets,- -,- -,- -,1635445000,2729680000,- -,- -,6897193000,- -,- -,- -,- -,- -,- -,- -,7545349000,7007588000,6552283000,6028791000,5747415000,5791016000,5864443000,5994313000,5870615000,5993729000,6576021000,5588349000,5666980000
46,Other Assets,416700000,478700000,834813000,- -,- -,5684951000,7699874000,- -,10316601000,10113362000,10072241000,10016751000,10289775000,10606532000,9403157000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,416700000,478700000,834813000,2100510000,4268285000,5684951000,7699874000,8322536000,10316601000,10113362000,10072241000,10016751000,10289775000,10606532000,9403157000,7906468000,7378566000,6871862000,6401380000,6079413000,6097028000,6144194000,6232818000,6079040000,6190004000,6828739000,6229278000,6440360000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,10597000,12136000,18491000,34663000,34381000,54972000,56792000,64241000,29819000,27322000,32607000,30747000,43161000,41919000,36123000,36677000,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,204539000,53100000,418300000,209200000,328740000,- -,- -,81000000,68700000,217000000,140000000,- -,- -,- -,- -,- -,- -,50400000,112330000,27000000,17930000,67160000,160360000,275000000,265600000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195997000,- -,150815000,140293000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,468813000,250106000,251933000,318669000,287595000,308046000,319028000,213976000,220352000,249407000,360574000,333136000,678549000
53,Total Current Liabilities,- -,- -,204539000,53100000,418300000,209200000,328740000,- -,- -,99491000,103363000,251381000,194972000,- -,- -,498632000,428243000,424833000,349416000,381156000,462295000,382151000,268583000,287512000,409767000,635574000,598736000,678549000
54,Long-Term Debt,141300000,268700000,317607000,808530000,1660715000,2584289000,4360115000,4760842000,6233727000,6197907000,5988372000,6284243000,6872753000,7531782000,95981000,5690310000,5504801000,5172320000,4688447000,4337785000,4022809000,3846160000,3866702000,4021751000,3915305000,4230590000,4243000000,3743286000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,9075000,15445000,26024000,47203000,47138000,165684000,202392000,- -,- -,- -,- -,128577000,107775000,81882000,64052000,49366000,12487000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,36348000,36680000,26065000,20139000,- -,4379000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182823000,138750000,130035000,80046000,79953000,87937000,87926000,103201000,101537000,101291000,101780000,79449000,79370000
58,Total Non-Current Liabilities,141300000,268700000,317607000,808530000,1660715000,2584289000,4360115000,4806265000,6285852000,6249996000,6055714000,6331381000,7042816000,7734174000,95981000,5873133000,5643551000,5302355000,4897070000,4525513000,4192628000,3998138000,4019269000,4135775000,4016596000,4332370000,4322449000,3822656000
59,Other Liabilities,292000000,548000000,655829000,1662343000,3691884000,5403298000,8757905000,9931505000,12988594000,12907357000,12532591000,12945240000,14400131000,16035961000,7644072000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,150700000,279300000,542761000,906913000,2031169000,3028209000,4726530000,5125240000,6702742000,6756852000,6580240000,6865240000,7552287000,8301787000,7548091000,6371765000,6071794000,5727188000,5246486000,4906669000,4654923000,4380289000,4287852000,4423287000,4426363000,4967944000,4921185000,4501205000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,945012000,855242000,1041500000,1010250000,823500000,723500000,696500000,660500000,657601000,657114000,68114000,68114000,186126000,159126000,125000000,125000000,125000000,- -,2000000,2129000
63,Common Stock,- -,- -,153000,405000,485000,668000,713000,745000,938000,939000,949000,957000,968000,961000,-695338000,1165000,1176000,1209000,1456000,1459000,1464000,1563000,1569000,1572000,1491000,1489000,1489000,1570000
64,Retained Earnings,1200000,-6300000,-14055000,-30928000,-87693000,-212895000,-364679000,-572165000,-776577000,-998018000,-1047897000,-1350899000,-1575292000,-2018733000,-2332171000,-2492082000,-2680955000,-2841467000,-2863287000,-2798853000,-2649542000,-2596917000,-2385399000,-2367073000,-1947507000,-1722402000,-2131798000,-1953779000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-1619765000,-1709259000,-1847652000,-2014712000,-2238114000,-2901267000,-3035242000,-2782724000,-1138000,-2076000,-6860000,-3542000,-4602000,-6456000,-6040000,1011000,3603000,4794000,4195000,3039000,- -
66,Other Total Stockholders Equity,264800000,205700000,305954000,1224120000,2324324000,2868969000,3337310000,5388481000,4703273000,4850146000,5028320000,5293909000,5991983000,6079218000,6532167000,3071273000,3070296000,3098333000,3712684000,3701339000,3696143000,4064659000,4051722000,3900042000,3515641000,3497367000,3432121000,3763105000
67,Total Stockholders Equity,266000000,199400000,292052000,1193597000,2237116000,2656742000,2973344000,3197296000,3163387000,2860657000,3008160000,2716103000,2339892000,1749704000,1418434000,1239718000,1046042000,908329000,915425000,967457000,1227735000,1622391000,1793903000,1663144000,1699419000,1780649000,1306851000,1813025000
68,Total Liabilities And Stockholders Equity,416700000,478700000,834813000,2100510000,4268285000,5684951000,7699874000,8322536000,9866129000,9617509000,9588400000,9581343000,9892179000,10051491000,8966525000,7611483000,7117836000,6635517000,6161911000,5874126000,5882658000,6002680000,6081755000,6086431000,6125782000,6748593000,6228036000,6314230000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,450472000,495853000,483841000,435408000,397596000,555041000,436632000,294985000,260730000,236345000,239469000,205287000,214370000,141514000,151063000,-7391000,64222000,80146000,1242000,126130000
70,Total Liabilities & Equity,416700000,478700000,834813000,2100510000,4268285000,5684951000,7699874000,8322536000,10316601000,10113362000,10072241000,10016751000,10289775000,10606532000,9403157000,7906468000,7378566000,6871862000,6401380000,6079413000,6097028000,6144194000,6232818000,6079040000,6190004000,6828739000,6229278000,6440360000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1820877/000156459021012964/0001564590-21-012964-index.htm,https://www.sec.gov/Archives/edgar/data/1820877/000095017022002462/0000950170-22-002462-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7100000,13400000,12984000,28633000,64474000,80959000,99178000,107352000,169046000,158857000,263497000,70982000,176787000,29911000,415463000,-64274000,-71728000,-57087000,132456000,207290000,309249000,248710000,430410000,315774000,666227000,474083000,-104127000,447621000
74,Depreciation and Amortization,4900000,15200000,21209000,43520000,101610000,151166000,330019000,364378000,292615000,335081000,368844000,412075000,490698000,500340000,458595000,495568000,436833000,395333000,345077000,291910000,282608000,306301000,333066000,366184000,377786000,380171000,320943000,319742000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11215000,706000,-19146000,14895000,-19649000,-53371000,- -,- -,- -,-929000,-1959000,-20047000,-27524000,-25208000,-32126000,-13027000,-3135000,95437000,-5246000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13833000,6666000,7331000,5381000,4871000,5645000,5781000,6640000,7629000,7877000,8550000,8146000,8295000,7360000
77,Change in Working Capital,8600000,- -,- -,465065000,1073540000,-1538605000,- -,1425343000,-1425343000,- -,- -,- -,- -,- -,- -,-137513000,80248000,-47989000,128427000,-72331000,-107125000,53883000,72322000,-49009000,-134405000,-169364000,425049000,-37200000
78,Accounts Receivable,-2300000,-5900000,1900000,-23200000,-6700000,8400000,- -,- -,- -,- -,-13473000,28992000,42154000,-2298000,4848000,27067000,25561000,388000,8968000,4592000,9039000,619000,-20680000,-13375000,-27830000,-26021000,-57881000,-19646000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,6600000,4100000,-100000,26300000,- -,- -,- -,- -,- -,- -,-3795000,-57250000,28057000,14926000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17554000
81,Other Working Capital,- -,- -,- -,465065000,1538605000,- -,- -,1425343000,- -,- -,- -,- -,- -,- -,- -,-137513000,-57265000,-105254000,23173000,-49158000,-156283000,-102400000,-30078000,-79087000,-213492000,-382856000,42193000,- -
82,Other Non-Cash Items,-3800000,-2400000,4613000,-464186000,-1091210000,1559737000,-28833000,-1402616000,1460971000,-52465000,-267524000,-108362000,-150101000,-45066000,-413039000,-66635000,-195184000,-36819000,-293075000,-104959000,-149042000,-228119000,-440495000,-214561000,-508743000,-315429000,-468948000,-399321000
83,Cash Provided by Operating Activities,16800000,26200000,38806000,73032000,148414000,253257000,400364000,494457000,497289000,430258000,365523000,355549000,532279000,465536000,421481000,233812000,257500000,258819000,316827000,325596000,321424000,359891000,377724000,394139000,396388000,374472000,276649000,332956000
84,CAPEX,-185000000,-60800000,-90645000,-765800000,-235131000,-217380000,-334264000,-374388000,-1483167000,-507168000,-918481000,-960684000,-819416000,-1092587000,-778233000,-300344000,-178929000,-265348000,-270210000,-350338000,-367324000,-367180000,-346645000,-358104000,-340489000,-393461000,-346914000,-174499000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-31889000,-80630000,-260874000,-16383000,-15861000,-6910000,- -,- -,- -,-6842000,10308000,17095000,23374000,-10863000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-53878000,- -,-61695000,- -,-453263000,-114312000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51534000,- -,- -,- -,- -,- -,- -,- -,-277627000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,29290000,148691000,64559000,306484000,106079000,60576000,79599000,28556000,9604000,14370000,- -,5264000,5699000,13471000,- -,- -,- -,- -,- -,- -,- -,- -,- -,100852000
88,Other Investing Activites,-1500000,-200000,4966000,-339317000,-60785000,-212417000,207876000,130836000,92653000,496913000,581447000,186794000,376862000,-84535000,1457869000,631832000,70368000,126438000,88293000,76055000,13678000,-170897000,-97773000,14704000,121846000,72214000,-349999000,377430000
89,Cash Used for Investing Activites,-186500000,-61000000,-88144000,-717663000,-328321000,-281106000,-546981000,-132010000,-786377000,311904000,336913000,-49961000,233040000,-271599000,1344869000,630254000,86375000,40494000,111667000,65192000,13678000,-170897000,-97773000,14704000,121846000,-205413000,-349999000,478282000
90,Debt Repayment,-2300000,-66000000,-3464000,-188500000,-127802000,-58094000,-287189000,-769791000,-17384000,-775302000,-812347000,-747058000,-1360082000,-858952000,- -,-1544180000,-583128000,-1083690000,- -,-472276000,-513599000,-85330000,-9070000,-409167000,-264241000,-4491000,-797166000,-1992171000
91,Common Stock Issued,163800000,46800000,28136000,510114000,- -,293200000,266398000,216849000,429266000,2738000,3164000,2454000,131781000,55378000,481000,- -,14350000,71942000,594379000,- -,- -,366580000,- -,- -,- -,- -,- -,342470000
92,Common Stock Repurchased,- -,-107200000,-4255000,- -,-11066000,-301238000,-268978000,-250147000,-429266000,-239770000,-303378000,-53226000,-396687000,-409382000,-739422000,-4200000,-108000000,-36362000,-600938000,- -,-9516000,-27000000,-34799000,- -,-373593000,-145682000,-10004000,- -
93,Dividends Paid,-5900000,-20900000,-20736000,-45506000,-121239000,-251491000,-247530000,-314838000,-373458000,-372653000,-309887000,-313397000,-306397000,-297906000,-55215000,-267911000,-100164000,-107339000,-141025000,-142856000,-159075000,-195181000,-216293000,-233971000,-246098000,-244534000,-304992000,-269780000
94,Other Financing Activites,21200000,177900000,60448000,392441000,474231000,375771000,739427000,678365000,699483000,657704000,710923000,862026000,1234160000,1297562000,-882979000,733809000,463132000,835877000,-287563000,195682000,320308000,-226245000,-9334000,249837000,295752000,330755000,1086125000,1127524000
95,Cash Used/Provided by Financing Activities,176800000,30600000,60129000,668549000,214124000,58148000,202128000,-439562000,308641000,-727283000,-711525000,-249201000,-697225000,-213300000,-1677135000,-1082482000,-313810000,-319572000,-435147000,-419450000,-361882000,-167176000,-269496000,-393301000,-588180000,-63952000,-26037000,-791957000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,176800000,-4200000,10791000,23918000,34217000,30299000,55511000,-77115000,19553000,993000,-9089000,56387000,68094000,-19363000,89215000,-218416000,30065000,-20259000,-6653000,-28662000,-26780000,21818000,10455000,15542000,-69946000,105107000,-93061000,19281000
98,Cash at the End of Period,- -,1700000,13170000,37088000,71305000,101604000,157115000,80000000,99553000,98129000,105343000,161730000,229824000,210461000,299676000,81260000,111325000,91066000,84413000,55751000,28971000,50789000,61244000,76786000,72595000,177702000,73480000,92761000
99,Cash at the Beginning of Period,- -,5900000,2379000,13170000,37088000,71305000,101604000,157115000,80000000,97136000,114432000,105343000,161730000,229824000,210461000,299676000,81260000,111325000,91066000,84413000,55751000,28971000,50789000,61244000,142541000,72595000,166541000,73480000
100,Free Cash Flow,-168200000,-34600000,-51839000,-692768000,-86717000,35877000,66100000,120069000,-985878000,-76910000,-552958000,-605135000,-287137000,-627051000,-356752000,-66532000,78571000,-6529000,46617000,-24742000,-45900000,-7289000,31079000,36035000,55899000,-18989000,-70265000,158457000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1820877/000156459021012964/0001564590-21-012964-index.htm,https://www.sec.gov/Archives/edgar/data/1820877/000095017022002462/0000950170-22-002462-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
