,https://roic.ai/company/HMLP,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,26312120,26312120,26312120,26401948,26187975,33797080,33844041,34724107,34530714,34530714
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1603016/000114420415024953/v405209_20f.htm,https://www.sec.gov/Archives/edgar/data/1603016/000114420416096763/v433948_20f.htm,https://www.sec.gov/Archives/edgar/data/1603016/000114420417019310/v461838_20f.htm,https://www.sec.gov/Archives/edgar/data/1603016/000114420418019497/tv488320_20f.htm,https://www.sec.gov/Archives/edgar/data/1603016/000114420419019053/tv516271_20f.htm,https://www.sec.gov/Archives/edgar/data/1603016/000110465920042718/tm206799d1_20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,100000,108000,30477000,32868000,18915000,22679000,26326000,39126000,31770000,42519000
32,Short-Term Investments,- -,- -,2894000,3192000,3485000,3806000,4168000,4551000,- -,- -
33,Cash and Short-Term Investments,100000,108000,33371000,36060000,22400000,26485000,30494000,43677000,31770000,42519000
34,Net Receivables,6675000,61585000,6189000,12439000,6325000,11849000,5556000,5310000,10766000,16579000
35,Inventory,- -,- -,- -,767000,697000,668000,646000,463000,- -,- -
36,Other Current Assets,379000,3430000,172748000,18288000,14939000,7424000,10169000,10321000,12622000,12182000
37,Total Current Assets,7154000,65123000,212308000,67554000,44361000,46426000,46865000,59771000,55158000,71280000
38,PP&E,86067000,122602000,54000,353197000,343183000,679645000,658756000,640687000,619729000,602389000
39,Goodwill,- -,- -,- -,251000,251000,251000,251000,251000,251000,- -
40,Intangible Assets,- -,- -,- -,18395000,15990000,24119000,20488000,16857000,13805000,- -
41,Intangible Assets,- -,- -,- -,18646000,16241000,24370000,20739000,17108000,14056000,11301000
42,Investments,- -,- -,292379000,290111000,91768000,282820000,282441000,3270000,9690000,35708000
43,Tax Assets,- -,64000,- -,1094000,3784000,5158000,10699000,14832000,102000,144000
44,Other Non-Current Assets,41904000,38941000,44677000,33141000,311130000,20540000,3540000,277132000,283075000,283186000
45,Total Non-Current Assets,127971000,161607000,337110000,696189000,766106000,1012533000,976175000,953029000,926652000,932728000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,135125000,226730000,549418000,763743000,810467000,1058959000,1023040000,1012800000,981810000,1004008000
48,Accounts Payable,212000,- -,864000,1350000,972000,381000,529000,533000,467000,3890000
49,Short-Term Debt,91585000,193430000,19529000,32495000,32208000,45458000,45458000,44735000,59158000,46385000
50,Tax Payable,- -,2987000,1340000,2214000,1257000,2835000,2550000,5327000,1914000,935000
51,Deferred Revenue,- -,- -,- -,4123000,11309000,6212000,3074000,- -,- -,- -
52,Other Current Liabilities,1095000,26101000,27126000,34253000,13327000,11773000,8119000,17985000,18183000,25934000
53,Total Current Liabilities,92892000,219531000,47519000,72221000,57816000,63824000,57180000,63253000,77808000,76209000
54,Long-Term Debt,- -,- -,179141000,377635000,343445000,486677000,429379000,421093000,373935000,364629000
55,Deferred Revenue,934000,934000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,1572000,1645000,791000,204000,174000,217000,14430000,18462000
57,Other Non-Current Liabilities,94528000,54300000,84808000,62444000,43625000,33595000,15870000,26727000,22322000,14188000
58,Total Non-Current Liabilities,95462000,55234000,265521000,441724000,387861000,520476000,445423000,448037000,410687000,397279000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,75000,39000,- -
61,Total Liabilities,188354000,274765000,313040000,513945000,445677000,584300000,502603000,511290000,488495000,473488000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,244553000,257039000,370526000,364003000,374515000,354971000,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
65,Other Comprehensive Income/Loss,- -,-8000,-8269000,-7241000,-5736000,-2748000,-5337000,-17943000,-29572000,-15699000
66,Other Total Stockholders Equity,- -,- -,887000,- -,264000,-452497000,150922000,164539000,590375000,- -
67,Total Stockholders Equity,-53229000,-48035000,- -,- -,- -,-91242000,- -,- -,- -,- -
68,Total Liabilities And Stockholders Equity,135125000,226730000,550480000,763743000,810467000,493058000,1023040000,1012800000,981810000,473488000
69,Minority Interest,- -,- -,-1062000,- -,- -,565901000,- -,- -,- -,530520000
70,Total Liabilities & Equity,135125000,226730000,549418000,763743000,810467000,1058959000,1023040000,1012800000,981810000,1004008000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1603016/000114420415024953/v405209_20f.htm,https://www.sec.gov/Archives/edgar/data/1603016/000114420416096763/v433948_20f.htm,https://www.sec.gov/Archives/edgar/data/1603016/000114420417019310/v461838_20f.htm,https://www.sec.gov/Archives/edgar/data/1603016/000114420418019497/tv488320_20f.htm,https://www.sec.gov/Archives/edgar/data/1603016/000114420419019053/tv516271_20f.htm,https://www.sec.gov/Archives/edgar/data/1603016/000110465920042718/tm206799d1_20f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,4188000,40527000,2409000,41279000,41377000,48782000,77622000,52741000,63145000,59995000
74,Depreciation and Amortization,- -,8000,1317000,2653000,10552000,21054000,21146000,21477000,20937000,20417000
75,Deferred Income Tax,- -,- -,-23401000,-1033000,3548000,2475000,6124000,4574000,2985000,11018000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-4437000,-41702000,42081000,12392000,-3028000,-3558000,5954000,3145000,-3188000,3578000
78,Accounts Receivable,- -,-58000,- -,-2011000,-83000,-1035000,6344000,543000,176000,-3235000
79,Inventory,- -,- -,- -,271000,70000,29000,22000,183000,463000,- -
80,Accounts Payable,143000,-212000,864000,154000,-321000,-804000,155000,-10000,-80000,3432000
81,Other Working Capital,- -,2987000,-21935000,10007000,2829000,1112000,- -,- -,- -,- -
82,Other Non-Cash Items,-7386000,-40916000,6634000,-12506000,-13021000,12306000,-19165000,3315000,1946000,-15755000
83,Cash Provided by Operating Activities,-7635000,-42083000,29040000,42785000,39428000,81059000,91681000,85252000,85825000,79253000
84,CAPEX,-57768000,-36268000,-170755000,-955000,-537000,-21000,-747000,-269000,-8000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-133701000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,1311000,2919000,3192000,3485000,3814000,- -,- -,- -
88,Other Investing Activites,-3941000,5542000,-122634000,13491000,-85739000,91768000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-61709000,-30726000,-292078000,15455000,-83084000,-38469000,3067000,-269000,-8000,- -
90,Debt Repayment,- -,- -,-93916000,-27117000,-38441000,-51336000,-50451000,-376854000,-44660000,-44432000
91,Common Stock Issued,- -,- -,203467000,6596000,111529000,110924000,43222000,14094000,3174000,9136000
92,Common Stock Repurchased,- -,- -,-43467000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-35333000,-16024000,-35524000,-43877000,-57037000,-72497000,-73804000,-74886000,-46334000
94,Other Financing Activites,69444000,108150000,243347000,196000,492000,-41377000,-12752000,365939000,21750000,16236000
95,Cash Used/Provided by Financing Activities,69444000,72817000,293407000,-55849000,29703000,-38826000,-92478000,-70625000,-94622000,-65394000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,-97000,7000,49000,-19000
97,Net Change In Cash,69444000,8000,30369000,2391000,-13953000,3764000,2173000,14365000,-8756000,10857000
98,Cash at the End of Period,100000,108000,30477000,32868000,18915000,22679000,45454000,59819000,51063000,61920000
99,Cash at the Beginning of Period,- -,100000,108000,30477000,32868000,18915000,43281000,45454000,59819000,51063000
100,Free Cash Flow,-65403000,-78351000,-141715000,41830000,38891000,81038000,90934000,84983000,85817000,79253000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1603016/000114420415024953/v405209_20f.htm,https://www.sec.gov/Archives/edgar/data/1603016/000114420416096763/v433948_20f.htm,https://www.sec.gov/Archives/edgar/data/1603016/000114420417019310/v461838_20f.htm,https://www.sec.gov/Archives/edgar/data/1603016/000114420418019497/tv488320_20f.htm,https://www.sec.gov/Archives/edgar/data/1603016/000114420419019053/tv516271_20f.htm,https://www.sec.gov/Archives/edgar/data/1603016/000110465920042718/tm206799d1_20f.htm,- -,- -
102,false,,,,,,,,,,
