,https://roic.ai/company/APLS,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,323086,330002,722727,1091726,2890705,5103002,54782951,116165000,110823000
53,Total Current Liabilities,676955,1081531,3200160,3638938,6553958,17024607,65752819,128327000,131847000
54,Long-Term Debt,- -,- -,- -,- -,26390346,25377514,142566851,358830000,206105000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,244292,158783,146695634,268855000,345151000
58,Total Non-Current Liabilities,- -,- -,- -,- -,26634638,25536297,289262485,627685000,551256000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,14465975,18902000,21196000
61,Total Liabilities,676955,1081531,3200160,3638938,33188596,42560904,355015304,756012000,683103000
62,Preferred Stock,16760707,35864148,77191906,92054926,- -,- -,- -,- -,- -
63,Common Stock,978,978,843,843,5033,5628,6393,8000,10000
64,Retained Earnings,-13828483,-24616966,-71132922,-98257559,-149263653,-276765847,-581472460,-926347000,-1656688000
65,Other Comprehensive Income/Loss,-15609,-21507,- -,- -,- -,-122807,-153775,-117000,-2090000
66,Other Total Stockholders Equity,1604946,1998054,28917122,29996110,298201480,437855681,615849518,1131013000,1857430000
67,Total Stockholders Equity,4522539,13224707,34976949,23794320,148942860,160972655,34229676,204557000,198662000
68,Total Liabilities And Stockholders Equity,5199494,14306238,38177109,27433258,182131456,203533559,389244980,960569000,881765000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,5199494,14306238,38177109,27433258,182131456,203533559,389244980,960569000,881765000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1492422/000156459018006193/0001564590-18-006193-index.html,https://www.sec.gov/Archives/edgar/data/1492422/000156459019004492/0001564590-19-004492-index.html,https://www.sec.gov/Archives/edgar/data/1492422/000156459020007350/0001564590-20-007350-index.html,https://www.sec.gov/Archives/edgar/data/1492422/000156459021008800/0001564590-21-008800-index.htm,https://www.sec.gov/Archives/edgar/data/1492422/000156459022007606/0001564590-22-007606-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-3961568,-10788483,-46515956,-27124637,-51006094,-127502194,-304706613,-344874000,-746354000
74,Depreciation and Amortization,6265,6594,- -,- -,11935,- -,239683,637000,1492000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,271841,659154,545701,1078988,5418710,7733256,21144029,45376000,70667000
77,Change in Working Capital,238810,8652399,21677867,-11113886,151731556,9953266,121927251,481523135,-93522000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-10103000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-16317000
80,Accounts Payable,219928,397660,1725904,69779,932299,6587469,-1640774,-54000,10487000
81,Other Working Capital,4513412,13165811,34843678,23729792,175461348,185414614,307341865,788865000,- -
82,Other Non-Cash Items,- -,-8476581,5436441,11156457,-152751180,-21425125,-49739795,-343150135,204591000
83,Cash Provided by Operating Activities,-3444652,-9946917,-18855947,-26003078,-46595073,-131240797,-211135445,-160488000,-563126000
84,CAPEX,- -,-19946,- -,- -,- -,- -,-1693322,-5422000,-1103000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-879067000,-171281000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,567500000,420000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-19946,- -,- -,- -,- -,-1693322,-316989000,247616000
90,Debt Repayment,-274550,- -,- -,- -,- -,- -,-28701292,- -,- -
91,Common Stock Issued,- -,- -,1719,- -,150062959,131194030,109581108,381423000,380363000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,7436210,18831497,41234779,14863020,47312155,709330,307661668,310755000,11873000
95,Cash Used/Provided by Financing Activities,7161660,18831497,41236498,14863020,197375114,131903360,388541484,692178000,392236000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-38426,4702,359000,-2016000
97,Net Change In Cash,3717008,8864634,22380551,-11140058,150780041,624137,175717419,215060000,74710000
98,Cash at the End of Period,4758361,13622995,36003546,24863488,175643529,176267666,351985085,567045000,641755000
99,Cash at the Beginning of Period,1041353,4758361,13622995,36003546,24863488,175643529,176267666,351985000,567045000
100,Free Cash Flow,-3444652,-9966863,-18855947,-26003078,-46595073,-131240797,-212828767,-165910000,-564229000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1492422/000156459018006193/0001564590-18-006193-index.html,https://www.sec.gov/Archives/edgar/data/1492422/000156459019004492/0001564590-19-004492-index.html,https://www.sec.gov/Archives/edgar/data/1492422/000156459020007350/0001564590-20-007350-index.html,https://www.sec.gov/Archives/edgar/data/1492422/000156459021008800/0001564590-21-008800-index.htm,https://www.sec.gov/Archives/edgar/data/1492422/000156459022007606/0001564590-22-007606-index.htm
102,false,,,,,,,,,
